judul,provinsi,id_teks,teks,referensi
Kisah Kucing Sang Guru,Jawa Barat,1,"pada zaman dahulu, di sebuah hutan yang subur dan rimbun, kucing dianggap sebagai binatang yang luar biasa. kehebatan dan keberaniannya membuatnya dihormati oleh banyak binatang di sekitarnya. selain dikenal tangkas dan lincah, kucing juga memiliki kebijaksanaan yang luar biasa. oleh karena itu, ia dihormati sebagai guru besar di antara para hewan hutan.","ing jaman mbiyen, ana ing alas sing subur lan rimbun, kucing dianggep dadi kewan sing luar biasa. kahebatan lan kewaniane ndadekake dheweke dihormati dening akeh kewan ing sakupenge. saliyane dikenal cekatan lan gesit, kucing uga nduweni kawicaksanan sing luar biasa. mula saka kuwi, dheweke dihormati dadi guru agung ana ing antarane para kewan alas."
Kisah Kucing Sang Guru,Jawa Barat,2,"di antara banyak murid yang ingin belajar darinya, singa dan harimau adalah dua murid yang paling setia. mereka rela mengikuti kucing ke mana pun ia pergi, dengan harapan dapat menimba ilmu dari kebijaksanaannya. namun, suatu hari, keinginan mereka untuk mempelajari ilmu baru menimbulkan ketegangan di antara mereka.","saka akeh murid sing kepengin sinau saka dheweke, singa lan macan yaiku loro murid sing paling setya. wong loro kuwi gelem ngetutke kucing ing endi wae dheweke lunga, kanthi pangarep-arep bisa nyinaoni kawicaksanane. nanging, ing sawijining dina, kekarepane wong loro kuwi kanggo nyinaoni elmu anyar malah njalari ketegangan di antara wong loro."
Kisah Kucing Sang Guru,Jawa Barat,3,"singa dan harimau mengungkapkan keinginan mereka untuk belajar cara memanjat pohon kepada kucing, guru mereka.","singa lan macan ngungkapke kekarepane kanggo sinau cara manjat wit marang kucing, gurune."
Kisah Kucing Sang Guru,Jawa Barat,4,"sungguh, ilmu yang sudah kuturunkan kepada kalian berdua sudah sangat banyak. mengapa kalian begitu menginginkan ilmu ini tanya kucing dengan penuh kehati-hatian.","sak tenane, elmu sing wis takwenehake marang kowe loro kuwi wis akeh banget. ngapa kok kowe-kowe banget kepengin sinau elmu iki pitakone kucing kanthi ati-ati."
Kisah Kucing Sang Guru,Jawa Barat,5,"kami ingin tahu cara memanjat pohon, guru. ilmu itu sangat penting bagi kami, jawab harimau dengan antusias.","kula pengin ngerti carane manjat wit, guru. ãlmu kuwi penting banget kanggo kula, wangsule macan kanthi semangat."
Kisah Kucing Sang Guru,Jawa Barat,6,"namun, kucing merasa ragu. ilmu memanjat pohon adalah ilmu yang langka dan sulit diajarkan. ia khawatir ilmu itu bisa disalahgunakan. untuk mengalihkan perhatian muridnya, kucing memutuskan mengajarkan keterampilan berenang. namun, seiring berjalannya waktu, keinginan harimau untuk mempelajari ilmu memanjat pohon semakin kuat.","nanging, kucing krasa ragu. ãlmu manjat wit kuwi elmu langka lan angel diajarke. dheweke wedi yen elmu kuwi bisa disalahgunakake. kanggo ngglimpengake perhatiane murid-muride, kucing mutusake kanggo ngajarake kawruh nglangi. nanging, sak suwene wektu lumaku, kekarepane macan kanggo sinau elmu manjat wit saya kuwat."
Kisah Kucing Sang Guru,Jawa Barat,7,"suatu pagi, harimau mendatangi kucing dengan tekad yang bulat.","sak wayah esuk, macan nemoni kucing kanthi tekad sing manteb."
Kisah Kucing Sang Guru,Jawa Barat,8,"guru, aku ingin kau mengajari aku ilmu memanjat pohon, desak harimau dengan tegas.","guru, aku pengin panjenengan mulang aku elmu manjat wit, desake macan kanthi teges."
Kisah Kucing Sang Guru,Jawa Barat,9,"kucing mencoba menunda-nunda dengan berbagai alasan, tetapi harimau tetap kukuh pada keinginannya.","kucing nyoba nundha-nundha kanthi akeh alesan, nanging macan tetep kukuh karo kekarepane."
Kisah Kucing Sang Guru,Jawa Barat,10,akan kau gunakan ilmu itu untuk apa tanya kucing penuh pertimbangan.,kowe arep nggunakake elmu kuwi kanggo apa pitakone kucing kanthi pertimbangan.
