judul,provinsi,id_teks,teks,referensi
Kisah La Moelu,Sulawesi Tenggara,1,"dahulu kala, di sulawesi tenggara, hiduplah seorang pemuda tangguh bernama la moelu. sejak kecil, ia telah kehilangan ibunya, dan ayahnya yang sudah tua tidak lagi memiliki tenaga yang cukup untuk bekerja. la moelu dengan tabah menggantikan peran ayahnya dalam memenuhi kebutuhan sehari-hari. setiap hari, ia memancing di sungai untuk mendapatkan ikan. hasil tangkapannya digunakan untuk lauk makan, sementara sisanya dijual ke pasar untuk membeli beras dan kebutuhan lainnya.","mbiyen kala, ing sulawesi tenggara, urip sawijining nom-noman tangguh jenenge la moelu. wiwit cilik, dheweke wis ilang ibune, lan bapake sing wis tuwa ora nduweni tenaga maneh kanggo nyambut gawe. la moelu kanthi tabah nggantekake perane bapake kanggo nyukupi kabutuhan saben dina. saben dina, dheweke mancing ing kali kanggo entuk iwak. hasil tangkapane digawe lauk mangan, dene sisane didol nang pasar kanggo tuku beras lan kabutuhan liyane."
Kisah La Moelu,Sulawesi Tenggara,2,"la moelu tidak pernah mengeluh, meski hidupnya penuh perjuangan. ia tahu bahwa kerja keras adalah satu-satunya pilihan.","la moelu ora tau sambat, sanajan uripe kebak perjuangan. dheweke ngerti yen kerja keras iku siji-sijine pilihan."
Kisah La Moelu,Sulawesi Tenggara,3,"suatu hari, la moelu memancing di sungai seperti biasa. namun, hari itu ia hanya mendapatkan seekor ikan kecil yang bentuknya sangat aneh. ia membawa ikan itu pulang dan menunjukkannya kepada ayahnya.","siji dina, la moelu mancing ing kali kaya biasane. nanging dina kuwi dheweke mung oleh sak iwak cilik sing wujude aneh banget. dheweke nggawa iwak kuwi mulih lan nuduhke marang bapake."
Kisah La Moelu,Sulawesi Tenggara,4,"ayah tidak tahu ikan jenis apa ini. seumur hidup, baru kali ini ayah melihat ikan seperti ini. sebaiknya jangan digoreng. pelihara saja di dalam gelas, kata ayahnya dengan takjub.","bapak ora ngerti iwak jinis apa iki. sakumur-umur, mung kaping pisan iki bapak ndelok iwak kaya ngene. luwih becik aja digoreng. peliharana wae nang gelas, ujare bapake karo kaget."
Kisah La Moelu,Sulawesi Tenggara,5,"la moelu setuju, lalu memelihara ikan kecil itu di dalam gelas. namun, keesokan harinya, ia terkejut melihat ikan tersebut telah tumbuh memenuhi gelasnya. la moelu memindahkannya ke dalam sebuah guci.","la moelu setuju, banjur miara iwak cilik kuwi nang gelas. nanging, esuke dheweke kaget weruh yen iwak kuwi wis tuwuh nganti nutupi isi gelase. la moelu banjur mindhah iwak kuwi menyang guci."
Kisah La Moelu,Sulawesi Tenggara,6,"hari demi hari, ikan itu terus tumbuh dengan cepat hingga guci pun tidak lagi cukup untuk menampungnya. ketika ikan itu menjadi terlalu besar, ayah la moelu menyarankan agar ia dilepaskan ke laut.","saben dina, iwak kuwi terus tuwuh cepet nganti guci uga ora cukup maneh kanggo nampunge. nalika iwak kuwi dadi kegedhen, bapake la moelu nyaranake supaya dilepas nang laut."
Kisah La Moelu,Sulawesi Tenggara,7,"lepaskan saja dia ke laut. di sana ia bisa tumbuh sebesar apapun, dan laut pasti akan sanggup menampungnya, ujar ayahnya.","lepaskna wae dheweke nang laut. ing kono dheweke isa tuwuh sak gedhe-gedhene, lan laut mesthi isa nampung, ujare bapake."
Kisah La Moelu,Sulawesi Tenggara,8,"dengan berat hati, la moelu membawa ikan itu ke pantai. sebelum melepaskannya, ia berkata, kau kuberi nama jinnade. aku lepaskan kau karena aku tidak sanggup lagi merawatmu. mudah-mudahan kau bahagia di sini. jika aku merindukanmu, aku akan datang memanggilmu.","kanthi ati abot, la moelu nggawa iwak kuwi menyang pantai. sadurunge dilepas, dheweke kandha, kowe tak paringi jeneng jinnade. aku ngeculkake kowe merga aku ora kuat maneh ngerawat kowe. muga-muga kowe bahagia nang kene. yen aku kangen, aku bakal teka nimbali kowe."
Kisah La Moelu,Sulawesi Tenggara,9,ikan itu mengangguk seolah memahami ucapan la moelu.,iwak kuwi ngangguk kaya ngerti omongane la moelu.
Kisah La Moelu,Sulawesi Tenggara,10,"sejak saat itu, la moelu sering datang ke pantai untuk memanggil jinnade. ia selalu membawakan makanan sebagai hadiah untuk ikan kesayangannya. namun, kebiasaan la moelu ini akhirnya diketahui oleh tiga orang tetangganya.","wiwit wektu kuwi, la moelu kerep teka menyang pantai kanggo nimbali jinnade. dheweke mesthi nggawa panganan minangka hadiah kanggo iwak kesayangane. nanging, kebiasaane la moelu akhire dingerteni dening telu tangga tetanggane."
Kisah La Moelu,Sulawesi Tenggara,11,"melihat ukuran jinnade yang sangat besar, mereka tergiur untuk menangkapnya. mereka diam-diam mempelajari cara la moelu memanggil ikan itu. setelah mengetahui caranya, mereka menangkap jinnade dengan tombak dan memakannya.","merga ndelok ukurane jinnade sing gedhe banget, padha kepincut kanggo nyekel. padha ndhelik sinau carane la moelu nimbali iwak kuwi. sawise ngerti carane, padha nyekel jinnade nganggo tombak lan dipangan."
Kisah La Moelu,Sulawesi Tenggara,12,"ketika la moelu mengetahui kejadian ini, ia sangat marah, terutama setelah melihat tetangganya sedang menyantap ikan tersebut. namun, ia tidak bisa berbuat apa-apa. dalam kesedihannya, ia mengumpulkan tulang-tulang jinnade dan menguburkannya di halaman rumahnya.","nalika la moelu ngerti kedadeyan kuwi, dheweke nesu banget, utamane sawise weruh tetanggane padha mangan iwak kuwi. nanging, dheweke ora isa ngapa-ngapani. nang sedhihe, dheweke ngelumpukne balung-balung jinnade lan ngubur ing pekarangan omahe."
Kisah La Moelu,Sulawesi Tenggara,13,"keesokan harinya, la moelu menemukan keajaiban di atas kuburan jinnade. sebuah pohon ajaib telah tumbuh. pohon itu memiliki batang emas, daun dan bunga dari intan, serta buah berupa berlian berkilauan.","esuke, la moelu nemokake kaajaiban nang ndhuwur kuburane jinnade. ana wit ajaib wis tuwuh. wit kuwi nduweni gagang emas, godhong lan kembang saka intan, lan woh-wohane wujud berlian sing sumunar."
Kisah La Moelu,Sulawesi Tenggara,14,"ternyata, jinnade ingin membalas jasa baik la moelu yang telah merawatnya dengan penuh kasih sayang. berkat pohon ajaib ini, la moelu dan ayahnya hidup berkecukupan. namun, mereka tetap rendah hati dan tidak pernah lupa untuk membantu orang-orang yang kurang beruntung.","jebule, jinnade pengin mbales kabecikane la moelu sing wis ngerawat kanthi katresnan. awit saka wit ajaib kuwi, la moelu lan bapake bisa urip cukup. nanging, padha tetep andhap asor lan ora tau lali nulungi wong-wong sing kurang mampu."
Kisah La Moelu,Sulawesi Tenggara,15,"kisah la moelu mengajarkan bahwa kebaikan hati dan ketulusan akan selalu dibalas, meskipun terkadang pengkhianatan datang dari tempat yang tidak terduga. tetaplah rendah hati dan berbuat baik kepada sesama, karena kebaikan akan membawa berkah.","crita la moelu maringi piwulang yen kabecikan ati lan ketulusan bakal tansah entuk ganjaran, sanajan kadang pangkhianatan teka saka panggonan sing ora dikira-kira. tetepa andhap asor lan apikan marang sapadha-padha, merga kabecikan bakal nggawa berkah."
