judul,provinsi,id_teks,teks,referensi
Kisah Lubuk Emas,Sumatera Utara,1,"alkisah, pada beberapa abad yang lalu, di sebuah kampung kecil teluk dalam, tinggal seorang lelaki bernama simargolang. di tengah-tengah pergaulan masyarakatnya, simargolang sangat disenangi, tidak hanya karena budi pekertinya yang baik, tetapi juga karena ia memiliki ilmu pendekar. ia sering berburu ke hutan, dan hasil perburuannya ia bagi-bagi kepada orang-orang sekampungnya. kehidupan kekeluargaannya yang rukun dan sifat-sifat suka menolong orang lain mendorong orang-orang di kampung itu mengusulkan agar simargolang bersedia menjadi pimpinan mereka.","alkisah, ing sawetara abad kepungkur, ana ing sawijining kampung cilik teluk dalam, manggon wong lanang jenenge simargolang. ing tengahing pergaulan masyarakate, simargolang disenengi banget, ora mung amarga budi pekertine sing apik, nanging uga amarga dheweke nduweni kawruh pendekar. dheweke kerep moro alas kanggo mburu, lan asil buruane dibagekake marang wong-wong sakkampung. urip keluargane sing rukun lan sifat-sifat seneng nulungi wong liya ndadekake wong-wong ing kampung kuwi ngajokake supaya simargolang gelem dadi pemimpine."
Kisah Lubuk Emas,Sumatera Utara,2,"sebaiknya kita cari orang yang lebih arif dan bijaksana, orang yang benar-benar mampu sebagai pimpinan kita, ucapnya ketika beberapa orang tua menemuinya untuk menyampaikan hasrat mereka.","âsakmestine awake dhewe kudu golek wong sing luwih wicaksana lan bijaksana, wong sing tenan-tenan bisa dadi pemimpin kita,â ngendikane nalika sawetara wong tuwa nemoni dheweke kanggo nyampekke kekarepane."
Kisah Lubuk Emas,Sumatera Utara,3,"tidak ada pilihan lain selain kepadamu, margolang. terimalah amanah ini, amanah kami semua, salah seorang orang tua utusan itu meyakinkan simargolang. simargolang dinobatkan jadi raja, penduduk memanggilnya dengan raja, dan rakyatnya hidup makmur.","âora ana pilihan liyan kejaba kowe, margolang. tampa wae amanah iki, amanah saka awake dhewe kabeh,â salah siji utusan wong tuwa kuwi nyakinke simargolang. simargolang dinobatake dadi raja, warga nyebute raja, lan rakyate urip makmur."
Kisah Lubuk Emas,Sumatera Utara,4,"demikianlah, pada suatu hari, dalam memimpin masyarakatnya, sang permaisuri melahirkan seorang puteri yang cantik, dan oleh raja simargolang, puterinya diberi nama sri pandan. sebagaimana kebiasaan raja yang suka bekerja keras, beliau juga melatih puterinya untuk bekerja sehingga sri pandan yang parasnya cantik juga pandai menganyam tikar, membuat penampi, dan membuat perhiasan-perhiasan rumah lainnya. bersama-sama teman sebayanya, waktu menumbuk padi alu, sri pandan seolah-olah berirama sehingga enak didengar. bermain-main pada waktu bulan purnama, sri pandan selalu menjadi tumpuan perhatian teman-temannya karena kelincahannya bergaul dan kemerduan suaranya.","mangkono kuwi, ing sawijining dina, nalika mimpin masyarakate, sang permaisuri nglairake sawijining putri ayu, lan dening raja simargolang, putrine dijenengake sri pandan. kaya biasane raja sing seneng kerja keras, dheweke uga nglatih putrine supaya trampil makarya, mula sri pandan sing rupane ayu uga pinter anyam tikar, gawe tampi, lan gawe perhiasan-perhiasan omah liyane. bareng kancane sing sak umur, wektu numbuk pari nganggo alu, sri pandan kaya lagi nyiptakake irama sing enak dirungokke. main-main wektu bulan purnama, sri pandan tansah dadi titik perhatian kanca-kancane merga keaktifane bergaul lan swarane sing merdu."
Kisah Lubuk Emas,Sumatera Utara,5,"apabila sri pandan duduk sendirian di taman muka rumahnya, dia sering melagukan lagu yang merdu hingga pemuda di kampung itu secara sembunyi-sembunyi menikmati suara sang puteri. konon, kecantikan puteri sri pandan dan budi pekertinya yang terpuji itu tidak hanya menimbulkan simpati pemuda kampung teluk dalam saja, tetapi juga telah tersohor ke daerah lain. puteri raja simargolang adalah puteri tercantik di kawasan itu, dan wajarlah bila sang raja mengharapkan puterinya akan dipersunting oleh putera mahkota dari daerah lain.","yen sri pandan lungguh dhewe ing taman ngarep omahe, dheweke kerep nembang lagu sing merdu nganti para nom-noman ing kampung kuwi ndelok swarane sang putri kanthi sembunyi-sembunyi. jarene, ayune putri sri pandan lan budi pekertine sing utama kuwi ora mung ndadekake simpati para nom-noman teluk dalam, nanging uga wis kondhang tekan dhaerah liyane. putri raja simargolang kuwi putri paling ayu ing sakubenge, lan wajar yen sang raja ngarep-arep putrine bakal dipingit dening putra mahkota saka dhaerah liya."
Kisah Lubuk Emas,Sumatera Utara,6,"impian itu akan terwujud menurut raja simargolang, karena pada suatu hari utusan raja aceh datang hendak melamar sang puteri sri pandan. rombongan raja aceh disambut dengan acara kebesaran, dan setelah berbasabasi serta memakan sirih sebagai lambang persahabatan, niat dan maksud disampaikan: sri pandan hendak dijadikan permaisuri putera mahkota raja aceh. raja simargolang yang arif dan bijaksana walau lamaran sudah bersedia dinikahkan, utusan akan dikirim ke negeri aceh memberitahukan.","impen kuwi bakal kelakon miturut raja simargolang, merga ing sawijining dina ana utusan raja aceh teka arep nglamar sang putri sri pandan. rombongan raja aceh disambut nganggo upacara agung, lan sawise saling basabasi lan mangan sirih minangka lambang paseduluran, niyat lan maksude disampekke: sri pandan arep dijadiake permaisuri putra mahkota raja aceh. raja simargolang sing wicaksana lan bijaksana sanajan wis sarujuk karo lamaran kuwi, bakal ngirim utusan menyang nagara aceh kanggo nyampekke kabar."
Kisah Lubuk Emas,Sumatera Utara,7,"berita lamaran raja aceh telah tersebar di negeri itu, membuat banyak pemuda yang harap-harap cemas. cemas karena di antara para pemuda kampung itu ada yang sempat jatuh cinta dengan sang puteri, dan bergembira mendengar berita itu merasa bangga sang puteri raja mereka dipersunting putera mahkota. tetapi sri pandan sejak datangnya utusan raja aceh itu sering termenung, hatinya gelisah dan sering mengunci diri di dalam kamar berbaring sambil berurai air mata.","wartane lamaran raja aceh wis nyebar ing nagara kuwi, ndadekake akeh nom-noman sing was-was. was-was merga ana ing antarane para nom-noman kampung kuwi sing sempat katresnan karo sang putri, lan bungah krungu kabar kuwi krasa bangga sang putri rajane dilamar putra mahkota. nanging sri pandan wiwit teka utusan raja aceh kuwi kerep mlayu meneng, atine gundah lan kerep ngunci diri ing kamar lan nangis."
Kisah Lubuk Emas,Sumatera Utara,8,"suatu ketika, anakku sri pandan, engkau kini telah meranjak dewasa, dan selama ini engkau telah dilatih dalam pekerjaan-pekerjaan rumah tangga dan sudah tiba saatnya engkau untuk menaiki jenjang rumah tangga, demikian kata pembukaan raja simargolang ketika puterinya dipanggil untuk menghadap.","ing sawijining wektu, âanakku sri pandan, saiki kowe wis gedhe, lan nganti saiki kowe wis dilatih nglakoni gawean rumah tangga lan wis wayahe kowe mlebu jenjang rumah tangga,â ngendikane raja simargolang nalika putrine dipanggil ngadhep."
Kisah Lubuk Emas,Sumatera Utara,9,"sebagai seorang raja di daerah ini, kami menginginkan agar engkau dapat dipersunting seorang calon raja, dan keinginan itu terkabul. kau pun tentu sudah tahu, utusan raja aceh telah datang ke kerajaan ini untuk melamarmu.","âminangka raja ing dhaerah iki, aku pengin kowe dinikahi dening calon raja, lan kekarepan kuwi wis kelakon. kowe mesthi wis ngerti, utusan raja aceh wis teka ing kerajaan iki kanggo nglamarmu.â"
Kisah Lubuk Emas,Sumatera Utara,10,"sejenak raja simargolang menghentikan kata-katanya dan menatap wajah puterinya. puteri sri pandan masih menunduk, butir-butir air matanya jatuh satu-satu seperti manik-manik putus pengikat, dan dia biarkan butir-butir itu jatuh ke pipinya.","sakdhelik raja simargolang mandheg kandhane lan ndelok rai putrine. putri sri pandan isih meneng ndhungkluk, luh netes siji-siji kaya manik-manik putus pangikat, lan luh kuwi dibiarke mili ing pipine."
