judul,provinsi,id_teks,teks,referensi
Kisah Putri Ular,Aceh,1,"dalam suatu kerajaan yang jauh di pelosok sumatera utara, hiduplah seorang putri yang amat cantik namun memiliki kebiasaan buruk dalam berkata-kata. meskipun raja dan ratu selalu menegurnya, sang putri tetap tidak mengubah sikapnya. setiap kali terjadi sesuatu yang tidak menyenangkan hatinya, dengan mudahnya ia berkata buruk tanpa memikirkan akibatnya.","ing sawijining karajan sing adoh ana ing pelosok sumatera utara, urip ana sawijining putri sing ayu banget nanging nduweni kebiasaan ala ing omongane. senajan raja lan ratu tansah negur, sang putri tetep ora ngowahi sikape. saben ana kedadeyan sing ora nyenengke atine, gampang wae dheweke ngomong kasar tanpa mikir akibate."
Kisah Putri Ular,Aceh,2,"lebih baik jadi orang buta daripada harus memandangi wajahmu yang cemberut terus, katanya suatu hari kepada salah satu dayang istana.","luwih becik dadi wong wuta tinimbang kudu ndelok rai kowe sing cemberut terus, kandhane siji dina marang salah siji dayang kraton."
Kisah Putri Ular,Aceh,3,"mendengar ucapan putrinya yang kasar, ratu menjadi khawatir. bagaimana jika kau benar-benar buta nanti tanya ratu dengan nada cemas. namun, putri tidak peduli dengan peringatan ibunya.","krungu omongan putrine sing kasar, ratu dadi kuwatir. kepiye nek kowe tenanan wuta mengko pitakon ratu kanthi swara kuwatir. nanging, putri ora perduli karo peringatan ibune."
Kisah Putri Ular,Aceh,4,"hari demi hari berlalu, sikap putri semakin tidak terkendali, dan ia semakin sering mengucapkan kata-kata yang menyakitkan. suatu hari, datanglah seorang raja muda dari negeri seberang dengan maksud melamar putri untuk dijadikan permaisuri. tentu saja putri sangat senang, terutama karena raja muda tersebut tampan. rencana pernikahan pun disusun, dan pesta akan dilaksanakan bulan depan.","dina demi dina liwati, sikape putri saya ora bisa dikendhalekake, lan dheweke saya kerep ngucapake tembung sing nyakitake. siji dina, teka sawijining raja enom saka nagara sabrang kanthi maksud nglamar putri kanggo dadi permaisuri. mesthi wae putri seneng banget, utamane amarga raja enom kuwi gagah. rencana mantenan banjur disiapke, lan pesta bakal dianakake sasi ngarep."
Kisah Putri Ular,Aceh,5,"putri yang ingin tampil cantik pada hari pernikahannya rajin merawat diri. setiap hari, ia mandi di danau kecil di belakang istana. air mandinya dicampur dengan berbagai macam bunga yang harum. dengan dibantu oleh para dayang-dayangnya, putri bisa mandi hingga tiga kali sehari.","putri sing kepengin katon ayu ing dina mantenane rajin ngrawat awak. saben dina, dheweke adus ing tlaga cilik nang mburi kraton. banyu aduse dicampur karo warna-warni kembang wangi. kanthi dibantu para dayang-dayange, putri isa adus nganti ping telu saben dina."
Kisah Putri Ular,Aceh,6,"suatu sore, seperti biasa, putri mulai mandi. tiba-tiba, seekor burung terbang cepat di atas kepalanya. terkejut, putri mendongak, dan tanpa disangka, burung itu malah mematuk hidungnya. putri tidak sempat menghindar, dan darah pun mulai berceceran dari hidungnya.","sore-sore, kaya biasane, putri mulai adus. dumadakan, ana manuk mabur cepet nang dhuwure sirahe. kaget, putri ndangak, lan tanpa disangka, manuk kuwi malah matuk irunge. putri ora sempat ngindhari, lan getih banjur metu saka irunge."
Kisah Putri Ular,Aceh,7,"aduh, hidungku teriak putri sambil memegang hidungnya yang berdarah.","aduh, irungku jare putri karo nyekel irunge sing metu getih."
Kisah Putri Ular,Aceh,8,"dengan langkah tergopoh-gopoh, putri kembali ke kamarnya dengan air mata mengalir. tersedu-sedu, putri merasa kecewa karena tak bisa menjaga kecantikannya.","kanthi langkah tergopoh-gopoh, putri bali menyang kamare karo netesake eluh. nggugu, putri ngrasakake kuciwa amarga ora bisa njaga ayune."
Kisah Putri Ular,Aceh,9,"mana mau raja muda itu menikahi wanita berhidung buruk begini, gumamnya sedih.","ngendi gelem raja enom kuwi nikahi wanita irunge elek ngene, gumame sedih."
Kisah Putri Ular,Aceh,10,"ratu yang mendengar keluhan putri tersenyum pahit. jangan khawatir. jika sang raja muda memang mencintaimu, luka kecil ini pasti tak akan jadi masalah, kata ratu dengan penuh pengertian.","ratu sing krungu keluhan putri mesem pait. aja kuwatir. nek raja enom kuwi tenan tresna karo kowe, lara cilik iki mesthi ora dadi masalah, kandhane ratu kanthi pangerten."
