judul,provinsi,id_teks,teks,referensi
Kisah Raja Bunu,Nusa Tenggara Barat,1,"dahulu di kalimantan utara, hiduplah seorang raja yang sedang menderita sakit parah bernama raja bunu. sakitnya raja bunu memengaruhi jalannya pemerintahan kerajaan, sehingga kedua saudaranya, raja sangiang dan raja sangen, berusaha keras untuk mencari pengobatan bagi raja bunu. mereka menjelajahi segala penjuru, mencari tabib atau dukun yang mampu menyembuhkan raja. sayangnya, usaha mereka belum membuahkan hasil, sementara kondisi raja bunu terus memburuk dari hari ke hari.","mbiyen ing kalimantan lor, urip sawijining raja sing nandhang lara abot jenenge raja bunu. larane raja bunu ndadekake kahanan kraton dadi ora stabil, nganthi loro sadulure, yaiku raja sangiang lan raja sangen, nyoba sak abot-abote kanggo nggoleki tamba kanggo raja bunu. karo semangat gedhe, loro-lorone lelungan ngubengi penjuru daerah, nggoleki tabib utawa dukun sing isa nyembuhake raja. nanging, kabeh upayane durung menehi hasil, dene kahanan raja bunu saya parah saben dina."
Kisah Raja Bunu,Nusa Tenggara Barat,2,"suatu hari, terdengar kabar bahwa ada tabib ternama di daerah mereka, yaitu mangku amat dan nyai jaya. pasangan tabib ini terkenal mampu mengobati berbagai macam penyakit dan bahkan dikisahkan memiliki kemampuan untuk menghidupkan orang yang sudah meninggal.","ing sawijining dina, ana kabar yen ana tabib kondhang ing dhaerah kono, yaiku mangku amat lan nyai jaya. pasangan tabib iki misuwur bisa ngobati macem-macem penyakit, lan miturut critane, malah bisa nguripke wong sing wis seda."
Kisah Raja Bunu,Nusa Tenggara Barat,3,"raja sangiang memanggil putra raja bunu, paninting tarung, dan memberikan perintah, carilah dan bawalah tabib mangku amat dan nyai jaya kemari untuk mengobati ayahmu. mereka tinggal di telaga mantuk.","raja sangiang banjur ngundang putrane raja bunu, yaiku paninting tarung, lan dhawuh,"
Kisah Raja Bunu,Nusa Tenggara Barat,4,"paninting tarung segera berangkat ke telaga mantuk untuk menjemput mangku amat dan nyai jaya. namun, hingga tiga kali kunjungannya, ia tidak menemukan tanda-tanda kehidupan di rumah tabib tersebut. ia kembali ke istana dengan tangan hampa. hal ini membuat raja sangiang dan raja sangen curiga, mengira paninting tarung tidak menjalankan tugasnya dengan sungguh-sungguh.",âgoleka lan gawanana tabib mangku amat lan nyai jaya menyang kene kanggo ngobati bapakmu. dhekne manggon ana telaga mantuk.â
Kisah Raja Bunu,Nusa Tenggara Barat,5,"saya sudah ke sana hingga tiga kali, paman. tetapi tidak ada orang di rumah itu, jawab paninting tarung dengan nada kesal.","paninting tarung langsung mangkat menyang telaga mantuk kanggo njupuk mangku amat lan nyai jaya. nanging nganti telung kaping dheweke menyang kono, ora nemu wong siji wae ing omahe tabib kuwi. dheweke bali menyang kraton kanthi tangan kosong. kahanan iki ndadekake raja sangiang lan raja sangen curiga, ngira yen paninting tarung ora tenanan ngelakoni tugase."
Kisah Raja Bunu,Nusa Tenggara Barat,6,"raja sangen tetap memintanya untuk mencoba sekali lagi. dengan perasaan tidak sabar, paninting tarung kembali pergi ke rumah mangku amat dan nyai jaya. namun, saat kembali mendapati rumah tersebut kosong, emosinya memuncak. dalam amarahnya, ia menghancurkan rumah itu dan membawa beberapa bagian rumah sebagai bukti bahwa ia benar-benar telah pergi ke sana.","âkula wis menyang kana nganti telu kaping, paman. nanging ora ana wong siji wae ing kono,â ujare paninting tarung kanthi nesu."
Kisah Raja Bunu,Nusa Tenggara Barat,7,"beberapa waktu kemudian, mangku amat dan nyai jaya kembali ke rumah mereka dan mendapati rumah itu telah hancur. peralatan pengobatan mereka juga lenyap. kesedihan mendalam melanda keduanya, terutama karena raja bunu telah meninggal dunia sebelum mereka sempat memberikan pertolongan.","raja sangen tetep nyuwun paninting tarung nyoba maneh. kanthi rasa jengkel, paninting tarung lunga maneh menyang omahe mangku amat lan nyai jaya. nanging sawise nemu omah kuwi isih kosong, emosine njeblug. amarahe ndadekake dheweke ngajurake omah kuwi lan nggawa sawetara bagean omah dadi bukti yen dheweke pancen wis menyang kono."
Kisah Raja Bunu,Nusa Tenggara Barat,8,"seandainya paninting tarung mau bersabar, mungkin kami bisa menyembuhkan raja bunu, keluh nyai jaya penuh penyesalan. bahkan jika beliau sudah meninggal, kami sebenarnya memiliki kemampuan untuk menghidupkannya kembali. namun sekarang, tanpa peralatan kami, semua itu tidak mungkin.","sawise sawetara wektu, mangku amat lan nyai jaya bali menyang omahe lan ndelok yen omahe wis ajur. piranti pengobatane uga ilang kabeh. keloroe sedhih banget, utamane merga raja bunu wis tilar donya sadurunge isa ditulungi."
Kisah Raja Bunu,Nusa Tenggara Barat,9,"kehancuran rumah mangku amat dan nyai jaya menjadi simbol penyesalan yang mendalam. nasi telah menjadi bubur, dan sesuatu yang telah terjadi tidak mungkin diulang kembali.","âyen wae paninting tarung gelem sabar, mbokmenawa kita isa nyembuhke raja bunu,â celathu nyai jaya karo ati getun."
Kisah Raja Bunu,Nusa Tenggara Barat,10,"kisah ini memberikan pelajaran penting tentang pentingnya kesabaran, ketenangan, dan sikap bijaksana dalam menghadapi situasi sulit. tindakan terburu-buru dan emosi yang tidak terkendali dapat membawa akibat yang tidak diinginkan, bahkan kehilangan yang tidak bisa diperbaiki.","âsanajan wis seda, sakjane kita isa nguripkake maneh. tapi saiki, tanpa piranti-piranti kuwi, kuwi ora isa ditindakake.â"
