judul,provinsi,id_teks,teks,referensi
Kisah Raja Jayabaya,Jawa Timur,1,"prabu jayabaya adalah raja kediri yang memerintah pada periode 1135â1159 masehi. ia dikenal tidak hanya sebagai raja yang membawa kediri mencapai puncak kejayaan, tetapi juga karena kesaktiannya yang legendaris hingga mampu meramal masa depan. ramalan-ramalannya, yang dikenal sebagai jangka jayabaya, diyakini telah terbukti dalam berbagai peristiwa sejarah.","prabu jayabaya yaiku raja kediri sing marentah ing jaman taun 1135 nganti 1159 masehi. dheweke dikenal ora mung minangka raja sing nggawa kediri tekan pucake kejayaan, nanging uga amarga kasaktiane sing legendaris nganti bisa ndeleng masa depan. ramalan-ramalane, sing dikenal minangka jangka jayabaya, diyakini wis kabukten ing akeh prastawa sajarah."
Kisah Raja Jayabaya,Jawa Timur,2,"ketika naik takhta, prabu jayabaya dianugerahi gelar panjang: sri maharaja sang mapanji jayabhaya sri warmeswara madhusudana awataranindita suhtrisingha parakrama uttunggadewa. di bawah pemerintahannya, kediri menjadi kerajaan yang disegani di nusantara, mencapai masa keemasan dalam berbagai aspek, termasuk politik, ekonomi, dan budaya.","nalika munggah tahta, prabu jayabaya diparingi gelar dawa: sri maharaja sang mapanji jayabhaya sri warmeswara madhusudana awataranindita suhtrisingha parakrama uttunggadewa. ing sangisoring pamarentahane, kediri dadi karajan sing disegani ing nusantara, tekan masa kejayaan ing akeh bidang, kalebu politik, ekonomi, lan kabudayan."
Kisah Raja Jayabaya,Jawa Timur,3,ramalan prabu jayabaya telah menjadi bagian dari cerita rakyat dan kepercayaan masyarakat jawa hingga kini. berikut beberapa ramalannya yang terkenal:,ramalan prabu jayabaya wis dadi bagean saka crita rakyat lan kapracayane masyarakat jawa nganti saiki. iki sawatara ramalane sing kondhang:
Kisah Raja Jayabaya,Jawa Timur,4,pulau jawa berkalung besi,pulo jawa berkalung wesi
Kisah Raja Jayabaya,Jawa Timur,5,ramalan ini sering diinterpretasikan sebagai kehadiran jaringan kereta api yang rel-rel besinya mengelilingi pulau jawa.,ramalan iki kerep diartekake minangka anane jaringan sepur sing rel-rel besine ngubengi pulo jawa.
Kisah Raja Jayabaya,Jawa Timur,6,kedatangan pria berkulit putih,tekane lanang kulit putih
Kisah Raja Jayabaya,Jawa Timur,7,"prabu jayabaya meramalkan bahwa jawa akan didatangi oleh pria-pria berkulit putih yang menduduki pulau ini dalam waktu lama. ramalan ini sering dikaitkan dengan penjajahan belanda yang dimulai pada tahun 1595, sekitar 400 tahun setelah masa pemerintahannya.","prabu jayabaya ngaramal yen jawa bakal didatangi wong-wong kulit putih sing bakal nguwasani pulo iki suwe. ramalan iki kerep dikaitke karo penjajahan walanda sing diwiwiti ing taun 1595, kurang luwih 400 taun sawise masa pamarentahane."
Kisah Raja Jayabaya,Jawa Timur,8,kehadiran orang-orang berkulit kuning dari utara,tekane wong-wong kulit kuning saka lor
Kisah Raja Jayabaya,Jawa Timur,9,jayabaya juga memprediksi datangnya orang-orang berkulit kuning yang akan menandai akhir dari kekuasaan kulit putih di nusantara. hal ini dihubungkan dengan invasi jepang ke indonesia pada perang dunia ii.,jayabaya uga menehi ramalan anane wong kulit kuning saka arah lor sing bakal nyirnake kuwasa kulit putih ing nusantara. iki digandhengke karo invasi jepang ing indonesia nalika perang donya ii.
Kisah Raja Jayabaya,Jawa Timur,10,"salah satu ramalan jayabaya yang hingga kini belum terwujud, tetapi tetap diyakini, adalah tentang kedatangan ratu adil. sosok ini digambarkan sebagai pemimpin yang membawa keadilan, kemakmuran, dan kemuliaan bagi nusantara. dalam mitologi jawa, ratu adil sering disebut sebagai satrio piningit, sosok tersembunyi yang akan muncul pada masa penuh penderitaan, di mana:","salah siji ramalan jayabaya sing nganti saiki durung kelakon, nanging isih dipercaya, yaiku bab rawuhe ratu adil. sosok iki digambarake minangka pemimpin sing bakal nggawa kaadilan, kamakmuran, lan kamulyan tumrap nusantara. ing mitologi jawa, ratu adil asring disebut satrio piningit, sosok sing ndhelik lan bakal muncul nalika jaman kebek penderitaan, nalika:"
Kisah Raja Jayabaya,Jawa Timur,11,gunung-gunung akan meletus.,gunung-gunung njeblug.
