judul,provinsi,id_teks,teks,referensi
La Tongko Tongko,Sulawesi Selatan,1,"pada zaman dahulu, hiduplah seorang pria bernama la tongko-tongko bersama ibunya di sebuah desa kecil. mereka hidup sederhana setelah sang ayah meninggal dunia. la tongko-tongko adalah pria yang polos dan bodoh, sehingga ibunya sering kewalahan menghadapi tingkahnya.","ing jaman mbiyen, ana sawijining wong lanang jenenge la tongko-tongko urip bareng karo ibune ing sawijining desa cilik. dheweke urip prasaja sawise bapake seda. la tongko-tongko kuwi wong sing polos lan bodho, nganti ibune kerep kewalahan ngadhepi tingkahe."
La Tongko Tongko,Sulawesi Selatan,2,"suatu hari, sepulang dari menyaksikan pesta pernikahan di desa, la tongko-tongko mengutarakan keinginannya kepada sang ibu.","siawijining dina, sawise bali saka nonton pesta manten ing desa, la tongko-tongko ngandharake kekarepane marang ibune."
La Tongko Tongko,Sulawesi Selatan,3,"ibu, rasanya aku ingin menikah. bagaimana caranya agar aku bisa menikah tanyanya penuh semangat.","bu, rasane aku pengin manten. kepiye carane supaya aku isa manten takone semangat."
La Tongko Tongko,Sulawesi Selatan,4,sang ibu yang keheranan mencoba menjelaskan.,ibune sing kaget nyoba nerangake.
La Tongko Tongko,Sulawesi Selatan,5,"menikah itu tidak mudah, anakku. kamu harus mencari gadis terlebih dahulu, lalu mintalah ia untuk menikah denganmu, jawab sang ibu dengan sabar.","manten kuwi ora gampang, nak. kowe kudu golek cah wadon dhisik, terus jalukana supaya gelem dadi bojomu, wangsul ibune kanthi sabar."
La Tongko Tongko,Sulawesi Selatan,6,"dengan polosnya, la tongko-tongko berkeliling desa mencari gadis yang mau menjadi istrinya. di tengah perjalanan, ia bertemu seorang gadis yang sedang membawa kentang.","karo polose, la tongko-tongko mubeng desa golek cah wadon sing gelem dadi bojone. ing tengah dalan, dheweke ketemu karo cah wadon sing nggawa kenthang."
La Tongko Tongko,Sulawesi Selatan,7,"hai, gadis pembawa kentang. aku ingin menikah. apakah kau mau menjadi istriku tanyanya langsung.","hai, cah wadon nggawa kenthang. aku pengin manten. opo kowe gelem dadi bojoku takone langsung."
La Tongko Tongko,Sulawesi Selatan,8,"sontak, gadis itu marah besar, mengira dirinya sedang diejek. ia pun melemparkan kentang ke wajah la tongko-tongko, yang langsung berlari pulang dan mengadu kepada ibunya.","seketika, cah wadon kuwi nesu banget, ngira yen dheweke didadekake guyonan. dheweke banjur mbalang kenthange menyang rai la tongko-tongko, sing langsung mlayu mulih lan ngadu marang ibune."
La Tongko Tongko,Sulawesi Selatan,9,"ibu, aku meminta seorang gadis menjadi istriku, tapi dia malah melempariku kentang. apa salahku tanya la tongko-tongko dengan kebingungan.","bu, aku njaluk cah wadon dadi bojoku, nanging dheweke malah mbalang aku nganggo kenthang. salahku apa, bu takone karo bingung."
La Tongko Tongko,Sulawesi Selatan,10,sang ibu hanya bisa menggelengkan kepala.,ibune mung isa geleng-geleng sirah.
La Tongko Tongko,Sulawesi Selatan,11,"kamu bodoh sekali, nak. tentu saja kamu tidak bisa sembarangan meminta gadis untuk menikah. kamu harus saling mencintai terlebih dahulu, jelas ibunya.","kowe kuwi bodho banget, nak. mesthi wae kowe ora isa sembarangan njaluk cah wadon dadi bojomu. kowe kudu padha-padha tresna dhisik, jelas ibune."
La Tongko Tongko,Sulawesi Selatan,12,"la tongko-tongko kembali berkeliling desa untuk mencari cinta, meski ia tak paham apa itu cinta. di perjalanan, ia bertemu seorang gadis cantik yang sedang membawa kayu bakar.","la tongko-tongko bali maneh mubeng desa kanggo golek katresnan, senadyan dheweke ora paham apa kuwi tresna. ing dalan, dheweke ketemu karo cah ayu sing nggawa kayu bakar."
La Tongko Tongko,Sulawesi Selatan,13,bolehkah aku membantumu membawa kayu itu tanyanya.,opo aku isa mbantu nggawakake kayu kuwi takone.
La Tongko Tongko,Sulawesi Selatan,14,"tidak perlu, aku bisa membawanya sendiri, jawab gadis itu.","ora usah, aku isa nggawa dhewe, wangsul cah wadon kuwi."
La Tongko Tongko,Sulawesi Selatan,15,"la tongko-tongko langsung berkata, kalau begitu, maukah kau mencintaiku karena aku mencintaimu.","la tongko-tongko langsung ngomong, yen ngono, apa kowe gelem tresna karo aku amarga aku tresna karo kowe."
La Tongko Tongko,Sulawesi Selatan,16,sang gadis terkejut mendengar pengakuan cinta dari seseorang yang bahkan belum dikenalnya.,cah wadon kuwi kaget krungu pangakuan tresna saka wong sing durung dikenal.
La Tongko Tongko,Sulawesi Selatan,17,"kalau kau mencintaiku, menikahlah denganku, lanjut la tongko-tongko.","yen kowe tresna karo aku, ayo manten karo aku, lanjut la tongko-tongko."
La Tongko Tongko,Sulawesi Selatan,18,"merasa kesal, gadis itu melemparkan kayu bakarnya ke arah la tongko-tongko.","amarga nesu, cah wadon kuwi mbalang kayu bakare menyang la tongko-tongko."
La Tongko Tongko,Sulawesi Selatan,19,dasar pria gila berani-beraninya bicara tak masuk akal bentaknya.,dasar wong edan kewane wani-wanine ngomong ora masuk akal bentake.
La Tongko Tongko,Sulawesi Selatan,20,"dengan raut wajah bingung, la tongko-tongko kembali pulang dan mengadu kepada ibunya.","karo rai bingung, la tongko-tongko bali mulih lan ngadu marang ibune."
La Tongko Tongko,Sulawesi Selatan,21,"ibu, aku menyatakan cinta seperti yang ibu katakan, tapi gadis itu malah melempariku kayu bakar. apa yang salah kali ini tanyanya.","bu, aku ngakoni tresna kaya sing ibu kandhakake, nanging cah kuwi malah mbalang aku nganggo kayu bakar. salahku apa maneh saiki takone."
La Tongko Tongko,Sulawesi Selatan,22,sang ibu semakin tak habis pikir dengan kebodohan anaknya.,ibune saya ora ngerti kudu ngapa maneh karo kebodhoane anake.
La Tongko Tongko,Sulawesi Selatan,23,"anakku, cinta itu tidak bisa datang begitu saja. kamu harus benar-benar merasakan cinta, lalu menyatakannya dengan baik dan lembut kepada seseorang yang kamu cintai, jelasnya.","nak, tresna kuwi ora bisa teka ngono wae. kowe kudu tenanan ngerasakake tresna, terus ngakoni kanthi apik lan alus marang wong sing kowe tresnani, jelase."
La Tongko Tongko,Sulawesi Selatan,24,"keesokan harinya, la tongko-tongko kembali berjalan tanpa arah, memikirkan ucapan ibunya. hingga tanpa sadar, ia masuk ke dalam hutan. di sana, ia menemukan seorang gadis yang terbaring di bawah pohon. tanpa mengetahui bahwa gadis itu telah meninggal, ia mendekatinya.","esuke, la tongko-tongko bali mlaku tanpa arah, mikir omongan ibune. nganthi ora keroso, dheweke mlebu alas. ing kono, dheweke nemu cah wadon sing nggeblak ing ngisor wit. tanpa ngerti yen cah kuwi wis mati, dheweke nyedhaki."
La Tongko Tongko,Sulawesi Selatan,25,"hai, gadis cantik. aku sangat mencintaimu. apakah kau mencintaiku juga tanyanya.","hai, cah ayu. aku banget tresna karo kowe. apa kowe tresna karo aku uga takone."
La Tongko Tongko,Sulawesi Selatan,26,"tentu saja, gadis itu tak menjawab. la tongko-tongko berpikir bahwa gadis itu membutuhkan waktu untuk menjawab.","mesthine, cah kuwi ora njawab. la tongko-tongko mikir yen cah kuwi butuh wektu kanggo njawab."
La Tongko Tongko,Sulawesi Selatan,27,"kalau kau tidak menjawab, berarti kau setuju menikah denganku, katanya dengan yakin.","yen kowe ora njawab, tegese kowe setuju manten karo aku, kandhane karo yakin."
La Tongko Tongko,Sulawesi Selatan,28,"ia kemudian menggendong gadis itu pulang ke rumahnya, penuh rasa bahagia karena merasa telah menemukan calon istri.","dheweke banjur nggendong cah wadon kuwi mulih menyang omahe, kebak rasa seneng amarga rumangsa wis nemu calon bojone."
La Tongko Tongko,Sulawesi Selatan,29,"ibu, aku telah menemukan istri yang sangat cantik serunya dengan gembira.","bu, aku wis nemu bojo sing ayu banget ujare karo bungah."
La Tongko Tongko,Sulawesi Selatan,30,sang ibu segera masuk ke kamar dan terkejut mendapati mayat seorang gadis.,ibune langsung mlebu kamar lan kaget ndelok mayite cah wadon.
La Tongko Tongko,Sulawesi Selatan,31,tongko kenapa kau membawa mayat ke rumah ini apa yang kau pikirkan teriaknya.,tongko ngapa kok kowe nggawa mayit menyang omah iki opo sing ana ing pikiranmu bengoke.
La Tongko Tongko,Sulawesi Selatan,32,"mayat ibu salah. gadis ini hanya pemalu. dia tak menjawab pertanyaanku, jadi aku menganggap dia setuju menikah denganku, jawab la tongko-tongko polos.","mayit bu salah. cah iki mung isin. dheweke ora njawab takonku, mula aku nganggep dheweke setuju manten karo aku, wangsule la tongko-tongko karo polos."
La Tongko Tongko,Sulawesi Selatan,33,kamu tidak mencium bau busuk dari tubuhnya dia sudah meninggal cepat kuburkan dia sekarang bentak ibunya.,kowe ora nyium ambu bosok saka awake dheweke kuwi wis mati cepet kubur dheweke saiki uga bentake ibune.
La Tongko Tongko,Sulawesi Selatan,34,"dengan berat hati, la tongko-tongko menggali kuburan di belakang rumah dan menguburkan gadis itu. namun, sebelum tidur, ia buang angin, dan baunya sangat busuk. mendadak, ia teringat ucapan ibunya bahwa orang meninggal menimbulkan bau busuk.","karo ati abot, la tongko-tongko nggali kuburan ing mburi omah lan ngubur cah wadon kuwi. nanging, sakdurunge turu, dheweke kentut, lan ambune banget bosok. dumadakan, dheweke kelingan omongan ibune yen wong mati nimbulake ambu bosok."
La Tongko Tongko,Sulawesi Selatan,35,"la tongko-tongko berpikir bahwa dirinya telah meninggal. ia menggali lubang di samping makam gadis itu, lalu menguburkan tubuhnya sendiri dengan hanya menyisakan kepala di permukaan.","la tongko-tongko mikir yen dheweke wis mati. dheweke nggali bolongan ing sacedhaking kuburan cah kuwi, terus ngubur awake dhewe karo mung nyisakke sirah ing dhuwur lemah."
La Tongko Tongko,Sulawesi Selatan,36,"ketika sang ibu melihat hal ini, ia benar-benar marah.","nalika ibune weruh kuwi, dheweke tenan-tenan nesu."
La Tongko Tongko,Sulawesi Selatan,37,"tongko, apa yang kau lakukan kenapa kau mengubur tubuhmu sendiri tanyanya.","tongko, ngapa kowe ngubur awakmu dhewe takone."
La Tongko Tongko,Sulawesi Selatan,38,"ibu, aku sudah meninggal. tadi aku buang angin, dan baunya busuk. ibu bilang itu tanda orang mati, jawab la tongko-tongko.","bu, aku wis mati. mau aku kentut, lan ambune bosok. bu kandha kuwi tandha wong mati, wangsule la tongko-tongko."
La Tongko Tongko,Sulawesi Selatan,39,sang ibu ternganga mendengar ucapan anaknya. ia tak tahu harus berkata apa lagi.,ibune mung mlongo krungu omongan anake. dheweke ora ngerti kudu ngomong apa maneh.
La Tongko Tongko,Sulawesi Selatan,40,"terserah kau mau berbuat apa, ucapnya kesal, lalu meninggalkan la tongko-tongko di sana.","sak karepmu wae, karepmu gelem ngapa, ujare nesu, terus ninggalake la tongko-tongko ing kono."
La Tongko Tongko,Sulawesi Selatan,41,"setelah beberapa jam terkubur, la tongko-tongko merasa bosan.","sawise sawetara jam dikubur, la tongko-tongko ngrasakake bosen."
La Tongko Tongko,Sulawesi Selatan,42,"ternyata jadi orang mati tidak menyenangkan. aku ingin hidup lagi, katanya.","ternyata dadi wong mati ora nyenengkake. aku pengin urip maneh, kandhane."
La Tongko Tongko,Sulawesi Selatan,43,"ia pun keluar dari tanah dan pulang ke rumah, tubuhnya penuh dengan tanah. sang ibu hanya bisa geleng-geleng kepala melihatnya.","dheweke banjur metu saka lemah lan mulih menyang omah, awake kebak lemah. ibune mung isa geleng-geleng ndelok."
La Tongko Tongko,Sulawesi Selatan,44,kenapa kau kembali bukankah kau sudah mati tanyanya kesal.,ngapa kok kowe bali lak kowe wis mati takone nesu.
La Tongko Tongko,Sulawesi Selatan,45,"aku bosan mati, bu. lagipula tubuhku sudah tak bau lagi. itu artinya aku hidup kembali, jawab la tongko-tongko dengan polosnya.","aku bosen mati, bu. maneh awakku saiki wis ora ambu maneh. kuwi tandha yen aku urip maneh, wangsule la tongko-tongko kanthi polos."
