judul,provinsi,id_teks,teks,referensi
Labang Donya,Aceh,1,"pada zaman dahulu kala, terdapat sebuah kerajaan yang diperintah oleh seorang raja. raja tersebut memiliki seorang putra mahkota yang bernama labang donya. sejak kecil, ia dilatih ilmu perang, ilmu silat, cara memacu kuda, dan sebagainya. memang demikianlah tradisi pada waktu itu. semakin hari, semakin dewasalah labang donya, yang merupakan putra mahkota kesayangan raja.","ing jaman mbiyen, ana sawijining karajan kang dipimpin dening raja. raja kuwi nduwe putra mahkota jenenge labang donya. wiwit cilik, dheweke dilatih elmu perang, elmu silat, cara spur jaran, lan liya-liyane. ancen mangkono adhate wektu kuwi. saya dina, saya diwasa labang donya, kang dadi putra mahkota kesayangan raja."
Labang Donya,Aceh,2,"pada suatu malam, labang donya bermimpi seakan-akan air sungai tidak lagi mengalir ke muara, tetapi mengalir ke hulu. di dalam air yang mengalir itu, tampaklah setangkai bunga yang sedang menuju ke arah hulu sungai. kemudian, ia terbangun dan termenung sejenak. dalam hatinya terbayang, sudah 27 tahun umurnya, belum pernah aku bermimpi seaneh itu. apa gerangan makna mimpi tersebut demikianlah mimpi itu yang selalu menghantuinya, sehingga kadang-kadang muncul dalam pikirannya, apakah kerajaan ini akan diperangi oleh musuh, ataukah akan datang bahaya banjir yang sangat dahsyat","ing sawijining wengi, labang donya ngimpi koyo banyu kali ora mili maneh menyang muara, nanging mili munggah menyang hulu. ing banyu kang mili kuwi, katon setangkai kembang kang arep menyang arah hulu kali. banjur, dheweke tangi lan meneng sedhela. ing atine kebayang, wis umurku 27 taun, durung tau aku ngimpi aneh kaya ngono. apa ta maknane impen kuwi mangkono kuwi ngimpi kang tansah ngoyak-ngoyak pikirane, nganti sok-sok metu pikiran, apa karajan iki bakal diserang mungsuh, utawa bakal ana bebaya banjir kang gedhe banget"
Labang Donya,Aceh,3,"pada pagi harinya, ia tidur dengan lelap sampai pukul 10 pagi. hal itu tidak pernah terjadi selama hidupnya. ibunya merasa curiga, lalu disuruhnya dayang-dayang untuk membangunkannya. setelah bangun, ia pergi mandi ke sungai. kemudian, dayang-dayang datang mengantarkan nasi ke kamarnya. menjelang tengah hari, dayang-dayang memasuki kamar tempat labang donya untuk mengambil talam bekas nasi. alangkah kagetnya dayang-dayang itu, melihat nasi yang diantarnya tadi pagi tidak sedikit pun disentuhnya. lalu, hal itu diberitahukan kepada raja.","esuke, dheweke turu lelap nganti jam 10 esuk. kuwi durung tau kedadian sak uripe. ibune rumangsa curiga, banjur nyuruh para dayang kanggo nggegawake. sawise tangi, dheweke lunga adus menyang kali. banjur, para dayang teka nggawa sega menyang kamare. sakdurunge tengah dina, para dayang mlebu kamar panggonane labang donya kanggo njupuk talam sesa sega. betapa kagete para dayang, weruh yen sega kang digawane esuk mau ora disenggol babar pisan. banjur, kuwi kabarno marang raja."
Labang Donya,Aceh,4,"oleh permaisuri, raja diduga bahwa anaknya mungkin telah menginginkan jodoh, sehingga permaisuri melaporkan dan berkata kepada raja, mengapa daulat tuanku tidak memperdulikan tentang anak kita raja menjawab, aku selalu memperhatikannya. ilmu peperangan dan ilmu-ilmu yang lain sudah kuajarkan kepadanya. mendengar jawaban raja seperti itu, permaisuri menjelaskan apa yang dimaksudnya. lalu, ditegaskannya, apakah engkau tidak pernah memikirkan tentang jodoh anak itu bukankah dia sudah dewasa kalau itu maksudmu, tentu akan kita usahakan juga, jawab raja.","miturut permaisuri, raja diduga yen anake bisa wae kepengin nduwe jodho, mula permaisuri matur lan ngomong marang raja, kok daulat tuanku ora perduli marang anak kita raja njawab, aku tansah merhatekake. ãlmu peperangan lan elmu-elmu liyane wis tak ajarake marang dheweke. krungu jawaban raja kuwi, permaisuri nerangake apa sing dimaksud. banjur, ditekake, apa panjenengan ora tau mikir bab jodhone anak kuwi apa ora wis diwasa yen kuwi maksudmu, mesthi bakal kita upayakake uga, wangsulane raja."
Labang Donya,Aceh,5,"kemudian, raja memanggil seorang hakim yang cerdik dan bijaksana, lalu menyuruhnya mendatangi anaknya untuk menanyakan apa sebenarnya yang diinginkan oleh anaknya. ketika ditanya oleh hakim, labang donya menjawab, kegelisahanku bukanlah karena aku ingin beristeri. rupanya ayah dan bundaku telah salah duga. mendengar jawaban itu, hakim bingung. hal itu dilaporkannya kepada raja.","banjur, raja nyeluk sawijining hakim kang cerdhas lan wicaksana, banjur nyuruh ngadhep anake kanggo takon apa sejatine kang dikarepake anake. wektu ditakoni dening hakim, labang donya njawab, kekuwatiranku dudu merga aku kepengin omah-omah. katone rama lan ibuku wis salah kira. krungu jawaban kuwi, hakim bingung. kuwa kabarno marang raja."
Labang Donya,Aceh,6,"secara diam-diam, labang donya pergi ke rumah salah seorang nujum untuk menanyakan ihwal mimpinya itu. lalu, ahli nujum itu pun menjelaskan maksud impian tersebut. katanya, ya daulat tuanku, nun jauh di sana ada seorang puteri raja yang selalu menunggu daulat tuanku untuk menyuntingnya. namun saya tidak begitu mengetahui di mana tempatnya. yang jelas, negeri itu sekarang sudah hancur lebur. rakyatnya tidak ada lagi selain seorang puteri raja yang cantik jelita.","meneng-meneng, labang donya lunga menyang omahe sawijining nujum kanggo takon bab impene. banjur, ahli nujum kuwi nerangake makna impen kuwi. dheweke ngomong, ya daulat tuanku, ana ing panggonan kang adoh ana sawijining putri raja kang tansah ngenteni daulat tuanku kanggo nyunting dheweke. nanging aku ora pati ngerti ngendi panggonane. sing cetha, negeri kuwi saiki wis rusak remuk. rakyate ora ana maneh kejaba putri raja kang ayu rupawan."
Labang Donya,Aceh,7,"kemudian, labang donya pun pergi menjumpai hakim tadi, lalu berkata, saya ingin merantau ke negeri lain untuk mencari pengalaman yang paling berguna bagi saya nanti. setelah hakim mendengar keinginan labang donya, ia melaporkan hal itu kepada raja. setelah mendengar laporan hakim, raja berkata, saya sudah tahu tujuan kepergiannya. dia akan menuju ke suatu negeri. negeri itu sangat berbahaya, sebab terlebih dahulu dia harus sanggup menumbangkan tujuh batang pohon kayu besar yang telah berhantu. barulah dia sanggup mengarungi negeri itu.","banjur, labang donya banjur ngadhep maneh marang hakim kuwi, banjur ngomong, aku kepengin ngumbara menyang negeri liya kanggo nggoleki pengalaman kang paling migunani kanggo aku mengko. sawise hakim krungu kekarepan labang donya, kuwi kabarno marang raja. sawise krungu kabar saka hakim, raja ngomong, aku wis ngerti tujuwan mangkate. dheweke bakal menyang sawijining negeri. negeri kuwi banget mbebayani, sebab dheweke kudu bisa tumbangake pitung wit gedhe kang wis dihuni hantu dhisik. bar mungguh bisa mlebu negeri kuwi."
Labang Donya,Aceh,8,"kemudian, hakim menyampaikan pesan raja itu kepada labang donya. namun, labang donya sudah mempunyai tekad yang bulat untuk menuju ke negeri yang dahsyat itu. ketujuh pohon yang dianggap berhantu itu berhasil ditumbangkan oleh labang donya. setelah itu, dia pun kembali ke rumah mengambil sebilah rencong dan sebilah parang. rencong dan parang lalu dikibaskan ke tangannya sehingga akhirnya tumbuhlah sebatang pohon cempaka di halaman istananya. kepada ibunya disampaikannya, bahwa jika pohon ini telah layu, berarti saya dalam keadaan bahaya. setelah itu, berangkatlah labang donya menuju hutan belantara tanpa ditemani oleh seorang pengawal pun.","banjur, hakim nyampekake pesen raja kuwi marang labang donya. nanging, labang donya wis nduweni tekad kang mantep kanggo menyang negeri kang sangar kuwi. pitung wit kang dianggep ana hantune kuwi bisa ditumbangake dening labang donya. sawise kuwi, dheweke bali menyang omah njupuk sebilah rencong lan sebilah parang. rencong lan parang banjur dikibasake menyang tanganne nganti metu wit cempaka ing pekarangan istana. marang ibune, dheweke ngomong, yen wit iki layu, artine aku lagi ana ing bebaya. sawise kuwi, labang donya mangkat menyang alas angker tanpa dikancani prajurit siji wae."
Labang Donya,Aceh,9,"setelah tiga bulan dalam perjalanan, berjumpalah ia dengan sebuah telaga. air telaga itu sangat jernih dan dilindungi oleh pohon-pohon yang amat rindang. di pinggir telaga itu terdapat sebuah batu tempat bersandar. lalu, ia bersandar di batu itu. sedang asyik bersandar, melompatlah seekor beruk dari pohon kayu itu. beruk itu bertanya kepada labang donya, siapakah anda, dari mana datangnya, dan mau ke mana tujuannya lalu dia menjawab, saya adalah anak seorang raja. nama saya labang donya. kemudian, beruk itu mengatakan lebih lanjut, selama saya bertapa di sini, belum pernah saya melihat orang yang berani mendekati tempat ini.","sawise telung wulan ing lelampahan, ketemuan karo sawijining telaga. banyu telaga kuwi bening banget lan dilindhungi wit-witan kang rimbun. ing pinggir telaga kuwi ana watu kanggo nyandhar. banjur, dheweke nyandhar ana watu kuwi. lagi asyik nyandhar, mlumpat sawijining beruk saka wit kuwi. beruk kuwi takon marang labang donya, sapa kowe, saka endi asalmu, lan arep menyang ngendi banjur dijawab, aku iki anake raja. jenengku labang donya. banjur, beruk kuwi nerangake maneh, wiwit aku tapa ing kene, durung tau ana wong wani nyedhak panggonan iki."
Labang Donya,Aceh,10,"akhirnya, setelah bertengkar dengan beruk itu, terjadilah perkelahian yang sengit. setelah labang donya agak kewalahan, ia mencabut pedangnya. beruk itu dicoba dicincang oleh labang donya, namun tidak sedikit pun tubuh beruk itu dapat dilukainya. setelah empat hari lamanya, labang donya mencoba untuk memusnahkan beruk itu, tetapi ternyata tidak berhasil. maka, pada hari kelima, berdoalah ia kepada tuhan, ya tuhanku, berkat doa orang tuaku, berilah kekuatan kepadaku untuk dapat mengalahkan beruk itu. aku sangat malu jika tidak sanggup mengalahkan beruk tapa itu.","akhire, sawise cekcok karo beruk kuwi, kedadian perkelahian sengit. sawise labang donya rada kewalahan, dheweke nyabut pedange. beruk kuwi dicoba disabet dening labang donya, nanging ora ana bagean badane kang bisa dilukai. sawise patang dina, labang donya nyoba nyirnakake beruk kuwi, nanging tetep ora kasil. mula, dina kaping lima, dheweke ndedonga marang gusti allah, ya gusti, merga donga tiyang sepuhku, paringana aku kekuwatan supaya bisa ngalahake beruk tapa kuwi. aku isin banget yen ora bisa ngalahake beruk kuwi."
