judul,provinsi,id_teks,teks,referensi
Landorundun,Sulawesi Selatan,1,"landorundun, seorang putri bangsawan toraja, dikenal sebagai wanita yang luar biasa cantik dengan rambut panjang dan indah yang menjadi simbol kecantikannya. ia tinggal di daerah gunung sesean, toraja, sulawesi selatan. kisah hidupnya penuh dengan keajaiban dan keunikan yang masih dikenang hingga kini.","landorundun, sawijining putri bangsawan toraja, dikenal minangka wanita sing luar biasa ayu karo rambute sing dawa lan endah sing dadi simbol kaendahane. dheweke manggon ing wilayah gunung sesean, toraja, sulawesi selatan. crita uripe kebak kaajaiban lan kaunikan sing isih kelingan nganti saiki."
Landorundun,Sulawesi Selatan,2,"saat landorundun dilahirkan, terjadi sebuah keanehan. bayi yang diharapkan tidak muncul, melainkan sebuah batang pakis yang dililit rambut panjang dan tebal. ayah landorundun yang kebingungan segera memanggil tetua adat untuk melakukan ritual doa. setelah ritual selesai, terdengar suara tangisan bayi dari dalam lilitan rambut tersebut, dan lahirlah landorundun.","nalika landorundun lair, kelakon sawijining kaanan aneh. bayi sing diarep-arep ora muncul, nanging sawijining batang pakis sing dililit rambute sing dawa lan kandel. rama landorundun sing bingung langsung ngundang tetua adat kanggo nindakake ritual doa. sawise ritual rampung, krungu swara tangis bayi saka njero lilitan rambut mau, lan lairlah landorundun."
Landorundun,Sulawesi Selatan,3,"seiring berjalannya waktu, landorundun tumbuh menjadi seorang gadis yang sangat cantik, disebut sebagai yang tercantik di toraja. rambutnya yang luar biasa panjang mencapai panjang sangpulo pitu da pana talluratu dangkananna dalam bahasa toraja, atau sekitar 255 meter.","saben wektu lumaku, landorundun tuwuh dadi sawijining gadis sing ayu banget, diarani sing paling ayu ing toraja. rambute sing luar biasa dawa nganti tekan sangpulo pitu da pana talluratu dangkananna nganggo basa toraja, utawa watara 255 meter."
Landorundun,Sulawesi Selatan,4,"setiap pagi, landorundun mencuci rambutnya di sebuah sumur yang terletak di dekat sungai tangnga, ditemani oleh beberapa dayang. suatu hari, sehelai rambutnya terputus dan sengaja dimasukkan ke dalam kulit jeruk, lalu dibuang ke sungai. kulit jeruk berisi rambut itu terbawa arus hingga masuk ke sungai saâdan dan melintasi wilayah sulawesi selatan.","saben esuk, landorundun ngumbah rambute ing sawijining sumur sing ana cedhak kali tangnga, ditemani dening sawetara dayang. ing sawijining dina, sakhelai rambute kelangan lan disengaja dilebokake ing kulit jeruk, banjur dibuwang menyang kali. kulit jeruk isi rambut mau kabawa arus nganti mlebu kali saâdan lan nyebrang wilayah sulawesi selatan."
Landorundun,Sulawesi Selatan,5,"beberapa waktu kemudian, kulit jeruk tersebut sampai di sungai bone, di wilayah kekuasaan kerajaan bone. saat itu, datu bendurana, putra mahkota kerajaan bone, sedang mandi di sungai bersama para pengawalnya. ia melihat sebuah pusaran air aneh di sekitar kulit jeruk itu. karena penasaran, ia memerintahkan para pengawalnya untuk mengambil kulit jeruk tersebut. namun, setiap pengawal yang mencoba mengambilnya malah keluar dari sungai dalam kondisi cacatâada yang buta, ada pula yang lumpuh.","sawise sawetara wektu, kulit jeruk mau tekan kali bone, ing wilayah kekuasaan karajan bone. wektu kuwi, datu bendurana, putra mahkota karajan bone, lagi adus ing kali bareng para pengawale. dheweke weruh pusaran banyu aneh ing sakiwa-tengene kulit jeruk mau. amarga penasaran, dheweke mrentah para pengawal kanggo njupuk kulit jeruk kuwi. nanging, saben pengawal sing nyoba njupuk malah metu saka kali kanthi kahanan cacatâana sing wuta, ana uga sing lumpuh."
Landorundun,Sulawesi Selatan,6,"akhirnya, datu bendurana sendiri yang turun ke sungai dan berhasil mengambil kulit jeruk itu. ketika dibuka, ia menemukan sehelai rambut yang panjang, indah, dan luar biasa. ia yakin bahwa pemilik rambut ini adalah sosok yang sangat istimewa.","akhire, datu bendurana dhewe sing mudhun menyang kali lan bisa njupuk kulit jeruk kuwi. nalika dibukak, dheweke nemu sakhelai rambut sing dawa, endah, lan luar biasa. dheweke yakin yen sing nduweni rambut iki kuwi sosok sing istimewa banget."
Landorundun,Sulawesi Selatan,7,"datu bendurana, penuh rasa penasaran, memutuskan untuk mencari pemilik rambut tersebut. ia berlayar menyusuri sungai bersama para pengawalnya hingga tiba di daerah malangngoâ, toraja. kapalnya kandas, sehingga perjalanan dilanjutkan dengan berjalan kaki menuju gunung sesean.","datu bendurana, kebak rasa penasaran, mutusake kanggo nggoleki sing nduweni rambut kuwi. dheweke mangkat ngeliwati kali bareng para pengawale nganti tekan wilayah malangngoâ, toraja. kapale kandas, mula lelampahan diterusake nganggo mlaku sikil menyang gunung sesean."
Landorundun,Sulawesi Selatan,8,"dalam perjalanan, iringan burung-burung mengelilinginya sambil bersuara aneh, seolah-olah berkata âkukitaâ yang berarti âsaya lihatâ dalam bahasa toraja. akhirnya, ia sampai di desa tempat tinggal landorundun.","sajeroning perjalanan, rombongane dikepungi manuk-manuk sing muni aneh, kaya-kaya kandha âkukitaâ sing tegese âaku ndelokâ ing basa toraja. akhire, dheweke tekan desa panggonane landorundun."
Landorundun,Sulawesi Selatan,9,"saat bertemu landorundun, datu bendurana terpesona oleh kecantikan putri itu dan melamarnya. lamaran tersebut diterima oleh keluarga landorundun setelah melalui berbagai tahapan upacara adat. mereka juga membuat perjanjian (disebut basse), di mana jika salah satu wilayah diserang musuh, masyarakat toraja dan kerajaan bone wajib saling membantu.","nalika ketemu landorundun, datu bendurana kesengsem karo kaendahan putri kuwi lan nglamar. lamaran kuwi ditampa dening kulawargane landorundun sawise liwat macem-macem tahapan upacara adat. wong-wong uga gawe perjanjian (disebut basse), yen ana salah siji wilayah diserang mungsuh, masyarakat toraja lan karajan bone wajib tulung-tinulung."
Landorundun,Sulawesi Selatan,10,"setelah menikah, landorundun mengikuti datu bendurana ke kerajaan bone dan menjadi bagian dari kerajaan tersebut. dari pernikahan mereka, lahirlah keturunan yang kemudian melanjutkan pemerintahan di kerajaan bone.","sawise nikah, landorundun ngetutke datu bendurana menyang karajan bone lan dadi bagean saka karajan kuwi. saka rabine, lair keturunan sing banjur nerusake pamarentahan ing karajan bone."
