judul,provinsi,id_teks,teks,referensi
Legenda Batu Badaong,Aceh,1,"pada zaman dahulu, hiduplah sebuah keluarga kaya raya di sebuah desa kecil di daerah pulau tanimbar, maluku. keluarga ini terdiri atas seorang ayah, ibu, seorang anak sulung laki-laki, dan seorang anak bungsu perempuan. sang ayah sangat memanjakan kedua anaknya, selalu menuruti apa pun keinginan mereka. akibatnya, mereka tumbuh menjadi anak-anak yang sombong, manja, dan malas.","ing jaman mbiyen, urip sawijining kulawarga sing sugih banget ing sawijining desa cilik ing dhaerah pulo tanimbar, maluku. kulawarga iki kasusun saka sawijining bapak, ibu, anak lanang sulung, lan anak wadon bungsu. bapak kuwi ngangen-angen banget marang loro anake, tansah netepi apa wae karepe. akibate, anak-anak kuwi dadi sumbung, manja, lan males."
Legenda Batu Badaong,Aceh,2,"di rumah mereka, ada banyak pelayan yang siap sedia mengerjakan semua pekerjaan rumah tangga. namun, nasib buruk menghampiri keluarga ini. suatu hari, ketika sang ayah pergi berdagang, ia hilang terbawa arus ombak laut.","ing omahe, ana akeh pelayan sing tansah siyap nggarap kabeh pakaryan omah tangga. nanging, apes nimpani kulawarga iki. ing sawijining dina, wektu bapak lunga dagang, dheweke ilang digawa arus ombak laut."
Legenda Batu Badaong,Aceh,3,"sejak kepergian sang ayah, yang merupakan satu-satunya pencari nafkah, keluarga itu bergantung pada uang tabungan untuk bertahan hidup. namun, tabungan semakin menipis, hingga sang ibu harus memberhentikan semua pelayan dan menggantikan pekerjaan mereka, seperti memasak, mencuci, dan membersihkan rumah.","wiwine kelangan bapak, siji-sijine sing golek dhuwit, kulawarga kuwi gumantung marang dhuwit tabungan kanggo urip. nanging, tabungan saya entek, nganthi ibu kudu ngeculake kabeh pelayan lan ngganti pakaryane, kaya masak, nyuci, lan resik-resik omah."
Legenda Batu Badaong,Aceh,4,"uang tabungan habis lebih cepat karena kedua anaknya, si sulung dan si bungsu, terus menghamburkan uang tanpa peduli keadaan keluarga. sang ibu berulang kali meminta mereka untuk berhemat, namun nasihatnya tak pernah digubris.","dhuwit tabungan entek luwih cepet merga loro anake, si sulung lan si bungsu, terus ngentekake dhuwit tanpa peduli karo kahanane kulawarga. ibu bola-bali njaluk supaya padha irit, nanging pituture ora tau digatekake."
Legenda Batu Badaong,Aceh,5,"akhirnya, sang ibu menjual rumah besar mereka dan membeli sebuah gubuk kecil beralaskan tanah. malam-malamnya ia habiskan untuk merenung dan berdoa, memohon ampunan dan kekuatan kepada tuhan.","akhire, ibu adol omah gedhene lan tuku gubug cilik beralaskan lemah. bengi-bengi diisi karo renungan lan ndonga, njaluk pangapura lan kekuwatan marang gusti allah."
Legenda Batu Badaong,Aceh,6,"seandainya aku bekerja sejak dulu, mungkin hidup kami tak semiris ini. maafkan aku, suamiku, karena terlalu mengandalkanmu, ucapnya dalam hati.","âyen aku nyambut gawe saka mbiyen, mbok menawa uripku ora samiris iki. ngapura aku, bojoku, merga wis kakehan gumantung marang kowe,â atine ngucap."
Legenda Batu Badaong,Aceh,7,"namun, alih-alih berubah, sikap si sulung dan si bungsu semakin menyebalkan. mereka memperlakukan ibunya seperti pelayan. si bungsu kerap membentak hanya karena makanan yang tak sesuai selera, sementara si sulung memarahi ibunya karena rumah yang tampak kumuh. sang ibu hanya bisa bersabar meskipun hatinya sakit.","nanging, dudu malah owah, tumindake si sulung lan si bungsu saya nyebahi. dheweke nganggap ibu kaya pelayan. si bungsu kerep ngomon mung merga panganan ora cocog selera, dene si sulung misuh ibu merga omahe katon kumuh. ibu mung bisa sabar senajan atine lara."
Legenda Batu Badaong,Aceh,8,"setiap hari, sang ibu pergi ke hutan untuk mencari kayu bakar yang dijual di pasar. hasilnya hanya cukup untuk membeli bahan makanan sederhana. saat subuh tiba, ia sudah bangun, sementara si sulung dan si bungsu masih terlelap.","saben dina, ibu lunga menyang alas golek kayu bakar sing didol ing pasar. asile mung cukup kanggo tuku bahan pangan sederhana. nalika subuh teka, dheweke wis tangi, dene si sulung lan si bungsu isih turu."
Legenda Batu Badaong,Aceh,9,"pada suatu hari yang mendung, sang ibu langsung pergi mencuci pakaian ke sungai setelah menjual kayu bakar. ia tidak sempat menyiapkan makan siang, berharap kedua anaknya bisa memasak sendiri. namun, si bungsu mengamuk ketika mendapati meja makan kosong.","ing sawijining dina mendhung, ibu langsung lunga nyuci klambi menyang kali sawise adol kayu bakar. dheweke ora sempat masak awan, ngarep-arep loro anake isa masak dhewe. nanging, si bungsu ngamuk wektu nemokake meja mangan kosong."
Legenda Batu Badaong,Aceh,10,"kak, lihatlah ibu tidak menyiapkan makanan ke mana dia seharusnya dia memasak untuk kita seru si bungsu.","âkak, deloken ibu ora nyiapake panganan lunga nang endi dheweke sakmestine ya masak kanggo kitaâ seru si bungsu."
Legenda Batu Badaong,Aceh,11,"ia pasti di sungai mencuci baju. ayo kita ke sana, jawab si sulung.","âdheweke mesthi ana nang kali nyuci klambi. ayo menyang kono,â wangsule si sulung."
Legenda Batu Badaong,Aceh,12,"mereka pergi ke sungai dengan amarah. tanpa bertanya, si sulung menendang cucian ibunya hingga berserakan.","dheweke lunga menyang kali karo nesu. tanpa takon, si sulung ndhudhuk cucian ibune nganti pating slabrak."
Legenda Batu Badaong,Aceh,13,"kenapa kau berbuat seperti ini, nak tanya sang ibu terkejut.","ânapa kowe tumindak ngono, nakâ takon ibu kaget."
Legenda Batu Badaong,Aceh,14,"si bungsu tak kalah marah. ia memukul ibunya bertubi-tubi, sementara si sulung terus memaki.","si bungsu ora kalah nesu. dheweke mukuli ibune ping-ping, dene si sulung terus misuh."
Legenda Batu Badaong,Aceh,15,dasar wanita tak berguna sampai jam segini aku belum makan teriak si bungsu.,âdasar wong wadon ora ana gunane mangka wis jam segini aku durung manganâ celathu si bungsu.
Legenda Batu Badaong,Aceh,16,"seharusnya yang pergi itu kau, bukan ayah kau tidak berguna tambah si sulung.","âsakmestine sing lunga kuwi kowe, dudu bapak kowe ora ana gunaneâ tambahe si sulung."
Legenda Batu Badaong,Aceh,17,"sang ibu hanya bisa menangis. dengan tubuh yang kesakitan, ia tetap memasak untuk anak-anaknya.","ibu mung bisa nangis. karo awak lara, dheweke tetep masak kanggo anak-anake."
