judul,provinsi,id_teks,teks,referensi
Legenda Batu Menangis,Kalimantan Barat,1,"alkisah ada seorang petani yang tinggal sendirian di pulau sumba. ia rajin merawat kebunnya hingga sehat nan subur. betapa kagetnya petani saat suatu pagi menemukan kebun kesayangannya porak-poranda. setelah ditelusuri, ia menemukan jejak babi hutan meski rasanya tak mungkin karena kebun miliknya dikelilingi pagar yang tinggi. rasa penasaran dan kesal membuat petani memutuskan mengintai kebunnya untuk menangkap basah pelaku perusak. tak lupa ia membawa tombak sakti pemberian turun-temurun dari leluhur numbu ranggata. tanpa sang petani tahu, tombak ini bisa memecah langit menjadi petir yang akan menyerang lawan sang pemilik. namun di tangannya, tombak itu hanyalah sebilah senjata runcing biasa.","alkisah ana sawijining petani sing manggon dhewekan nang pulo sumba. dheweke sregep ngrumat kebone nganti sehat lan subur. nggih kagete petani wektu sawijining esuk nemokake kebon kesayangane awut-awutan. sawise ditlusuri, dheweke nemokake tilas babi alas sanajan rasane ora mungkin merga kebone kuwi dikubengi pager sing dhuwur. rasa penasaran lan nesu ndadekake petani mutusake ngintip kebone kanggo nyekel pelaku perusake. ora lali, dheweke nggawa tumbak sakti pemberian turun-temurun saka leluhur numbu ranggata. tanpa petani ngerti, tumbak iki isa mecah langit dadi kilat sing bakal nyerang mungsuhe sing nduweni. nanging nang tangane, tumbak kuwi mung senjata lancip biasa."
Legenda Batu Menangis,Kalimantan Barat,2,"hari semakin malam, setelah lama menunggu, akhirnya ia memergoki kawanan babi hutan yang menyerang kebunnya. benar saja, tak seperti babi hutan biasa yang akan putar balik saat melihat pagar, jenis satu ini malah melompati pagar dengan mudahnya. kaget sekaligus panik, petani langsung melempar tombak ke seekor babi hutan yang berjarak paling dekat dari tempat persembunyiannya hingga menancap di bagian perut sebelah kanan. babi hutan itu mengerang kesakitan dan kabur dengan begitu cepat, sekaligus membuat kawanannya kaget. petani merasa percuma mengejar babi hutan itu di malam hari, tapi ia harus mendapatkan tombaknya kembali agar tidak terkena kutukan leluhur.","bengi saya suwe, sawise suwe ngenteni, pungkasane dheweke ndelok rombongan babi alas sing nyerang kebone. bener wae, ora kaya babi alas biasa sing bakal mbalik arah wektu ndelok pager, jinis siji iki malah mlumpat pager kanthi gampang. kaget bareng panik, petani langsung mbalang tumbak menyang sawijining babi alas sing jarake paling cedhak saka panggonan pandomane nganti nancep nang bagian weteng sisih tengen. babi alas kuwi nggereng kesakitan lan mlayu kanthi cepet banget, bareng ndadekake kancane padha kaget. petani rumangsa percuma ngejar babi alas kuwi ing wayah bengi, nanging dheweke kudu entuk tumbake maneh supaya ora kena kutukan leluhur."
Legenda Batu Menangis,Kalimantan Barat,3,"saat matahari mulai terbit, petani segera mengikuti jejak kaki dan darah babi hutan yang kabur bersama tombak warisannya.","wektu srengenge wiwit metu, petani langsung ngetutake tilas sikil lan getih babi alas sing mlayu karo tumbak warisane."
Legenda Batu Menangis,Kalimantan Barat,4,ditolong siluman penyu,ditulung siluman penyu
Legenda Batu Menangis,Kalimantan Barat,5,"sang petani jauh-jauh mengikuti jejak si babi hutan hingga sampai ke tepi pantai. namun anehnya, jejak itu hilang begitu saja. pikirnya itu mustahil, karena berarti para babi hutan itu terbang atau berenang ke pulau seberang saat salah satu di antaranya luka berat. tapi tak ada tubuh babi tergeletak di sepanjang perjalanan sang petani menelusuri jejak. artinya, babi yang terluka itu pasti ikut menyeberang.","sang petani adoh-adoh ngetutake tilase babi alas nganti tekan pinggir pantai. nanging anehe, tilas kuwi ilang semono wae. pikirane kuwi mokal, merga tegese para babi alas kuwi mabur utawa nglangi menyang pulo sabrang wektu salah siji saka antarane loro-lorone tatu abot. nanging ora ana awak babi sing tiba nang sepanjang dalan sing dilakoni petani ngetutake tilas. tegese, babi sing tatu kuwi mesti melu nyebrang."
Legenda Batu Menangis,Kalimantan Barat,6,"masih termangu, tiba-tiba terdengar suara besar dari belakang petani menanyakan kenapa dia terlihat bingung. saat menengok, menganga lah mulut petani mengetahui yang berbicara adalah sosok siluman penyu setinggi tebing. sambil gemetar, ia pun menanyakan kepada siluman penyu mengenai komplotan babi hutan yang sedang dicarinya. untuk menjawab pertanyaannya, siluman penyu meminta petani naik ke atas punggungnya untuk menyeberang ke pulau lain. meski ragu, sang petani pun menurutinya. ternyata, rasa takutnya pada kutukan leluhur lebih besar daripada sekadar berinteraksi dengan siluman.","isih nglangut, dumadakan krungu swara gedhe saka mburine petani takon ngapa dheweke katon bingung. wektu ndeleng, mblalak cangkeme petani weruh yen sing ngomong kuwi wujud siluman penyu dhuwure kaya tebing. sambil gemeter, dheweke banjur takon marang siluman penyu ngenani rombongan babi alas sing lagi digoleki. kanggo njawab pitakone, siluman penyu njaluk petani munggah nang dhuwure gegere kanggo nyebrang menyang pulo liyane. sanajan ragu, sang petani banjur manut. jebul, rasa wedie marang kutukan leluhur luwih gedhe tinimbang mung sesambungan karo siluman."
Legenda Batu Menangis,Kalimantan Barat,7,"sesampainya di pulau seberang, siluman penyu mempersilakan petani turun dan menyelesaikan tujuannya. jika nanti memerlukan bantuan lagi untuk pulang, petani tinggal naik ke atas pohon kelapa dan memanggil siluman penyu sekencang-kencangnya, ia akan datang. maka berpisahlah mereka setelah petani mengucapkan terima kasih.","sasampune tekan pulo sabrang, siluman penyu ngidini petani mudhun lan ngrampungake tujuwane. yen mengko butuh bantuan maneh kanggo bali, petani mung kudu munggah menyang ndhuwur wit klapa lan nyeluk siluman penyu banter-banter, dheweke bakal teka. mulane pisahane wong loro sawise petani ngucap matur nuwun."
Legenda Batu Menangis,Kalimantan Barat,8,penyakit kepala desa,lara kepala desa
Legenda Batu Menangis,Kalimantan Barat,9,"tak tahu harus mulai dari mana, petani menuju ke satu-satunya pondok di pesisir pantai. di sana, ia bertemu dengan tuan rumah, seorang wanita tua yang tinggal sendirian. pikirnya, jika komplotan babi itu menyeberang dengan siluman penyu setiap malam, pasti nenek sempat melihat mereka sesekali. benar saja, nenek mengatakan jika babi hutan yang dikisahkan oleh sang petani memang berasal dari pulau tempat tinggalnya. namun, itu bukan babi hutan biasa melainkan sekelompok orang berilmu yang bisa berubah bentuk. mereka pergi ke pulau seberang untuk mencuri dan memperkaya diri. hingga kini, menjadi komplotan paling berkuasa di pulau itu. nenek memperingatkan bahwa mereka sungguh sakti, tak mungkin petani bisa mendapatkan numbu ranggata dengan mudah. tapi nenek bersedia mengajarkan beberapa jurus yang bisa membantu petani dalam perjalanannya.","ora ngerti kudu miwiti saka ngendi, petani tumuju menyang siji-sijine pondhok nang pesisir pantai. nang kana, dheweke ketemu karo sing nduwe omah, sawijining wong wadon tuwa sing manggon dhewekan. pikirane, yen rombongan babi kuwi nyebrang karo siluman penyu saben bengi, mesti mbok tuwa nate ndeleng wong-wong kuwi sak suwene. bener wae, mbok tuwa ngomong nek babi alas sing diceritakake dening sang petani pancen asale saka pulo panggonane manggon. nanging, kuwi dudu babi alas biasa nanging saklompok wong nduwe kawruh sing isa malih wujud. wong-wong kuwi lunga menyang pulo sabrang kanggo nyolong lan nglumpukake banda. saiki, wis dadi rombongan paling kuwasa ing pulo kuwi. mbok tuwa ngelingke nek wong-wong kuwi pancen sakti, ora mungkin petani isa entuk numbu ranggata kanthi gampang. nanging mbok tuwa gelem mulangake sawetara jurus sing isa mbantu petani nang perjalanane."
Legenda Batu Menangis,Kalimantan Barat,10,"ternyata, nenek adalah petarung sakti yang memilih untuk menyepi. dia merasa hari tuanya lebih berguna jika bisa mengajar bela diri pada murid pilihannya. beberapa hari berlalu hingga petani menguasai sedikit jurus nenek yang diturunkan padanya. sebelum melanjutkan perjalanan, nenek memberi ramuan ajaib buatannya dan petuah untuk meminta imbalan numbu ranggata dan batu sakral watu maladong pada babi hutan yang ia lukai. katanya, watu maladong lebih baik jika dimiliki orang jujur seperti petani.","jebul, mbok tuwa kuwi petarung sakti sing milih nyepi. dheweke rumangsa yuswa tuwa luwih migunani yen isa mulang bela diri marang murid pilihane. sawetara dina liwat nganti petani nguwasani sethithik jurus sing diwarisake dening mbok tuwa. sadurunge nerusake perjalanan, mbok tuwa maringi ramuan ajaib gaweane lan pitutur kanggo njaluk imbalan numbu ranggata lan watu sakral watu maladong marang babi alas sing wis dilukai. katone, watu maladong luwih apik yen diduweni wong jujur kaya petani."
