judul,provinsi,id_teks,teks,referensi
Legenda Batu Senuyung,Bangka Belitung,1,"dahulu kala, hiduplah seorang ibu dan anaknya yang tinggal di tepi sungai dengan air yang jernih. suatu hari, sang ibu memutuskan untuk menangkap ikan di sungai itu. namun, alih-alih menggunakan pancing atau jala, ia memilih menebar racun agar ikan-ikan di sungai cepat mati dan lebih mudah dikumpulkan.","mbiyen kala, urip ibu lan anake sing manggon ing pinggir kali karo banyu sing bening. sawijining dina, si ibu mutusake kanggo nyekel iwak ing kali kuwi. nanging, tinimbang nganggo pancing utawa jala, dheweke milih nyebar racun supaya iwak-iwak ing kali cepet mati lan luwih gampang diklumpukake."
Legenda Batu Senuyung,Bangka Belitung,2,"sebelum memulai pekerjaannya, ia meletakkan anaknya di atas sebuah batu besar di tepi sungai dan berpesan:","sakdurunge miwiti gaweane, dheweke ngelebokake anake ing ndhuwure watu gedhe ing pinggir kali lan pesen:"
Legenda Batu Senuyung,Bangka Belitung,3,"kau tunggu di sini ya, nak. jangan pergi ke mana-mana sampai ibu selesai, ucapnya.","kowe enteni ing kene ya, nak. aja lunga menyang ngendi-endi nganti ibu rampung, jarene."
Legenda Batu Senuyung,Bangka Belitung,4,"sang ibu lalu mulai memunguti ikan-ikan yang mengapung di permukaan air, baik yang besar maupun kecil. sementara itu, anaknya duduk diam memperhatikan. namun, sesuatu yang aneh mulai terjadi. batu tempat sang anak duduk perlahan mulai meninggi, seperti bergerak naik ke langit.","si ibu banjur mulai nglumpukake iwak-iwak sing ngambang ing lumahing banyu, gedhe cilik dijupuk kabeh. samentara kuwi, anake lungguh meneng wae nyawang. nanging, ana barang aneh sing mulai kelakon. watu panggonan anake lungguh alon-alon munggah dhuwur, kaya obah munggah menyang langit."
Legenda Batu Senuyung,Bangka Belitung,5,"melihat itu, sang anak menjadi panik dan berteriak memanggil ibunya:","weruh kuwi, anake dadi kaget lan mbengok ngundang ibune:"
Legenda Batu Senuyung,Bangka Belitung,6,bu. ibu. tolong aku serunya sambil melambaikan tangan.,bu. ibu. tulung aku jare karo ngelambai tangan.
Legenda Batu Senuyung,Bangka Belitung,7,"namun, sang ibu terlalu asyik mengumpulkan ikan di sungai dan tidak menyadari apa yang sedang terjadi. batu yang disebut batu senuyung itu semakin lama semakin tinggi, hingga anaknya hampir tidak terlihat dari bawah.","nanging, si ibu kakehan kesengsem nglumpukake iwak ing kali lan ora nyumurupi apa sing kedadean. watu sing dijenengi watu senuyung kuwi saya suwi saya dhuwur, nganti anake meh ora katon saka ngisor."
Legenda Batu Senuyung,Bangka Belitung,8,"ketika ikan-ikan di sungai mulai habis, barulah sang ibu menyadari keanehan. ia mendongak dan melihat anaknya sudah berada di puncak batu yang menjulang tinggi, seperti sebuah bukit. dengan rasa cemas, ia berteriak:","nalika iwak-iwak ing kali wiwit entek, bar kuwi si ibu krasa ana sing aneh. dheweke ndangak lan ndelok anake wis ana ing pucuk watu sing dhuwure kaya bukit. karo krasa was-was, dheweke mbengok:"
Legenda Batu Senuyung,Bangka Belitung,9,"apa yang terjadi padamu, nak bagaimana kau bisa berada di sana","apa sing kelakon karo kowe, nak kepiye kok kowe isa ana ing kono"
Legenda Batu Senuyung,Bangka Belitung,10,"sang ibu berusaha mencari pertolongan dengan berteriak-teriak, tetapi tidak ada seorang pun yang mendengarnya.","si ibu nyoba nggoleki pitulungan karo mbengok-bengok, nanging ora ana siji wae wong sing krungu."
Legenda Batu Senuyung,Bangka Belitung,11,"tak lama kemudian, seekor elang besar melintas di atas batu senuyung. sang ibu memohon kepada elang itu:","ora suwi sawise kuwi, ana manuk elang gedhe mabur liwat ndhuwure watu senuyung. si ibu nyuwun marang elang kuwi:"
Legenda Batu Senuyung,Bangka Belitung,12,"wahai elang yang baik, tolong bawakan anakku ke sini. akan kuberi hadiah apa pun yang kau mau","hei elang sing apikan, tulung jupukna anakku menyang kene. bakal tak wenehi hadiah apa wae sing kok karep"
Legenda Batu Senuyung,Bangka Belitung,13,"namun, elang itu tidak peduli. ia hanya berputar-putar di udara, lalu terbang menjauh, merasa tidak ada yang menarik perhatiannya.","nanging, elang kuwi ora perduli. dheweke mung muter-muter ing langit, banjur mabur adoh, kerasa ora ana sing narik kawigatene."
Legenda Batu Senuyung,Bangka Belitung,14,"beruntung, tidak lama setelah itu, muncul seekor burung tiung besar atau burung beo. dengan penuh harap, sang ibu memohon kepada burung tersebut:","becike, ora suwe sawise kuwi, muncul manuk tiung gedhe utawa manuk beo. karo ngarep-arep, si ibu nyuwun marang manuk kuwi:"
Legenda Batu Senuyung,Bangka Belitung,15,"wahai burung tiung yang baik, tolong selamatkan anakku. jika kau berhasil, akan kuberi hadiah sebagai ungkapan terima kasihku.","hei manuk tiung sing apikan, tulung slametake anakku. nek kowe bisa, bakal tak wenehi hadiah minangka rasa matur nuwunku."
Legenda Batu Senuyung,Bangka Belitung,16,"burung tiung itu, yang berhati mulia, dengan penuh hati-hati terbang ke puncak batu senuyung dan membawa anak itu turun ke bawah dengan selamat.","manuk tiung kuwi, sing atine luhur, kanthi ati-ati mabur menyang pucuk watu senuyung lan nggawa anak kuwi mudhun menyang ngisor kanthi slamet."
Legenda Batu Senuyung,Bangka Belitung,17,"sebagai ungkapan rasa terima kasih, sang ibu memberikan burung tiung itu hadiah berupa kungkung (kalung) dan sebang (anting) yang indah. sejak saat itu, burung beo dikenal sebagai hewan yang baik hati dan setia menolong.","minangka rasa matur nuwun, si ibu menehi manuk tiung kuwi hadiah awujud kungkung (kalung) lan sebang (anting) sing endah. wiwit wektu kuwi, manuk beo dikenal dadi kewan sing apikan lan setya nulungi."
Legenda Batu Senuyung,Bangka Belitung,18,"kisah ini mengajarkan pentingnya bersikap peduli dan penuh perhatian terhadap sekitar. selain itu, cerita ini juga mengingatkan kita bahwa kebaikan hati akan selalu mendatangkan balasan yang baik.","crita iki mulangake pentinge nduweni rasa peduli lan manungsa wae marang sakupenge. saliyane kuwi, crita iki uga ngelingake yen kabecikan atine bakal tansah nggawa kabecikan bali."
