judul,provinsi,id_teks,teks,referensi
Legenda Bukti Fafinesu,Papua,1,"alkisah di pedalaman pulau timor, nusa tenggara timur, ada tiga orang anak yatim piatu. mereka adalah saku dan dua orang adiknya, abatan dan seko. ayah mereka meninggal dunia karena terguling ke jurang ketika sedang berburu babi hutan beberapa tahun yang lalu. selang tujuh bulan kemudian, ibu mereka menyusul sang ayah karena kehabisan darah ketika sedang melahirkan si bungsu. untungnya, nenek mereka masih hidup sehingga ada yang merawat seko. namun, ketika seko berumur dua tahun, sang nenek pun meninggal dunia karena dimakan usia. sejak itulah, ketiga anak yatim tersebut harus menghidupi diri mereka.","alkisah ing pedalaman pulo timor, nusa tenggara timur, ana telu bocah yatim piatu. dheweke iku saku lan loro adhike, abatan lan seko. bapake padha seda amarga tiba menyang jurang nalika lagi njupuk babi alas sawatara taun kepungkur. sakwise pitung wulan, ibune melu seda amarga kehabisan getih nalika nglairake si bungsu. untunge, eyange isih urip supaya ana sing ngopeni seko. nanging, nalika seko umur rong taun, eyange uga seda amarga tuwa. wiwit kuwi, telu bocah yatim mau kudu nguripi awake dhewe."
Legenda Bukti Fafinesu,Papua,2,"meskipun masih ada keluarga ibunya yang bersedia memelihara si bungsu, namun lantaran memiliki rasa tanggung jawab, si sulung mengambil alih peran orang tuanya untuk merawat dan mendidik kedua adiknya. mereka ingin belajar hidup mandiri tanpa harus bergantung kepada orang lain. waktu terus berjalan. abatan tumbuh menjadi remaja yang rajin dan cerdas. tanpa disuruh oleh kakaknya, ia rajin menanam jagung dan ketela di ladang. ia juga rajin mencari kayu bakar dan memasak untuk kakak dan adiknya. si bungsu pun kini telah berumur lima tahun dan menjadi anak yang penurut. ia sudah bisa membedakan mana yang baik dan mana yang buruk. sungguh bahagia hati saku melihat kedua adiknya tumbuh menjadi orang yang baik. walaupun hidup miskin, mereka senantiasa rukun dan bahagia.","sanajan isih ana keluarga ibune sing gelem ngopeni si bungsu, nanging amarga nduwe rasa tanggung jawab, si sulung njupuk peran wong tuwane kanggo ngopeni lan ngajarake loro adhike. dheweke kepengin sinau urip mandiri tanpa kudu gumantung marang wong liya. wektu lumaku. abatan saya gedhe dadi remaja sing rajin lan pinter. tanpa diprintah dening kakange, dheweke rajin nandur jagung lan ketela ing kebon. dheweke uga rajin golek kayu bakar lan masak kanggo kakange lan adhine. si bungsu saiki wis umur limang taun lan dadi bocah sing manut. dheweke wis bisa mbedakake sing apik lan sing ala. bener-bener bageane saku ndelok loro adhike dadi wong sing apik. senajan urip mlarat, dheweke tansah rukun lan bagean."
Legenda Bukti Fafinesu,Papua,3,"suatu malam yang sunyi, si bungsu tidak bisa memejamkan matanya. tiba-tiba, hatinya diselimuti kerinduan yang mendalam terhadap kedua orang tuanya. sejak bayi, ia tidak pernah merasakan sentuhan kasih sayang dari kedua orang tuanya. ia pun bertanya kepada kakak sulungnya tentang keberadaan kedua orang tua mereka.","suwe-suwe wengi sing sepi, si bungsu ora bisa nutup mripat. dumadakan, atine kabeh kangen banget marang wong tuwane. wiwit bayi, dheweke durung tau ngrasakake tutul katresnan saka wong tuwane. dheweke banjur takon marang kakang sulunge bab panggonan wong tuwane."
Legenda Bukti Fafinesu,Papua,4,"kak saku, ke manakah ayah dan ibu pergi kapan mereka akan pulang adik sangat merindukan mereka, tanya si bungsu.","kak saku, ngendi bapak lan ibu kapan wong tuwa bakal mulih adik kangen banget karo wong tuwa, pitakon si bungsu."
Legenda Bukti Fafinesu,Papua,5,"wajar memang jika si bungsu bertanya demikian, karena kedua kakaknya tidak pernah menceritakan mengenai keberadaan kedua orang tuanya. mereka tidak ingin melihat si bungsu menjadi sedih lantaran mengetahui keberadaan kedua orang tua mereka. untuk itulah, saku pun berusaha menghibur adiknya.","wajar yen si bungsu pitakon kaya ngono, amarga loro kakange ora tau crita bab panggonan wong tuwane. dheweke ora pengin ndelok si bungsu sedhih amarga ngerti babe wong tuwane. mulane, saku nyoba nglipur adhine."
Legenda Bukti Fafinesu,Papua,6,"ya, ayah dan ibu sedang pergi jauh, adikku. sebentar lagi mereka pulang membawa daging rusa yang lezat dan anak-anak babi, kata saku seraya mendongeng hingga si bungsu tertidur pulas.","ya, bapak lan ibu lagi adoh, adikku. saperangan wektu meneh bakal mulih nggawa daging rusa sing enak lan bocah-bocah babi, kandha saku kanthi nyritakake nganti si bungsu turu kanthi tentrem."
Legenda Bukti Fafinesu,Papua,7,"setelah itu, giliran saku yang tidak bisa memejamkan mata. ia sedih melihat adik bungsunya. malam itu, langit di angkasa tampak cerah. rembulan bersinar terang, dan bintang-bintang pun berkelap-kelip. saku mengambil serulingnya, lalu berjalan menuju ke sebuah bukit tidak jauh dari tempat tinggal mereka. suara-suara binatang malam mengiringi perjalanannya hingga tiba di puncak bukit. di atas bukit itu, saku berdiri sambil memandang langit.","sawise kuwi, giliran saku sing ora bisa nutup mripat. dheweke sedhih ndelok adhike bungsu. wengi kuwi, langit ing angkasa katon padhang. rembulan sumunar cerah, lan lintang-lintang padha sumunar. saku njupuk serulinge, banjur mlaku menyang sawijining gunung ora adoh saka panggonane. swara kewan wengi nuntun lelampahe nganti tekan pucuk gunung. ing pucuk gunung kuwi, saku ngadeg lan ndelok langit."
Legenda Bukti Fafinesu,Papua,8,"ya, ayah, ibu. kami sangat merindukan kalian. mengapa begitu cepat kalian meninggalkan kami keluh saku sambil mendesah.","ya, bapak, ibu. kita kangen banget karo kowe. ngapa kowe cepet banget ninggalake kita keluhan saku karo ambegan."
Legenda Bukti Fafinesu,Papua,9,"tak terasa air matanya keluar dari kedua kelopak matanya dan mengalir membasahi kedua pipinya. ia pun tidak bisa berbuat apa-apa. ia kemudian meniup serulingnya dan menyanyikan lagu kesukaannya. saku menyanyikan lagu itu dengan penuh penghayatan. tanpa sepengetahuannya, ternyata ayah dan ibunya mendengar lagu yang indah itu. roh kedua orang tuanya pun turun dari langit menuju ke bukit itu. melalui angin malam, roh sang ayah berkata kepada saku.","ora kelangan sukur, indhihe metu saka mripat lan ngocor menyang pipi. dheweke ora isa nindakake apa-apa. banjur, dheweke muni seruling lan nembangake lagu kesenengane. saku nembang kanthi sepenuh ati. tanpa dheweke ngerti, ternyata bapak lan ibune ngrungokake lagu apik kuwi. roh wong tuwane mudhun saka langit menyang gunung kuwi. liwat angin wengi, roh bapak kandha marang saku."
Legenda Bukti Fafinesu,Papua,10,"anakku, ayah dan ibumu mendengarkanmu. kami mencintaimu. meskipun kita berada di dunia yang berbeda, kita tetap dekat.","anakku, bapak lan ibumu ngrungokake kowe. kita tresna marang kowe. senajan kita ana ing donya sing beda, kita tetep cedhak."
