judul,provinsi,id_teks,teks,referensi
Legenda Danau Toba,Sumatera Utara,1,"di sebuah desa di wilayah sumatera, hiduplah seorang petani yang rajin bekerja meskipun lahan pertaniannya tidak luas. dengan kerja keras dan ketekunannya, ia mampu mencukupi kebutuhannya. sebenarnya, usianya sudah cukup untuk menikah, tetapi ia tetap memilih hidup sendirian.","ing sawijining desa ing wewengkon sumatera, ana sawijining petani sing rajin kerja sanajan lahan tetanene ora jembar. kanthi kerja keras lan ketekunane, dheweke bisa nyukupi kabutuhane. sakjane, umure wis cukup kanggo rabi, nanging dheweke tetep milih urip dhewekan."
Legenda Danau Toba,Sumatera Utara,2,"pada suatu pagi yang cerah, petani itu pergi memancing di sungai. mudah-mudahan hari ini aku mendapat ikan yang besar, gumamnya dalam hati. beberapa saat setelah kailnya dilemparkan, tiba-tiba kailnya mulai bergoyang-goyang. dengan sigap, ia segera menarik kailnya dan bersorak kegirangan saat melihat seekor ikan cukup besar tersangkut.","ing sawijining esuk sing cerah, petani kuwi lunga mancing ing kali. muga-muga dina iki aku oleh iwak sing gedhe, gumame ing ati. sawise umpane ditepakake, dumadakan kaile mulai obah-obah. kanthi cepet, dheweke langsung narik kaile lan bungah banget wektu weruh ana iwak gedhe nyangkut."
Legenda Danau Toba,Sumatera Utara,3,"ia takjub melihat warna sisik ikan itu yang begitu indahâberwarna kuning keemasan dengan semburat kemerahan. kedua matanya bulat dan menonjol, memancarkan kilatan yang menakjubkan.","dheweke kaget ndelok werna sisik iwak kuwi sing apik banget, werna kuning keemasan karo semburat abang. loro matane mbulet lan mencolot, madhangi kilatan sing nggumunake."
Legenda Danau Toba,Sumatera Utara,4,"namun, saat hendak memasukkan ikan itu ke dalam keranjang, tiba-tiba ikan tersebut berbicara, tunggu jangan makan aku. aku akan bersedia menemanimu jika kau tidak jadi memakanku.","nanging, wektu arep dilebokake iwak kuwi menyang kranjang, dumadakan iwak kuwi ngomong, enten dhisik aja dipangan aku. aku bakal gelem ngeremani kowe nek kowe ora dadi mangan aku."
Legenda Danau Toba,Sumatera Utara,5,"petani itu terkejut hingga ikan yang dipegangnya terjatuh ke tanah. tidak lama kemudian, ikan itu berubah wujud menjadi seorang gadis cantik jelita.","petani kuwi kaget nganti iwak sing digegeme tiba ing lemah. ora suwi sawise kuwi, iwak kuwi malih wujud dadi sawijining wadon ayu banget."
Legenda Danau Toba,Sumatera Utara,6,apakah aku sedang bermimpi gumam petani tersebut.,apa aku lagi ngimpi gumam petani kuwi.
Legenda Danau Toba,Sumatera Utara,7,"jangan takut, pak. aku juga manusia sepertimu. aku sangat berhutang budi padamu karena telah menyelamatkanku dari kutukan dewata, kata gadis itu.","aja wedi, pak. aku uga manungsa kaya kowe. aku utang budi karo kowe merga wis nylametke aku saka kutuke dewata, kandha wadon kuwi."
Legenda Danau Toba,Sumatera Utara,8,"namaku puteri, dan aku tidak keberatan menjadi istrimu, lanjutnya, seolah mendesak.","jenengku puteri, lan aku ora masalah nek dadi bojomu, lanjute, kaya ngedesek."
Legenda Danau Toba,Sumatera Utara,9,"petani itu pun mengangguk, dan mereka akhirnya menikah. namun, ada satu janji yang telah disepakati: mereka tidak boleh menceritakan asal-usul puteri yang berasal dari seekor ikan. jika janji itu dilanggar, maka petaka besar akan terjadi.","petani kuwi banjur munggah-munggah, lan pungkasane wong loro kuwi nikah. nanging, ana siji janji sing wis disepakati: ora oleh crita asal-usule puteri sing asale saka iwak. nek janji kuwi dilanggar, bakal ana bebaya gedhe."
Legenda Danau Toba,Sumatera Utara,10,"ketika mereka tiba di desa, penduduk desa gempar melihat gadis cantik jelita bersama petani tersebut.","wektu wong loro kuwi tekan desa, wong-wong padha gumun ndelok ana wadon ayu bareng karo petani kuwi."
Legenda Danau Toba,Sumatera Utara,11,"dia mungkin bidadari yang turun dari langit, gumam mereka.","mbokmenawa dheweke bidadari sing mudhun saka langit, gumame wong-wong."
Legenda Danau Toba,Sumatera Utara,12,"petani merasa sangat bahagia dan tenteram. sebagai suami yang baik, ia terus bekerja keras mengolah sawah dan ladangnya dengan tekun dan ulet. berkat kerja kerasnya, kehidupan mereka menjadi lebih sejahtera.","petani rumangsa seneng lan tentrem. minangka bojo sing apik, dheweke terus kerja keras ngolah sawah lan ladange kanthi tekun. merga kerja kerase, uripe dadi luwih makmur."
Legenda Danau Toba,Sumatera Utara,13,"namun, keberhasilannya membuat beberapa orang iri dan menyebarkan desas-desus buruk.","nanging, kasile petani nggawe wong liya dadi meri lan nyebar kabar ala."
Legenda Danau Toba,Sumatera Utara,14,"aku tahu, petani itu pasti memelihara makhluk halus, kata seseorang kepada temannya.","aku ngerti, petani kuwi mesti ngopeni makhluk alus, kandha wong siji marang kancane."
Legenda Danau Toba,Sumatera Utara,15,"gosip itu sampai ke telinga petani dan puteri, tetapi mereka tidak merasa tersinggung. justru, mereka semakin rajin bekerja.","gunjingan kuwi tekan kupinge petani lan puteri, nanging wong loro kuwi ora nesu. malah dadi luwih sregep kerja."
