judul,provinsi,id_teks,teks,referensi
Legenda Gunung Kelud,Jawa Timur,1,"dahulu kala, di zaman kerajaan, hidup seorang putri cantik yang bernama dewi kilisuci. sang putri merupakan anak dari jenggolo manik, raja kerajaan jenggolo. dewi kilisuci memiliki paras yang cantik rupawan. karena parasnya yang cantik tersebut, banyak raja yang menyukainya. lamaran demi lamaran pun datang ke kerajaan jenggolo kala itu. hingga suatu hari, ada dua orang raja yang juga melamar dewi kilisuci. namun, tidak seperti biasa, raja yang melamar sang putri bukan raja dari kalangan manusia. seorang raja yang melamar tersebut bernama lembu suro. ia memiliki kepala lembu. raja lainnya bernama mahesa suro, yang berkepala kerbau.","mbiyen kala, neng jaman karajan, urip sawijining putri ayu sing jenenge dewi kilisuci. sang putri kuwi anake jenggolo manik, raja karajan jenggolo. dewi kilisuci nduwe rupa sing ayu rupawan. merga rupane sing ayu kuwi, akeh raja sing seneng karo dheweke. lamaran demi lamaran teka menyang karajan jenggolo wektu kuwi. nganti ing sawijining dina, ana loro raja sing uga nglamar dewi kilisuci. nanging, ora kaya biasane, raja sing nglamar sang putri dudu raja saka golongan manungsa. sijine raja sing nglamar kuwi jenenge lembu suro. dheweke nduweni sirah sapi. raja liyane jenenge mahesa suro, sing sirahe kebo."
Legenda Gunung Kelud,Jawa Timur,2,"sejatinya, dewi kilisuci tidak tertarik pada keduanya dan ingin langsung menolak lamaran tersebut. akan tetapi, karena tak enak hati menolak tanpa memiliki alasan, dewi kilisuci mengajukan suatu tantangan. tantangan yang diberikan oleh sang putri merupakan sebuah tantangan berat yang tidak mungkin dikerjakan oleh manusia biasa. tantangan tersebut adalah bahwa dewi kilisuci meminta dua raja yang melamar tersebut membuat dua buah sumur di atas puncak gunung kelud. sumur pertama yang diminta harus berbau amis, dan sumur kedua yang diminta harus berbau wangi. hanya saja, tak banyak waktu yang dewi kilisuci berikan untuk membuat sumur itu. sang putri hanya memberikan waktu satu malam saja untuk lembu suro dan mahesa suro mengerjakan tantangan yang diberikan.","sakbenere, dewi kilisuci ora kepengin karo loro-lorone lan pengin langsung nolak lamaran kuwi. nanging, merga ora enak ati nolak tanpa nduweni alesan, dewi kilisuci menehi siji tantangan. tantangan sing diwenehake sang putri kuwi sawijining tantangan abot sing ora isa ditindakke dening manungsa biasa. tantangan kuwi yaiku nek dewi kilisuci njaluk loro raja sing nglamar kuwi gawe loro sumur neng pucuk gunung kelud. sumur pisanan sing dijaluk kudu mambu amis, lan sumur kapindho kudu mambu wangi. ning, ora akeh wektu sing diwenehake dewi kilisuci kanggo gawe sumur kuwi. sang putri mung menehi wektu sak wengi wae kanggo lembu suro lan mahesa suro nggarap tantangan sing diwenehake."
Legenda Gunung Kelud,Jawa Timur,3,"kerjakan tantangan itu selama satu malam, dan jika ayam jantan berkokok, artinya waktu kalian usai, tegas dewi kilisuci. tanpa berpikir panjang, baik lembu suro maupun mahesa suro menyanggupi tantangan tersebut. waktu pun berlalu, malam sudah berganti menjadi petang. ayam jantan pun hendak berkokok. ketika melihat keadaan, dewi kilisuci panik karena ternyata baik lembu suro maupun mahesa suro sama-sama mampu menyelesaikan tantangan yang diberikan.","âgarap tantangan kuwi sakwengi, lan nek ayam jago wis kluruk, kuwi tandane wektu kowe wis entek,â tegas dewi kilisuci. tanpa mikir dawa, loro-lorone lembu suro lan mahesa suro nyanggupi tantangan kuwi. wektu liwati, wengi wis malih dadi esuk. ayam jago ya arep kluruk. ndelok kahanane, dewi kilisuci panik merga jebul loro-lorone lembu suro lan mahesa suro podo isa ngrampungke tantangan sing diwenehake."
Legenda Gunung Kelud,Jawa Timur,4,"dewi kilisuci berpikir keras untuk mencari alasan menolak keduanya. hingga tercetus suatu ide yang menurut sang putri brilian. baiklah, kalian dapat menyelesaikan tantangan itu. namun, aku meminta kalian membuktikan bahwa satu sumur memang berbau amis, dan satu sumur memang berbau wangi.","dewi kilisuci mikir tenanan kanggo golek alesan nolak loro-lorone. nganti kepikiran siji gagasan sing miturut sang putri pinter. âyo wis, kowe podo isa ngrampungke tantangan kuwi. nanging, aku njaluk kowe podo mbuktekke nek siji sumur kuwi pancen mambu amis, lan sijine sumur pancen mambu wangi.â"
Legenda Gunung Kelud,Jawa Timur,5,cara seperti apa yang kau minta untuk kami membuktikannya tanya lembu suro.,âcarane piye sing mbok jaluk kanggo mbuktekke kuwiâ takone lembu suro.
Legenda Gunung Kelud,Jawa Timur,6,"kalian harus masuk ke dalam sumur yang sudah kalian buat, jawab dewi kilisuci dengan nada tegas sedikit ketus.","âkowe kudu mlebu menyang sumur sing wis mbok gawe,â wangsulane dewi kilisuci nganggo swara tegas lan rada ketus."
Legenda Gunung Kelud,Jawa Timur,7,"saking cintanya dengan dewi kilisuci, lembu suro dan mahesa suro masuk ke dalam sumur tersebut untuk membuktikan kepada sang putri bahwa kedua sumur itu sudah selesai sesuai permintaan sang putri. ketika lembu suro dan mahesa suro ada di dalam sumur, dewi kilisuci memerintahkan kepada para prajurit kerajaan jenggala untuk menimbun sumur tersebut dengan batu. lembu suro dan mahesa suro pun akhirnya mati di sumur yang sudah susah payah dibuat sebagai tantangan lamaran itu.","merga tresnane marang dewi kilisuci, lembu suro lan mahesa suro mlebu menyang sumur kuwi kanggo mbuktekke marang sang putri nek loro sumur kuwi wis rampung manut sing dijaluk sang putri. wektu lembu suro lan mahesa suro ana neng njero sumur, dewi kilisuci dhawuh marang para prajurit karajan jenggolo kanggo nutupi sumur kuwi nganggo watu. lembu suro lan mahesa suro pungkasane mati neng njero sumur sing wis susah payah digawe kanggo tantangan lamaran kuwi."
Legenda Gunung Kelud,Jawa Timur,8,"setelah lembu suro dan mahesa suro mati di dalam sumur, dewi kilisuci sebenarnya senang karena itu artinya ia tak harus menerima salah satu lamaran dari kedua raja itu. hanya saja, hal yang dewi kilisuci tidak tahu, sebelum mati, lembu suro sudah bersumpah dengan bahasa jawa. isi sumpah lembu suro tersebut adalah:","sakwise lembu suro lan mahesa suro mati neng njero sumur, dewi kilisuci sakjane bungah merga kuwi artine dheweke ora kudu nampa salah siji lamaran saka loro raja kuwi. ning, sing ora dingerteni dewi kilisuci, sakdurunge mati, lembu suro wis ngucap sumpah nganggo basa jawa. isine sumpahe lembu suro kuwi yaiku:"
Legenda Gunung Kelud,Jawa Timur,9,"wong kediri mbesuk bakal methuki wales sing makaping kaping, yoiku kediri bakal dadi kali blitar dadi latar, tulungagung bakal dadi kedung.","âwong kediri mbesuk bakal methuki wales sing makaping kaping, yoiku kediri bakal dadi kali blitar dadi latar, tulungagung bakal dadi kedung.â"
Legenda Gunung Kelud,Jawa Timur,10,sumpah itu menjadi sebuah kutukan yang kelak berdampak pada perkembangan sejarah daerah tersebut.,sumpah kuwi dadi sawijining kutukan sing mengko nduweni pengaruh marang perkembangan sajarah dhaerah kono.
