judul,provinsi,id_teks,teks,referensi
Legenda Ikan Gabus Emas,Kalimantan Selatan,1,"di pedalaman sulawesi timur terdapat sebuah danau yang disebut danau tondano. danau ini dikelilingi oleh hutan belantara yang lebat dan menjadi tempat tinggal bagi berbagai jenis makhluk hidup, termasuk ikan-ikan yang beragam. legenda yang turun-temurun diceritakan oleh penduduk asli daerah itu mengisahkan tentang keberadaan seekor ikan gabus yang memiliki sisik berkilauan emas yang sangat indah. ikan itu dijuluki si gabus emas.","ing pedalaman sulawesi wetan, ana sawijining tlaga sing dijenengi tlaga tondano. tlaga kuwi dikubengi alas lebat sing dadi papan panggonan maneka warna makhluk urip, kalebu iwak-iwak sing warna-warna. legenda sing diwarisake saka turun-temurun dening warga asli daerah kana nyritakake bab anane iwak gabus sing nduweni sisik kinclong kaya emas sing endah banget. iwak kuwi dijuluki si gabus emas."
Legenda Ikan Gabus Emas,Kalimantan Selatan,2,"menurut legenda, dahulu kala di sebuah desa kecil di sekitar danau tondano, hiduplah seorang anak muda yang pemberani dan berjiwa petualang bernama berto. berto sangat gemar memancing di danau tersebut, mencari ikan untuk memenuhi kebutuhan hidupnya. suatu hari, ketika sedang memancing di tepi danau, berto tanpa sengaja menemukan sebuah gua kecil yang tersembunyi di antara semak-semak di pinggiran hutan. dengan rasa penasaran, berto memasuki gua tersebut dan menemukan sesuatu yang mengejutkan: sebuah kolam kecil yang dihuni oleh seekor ikan gabus berkilauan emas. berto sangat terkesan dengan keindahan ikan tersebut dan memutuskan untuk membawa ikan itu pulang sebagai hadiah untuk ibunya.","miturut legenda, jaman mbiyen ana sawijining desa cilik ing sekitar tlaga tondano, ana cah nom sing wani lan seneng petualangan jenenge berto. berto seneng banget mancing ing tlaga kuwi kanggo nyukupi kabutuhan uripe. ing sawijining dina, nalika berto mancing ing pinggir tlaga, ora sengaja dheweke nemu guwa cilik sing ndhelik ana ing antaraning semak-semak pinggir alas. amarga penasaran, berto mlebu guwa kuwi lan nemu barang sing ngagetke: kolam cilik sing dienggoni iwak gabus kanthi sisik emas nggilap. berto gumun banget karo kaendahan iwak kuwi lan mutusake arep nggawa bali iwak kuwi dadi hadiah kanggo ibune."
Legenda Ikan Gabus Emas,Kalimantan Selatan,3,"namun, sebelum dia meninggalkan gua, tiba-tiba muncul seorang tua yang mengaku sebagai penjaga gua. anak muda, kau telah menemukan harta tersembunyi di dalam gua ini. namun ingatlah, keindahan ikan ini hanya akan bertahan jika kau memperlakukannya dengan baik dan menghormatinya, kata sang tua dengan suara serak. berto mengangguk mengerti dan berjanji akan merawat ikan gabus emas tersebut dengan baik. dia membawa pulang ikan itu dan menempatkannya di kolam kecil di halaman belakang rumahnya.","nanging, sadurunge dheweke ninggal guwa, dumadakan metu sawijining wong tuwa sing ngakoni awake minangka penjaga guwa."
Legenda Ikan Gabus Emas,Kalimantan Selatan,4,"setiap hari, berto dengan penuh kasih sayang merawat ikan gabus emas itu. dia memberinya makanan yang baik dan membersihkan kolamnya secara rutin. tak lama kemudian, kabar tentang keberadaan ikan gabus emas itu menyebar ke seluruh desa, dan orang-orang datang dari jauh hanya untuk melihat keajaiban tersebut. namun, keserakahan manusia tidak dapat dihindari. ada seorang kaya raya dari desa tetangga yang bernama raden surya, yang mendengar tentang ikan gabus emas itu. dia ingin memiliki ikan itu untuk dijadikan hiasan di istananya. raden surya datang ke rumah berto dan menawarkan sejumlah uang yang sangat besar sebagai imbalan untuk ikan gabus emas itu. namun, berto menolak dengan tegas. dia menyadari bahwa keindahan ikan itu tidak dapat diukur dengan uang.","anak nom, kowe wis nemu harta sing didhelikake ing guwa iki. nanging elinga, kaendahan iwak iki mung bakal tetep ana yen kowe ngerumat lan ngajeni marang dheweke, ujare wong tuwa kuwi nganggo swara serak."
Legenda Ikan Gabus Emas,Kalimantan Selatan,5,"tidak terima ditolak, raden surya memutuskan untuk mencuri ikan gabus emas itu pada malam hari. dengan dibantu oleh beberapa pengikutnya, dia menyelinap masuk ke halaman rumah berto dan mencuri ikan itu dari kolamnya. keesokan harinya, ketika berto bangun dan melihat kolamnya kosong, dia sangat sedih dan marah. dia segera menyadari bahwa ikan gabus emas itu telah dicuri oleh raden surya. dengan tekad yang bulat, berto memutuskan untuk mengambil kembali ikan itu. dia menemui raden surya dan meminta agar ikan itu dikembalikan. namun, raden surya menolak dengan sombong.",berto manggut-manggut lan janji bakal ngrumat iwak gabus emas kuwi kanthi becik. dheweke nggawa iwak kuwi bali lan disimpen ana kolam cilik ing latar mburi omahe.
Legenda Ikan Gabus Emas,Kalimantan Selatan,6,"merasa tidak ada pilihan lain, berto memutuskan untuk menggunakan kecerdikannya. dia merencanakan sebuah permainan yang melibatkan pertandingan memancing. berto menantang raden surya untuk memancing ikan terbesar di danau tondano. jika raden surya menang, dia boleh mempertahankan ikan gabus emas itu. namun, jika berto menang, ikan itu harus dikembalikan padanya. raden surya, yang merasa yakin akan kemampuannya, menerima tantangan itu.","saben dina, berto ngrumat iwak gabus emas kuwi kanthi tresna. dheweke maringi panganan sing becik lan resik-resik kolame kanthi rutin. ora suwe, kabar bab iwak gabus emas kuwi nyebar ing sak desane, lan wong-wong padha teka saka adoh mung kanggo ndeleng kaajaiban kuwi."
Legenda Ikan Gabus Emas,Kalimantan Selatan,7,"namun, saat pertandingan dimulai, berto menunjukkan keahliannya yang luar biasa dalam memancing. dia berhasil menangkap ikan-ikan besar satu per satu, sedangkan raden surya terus gagal. akhirnya, hanya tersisa satu ikan yang belum ditangkap: ikan gabus emas. dengan tekad yang kuat, berto melemparkan umpannya ke tengah danau. tiba-tiba, ikan gabus emas itu muncul dan menggigit umpannya. dengan kekuatan dan keberanian, berto berhasil menangkap ikan gabus emas itu. dan dengan demikian, dia memenangkan pertandingan dan mendapatkan kembali ikan kesayangannya.","nanging, keserakahan manungsa ora bisa dicegah. ana sawijining wong sugih saka desa tangga jenenge raden surya, krungu kabar bab iwak gabus emas kuwi. dheweke kepengin nduweni iwak kuwi kanggo dijupuk dadi hiasan ing istanane. raden surya teka menyang omahe berto lan nawakake dhuwit akeh banget kanggo tuku iwak gabus emas kuwi. nanging, berto nolak kanthi tegas. dheweke ngerti menawa kaendahan iwak kuwi ora bisa diukur nganggo dhuwit."
Legenda Ikan Gabus Emas,Kalimantan Selatan,8,"raden surya, yang kalah dalam pertandingan, harus menepati janjinya. dengan rasa malu dan penyesalan, dia mengembalikan ikan gabus emas itu kepada berto. dan sejak saat itu, ikan gabus emas itu tetap tinggal di kolam kecil di halaman rumah berto, dihormati dan dijaga dengan baik oleh penduduk desa.","ora trima ditolak, raden surya mutusake nyolong iwak kuwi ing wayah bengi. bareng karo para pengikute, dheweke nyusup mlebu menyang latar omahe berto lan nyolong iwak saka kolame. esuke, nalika berto tangi lan ndelok kolame wis kosong, atine sedhih lan nesu. dheweke cepet-cepet ngerti menawa iwake wis dicolong raden surya."
Legenda Ikan Gabus Emas,Kalimantan Selatan,9,"dari legenda tentang ikan gabus emas ini, kita belajar bahwa keindahan dan keistimewaan sesuatu tidak boleh disalahgunakan atau disalahpahami. selain itu, kebaikan hati, kesabaran, dan kecerdikan selalu dihargai dan akan membawa hasil yang baik dalam menghadapi berbagai rintangan dalam hidup.","kanthi tekad sing kuat, berto mutusake ngoyak iwake maneh. dheweke marani raden surya lan njaluk supaya iwak kuwi dikokake. nanging, raden surya nolak kanthi sombong."
Legenda Ikan Gabus Emas,Kalimantan Selatan,10,,"amarga ora ana pilihan liyane, berto mutusake nggunakake kecerdikane. dheweke ngrancang permainan lomba mancing. berto nantang raden surya kanggo lomba mancing iwak paling gedhe ing tlaga tondano. yen raden surya menang, dheweke oleh tetep nduweni iwak gabus emas kuwi. nanging yen berto menang, iwak kuwi kudu dikokake maneh."
