judul,provinsi,id_teks,teks,referensi
Legenda Ikan Pesut Mahakam,Kalimantan Timur,1,"pada zaman dahulu kala, di daerah mahakam, terdapat sebuah desa kecil yang mayoritas penduduknya bermata pencaharian sebagai petani dan nelayan. desa tersebut menjunjung tinggi adat istiadat. setiap musim panen, mereka selalu mengadakan pesta untuk merayakan keberhasilan panen bersama-sama.","ing jaman mbiyen, ana ing dhaerah mahakam, ana sawijining desa cilik sing mayoritas penduduke nyambut gawe dadi petani lan nelayan. desa kuwi ngurmati banget adat istiadat. saben musim panen, dheweke tansah nganakake pesta kanggo ngrayakake kasil panen bareng-bareng."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,2,"di desa itu, hiduplah sepasang suami istri yang telah menikah selama bertahun-tahun. mereka menjalani kehidupan sederhana dengan mengandalkan hasil kebun. pasangan tersebut memiliki kebun kecil yang ditanami sayur-mayur untuk kebutuhan sehari-hari. mereka juga dikaruniai dua orang anak yang sopan dan berbakti: seorang laki-laki dan perempuan.","ing desa kuwi, ana sepasang bojo sing wis nikah pirang-pirang taun. dheweke urip prasaja kanthi ngandelake hasil kebon. pasangan kuwi nduweni kebon cilik sing ditanduri sayur-mayur kanggo kebutuhan saben dina. dheweke uga dikaruniai loro anak sing sopan lan ngabekti: siji lanang lan siji wadon."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,3,"namun, kebahagiaan keluarga ini berubah ketika sang istri jatuh sakit. segala usaha telah dilakukan untuk menyembuhkannya, tetapi penyakitnya semakin parah hingga akhirnya ia meninggal dunia. kepergian sang istri membuat suaminya dan kedua anaknya sangat terpukul. sang suami menjadi pendiam dan murung, sementara kedua anaknya kebingungan bagaimana menghadapi situasi tersebut.","nanging, kabahagiaan kulawarga iki owah nalika bojone loro kuwi lara. kabeh usaha wis ditindakake kanggo nyembuhake, nanging larane saya parah nganti pungkasane dheweke seda. pati bojone ndadekake bojone lan anak-anake banget sedhih. bojone dadi meneng lan sedhih, dene anak-anake bingung piye ngadhepi kahanan kuwi."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,4,"pada suatu hari, desa mengadakan pesta panen besar-besaran. salah satu pertunjukan yang paling dinantikan adalah tari dari seorang gadis cantik yang menarik perhatian banyak pemuda. awalnya, sang duda tidak tertarik menghadiri pesta tersebut karena masih dirundung duka. namun, setelah mendengar banyak orang memuji kecantikan sang penari, ia menjadi penasaran dan memutuskan untuk hadir.","siji dina, desa nganakake pesta panen gedhe-gedhen. salah siji pertunjukan sing paling ditunggu-tunggu yaiku tari saka sawijining cah ayu sing narik kawigaten akeh nom-noman. awale, sang duda ora kepengin teka ing pesta kuwi amarga isih sedhih. nanging, sawise krungu akeh wong muji kaayuan penari kuwi, dheweke dadi penasaran lan mutusake teka."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,5,"saat menonton pertunjukan, ia bertemu pandang dengan gadis itu. seiring waktu, keduanya semakin dekat hingga akhirnya menikah. pernikahan tersebut membawa perubahan besar pada hidup sang duda. ia kembali bersemangat bekerja di ladang, dibantu oleh kedua anaknya, sementara sang istri baru menyiapkan makanan untuk mereka.","nalika nonton pertunjukan, dheweke tetemu pandelengan karo cah ayu kuwi. suwe-suwe, loro-lorone saya cedhak nganti pungkasane padha nikah. pernikahan kuwi nggawa owah-owahan gedhe tumrap urip sang duda. dheweke bali semangat nyambut gawe ing kebon, dibantu karo anak-anake loro, dene bojo anyare nyiyapke panganan kanggo wong-wong kuwi."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,6,"awalnya, ibu tiri bersikap baik kepada kedua anak tirinya. namun, sifat aslinya mulai terlihat seiring waktu. ia sering memperlakukan mereka dengan buruk, memberi mereka makanan sisa, dan menyuruh mereka bekerja tanpa istirahat. sang ayah menyadari perlakuan buruk ini, tetapi ia tidak berbuat apa-apa karena dibutakan oleh cintanya kepada sang istri.","awale, ibu tiri kuwi apik karo anak-anake tiri. nanging, watake sing sejati wiwit katon sak suwene wektu. dheweke kerep memperlakukan anak-anak kuwi kanthi ala, menehi panganan sisa, lan nyuruh kerja tanpa istirahat. bapake nyadari perlakuan ala kuwi, nanging ora nindakake apa-apa amarga dibutake katresnan marang bojone."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,7,"suatu hari, ibu tiri menyuruh kedua anak itu pergi ke hutan untuk mencari kayu bakar. walaupun stok kayu masih cukup, mereka dipaksa untuk pergi. kedua anak itu akhirnya terpaksa menuruti perintah tersebut meskipun mereka merasa lelah dan kelaparan.","siji dina, ibu tiri nyuruh anak-anak kuwi lunga menyang alas kanggo golek kayu bakar. sanadyan stok kayu isih cukup, dheweke tetep dipaksa lunga. loro anak kuwi pungkasane manut karo perintah kuwi senadyan wis kesel lan luwe."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,8,"malam itu, mereka tidur di sebuah pondok tua di hutan karena belum berhasil mengumpulkan cukup kayu. pagi harinya, mereka melanjutkan pekerjaan hingga tubuh mereka sangat kelelahan dan akhirnya pingsan.","bengi kuwi, dheweke turu ing pondhok tua ing alas amarga durung bisa nglumpukake cukup kayu. esuke, dheweke nerusake gaweane nganti awake banget kesel lan pungkasane semaput."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,9,"ketika terbangun, mereka mendapati seorang kakek tua menghampiri mereka. anak-anak, apa yang kalian lakukan di tengah hutan seperti ini tanya kakek itu.","nalika tangi, dheweke weruh ana kakek tua nyedhaki. anak-anak, apa sing kok lakoni ana ing tengah alas kaya ngene iki pitakone kakek kuwi."
Legenda Ikan Pesut Mahakam,Kalimantan Timur,10,mereka menceritakan perlakuan ibu tiri mereka yang kejam dan keadaan mereka yang tidak diberi bekal makanan. sang kakek merasa iba dan menunjukkan sebuah tempat di tengah semak belukar yang penuh dengan pohon buah-buahan.,dheweke crita perlakuan ibu tiri sing kejem lan kahanane sing ora diwenehi bekal panganan. sang kakek ngrasakake welas lan nuduhake panggonan ing tengah semak belukar sing kebak wit-witan woh.
