judul,provinsi,id_teks,teks,referensi
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,1,"kebo iwa dikenal sebagai sosok yang serakah, emosional, dan pemalas. kebo iwa merupakan peran utama dari cerita ini. karakter pendukung lainnya digabung menjadi satu kesatuan dan bukan tokoh terpisah, melainkan sebagai warga dan kepala desa. sebagaimana diketahui, kebo iwa memiliki sifat kurang terpuji. ia terkenal sebagai sosok yang serakah, emosional, dan pemalas. di sisi lain, warga desa digambarkan sebagai kelompok masyarakat yang hidup dalam ketakutan, cerdik, tapi kurang berhati-hati. mari kita simak kisah selengkapnya.","kebo iwa dikenal minangka sosok sing serakah, emosional, lan pemalas. kebo iwa iku peran utama saka cerita iki. karakter pendukung liyane digabung dadi siji kesatuan lan dudu tokoh kapisah, nanging minangka warga lan kepala desa. kaya sing wis dingerteni, kebo iwa nduweni sifat kurang terpuji. dheweke misuwur minangka sosok sing serakah, emosional, lan pemalas. ing sisih liyane, warga desa digambarke minangka kelompok masyarakat sing urip ing rasa wedi, cerdik, nanging kurang ati-ati. ayo padha nyimak crita lengkape."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,2,kebo iwa lahir dan tumbuh sangat besar,kebo iwa lair lan tuwuh sangat gedhe
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,3,"dikisahkan di suatu desa di pulau bali, pada suatu waktu hiduplah sepasang suami istri yang rukun dan berkecukupan. namun, kebahagiaan kurang lengkap mereka rasakan. bertahun-tahun menikah, mereka belum juga dikaruniai keturunan. setiap hari, mereka tak henti berdoa kepada sang hyang widhi wasa (sebutan untuk tuhan dalam agama hindu) agar diberi seorang anak. hingga suatu hari, doa mereka didengar. sang istri mengandung dan melahirkan seorang bayi laki-laki. bayi itu ternyata istimewa karena pertumbuhannya yang sangat cepat. meski masih bayi, porsi makannya menyerupai orang dewasa. semakin hari, ia tumbuh semakin besar sehingga bertambah pula nafsu makannya. lama-kelamaan, besar tubuhnya melebihi ukuran orang dewasa. lantas, orang-orang memanggilnya dengan sebutan kebo iwa yang berarti paman kerbau.","diceritakake ing sawijining desa ing pulo bali, ana pasangan bojo sing rukun lan cukup sandang pangan. nanging, kabegjane kurang lengkap. suwe-suwe omah-omah, dheweke durung dikaruniai keturunan. saben dina, dheweke ora kendhat ndedonga marang sang hyang widhi wasa supaya diparingi anak. suwe-suwe, dongae dirungokake. sang bojo ngandhut lan nglairake bayi lanang. bayi iku istimewa amarga tuwuhe cepet banget. senajan isih bayi, porsi mangane kaya wong diwasa. saben dina, dheweke tuwuh saya gedhe nganti napsu mangane nambah. suwe-suwe, awake luwih gedhe tinimbang ukuran wong diwasa. banjur, wong-wong nyebut dheweke kebo iwa, sing tegese paman kebo."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,4,"kebo iwa yang tumbuh semakin besar membuat kedua orang tuanya kewalahan. kedua orang tuanya tak sanggup lagi memenuhi nafsu makan kebo iwa, sehingga harus meminta bantuan dari warga desa. sejak saat itu, kebutuhan pangan kebo iwa turut ditanggung seluruh penduduk desa.","kebo iwa sing tuwuh saya gedhe nggawe loro wong tuwane kewalahan. loro wong tuwane ora sanggup nyukupi napsu mangane kebo iwa, mula kudu njaluk bantuan saka warga desa. wiit saka wektu iku, kabutuhan pangan kebo iwa ditanggung bareng karo penduduk desa."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,5,kebo iwa yang rakus,budayabali.com
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,6,"selain nafsu makannya, kebo iwa juga terkenal akan sifatnya yang pemarah. jika keinginannya tidak terpenuhi, kebo iwa akan merusak lingkungan sekitarnya. kebo iwa bisa menghancurkan rumah warga, bahkan tak segan merusak pura ketika merasa makanannya kurang. tentu saja, hal ini semakin meresahkan warga desa.",kebo iwa sing rakus
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,7,"sebetulnya, kebo iwa dapat diandalkan. meski begitu, kebo iwa sebetulnya dapat diandalkan. karena tubuh dan tenaganya yang besar, kebo iwa kerap dimintai pertolongan untuk mengangkut batu, meratakan tanah, memindahkan bangunan, membendung sungai, hingga menggali sumur. semua itu kebo iwa kerjakan karena imbalan yang disiapkan warga desa baginya, yaitu makanan yang berlimpah.","saliyane napsu mangane, kebo iwa uga misuwur amarga sifat pemarahe. yen karepe ora keturutan, kebo iwa bakal ngrusak lingkungan sakupenge. kebo iwa bisa ngrusak omahe warga, malah ora sungkan ngrusak pura nalika krasa manganane kurang. mesthi wae, iki saya nggawe warga desa resah."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,8,"di sisi lain, warga desa juga cemas ketika penghujung musim hujan tiba. sebagian besar penduduk yang hidup dari pertanian mengkhawatirkan persediaan bahan pangan ketika musim kering datang. bagaimana bisa memenuhi kebutuhan kebo iwa yang luar biasa besar, sementara kebutuhan pangan mereka sehari-hari saja terbatas mereka dilanda ketakutan membayangkan amarah kebo iwa yang kelaparan dan dapat mengamuk sejadijadinya.","sak tenane, kebo iwa bisa diandelake. amarga awak lan tenagae sing gedhe, kebo iwa kerep dijaluk tulung kanggo ngangkut watu, meratake lemah, mindhahake bangunan, mbendung kali, nganti ngeduk sumur. kabeh iku kebo iwa lakoni amarga imbalan saka warga desa, yaiku panganan sing akeh."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,9,gagal panen di desa,"ing sisih liyane, warga desa uga kuwatir nalika pungkasan mangsa udan teka. saka mayoritas penduduk sing urip saka tetanen kuwatir karo persediaan bahan pangan nalika mangsa garing teka. kepiye carane nyukupi kabutuhan kebo iwa sing luar biasa gedhe, nalika kabutuhan pangane dhewe wae winates dheweke dilanda rasa wedi mbayangake amarahe kebo iwa sing keluwen lan bisa ngamuk sakarepe."
Legenda Kebo Iwa dan Asal-Usul Gunung Batur,Bali,10,"hal meresahkan ini membuat warga berpikir agar ketakutan itu tidak menjadi kenyataan. akhirnya, warga berhasil menemukan siasat untuk menyingkirkan kebo iwa. suatu hari, warga menemui kebo iwa yang sedang asyik menyantap makanan yang disiapkan untuknya. para warga menyampaikan keluh kesah mereka bahwa banyak rumah warga yang rusak akibat ulah kebo iwa ketika mengamuk. kebo iwa bersikeras bahwa itu terjadi karena kesalahan penduduk desa yang tidak memberi makanan yang cukup untuknya. warga desa berkata bahwa kekurangan makanan itu terjadi karena gagal panen akibat air yang tidak lagi tersedia di musim kemarau yang berkepanjangan. tetapi jika kebo iwa bisa membuatkan sumur yang besar, pertanian akan kembali subur. air dari sumur itu akan digunakan warga untuk mengairi sawah-sawah dan lahan pertanian sehingga tak ada lagi gagal panen dan bahan pangan berkecukupan. jika sanggup membuatkan sumur besar tersebut, warga meyakinkan kebo iwa bahwa mereka akan memberinya makanan seberapa pun banyaknya.",gagal panen ing desa
