judul,provinsi,id_teks,teks,referensi
Legenda Lutung Kasarung,Jawa Barat,1,"alkisah, di sebuah kerajaan hiduplah dua orang putri yang sangat cantik, bernama purbasari dan purbararang. kedua putri tersebut memiliki sifat yang sangat berbeda. purbasari memiliki sifat yang baik hati dan penyabar, sedangkan purbararang memiliki sifat yang iri dan selalu ingin menang sendiri.","alkisah, ning sawijining kerajaan urip loro putri ayu banget, jenenge purbasari lan purbararang. loro putri kuwi nduweni sipat sing beda banget. purbasari nduweni sipat sing apik atine lan sabar, dene purbararang nduweni sipat iri lan tansah kepengin menang dhewe."
Legenda Lutung Kasarung,Jawa Barat,2,"suatu hari, ayah mereka, prabu tapa agung, merasa usianya sudah sangat tua. ia ingin menunjuk salah satu putrinya untuk menggantikannya sebagai raja. kemudian, ia memilih anak bungsunya, purbasari. aku akan menyerahkan kerajaan ini kepada purbasari karena aku sudah terlalu tua untuk memimpin, kata prabu tapa agung.","ing sawijining dina, bapake, prabu tapa agung, ngrasakake yen umure wis tuwa banget. dheweke pengin milih salah siji putrine kanggo nggenteni dadi raja. banjur, dheweke milih anak ragile, yaiku purbasari. aku arep nyerahke kerajaan iki marang purbasari amarga aku wis kelangan daya kanggo mimpin, kandha prabu tapa agung."
Legenda Lutung Kasarung,Jawa Barat,3,"purbararang marah besar karena ia merasa sebagai putri sulung, ia yang berhak menggantikan ayahnya. aku tidak setuju jika ayah memilih purbasari untuk menjadi pemimpin kerajaan kita, karena akulah putri sulung yang berhak atas kerajaan ini kata purbararang dengan geram.","purbararang nesu banget amarga ngrasa yen minangka putri sulung, dheweke sing pantes nggenteni bapake. aku ora setuju yen bapak milih purbasari dadi pimpinan kerajaan iki, amarga aku putri sulung sing pantes nduweni kerajaan iki kandha purbararang kanthi nesu."
Legenda Lutung Kasarung,Jawa Barat,4,"kemarahan purbararang semakin memuncak, sehingga ia merencanakan sesuatu yang jahat untuk mencelakai adiknya. ia menemui seorang nenek sihir dan meminta bantuan untuk memanterai purbasari. seketika itu juga, kulit purbasari berubah menjadi hitam bercak-bercak. purbararang sangat senang melihat penderitaan yang dialami adiknya. purbasari, kamu tidak pantas menjadi ratu di kerajaan ini. lihatlah, sekujur tubuhmu penuh dengan bercak hitam. aku akan mengasingkanmu ke hutan, kata purbararang sambil menertawakan adiknya.","nesune purbararang saya ndhuwur, nganti dheweke ngrancang perkara ala kanggo ngrusak adhine. dheweke nemoni sawijining nenek sihir lan njaluk bantuan kanggo mantrani purbasari. sakcepete kuwi uga, kulite purbasari malih dadi ireng tutul-tutul. purbararang bungah banget weruh sangsarane adhine. purbasari, kowe ora pantes dadi ratu ing kerajaan iki. deloken, sak awakmu kebak bercak ireng. aku arep ngasingke kowe menyang alas, kandha purbararang karo ngguyu adhine."
Legenda Lutung Kasarung,Jawa Barat,5,"kemudian, purbararang memerintahkan seorang patih untuk mengasingkan purbasari ke hutan. patih itu pun segera melaksanakan perintah tersebut, karena ia diancam akan dipecat jika tidak menjalankan tugas dengan baik. setelah sampai di hutan, patih tersebut membuatkan sebuah pondok untuk purbasari dan selalu menasihatinya agar tetap tabah menghadapi cobaan ini.","sabanjure, purbararang mrintahake sawijining patih kanggo ngasingke purbasari menyang alas. patih kuwi banjur cepet-cepet nindakake prentah kuwi, amarga dheweke diancem bakal dipecat yen ora nindakake tugas kanthi apik. sawise tekan ing alas, patih kuwi nggaweake pondhok cilik kanggo purbasari lan tansah ngelingke supaya tetep sabar ngadhepi cobaan iki."
Legenda Lutung Kasarung,Jawa Barat,6,"di dalam hutan, purbasari ditemani oleh hewan-hewan yang selalu baik kepadanya. salah satunya adalah seekor kera berbulu hitam yang sangat misterius, bernama lutung kasarung. lutung kasarung berniat untuk menghilangkan sihir yang ada pada tubuh purbasari. pada malam yang sepi, lutung kasarung bersemedi dan memohon kepada dewata untuk membuatkan sebuah telaga air yang jernih, wangi, dan suci, yang dapat menyembuhkan purbasari.","ning njero alas, purbasari ditemani kewan-kewan sing tansah becik marang dheweke. salah sijine yaiku kewan kera ireng sing misterius, jenenge lutung kasarung. lutung kasarung nduweni niyat kanggo ngilangke sihir sing nempel ing awake purbasari. wengi kuwi, lutung kasarung semedi lan nyuwun marang dewata supaya damelake telaga banyu bening, wangi, lan suci, sing isa ngobati purbasari."
Legenda Lutung Kasarung,Jawa Barat,7,"keesokan harinya, lutung kasarung meminta purbasari untuk mandi di danau tersebut. mengapa kau menyuruhku mandi di danau ini tanya purbasari dengan heran. masuklah dulu ke dalam danau ini, purbasari, perintah lutung kasarung. perlahan-lahan, purbasari pun masuk ke dalam danau yang harum itu. seketika, kulitnya menjadi halus, bersih, dan kecantikannya kembali bersinar.","sesuke, lutung kasarung nyuwun marang purbasari supaya adus ing telaga kuwi. ngapa kowe nyuruh aku adus ing telaga iki takone purbasari kanthi gumun. mlebua dhisik ing telaga iki, purbasari, prentah lutung kasarung. alon-alon, purbasari mlebu ing banyu telaga sing wangi kuwi. sakcepete, kulite dadi alus, resik, lan ayune bali sumorot."
Legenda Lutung Kasarung,Jawa Barat,8,"purbasari sangat senang melihat perubahan tersebut dan bersyukur kepada tuhan yang maha esa. ia juga mengucapkan terima kasih kepada lutung kasarung karena berkat usahanya, ia kembali cantik seperti semula. lutung kasarung sangat senang melihat perubahan tersebut. kemudian, ia memberi kejutan yang lebih mengharukan lagi: ia membangun sebuah istana sederhana namun sangat indah di hutan untuk purbasari.","purbasari seneng banget weruh owah-owahan kuwi lan matur nuwun marang gusti kang maha kuwasa. dheweke uga matur nuwun marang lutung kasarung amarga usahane, dheweke bisa ayu maneh kaya maune. lutung kasarung bungah banget weruh owah-owahan kuwi. sabanjure, dheweke menehi kejutan sing luwih nggeterake maneh: dheweke mbangun istana prasaja nanging endah banget ning alas kanggo purbasari."
Legenda Lutung Kasarung,Jawa Barat,9,"purbasari merasa sangat terharu. aku harap dengan adanya istana ini, kamu dapat membangun sebuah kerajaan yang rakyatnya sejahtera, kata lutung kasarung. purbasari hanya bisa menitikkan air mata dan mengucapkan terima kasih yang sebesar-besarnya kepada lutung kasarung.","purbasari kaget lan trenyuh banget. muga-muga nganggo anane istana iki, kowe isa mbangun kerajaan sing rakyate sejahtera, kandha lutung kasarung. purbasari mung isa netesake eluh lan matur nuwun banget marang lutung kasarung."
Legenda Lutung Kasarung,Jawa Barat,10,"purbasari kemudian tinggal di istana itu bersama lutung kasarung, dan beberapa orang patih dari kerajaan yang dipimpin oleh purbararang. mereka pindah karena sudah tidak tahan lagi dengan kepemimpinan purbararang. lambat laun, penghuni istana semakin ramai. purbararang merasa aneh karena banyak rakyatnya yang pindah ke hutan. aku akan cari tahu apa yang terjadi di hutan, sampai-sampai rakyatku pindah semua kata purbararang dengan geram.","purbasari banjur manggon ana ing istana kuwi bareng karo lutung kasarung, lan sawetara patih saka kerajaane purbararang. wong-wong kuwi pindhah amarga wis ora tahan karo kepemimpinane purbararang. suwe-suwe, warga istana kuwi saya akeh. purbararang kroso aneh amarga akeh rakyate pindhah menyang alas. aku arep nyelidiki apa sing kelakon ning alas, nganti rakyatku pindhah kabeh kandha purbararang karo nesu."
