judul,provinsi,id_teks,teks,referensi
Legenda Naga Erau,Kalimantan Timur,1,"pada zaman dahulu kala, di lereng sebuah gunung di kalimantan timur, terdapat sebuah desa bernama jaitan layar. desa ini dipimpin oleh seorang petinggi bersama istrinya yang hidup rukun meski telah berusia lanjut. sayangnya, pasangan itu belum juga dikaruniai seorang anak. mereka tak pernah menyerah dan kerap bertapa jauh dari keramaian, memohon kepada dewata agar diberikan keturunan.","ing jaman mbiyen, ing lereng sawijining gunung ing kalimantan timur, ana sawijining desa jenenge jaitan layar. desa kuwi dipimpin dening sawijining petinggi bareng bojone sing urip rukun sanajan wis tuwa. nanging, pasangan kuwi durung paring turunan. dheweke ora tau nyerah lan kerep tapa adoh saka rame-rame, nyuwun marang dewata supaya diwenehi anak."
Legenda Naga Erau,Kalimantan Timur,2,"suatu malam, ketika penduduk desa terlelap, terdengar suara gemuruh dari halaman rumah sang petinggi. cahaya terang tiba-tiba menyinari kegelapan malam. istrinya yang terbangun bertanya, cahaya apa itu, pak sang petinggi pun keluar untuk memeriksa. ia terkejut melihat sebuah batu raga mas di halaman rumahnya.","sawijining wengi, nalika warga desa padha turu, krungu swara gemuruh saka halaman omahe sang petinggi. ana cahya padhang sing dumadakan madhangi petenge bengi. bojone sing tangi takon, cahya apa kuwi, pak sang petinggi metu kanggo mriksa. dheweke kaget weruh ana watu raga emas ing halaman omahe."
Legenda Naga Erau,Kalimantan Timur,3,"saat diperiksa, ternyata di dalam batu tersebut terdapat seorang bayi laki-laki yang diselimuti kain emas. bayi itu memegang sebutir telur ayam di tangan kanan dan sebilah keris emas di tangan kirinya. ketika sang petinggi masih kebingungan, muncul tujuh dewa di hadapannya.","nalika diperiksa, ternyata ana bayi lanang sing katutup kain emas ing njero watu kuwi. bayi kuwi nggenggem endhog pitik ing tangan tengen lan keris emas ing tangan kiwa. nalika sang petinggi isih bingung, muncul pitu dewa ing ngarepe."
Legenda Naga Erau,Kalimantan Timur,4,"salah satu dewa berbicara, doamu telah dikabulkan. bayi ini adalah keturunan dewa dari kahyangan. namun, cara merawatnya tidak seperti bayi biasa. ia harus dipangku bergantian oleh kaum kerabat selama empat puluh hari empat puluh malam, dan dimandikan dengan air bunga.","salah siji dewa ngomong, donga kowe wis dikabulake. bayi iki keturunan dewa saka kahyangan. nanging, cara ngopeni ora kaya bayi biasane. bayi kuwi kudu dipangku gantian dening sedulur salami patang puluh dina patang puluh bengi, lan dimandikan nganggo banyu kembang."
Legenda Naga Erau,Kalimantan Timur,5,"dewa itu juga memberi pesan, kelak, bayi ini tidak boleh menginjak tanah sebelum diadakan erau, yaitu upacara tijak tanah. kakinya harus diinjakkan pada kepala manusia dan kerbau, baik yang hidup maupun yang telah mati. setelah itu, kamu juga harus menggelar upacara mandi ke tepian.","dewa kuwi uga maringi pesen, banjur, bayi iki ora oleh nginjak lemah sadurunge dianakake erau, yaiku upacara tijak tanah. sikile kudu diijak ing sirahe manungsa lan kebo, sing isih urip utawa sing wis mati. sawise kuwi, kowe uga kudu nganakake upacara mandi ke tepian."
Legenda Naga Erau,Kalimantan Timur,6,"sang petinggi menerima pesan tersebut dengan rasa syukur. setelah para dewa menghilang, ia membawa bayi itu ke dalam rumah dan menceritakan semuanya kepada istrinya. mereka merasa sangat bahagia. namun, bayi itu tiba-tiba menangis karena lapar.","sang petinggi nampa pesen kuwi karo rasa sukur. sawise para dewa ilang, dheweke nggawa bayi kuwi mlebu omah lan nyritakake kabeh marang bojone. wong loro kuwi kroso seneng banget. nanging, bayi kuwi dumadakan nangis amarga luwe."
Legenda Naga Erau,Kalimantan Timur,7,"karena usia istrinya yang sudah lanjut, sang petinggi membakar dupa dan berdoa agar ada keajaiban. tak lama, terdengar suara dari kahyangan, usaplah payudaramu berulang kali. istrinya mengikuti perintah itu, dan ajaibnya, air susu yang harum seperti kasturi keluar. bayi itu pun berhenti menangis dan menyusu dengan penuh semangat.","amarga bojone wis tuwa, sang petinggi nyalur dupa lan ndonga supaya ana kaajaiban. ora suwe, krungu swara saka kahyangan, usap-usap dhadhamu bola-bali. bojone manut dhawuh kuwi, lan ajaib, metu susu wangi kaya kasturi. bayi kuwi mandheg nangis lan nyusu kanthi semangat."
Legenda Naga Erau,Kalimantan Timur,8,"bayi tersebut diberi nama aji batara agung dewa sakti. pasangan suami istri itu merawatnya sesuai petuah para dewa. ketika tali pusar aji putus, penduduk desa merayakannya dengan sukacita, diiringi bunyi meriam sapu jagat sebanyak tujuh kali.","bayi kuwi dijenengi aji batara agung dewa sakti. pasangan kuwi ngopeni manut piwulang para dewa. nalika tali pusar aji putus, warga desa nganakake pesta karo kabungahan, diiringi swara meriam sapu jagat pitu kali."
Legenda Naga Erau,Kalimantan Timur,9,"lima tahun berlalu, aji tumbuh menjadi anak yang cerdas dan sehat. namun, ia belum diizinkan bermain di luar sebelum dilakukan upacara tijak tanah. sang petinggi kemudian mengadakan pesta erau selama empat puluh hari empat puluh malam.","lima taun lumaku, aji dadi bocah pinter lan sehat. nanging, dheweke durung diijini dolanan ing njaba sakdurunge dianakake upacara tijak tanah. sang petinggi banjur nganakake pesta erau salami patang puluh dina patang puluh bengi."
Legenda Naga Erau,Kalimantan Timur,10,"dalam upacara itu, kaki aji diinjakkan pada kepala manusia dan kerbau yang telah ditutupi kain kuning, sesuai perintah dewa. setelah upacara tijak tanah, aji juga menjalani upacara mandi ke tepian, di mana ia dimandikan di sungai dan kakinya dipijakkan pada batu.","ing upacara kuwi, sikil aji diijak ing sirahe manungsa lan kebo sing wis ditutup nganggo kain kuning, manut dhawuh dewa. sawise upacara tijak tanah, aji uga ngalami upacara mandi ke tepian, ngendi dheweke dimandikan ing kali lan sikile dipijak ing watu."
