judul,provinsi,id_teks,teks,referensi
Legenda Putri Mandalika,Nusa Tenggara Barat,1,"dahulu kala, berdirilah sebuah kerajaan yang menghadap ke samudra hindia, bernama kerajaan sekar kuning di negeri tonjeng beru. sang raja, raden panji kusuma, juga dikenal sebagai tonjeng beru, memerintah bersama istrinya yang bernama dewi seranting. mereka dikenal sebagai pasangan yang rupawan, bijaksana, dan membawa kesejahteraan bagi rakyatnya.","mbiyen kala, ana sawijining karajan sing mapan ing sacedhaking samudra hindia, jenenge karajan sekar kuning ing nagara tonjeng beru. sang ratu, raden panji kusuma, uga dikenal minangka tonjeng beru, marentah bareng karo garwane sing jenenge dewi seranting. wong loro kuwi dikenal minangka pasangan sing ayu rupawan, wicaksana, lan nggawa kamakmuran tumrap rakyate."
Legenda Putri Mandalika,Nusa Tenggara Barat,2,"hari yang dinantikan tiba, raja dan ratu dikaruniai seorang putri cantik bernama putri mandalika. sejak kecil, putri mandalika tumbuh menjadi gadis yang santun, rendah hati, dan sangat menyayangi rakyat. ia tidak segan membantu rakyatnya dengan tangannya sendiri, meskipun ia adalah seorang ningrat. hal ini membuat putri mandalika dicintai rakyatnya dan menjadi kebanggaan hingga ke pelosok negeri.","dina sing ditunggoni pungkasane teka, raja lan ratu diparingi putri ayu jenenge putri mandalika. wiwit cilik, putri mandalika tuwuh dadi cah wadon sing santun, andhap asor, lan banget tresna marang rakyate. dheweke ora sungkan nulungi rakyat nganggo tangane dhewe, senajan dheweke kuwi putri ningrat. iki ndadekake putri mandalika dikasihi rakyate lan dadi kabanggaan tekan pelosok nagara."
Legenda Putri Mandalika,Nusa Tenggara Barat,3,"kabar tentang kecantikan dan budi pekerti putri mandalika tersebar luas. banyak pangeran dari berbagai kerajaan datang untuk meminangnya. satu per satu mereka melayangkan lamaran kepada kerajaan sekar kuning, membawa hantaran berupa emas, kain sutra, aksesori indah, hingga makanan khas daerah masing-masing. namun, lamaran-lamaran itu justru menjadi beban bagi putri mandalika.","kabar bab ayune lan budi pekerti putri mandalika sumebar neng endi-endi. akeh pangeran saka macem-macem karajan padha teka kanggo ngelamar. siji-siji padha ngirim lamaran menyang karajan sekar kuning, nggawa seserahan emas, kain sutra, perhiasan endah, nganti panganan khas saka dhaerahe dhewe-dhewe. nanging, lamaran kuwi malah dadi abot kanggo putri mandalika."
Legenda Putri Mandalika,Nusa Tenggara Barat,4,"para pangeran yang tinggal di paviliun tamu kerajaan mulai menunjukkan persaingan sengit. tak jarang mereka berdebat, membanggakan kerajaan masing-masing, bahkan mengajukan ancaman perang jika tidak terpilih. putri mandalika yang diam-diam datang untuk melihat mereka, kecewa melihat kesombongan dan sifat kekanak-kanakan para pangeran. ia juga mendengar ancaman perang yang akan membawa penderitaan bagi rakyatnya.","para pangeran sing nginep ing paviliun tamu karajan wiwit nuduhake saingan sing sengit. kadhangkala padha padudon, gumunggung marang karajane dhewe, malah ana sing ngancam bakal njalari perang yen ora dipilih. putri mandalika sing diam-diam teka kanggo ndelok, kecewa weruh kesumbungan lan kekanakane para pangeran. dheweke uga krungu ancaman perang sing bisa nggawa sangsara tumrap rakyate."
Legenda Putri Mandalika,Nusa Tenggara Barat,5,"dalam kebingungannya, putri mandalika berkonsultasi kepada kedua orang tuanya. raja dan ratu menyarankan agar putri mandalika meminta petunjuk kepada sang maha pencipta. putri mandalika pun bersemedi di tebing pantai seger selama tiga hari untuk mendapatkan jawaban.","ing kahanan bingung, putri mandalika rembugan karo bapak lan ibune. raja lan ratu nyaranake supaya putri mandalika nyuwun pitutur marang gusti kang murbeng dumadi. putri mandalika banjur semedi ing tebing pantai seger telung dina kanggo golek jawaban."
Legenda Putri Mandalika,Nusa Tenggara Barat,6,"setelah selesai bersemedi, putri mandalika mengundang para pangeran, rakyat, dan kedua orang tuanya ke tebing pantai seger saat fajar di hari ke-20 bulan ke-10. kabar ini menarik perhatian banyak orang, hingga pantai seger dipenuhi oleh kerumunan.","sawise rampung semedi, putri mandalika ngundang para pangeran, rakyat, lan wong tuwane menyang tebing pantai seger nalika fajar dina kaping 20 sasi kaping 10. kabar iki narik kawigaten akeh wong, nganti pantai seger kebak karo wong-wong sing padha teka."
Legenda Putri Mandalika,Nusa Tenggara Barat,7,"ketika fajar tiba, putri mandalika berdiri di tebing tertinggi dengan anggun. ia mengenakan busana sutra berwarna-warni dan mahkota yang membuatnya tampak semakin memesona. dengan lantang, ia mengumumkan bahwa ia menerima semua lamaran para pangeran. keputusan ini membuat semua orang bingung.","nalika fajar teka, putri mandalika ngadeg ing pucuk tebing kanthi ayu. dheweke nganggo busana sutra warna-warni lan makutha sing ndadekake katon saya endah. kanthi swara lantang, dheweke ngumumkake yen nampa kabeh lamaran para pangeran. keputusan kuwi ndadekake wong-wong padha bingung."
Legenda Putri Mandalika,Nusa Tenggara Barat,8,"putri mandalika menjelaskan bahwa ia telah mendapatkan petunjuk bahwa jika ia hanya menerima satu lamaran, perang besar akan terjadi dan rakyat akan menderita. ia menginginkan kesejahteraan rakyat lebih dari segalanya. sebagai tanda cinta dan pengorbanannya untuk rakyat, ia melompat ke lautan lepas.","putri mandalika nerangake yen dheweke wis nampa pitutur yen yen mung milih siji lamaran, bakal ana perang gedhe lan rakyate bakal nandhang sangsara. dheweke luwih ngupaya kamakmuran rakyat tinimbang kabagyane dhewe. minangka tandha katresnan lan pengurbanane kanggo rakyat, dheweke banjur njebur menyang samudra."
Legenda Putri Mandalika,Nusa Tenggara Barat,9,"melihat sang putri terjun ke laut, raja, ratu, para pangeran, dan rakyat segera menceburkan diri ke laut untuk mencarinya. namun, tubuh putri mandalika tidak ditemukan. sebagai gantinya, muncul ribuan biota laut berwarna-warni yang menyerupai kain sutra yang dikenakan putri mandalika. biota tersebut dikenal sebagai nyale, jelmaan putri mandalika.","weruh sang putri njebur menyang laut, raja, ratu, para pangeran, lan rakyat padha mlebu laut kanggo nggoleki dheweke. nanging, awake putri mandalika ora ketemu. sing katon mung makhluk laut warna-warni sing mirip karo kain sutra sing dienggo putri mandalika. makhluk kuwi dikenal minangka nyale, wujud putri mandalika."
Legenda Putri Mandalika,Nusa Tenggara Barat,10,"raja dan ratu menyadari bahwa putri mandalika telah menjelma menjadi nyale untuk memenuhi kebutuhan rakyatnya. mereka memerintahkan rakyat untuk mengumpulkan nyale tersebut. sebagian digunakan sebagai pupuk yang membuat sawah subur, dan sebagian lainnya dijadikan masakan khas yang memenuhi kebutuhan pangan rakyat.","raja lan ratu nyadari yen putri mandalika wis jelma dadi nyale kanggo nyukupi kabutuhan rakyate. wong loro kuwi banjur dhawuh marang rakyat supaya nglumpukake nyale kuwi. saperangan digawe pupuk sing ndadekake sawah subur, lan saperangan dijupuk dadi olahan khas kanggo pangan rakyat."
