judul,provinsi,id_teks,teks,referensi
Legenda Putri Pandan Berduri,Maluku,1,"pada zaman dahulu, di pulau bintan, hiduplah suku laut yang dipimpin oleh batin lagoi. ia dikenal sebagai pemimpin yang baik hati, adil, dan ramah. suatu hari, ketika sedang berjalan santai di tepi pantai, batin lagoi mendengar suara tangisan bayi. suara itu berasal dari semak-semak pandan berduri. dengan hati-hati, ia menerobos semak itu dan menemukan seorang bayi perempuan yang tergeletak di atas daun pisang.","ing jaman mbiyen, ing pulo bintan, urip suku laut sing dipimpin dening batin lagoi. dheweke dikenal dadi pemimpin sing apikan, adil, lan ramah. sak dina, nalika mlaku-mlaku santai ana pinggir pantai, batin lagoi krungu swara tangisan bayi. swara kuwi asale saka semak-semak pandan sing ana durine. kanthi ati-ati, dheweke nerobos semak kuwi lan nemokake bayi wadon sing nggeletak ing ndhuwure godhong gedhang."
Legenda Putri Pandan Berduri,Maluku,2,anak siapa ini orang tua mana yang tega meninggalkan bayi di semak pandan pikirnya.,anake sapa iki wong tuwa endi sing tega ninggalake bayi ing semak pandan pikire.
Legenda Putri Pandan Berduri,Maluku,3,"karena ia tak memiliki anak, batin lagoi membawa pulang bayi itu dan merawatnya dengan penuh kasih. bayi itu diberi nama putri pandan berduri dan diperlakukan seperti anak kandung.","amarga dheweke ora nduwe anak, batin lagoi nggawa mulih bayi kuwi lan ngerumat nganggo katresnan. bayi kuwi diwenehi jeneng putri pandan berduri lan diperlakukake kaya anak kandhung."
Legenda Putri Pandan Berduri,Maluku,4,"waktu berlalu, putri pandan berduri tumbuh menjadi seorang gadis yang sangat cantik dan rupawan. banyak pemuda yang terpikat padanya, tetapi tak ada yang berani melamarnya karena batin lagoi ingin putrinya menikah dengan seorang bangsawan atau anak raja.","wektu lumaku, putri pandan berduri tuwuh dadi perawan sing ayu banget lan rupawan. akeh nom-noman sing kepincut marang dheweke, nanging ora ana sing wani ngelamar amarga batin lagoi kepengin anake nikah karo bangsawan utawa anak raja."
Legenda Putri Pandan Berduri,Maluku,5,"sementara itu, di pulau galang, ada dua bersaudara, jenang perkasa dan julela, putra dari seorang raja. sang ayah mengajarkan mereka untuk saling membantu, tetapi ketika julela diangkat menjadi pemimpin, ia berubah menjadi sombong dan suka memerintah adiknya dengan kasar.","sak wetara kuwi, ing pulo galang, ana loro sedulur, jenang perkasa lan julela, putra saka sawijining raja. sang bapak mulangkake supaya padha nulungi siji lan sijine, nanging nalika julela diangkat dadi pemimpin, dheweke malih dadi sumbung lan seneng mrentah adhine nganggo kasar."
Legenda Putri Pandan Berduri,Maluku,6,"jenang, kau harus patuh padaku. aku pemimpin di sini bentak julela.","jenang, kowe kudu manut aku. aku pemimpin ing kene bentake julela."
Legenda Putri Pandan Berduri,Maluku,7,"kehidupan di bawah perintah julela membuat jenang perkasa tak betah. ia sering bergaul dengan rakyat jelata, yang justru membuat julela semakin marah. akhirnya, jenang perkasa memutuskan untuk meninggalkan pulau galang dan berlayar tanpa arah. setelah berhari-hari di lautan, ia tiba di pulau bintan.","urip ing sangisore prentahe julela nggawe jenang perkasa ora betah. dheweke kerep dolan karo rakyat biasa, sing malah nggawe julela saya nesu. akhire, jenang perkasa mutusake ninggalake pulo galang lan munggah prau tanpa arah. sawise pirang-pirang dina ana ing segara, dheweke tekan pulo bintan."
Legenda Putri Pandan Berduri,Maluku,8,"di pulau bintan, jenang perkasa menyembunyikan identitasnya sebagai bangsawan dan hidup sebagai nelayan. sikapnya yang ramah dan suka menolong membuatnya disukai oleh warga. kabar tentang kebaikannya sampai ke telinga batin lagoi, yang kemudian mengundangnya untuk menghadiri jamuan makan malam.","ing pulo bintan, jenang perkasa ndhelikake jati dirine minangka bangsawan lan urip dadi nelayan. tumindake sing ramah lan seneng nulungi nggawe dheweke disenengi warga. kabar bab kabecikane tekan kupinge batin lagoi, sing banjur ngajak dheweke teka ing jamuan nedha bengi."
Legenda Putri Pandan Berduri,Maluku,9,"dalam perjamuan itu, jenang perkasa menunjukkan kesopanan dan budi pekerti yang baik, membuat batin lagoi terkesan. usai acara, batin lagoi menahan jenang perkasa untuk berbicara lebih lanjut.","nalika jamuan kuwi, jenang perkasa nuduhake kesopanan lan budi pekerti sing apik, nggawe batin lagoi kagum. sawise acara, batin lagoi nyegat jenang perkasa kanggo ngomong luwih lanjut."
Legenda Putri Pandan Berduri,Maluku,10,"anak muda, kau tampaknya bukan orang biasa. dari mana asalmu sebenarnya tanya batin lagoi.","anak enom, kowe koyoke dudu wong biasa. asalmu saka endi tenan takon batin lagoi."
