judul,provinsi,id_teks,teks,referensi
Legenda Sawerigading,Sulawesi Selatan,1,"dikisahkan dahulu kala, bumi adalah suatu tempat yang sangat luas dan belum dihuni oleh siapa pun. raja langit yang bernama la patiganna bermusyawarah dengan keluarga kerajaan serta beberapa anggota kerajaan langit yang juga dihadiri oleh senrijawa dan peretiwi yang berasal dari alam gaib. saudaraku, bumi adalah tempat yang sangat luas dan indah. tapi kulihat tidak ada seorang pun manusia yang hidup di bumi. sangat disayangkan jika keindahan bumi tidak dikelola dan dimanfaatkan sebaik mungkin. bagaimana jika kita mengirim seseorang untuk mengatur segala sesuatunya di bumi dan menjadi raja ujar raja langit.","dicaritakake jaman mbiyen, bumi kuwi papan sing amba banget lan durung dienggoni sapa-sapa. raja langit sing jenenge la patiganna rembugan karo kulawarga kraton sarta sawetara anggota kraton langit sing uga dirawuhi dening senrijawa lan peretiwi sing asale saka alam gaib. sedulurku, bumi kuwi papan sing amba lan endah banget. nanging aku weruh ora ana siji wae manungsa sing urip ing bumi. sayange nek kaendahan bumi kuwi ora dikelola lan dimanfaatake kanthi becik. kepiye nek kita ngirim sapa wae kanggo ngatur kabeh ing bumi lan dadi raja ujare raja langit."
Legenda Sawerigading,Sulawesi Selatan,2,"aku pikir juga begitu. bumi tampak kosong dan tidak berpenghuni. tapi siapa yang akan kita kirim ke sana, baginda tanya salah seorang anggota kerajaan.","awakku ya mikir ngono. bumi katon kosong lan ora dienggoni. nanging sapa sing arep kita kirim menyang kana, baginda pitakone salah siji anggota kraton."
Legenda Sawerigading,Sulawesi Selatan,3,"aku akan mengirim putra tertuaku, la toge langi, ucap raja langit. semua yang hadir ketika itu menyepakati bahwa la toge langilah yang akan pergi ke bumi. namun, bukanlah hal yang mudah untuk menjadi seorang raja bumi. ia harus melalui masa ujian selama 40 hari dan 40 malam. hari berganti hari, la toge melalui masa ujian itu dengan sabar. kesabarannya pun membuahkan hasil. ia kemudian dinyatakan layak untuk dikirim ke bumi.","awakku bakal ngirim putra sulungku, la toge langi, ujare raja langit. kabeh sing rawuh wektu kuwi sarujuk yen la toge langi sing bakal lunga menyang bumi. nanging, ora gampang kanggo dadi raja bumi. dheweke kudu ngalami ujian suwene 40 dina lan 40 bengi. dina diganti dina, la toge ngliwati masa ujian kuwi kanthi sabar. kesabarane mau nuwuhake asil. dheweke banjur dinyatakake pantes dikirim menyang bumi."
Legenda Sawerigading,Sulawesi Selatan,4,"setelah mendengar hal itu, berangkatlah ia sebagai seorang raja alekawi bumi dan menggunakan gelar batara guru. wilayah tempat pertama kali la toge langi berpijak adalah di ussu. wilayah ini sekarang terletak di daerah luwu timur yang berada di teluk bone. setelah beberapa lama menjadi seorang raja di bumi, la toge langi menikah dengan anak raja alam gaib yang bernama guru ri selleng, yang terhitung masih sepupunya. wanita itu bernama we nyiliâtimo.","sakwise krungu kabar kuwi, mangkatlah dheweke minangka raja alekawi bumi lan nganggo gelar batara guru. wilayah panggonan pisanan la toge langi ngambah yaiku ing ussu. wilayah iki saiki ana ing daerah luwu timur sing dumunung ing teluk bone. sakwise sawetara wektu dadi raja ing bumi, la toge langi rabi karo anake raja alam gaib sing jenenge guru ri selleng, sing isih sedulure dhewe. wanita kuwi jenenge we nyiliâtimo."
Legenda Sawerigading,Sulawesi Selatan,5,"waktu berlalu, la toge langi kemudian dikaruniai seorang anak laki-laki. anak itu bernama la tiuleng. ketika la tiuleng beranjak dewasa, kedudukan ayahnya sebagai raja bumi digantikan olehnya. ia pun diberi gelar batara lattu. setelah itu, ia dikaruniai anak kembar, yaitu seorang anak laki-laki bernama lawe atau la madukelleng, sering juga disebut sawerigading putra ware, dan seorang anak perempuan bernama we tanriyabeng. sawerigading dan we tanriyabeng tidak dibesarkan bersama-sama. mereka hidup terpisah sehingga satu sama lain tidak saling mengenal.","wektu lumaku, la toge langi banjur nduweni anak lanang. anak kuwi jenenge la tiuleng. nalika la tiuleng wis diwasa, jabatan bapake minangka raja bumi diganteni dening dheweke. dheweke banjur diparingi gelar batara lattu. sakwise kuwi, dheweke nduweni anak kembar, yaiku anak lanang jenenge lawe utawa la madukelleng, asring uga disebut sawerigading putra ware, lan anak wadon jenenge we tanriyabeng. sawerigading lan we tanriyabeng ora digedhekake bareng. dheweke urip kapisah saengga ora padha kenal siji lan sijine."
Legenda Sawerigading,Sulawesi Selatan,6,"tahun berganti tahun, sawerigading dan tanriyabeng tumbuh dewasa. suatu hari, ketika sawerigading sedang berjalan-jalan, tiba-tiba ia melihat gadis yang sangat cantik berlalu di hadapannya. pada pandangan pertama, sawerigading jatuh hati. siapa namamu, gadis cantik tanya sawerigading.","tahun diganti tahun, sawerigading lan tanriyabeng saya diwasa. siji dina, nalika sawerigading mlaku-mlaku, dumadakan dheweke ndelok cah wadon ayu banget liwat ana ing ngarepe. ing pandelengan pisanan, sawerigading tresna. sapa jenengmu, cah ayu pitakone sawerigading."
Legenda Sawerigading,Sulawesi Selatan,7,"namaku we tanriyabeng, jawab sang gadis dengan tersipu.","jenengku we tanriyabeng, wangsulane cah wadon kuwi karo isin."
Legenda Sawerigading,Sulawesi Selatan,8,"perkenalan mereka pun berlanjut. sawerigading mengutarakan keinginannya untuk menikahi we tanriyabeng. ketika keduanya sepakat untuk meminta restu kepada kedua orangtua, betapa terkejutnya mereka mengetahui bahwa mereka adalah saudara kembar yang terpisah. hancurlah perasaan keduanya. sawerigading dengan penuh kekecewaan pergi naik kapal meninggalkan luwu dan bersumpah tidak ingin kembali lagi. sedangkan we tanriyabeng pergi entah ke mana.","perkenalane terus lanjut. sawerigading ngandharake kepenginane kanggo nglairake we tanriyabeng. nalika loro-lorone sepakat kanggo njaluk restu marang wong tuwane, betapa kagete nalika ngerti yen dheweke kuwi sedulur kembar sing kapisah. runtuh atine loro-lorone. sawerigading kanthi kuciwa lunga munggah kapal ninggalake luwu lan sumpah ora gelem bali maneh. dene we tanriyabeng lunga ora ngerti menyang ngendi."
Legenda Sawerigading,Sulawesi Selatan,9,"sawerigading kemudian pergi mengembara hingga ke negeri tiongkok. dalam pengembaraannya, ia berhasil mengalahkan beberapa kesatria kerajaan yang dijumpai selama perjalanan, bahkan juga mengalahkan raja jawa wollo, yaitu setia bonga. sawerigading pun menjadi seorang nakhoda kapal yang gagah perkasa. dalam perlayarannya, sawerigading menyinggahi berbagai tempat, seperti taranate, ternate di maluku, gima, daerah yang diduga bernama bima atau sumbawa, jawa rilau, dan jawa ritengga, kemungkinan jawa timur dan jawa tengah, sunra rilau, dan sunra riaja. kemungkinan daerah itu bernama sunda. bisa jadi sunda timur, sunda barat, dan melaka.","sawerigading banjur lunga ngumbara tekan nagara tiongkok. ing pengumbaraane, dheweke bisa ngalahke sawetara kesatria kraton sing ditemoni sajroning lelampahane, malah uga ngalahke raja jawa wollo, yaiku setia bonga. sawerigading banjur dadi nakhoda kapal sing gagah perkasa. ing perlayarane, sawerigading mampir ing maneka panggonan, kaya ta taranate, ternate ing maluku, gima, daerah sing diduga jenenge bima utawa sumbawa, jawa rilau, lan jawa ritengga, kemungkinan jawa timur lan jawa tengah, sunra rilau, lan sunra riaja. kemungkinan daerah kuwi jenenge sunda. bisa uga sunda timur, sunda kulon, lan melaka."
Legenda Sawerigading,Sulawesi Selatan,10,"kisah cinta sawerigading ternyata belum usai. ia bertemu seorang putri cantik asal tiongkok yang bernama we cudai, yang tak kalah cantik dari we tanriyabeng. sawerigading lalu menikahi putri tiongkok tersebut. dari we cudai, sawerigading punya tiga anak, yakni tenridio, tenribaloba, dan i la galigo yang bergelar datunna kelling. selain kawin dengan we cudai, sawerigading juga kawin dengan we cimpau dan memperoleh seorang anak bernama we tenriwaru.","crita katresnane sawerigading ternyata durung rampung. dheweke ketemu cah putri ayu asal tiongkok sing jenenge we cudai, sing ora kalah ayu karo we tanriyabeng. sawerigading banjur rabi karo putri tiongkok kuwi. saka we cudai, sawerigading nduweni telu anak, yaiku tenridio, tenribaloba, lan i la galigo sing nganggo gelar datunna kelling. saliyane rabi karo we cudai, sawerigading uga rabi karo we cimpau lan nduweni anak jenenge we tenriwaru."
