judul,provinsi,id_teks,teks,referensi
Legenda Tapak Tuan,Aceh,1,"pada zaman dahulu kala, hiduplah sepasang naga raksasa yang tinggal di sebuah gua dan lautan lepas aceh selatan. sepasang naga sakti ini berasal dari lautan negeri cina, namun mereka diusir karena dianggap membawa sial bagi negerinya. karena tidak memiliki keturunan, naga jantan dan naga betina tersebut meminta izin kepada seorang pertapa sakti, yang dikenal sebagai tuan tapa, untuk tinggal di aceh selatan.","ing jaman biyen kala, ana sepasang naga raksasa sing manggon nang gua lan segara lepas ing wilayah aceh selatan. naga loro kuwi asale saka segara negeri cina, nanging banjur diusir amarga dianggep mbawa sial kanggo nagara kono."
Legenda Tapak Tuan,Aceh,2,"meskipun diizinkan untuk menetap, tuan tapa memberikan syarat kepada sepasang naga tersebut.","merga ora nduweni anak, naga lanang lan naga wadon kuwi njaluk idin marang pertapa sakti sing dikenal karo aran tuan tapa kanggo oleh tetep manggon nang aceh selatan."
Legenda Tapak Tuan,Aceh,3,"kalian boleh tinggal di sini, asalkan tidak membuat kekacauan, kata tuan tapa.","sanajan diidinake, tuan tapa menehi syarat marang pasangan naga kuwi:"
Legenda Tapak Tuan,Aceh,4,"sepasang naga pun menyanggupi syarat itu. mereka menetap di sebuah gua di lembah gunung dan mencari makan di laut, memangsa ikan-ikan yang ada di sana.","âkowe oleh manggon nang kene, asal ora gawe rusuh,â ujare tuan tapa."
Legenda Tapak Tuan,Aceh,5,"suatu hari, saat sedang asyik mencari makan, sepasang naga menemukan sebuah ayunan dari anyaman rotan yang terapung di tengah lautan. di dalamnya terdapat seorang bayi perempuan. dengan perasaan iba, mereka memutuskan untuk mengambil bayi itu dan mengasuhnya seperti anak mereka sendiri.","pasangan naga mau setuju karo syarate. wong loro kuwi banjur manggon nang gua ing lembah gunung lan golek pangan nang laut, mangan iwak-iwak sing ana nang kono."
Legenda Tapak Tuan,Aceh,6,"wahai suamiku, bayi ini begitu lucu. sungguh kasihan jika kita meninggalkannya di sini. bagaimana kalau kita mengasuhnya tanya naga betina kepada naga jantan.","sawijining dina, nalika lagi golek pangan, pasangan naga nemu ayunan saka anyaman rotan ngambang ing tengah segara. ing jerone ana bayi wadon. merga katruk welas asih, pasangan naga kuwi njupuk bayi kuwi lan ngopeni kaya anake dhewe."
Legenda Tapak Tuan,Aceh,7,"baik. kita akan mengasuhnya. laut ini terlalu ganas, kita harus menyelamatkannya, jawab naga jantan.","âwahai bojoku, bayi iki lucu banget. sakno nek ditinggal nang kene. piye nek tak openiâ ujare naga wadon."
Legenda Tapak Tuan,Aceh,8,"hari demi hari, bayi mungil itu tumbuh menjadi seorang gadis yang cantik jelita. mereka menamakan gadis itu putri bungsu, karena ia sebenarnya adalah putri bungsu dari kerajaan asralanoka, sebuah negeri di dekat pulau india. sepasang naga merawat dan membesarkannya dengan penuh kasih sayang, menganggapnya seperti anak kandung mereka sendiri.","âinggih. ayo tak openi. segara iki kakehan badai, kudu dislametkake,â wangsule naga lanang."
Legenda Tapak Tuan,Aceh,9,"putri bungsu hidup layaknya seorang manusia, namun ia selalu dijaga oleh kedua naga tersebut. naga jantan dan naga betina sering berpesan agar putri bungsu tidak pergi terlalu jauh dari gua, khawatir jika manusia menemukannya.","dina demi dina, bayi kuwi tuwuh dadi cah ayu banget. pasangan naga mau maringi jeneng putri bungsu, amarga sak tenane dheweke kuwi putri bungsu saka karajan asralanoka, sawijining nagara ing cedhak pulo india. naga loro kuwi ngopeni lan ngasuh putri bungsu kaya anak kandung."
Legenda Tapak Tuan,Aceh,10,"namun, putri bungsu merasa penasaran mengapa dirinya berbeda dari kedua orangtuanya. ia pun mendengar tentang kesaktian tuan tapa dan memutuskan untuk bertanya kepadanya.","putri bungsu urip kaya manungsa, nanging tansah dijaga karo loro nagane. naga loro sering pesen supaya putri bungsu aja adoh-adoh metu saka gua, wedi yen manungsa nemokake dheweke."
Legenda Tapak Tuan,Aceh,11,"wahai tuan tapa yang sakti, mengapa aku berbeda dengan kedua orangtuaku siapa sebenarnya diriku tanya putri bungsu penuh harap.","nanging putri bungsu curiga merga dheweke benten karo wong tuwane. banjur dheweke krungu yen tuan tapa iku sakti, banjur lunga lan takon:"
Legenda Tapak Tuan,Aceh,12,"tuan tapa menjawab,","âwahai tuan tapa, kenapa aku ora podho karo bapak ibuku sapa sak tenane aku ikiâ"
