judul,provinsi,id_teks,teks,referensi
Lutung Kasarung,Jawa Barat,1,"dahulu, di sebuah kerajaan di jawa barat, hiduplah dua putri kerajaan, purbararang dan purbasari. meskipun bersaudara, keduanya memiliki sifat yang sangat berbeda. purbararang adalah sosok yang sombong dan pemalas, sementara purbasari dikenal ramah, rajin, dan rendah hati. purbasari tak pernah memandang dirinya sebagai putri raja, ia bersikap ramah pada semua orang, termasuk rakyat jelata, sehingga rakyat sangat mencintainya.","mbiyen, nang sawijining karajan nang jawa kulon, urip loro putri karajan, purbararang lan purbasari. senajan seduluran, ketigane nduweni sipat sing beda banget. purbararang kuwi sombong lan malas, dene purbasari dikenal ramah, sregep, lan andhap asor. purbasari ora tau nganggep awake dewe dadi putri raja, dheweke tansah ramah marang sapa wae, kalebu rakyat cilik, mula rakyat banget tresna marang dheweke."
Lutung Kasarung,Jawa Barat,2,"sang raja, prabu tapa, menyadari kebaikan hati purbasari dan memutuskan untuk menyerahkan tahta kerajaan kepadanya. keputusan ini membuat purbararang marah besar. seharusnya aku yang menjadi ratu, ayah aku anak sulung protesnya. namun, prabu tapa dengan lembut menjelaskan, ayah memilih purbasari karena rakyat mencintainya, bukan karena urutan kelahiran.","sang raja, prabu tapa, nyadari kabecikan atine purbasari lan mutusake kanggo nyerahke tahta karajan marang dheweke. keputusan iki ndadekake purbararang nesu banget. sakmestine aku sing dadi ratu, bapak aku anak mbarep protese. nanging, prabu tapa kanthi alus nerangkake, bapak milih purbasari merga rakyat tresna marang dheweke, dudu merga urutan lair."
Lutung Kasarung,Jawa Barat,3,"purbasari memimpin kerajaan dengan bijaksana, namun purbararang tidak terima dan merencanakan siasat jahat untuk menyingkirkan adiknya. suatu hari, tubuh purbasari mendadak dipenuhi bintik hitam yang mengeluarkan bau busuk. purbararang memanfaatkan situasi ini untuk membujuk ayahnya agar mengasingkan purbasari ke hutan. penyakitnya bisa menular dan membahayakan rakyat, ayah, bujuk purbararang. dengan berat hati, prabu tapa mengasingkan purbasari demi kebaikan semua orang.","purbasari mimpin karajan kanthi bijaksana, nanging purbararang ora trima lan ngrancang siasat ala kanggo nyingkirake adhine. siji dina, awake purbasari dumadakan kebak bintik ireng sing ngetokno ambu ora enak. purbararang nggunakake kahanan iki kanggo mbujuk bapake supaya ngasingkake purbasari menyang alas. penyakite isa nular lan mbebayani rakyat, bapak, bujuke purbararang. kanthi atine abot, prabu tapa ngasingke purbasari demi kabecikan kabeh wong."
Lutung Kasarung,Jawa Barat,4,"di hutan, purbasari tinggal dalam sebuah rumah kecil yang dibangun oleh patih istana. meskipun sedih, purbasari menerima nasibnya dengan ikhlas. ia mencoba menikmati hidup di hutan, berteman dengan burung, semut, dan kupu-kupu.","nang alas, purbasari manggon nang omah cilik sing digawe dening patih istana. senajan sedhih, purbasari nerima nasibe kanthi ikhlas. dheweke nyoba nikmati urip nang alas, dolan bareng manuk, semut, lan kupu-kupu."
Lutung Kasarung,Jawa Barat,5,"suatu hari, seekor lutung datang menghampiri purbasari dan memberikan buah mangga. lutung itu menjadi teman setia purbasari, membantu mencari makanan dan mendengarkan keluh kesahnya. purbasari memberi nama lutung itu lutung kasarung, yang berarti lutung yang tersesat.","sawijining dina, ana sawijining lutung teka nyedhaki purbasari lan menehi woh mangga. lutung kuwi dadi kancane purbasari sing setya, mbantu golek pangan lan ngrungokke keluh kesahe. purbasari menehi jeneng lutung kuwi lutung kasarung, sing artine lutung sing kesasar."
Lutung Kasarung,Jawa Barat,6,"penyakit purbasari belum juga sembuh, hingga suatu hari lutung kasarung membawanya ke sebuah danau di tengah hutan. di sana, ia diminta membasuh tubuhnya dengan air danau yang dicampur bunga-bunga. keajaiban pun terjadi kulit purbasari kembali bersih dan bercahaya.","penyakite purbasari durung mari, nganthi sawijining dina lutung kasarung nggawa dheweke menyang sawijining tlaga nang tengah alas. nang kono, dheweke dijaluk mbasuh awak nganggo banyu tlaga sing dicampur kembang-kembang. ajaib kulite purbasari bali resik lan sumilak."
Lutung Kasarung,Jawa Barat,7,"purbasari memutuskan kembali ke istana. namun, purbararang tidak ingin menyerahkan tahta dengan mudah. ia mengajukan dua syarat:","purbasari mutusake bali menyang istana. nanging, purbararang ora gelem nyerahkake tahta kanthi gampang. dheweke ngajokake loro syarat:"
Lutung Kasarung,Jawa Barat,8,"membandingkan panjang rambut. ketika rambut mereka diukur, ternyata rambut purbasari lebih panjang.","mbandhingake dawa rambut. wektu rambute diukur, jebul rambute purbasari luwih dawa."
Lutung Kasarung,Jawa Barat,9,"memiliki calon suami yang lebih tampan dari suami purbararang, indrajaya. purbasari terdiam karena tidak memiliki calon suami. namun, lutung kasarung maju dan menawarkan dirinya sebagai calon suami purbasari.","duweni calon bojo sing luwih ganteng tinimbang bojone purbararang, indrajaya. purbasari meneng merga ora duweni calon bojo. nanging, lutung kasarung maju lan nawakake awake dadi calon bojone purbasari."
Lutung Kasarung,Jawa Barat,10,"purbararang tertawa mengejek. lutung menjadi calon suami mana mungkin dia lebih tampan dari indrajaya namun, tiba-tiba tubuh lutung kasarung berubah menjadi seorang pangeran tampan yang jauh lebih menawan daripada indrajaya.","purbararang ngguyu nyemengeke. lutung dadi calon bojo opo isa dheweke luwih ganteng tinimbang indrajaya nanging, dumadakan awake lutung kasarung malih dadi sawijining pangeran ganteng sing luwih menawan tinimbang indrajaya."
