judul,provinsi,id_teks,teks,referensi
Malin Kundang,Sumatera Barat,1,"pada zaman dahulu, di sebuah perkampungan nelayan pantai air manis di daerah padang, sumatera barat, hiduplah seorang janda bernama mande rubayah dan seorang anak laki-lakinya yang bernama malin kundang. mande rubayah amat menyayangi dan memanjakan malin kundang. malin adalah seorang anak yang rajin dan penurut. mande rubayah sudah tua, dan ia hanya mampu bekerja sebagai penjual kue untuk memenuhi kebutuhan dirinya dan anak tunggalnya.","mbiyen, ana ing sawijining kampung nelayan ing pesisir air manis, wilayah padang, sumatra barat, urip sawijining randha jenenge mande rubayah lan anak lanang siji jenenge malin kundang. mande rubayah banget sayange lan ngeman anake, malin kundang. malin kuwi bocah sing sregep lan manut. mande rubayah wis tuwa, lan mung isa golek rejeki saka dodolan jajanan kanggo nyukupi kabutuhane dhewe lan anak tunggale."
Malin Kundang,Sumatera Barat,2,"suatu hari, malin jatuh sakit parah, nyawanya hampir melayang, namun ia dapat diselamatkan berkat usaha keras ibunya. setelah sembuh dari sakitnya, malin semakin disayang. mereka adalah ibu dan anak yang saling menyayangi.","sewengi, malin lara parah, nyawane meh ilang, nanging dheweke kaslametake merga usaha kerase ibune. sawise waras, malin saya disayang. wong loro kuwi dadi ibu lan anak sing saling tresna."
Malin Kundang,Sumatera Barat,3,"kini, malin sudah dewasa dan meminta izin kepada ibunya untuk merantau ke kota, karena saat itu ada kapal besar merapat di pantai air manis.","saiki malin wis diwasa lan njaluk ijin marang ibune kanggo merantau menyang kutha, merga wektu kuwi ana kapal gedhe sing merapat ing pesisir air manis."
Malin Kundang,Sumatera Barat,4,"jangan, malin. ibu takut terjadi sesuatu denganmu di tanah rantau sana. menetaplah saja di sini, temani ibu, ucap ibunya sedih setelah mendengar keinginan malin yang ingin merantau.","aja, malin. ibu wedi nek kedadean apa-apa karo kowe nang tanah rantau kana. tetenana wae nang kene, temani ibu, ujare ibune sedhih sawise krungu karepe malin sing arep merantau."
Malin Kundang,Sumatera Barat,5,"ibu tenanglah, tidak akan terjadi apa-apa dengan ku, kata malin sambil menggenggam tangan ibunya.","ibu tenang wae, ora bakal ana apa-apa karo aku, ujare malin karo nyekel tangan ibune."
Malin Kundang,Sumatera Barat,6,"ini kesempatan, bu. karena belum tentu setahun sekali ada kapal besar merapat di pantai ini. aku ingin mengubah nasib kita. izinkanlah, pinta malin memohon.","iki kesempatan, bu. merga ora saben taun ana kapal gedhe teka nang pesisir iki. aku arep ngowahi nasib awake dhewe. parengke ya, bu, panjaluke malin."
Malin Kundang,Sumatera Barat,7,"baiklah, ibu izinkan. cepatlah kembali. ibu akan selalu menunggumu, nak, kata ibunya sambil menangis.","yo wis, ibu parengke. cepet bali, ya. ibu bakal tansah nunggu kowe, nak, ujare ibune karo nangis."
Malin Kundang,Sumatera Barat,8,"meski dengan berat hati, akhirnya mande rubayah mengizinkan anaknya pergi. kemudian, malin dibekali nasi berbungkus daun pisang sebanyak tujuh bungkus.","sanajan atine abot, pungkasane mande rubayah ngejarke anake lunga. malin diwenehi sangu sega dibungkus godhong gedhang sakwutu pitu."
Malin Kundang,Sumatera Barat,9,"untuk bekalmu di perjalanan, katanya sambil menyerahkan pada malin.","kanggo sangu lungo lelunganmu, ujare ibune nalika maringi bungkusan marang malin."
Malin Kundang,Sumatera Barat,10,"setelah itu, berangkatlah malin kundang ke tanah rantau meninggalkan ibunya sendirian. hari-hari terus berlalu, hari yang terasa lambat bagi mande rubayah. setiap pagi dan sore, mande rubayah memandang ke laut.","sawise kuwi, malin kundang mangkat merantau ninggalake ibune sing manggon piyambakan. dina-dina terus lumaku, wektu karasa alon kanggo mande rubayah. saben esuk lan sore, mande rubayah tansah nyawang segara."
Malin Kundang,Sumatera Barat,11,"sudah sampai manakah kamu berlayar, nak tanyanya dalam hati, terus memandang laut. ia selalu mendoakan anaknya agar selalu selamat dan cepat kembali.","nganti pundi kowe layar, nak pitakone ing atine, terus nyawang laut. dheweke tansah ndongakake anake supaya selamet lan cepet bali."
Malin Kundang,Sumatera Barat,12,"beberapa waktu kemudian, jika ada kapal yang datang merapat, ia selalu menanyakan kabar tentang anaknya.","sawise sawetara wektu, saben ana kapal teka, dheweke mesthi takon kabar anake."
