judul,provinsi,id_teks,teks,referensi
Malin Kundang (Version 1),Sumatera Barat,1,"di pesisir pantai sumatera barat terdapat sebuah desa kecil yang berdiri megah menghadap samudra yang luas. di desa tersebut tinggal seorang ibu muda yang gigih bernama amina. amina tinggal sendirian bersama anaknya, malin kundang, karena suaminya telah meninggal dunia sejak malin masih bayi. malin kundang tumbuh menjadi seorang pemuda gagah berani, penuh semangat, dan memiliki impian besar. ia bercita-cita untuk menjadi seorang pelaut terkenal dan membawa kebanggaan bagi keluarganya. setiap hari, malin kundang akan berdiri di pesisir pantai memandangi laut yang luas dan berharap suatu hari nanti ia dapat menaklukkan samudra yang ganas itu.","ana ing pesisir pantai sumatera barat, ana sawijining desa cilik sing ngadeg megah ngadhep samodra sing amba. ing desa kuwi manggon ibu enom sing semangat banget jenenge amina. amina manggon dewe karo anake, malin kundang, merga bojone wis tilar donya nalika malin isih bayi. malin kundang thukul dadi pemuda gagah lan wani, kebak semangat, lan nduwe impen gedhe. dheweke nduwe cita-cita dadi pelaut kondhang lan nggawa kebanggaan kanggo keluargane. saben dina, malin kundang bakal ngadeg ing pesisir pantai nyawang laut sing amba lan ngarep-arep sawijining dina bisa nguwasani samodra sing ganas kuwi."
Malin Kundang (Version 1),Sumatera Barat,2,"namun, kehidupan tidaklah selalu mudah bagi amina dan malin kundang. mereka hidup dalam kemiskinan yang menghimpit, dan malin sering kali harus bekerja keras sebagai nelayan untuk menyediakan makanan bagi ibunya. meskipun kehidupan mereka serba kekurangan, amina selalu memperdulikan dan mencintai malin dengan tulus.","nanging urip ora tansah gampang kanggo amina lan malin kundang. uripe padha ing kemiskinan sing nyepet, lan malin kerep kudu makarya keras dadi nelayan kanggo nyedhiyani pangan kanggo ibune. senajan uripe kurang, amina tansah nggatekake lan tresna marang malin kanthi tulus."
Malin Kundang (Version 1),Sumatera Barat,3,"suatu hari, malin kundang melihat sebuah kapal besar bersandar di pelabuhan desa mereka. mata malin berbinar-binar melihat kapal tersebut, dan ia tahu inilah kesempatan emasnya untuk mewujudkan impian menjadi seorang pelaut. tanpa ragu, malin segera mendekati kapal dan memohon kepada kaptennya untuk diberi kesempatan bergabung sebagai awak kapal. dengan pandangan skeptis, kapten kapal memberikan malin kesempatan untuk membuktikan kemampuannya. malin menerima tantangan tersebut dengan penuh semangat, dan dalam waktu singkat ia berhasil membuktikan dirinya sebagai seorang yang tangguh dan berbakat di atas kapal.","siji dina, malin kundang weruh kapal gedhe mampir ing pelabuhan desa. mata malin madhangi weruh kapal kuwi, lan dheweke ngerti kuwi kesempatan emas kanggo nglaksanani impen dadi pelaut. tanpa ragu, malin langsung nyedhaki kapal lan nyuwun marang kaptene supaya diwenehi kesempatan dadi awak kapal. kanthi pandangan skeptis, kapten kapal maringi kesempatan kanggo malin buktekake kemampuane. malin nampa tantangan kuwi kanthi semangat, lan sajrone wektu cendhak dheweke bisa buktekake dadi wong sing tangguh lan pinter ing kapal."
Malin Kundang (Version 1),Sumatera Barat,4,"dengan cepat, malin kundang naik pangkat dan menjadi salah satu pelaut terbaik di kapal tersebut. dengan bergabungnya malin, kapal itu semakin berkembang dan terkenal di berbagai pelosok. malin menjadi kebanggaan desanya, dan amina sangat bangga melihat anaknya telah mencapai kesuksesan yang luar biasa.","kanthi cepet, malin kundang munggah pangkat dadi salah siji pelaut paling apik ing kapal kuwi. kanthi melu malin, kapal kuwi saya maju lan misuwur ing sak pelusok. malin dadi kebanggaan desane, lan amina bangga banget weruh anake wis entuk kasuksesan gedhe."
Malin Kundang (Version 1),Sumatera Barat,5,"namun, semakin lama malin berlayar jauh di lautan, semakin jarang pula ia pulang ke desanya. amina merasa kesepian tanpa kehadiran anaknya, namun ia tahu bahwa malin sedang mengejar mimpinya.","nanging, saya suwe malin nglayar adoh ing samodra, saya arang bali menyang desane. amina kroso sepi tanpa anake, nanging dheweke ngerti yen malin lagi nguber impene."
Malin Kundang (Version 1),Sumatera Barat,6,"namun, kesuksesan malin kundang tidak berlangsung selamanya. suatu hari, ketika kapalnya sedang berlayar melintasi samudra yang ganas, mereka diserang oleh badai yang mengerikan. angin kencang dan gelombang besar merobek kapal mereka menjadi dua bagian. di tengah kekacauan itu, malin kundang terjatuh ke dalam laut yang bergelombang. meskipun ia berjuang keras untuk bertahan hidup, malin kundang akhirnya terbawa arus laut dan terseret ke sebuah pulau terpencil. di pulau itu, malin bertahan hidup dengan cara berburu dan memancing untuk mencari makanan. namun, kehidupan sendirian di pulau itu membuat malin semakin merindukan desa dan ibunya.","nanging, kasuksesan malin kundang ora langgeng. siji dina, nalika kapale nglayar ngliwati samodra sing ganas, dheweke diserang badai gedhe. angin kenceng lan ombak gedhe ngrusak kapal dadi loro. ing tengah kekacauan, malin kundang tiba ing segara sing ombake gedhe. senajan dheweke usaha banget kanggo slamet, malin kundang pungkasane keseret arus laut lan kejiret ing pulo terpencil. ing pulo kuwi, malin slamet kanthi cara ngoyak lan mancing kanggo golek panganan. nanging, urip dewekan ing pulo kuwi nggawe malin saya kangen desa lan ibune."
Malin Kundang (Version 1),Sumatera Barat,7,"beberapa tahun berlalu, malin kundang akhirnya berhasil menemukan cara untuk kembali ke desanya. dengan perahu kecil yang ia buat sendiri, malin berlayar pulang dengan hati yang penuh harap. namun, ketika ia tiba di desa, yang ia temui bukanlah sambutan hangat yang ia bayangkan. amina, ibunya, telah menjadi tua dan lemah karena menanti kepulangan malin. namun, ketika ia melihat anaknya datang, ia segera melupakan semua kesedihannya dan berlari ke arah malin dengan pelukan hangat.","sawetara taun wis kliwat, malin kundang pungkasane bisa nemokake cara kanggo bali menyang desane. kanthi prau cilik sing digawe dhewe, malin nglayar bali kanthi ati kebak pangarep-arep. nanging nalika tekan desa, sing ditemokake dudu sambutan anget kaya sing dibayangake. amina, ibune, wis tuwa lan ringkih amarga ngenteni kepulangan malin. nanging nalika weruh anake teka, dheweke langsung lali sedhihe lan mlayu nyang malin kanthi pelukan anget."
Malin Kundang (Version 1),Sumatera Barat,8,"namun, malin kundang menolak pelukan ibunya dengan dingin. saya bukan lagi malin kundang yang miskin dan kotor seperti dulu, kata malin dengan suara sombong. saya sekarang adalah seorang pelaut terkenal dengan kekayaan dan kemegahan. saya tidak ingin diakui sebagai anak dari seorang wanita miskin seperti kamu.","nanging, malin kundang nolak pelukan ibune kanthi adhem. aku ora maneh malin kundang sing mlarat lan kotor kaya biyen, ujare malin kanthi swara sombong. aku saiki pelaut kondhang sing nduwe bandha lan kamulyan. aku ora gelem diakoni dadi anake wong mlarat kaya kowe."
Malin Kundang (Version 1),Sumatera Barat,9,"kata-kata tersebut menusuk hati amina yang hancur dan penuh duka. dia tidak bisa percaya bahwa anaknya yang dicintainya dengan sepenuh hati telah berubah menjadi pribadi yang sombong dan angkuh. namun, meskipun sakit hati, amina masih mencoba untuk menyapa anaknya dengan kasih sayang. namun, malin kundang tidak ingin berlama-lama di desa yang dianggapnya rendah. dengan sombong, ia meninggalkan ibunya yang menangis dan desa yang pernah membesarkannya. malin kundang kembali ke laut, meninggalkan semua kenangan dan orang yang pernah dicintainya di belakang.","tembung-tembung kuwi nembus ati amina sing pecah lan kebak sedhih. dheweke ora percaya yen anake sing ditresnani kanthi sakabehe wis dadi pribadi sing sombong lan angkuh. senajan ati lara, amina isih nyoba nyapa anake kanthi katresnan. nanging, malin kundang ora gelem suwe ing desa sing dianggepe rendahan. kanthi sombong, dheweke ninggal ibune sing nangis lan desa sing tau nglairake. malin kundang bali menyang laut, ninggalake kabeh kenangan lan wong sing tau ditresnani mburi."
Malin Kundang (Version 1),Sumatera Barat,10,"namun, takdir memiliki rencana lain untuk malin kundang. ketika ia berlayar kembali ke lautan yang luas, kapalnya diserang oleh badai yang lebih dahsyat dari sebelumnya. gelombang besar menenggelamkan kapalnya ke dasar laut, dan malin kundang pun tenggelam bersama kapalnya.","nanging, nasib nduwe rencana liya kanggo malin kundang. nalika nglayar maneh menyang samodra sing amba, kapale diserang badai luwih gedhe tinimbang sadurunge. ombak gedhe nglelepake kapal nganti tekan dasar laut, lan malin kundang klelep bareng kapale."
