judul,provinsi,id_teks,teks,referensi
Mencari Tiga Buah Kelimat,Sulawesi Selatan,1,"pada sebuah kampung, ada seorang yang kaya raya. orang itu mempunyai seorang istri dan seorang anak yang berumur sepuluh tahun. pekerjaan yang digemari orang itu adalah menjala ikan. pada suatu hari, berkatalah ia kepada anaknya, pasanglah anak jala itu. sebentar lagi kita akan pergi menjala ke muara sungai.","ing sawijining kampung, ana wong sugih banget. wong kuwi nduwe bojo lan anak siji sing umure sepuluh taun. pakaryan sing disenengi wong kuwi ya iku njala iwak. ing sawijining dina, wong kuwi ngomong marang anake, pasangna anak jala kuwi. mengko awakku loro arep lunga njala nang muara kali."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,2,"lalu anaknya menjawab, baiklah, ayah.","anake banjur njawab, inggih, pak."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,3,"setelah itu, mereka pergi menyusuri sungai untuk menjala ikan. mereka melemparkan jala ke sana kemari, tetapi tidak seekor ikan pun yang mereka dapatkan. akhirnya, tibalah mereka pada pucuk sungai. jala pun mereka lemparkan ke dalam air, dan mereka mendapatkan seekor anak ikan kokok-kokok, yaitu sejenis ikan merah mata. setelah itu, berkatalah orang tua itu kepada anaknya, ambillah ikan ini dan masukkan ke dalam sumpit. hanya anak ikan kokok-kokok ini yang kita dapatkan, padahal kita sudah payah setengah mati.","sawise kuwi, wong kuwi karo anake mangkat nyusuri kali kanggo njala iwak. jalae padha dibalangake menyang ngendi-endi, nanging ora oleh iwak siji wae. pungkasane, tekan pucuk kali. jala banjur dibalangake nang banyu, lan padha oleh anak iwak kokok-kokok, ya iku sak jinis iwak abang mata. sakwise kuwi, wong tuwa kuwi ngomong marang anake, jupukna iwak iki lan lebokna nang sumpit. mung anak iwak kokok-kokok iki thok sing isa kita oleh, padahal awake dewe wis payah setengah mati."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,4,"kemudian anaknya mengambil ikan itu dan memasukkannya ke dalam sumpit. setelah itu, mereka pulang ke rumah. sesampainya di rumah, orang kaya itu merasa heran melihat anak ikan tersebut sudah bertambah besar. lalu mereka mengambil sebuah baskom yang diisi dengan air, lalu ikan itu mereka masukkan ke dalam baskom tersebut. ikan itu selalu mengeluarkan suara kokok-kokok, sehingga hal ini mengherankan mereka.","anake banjur njupuk iwak kuwi lan dilebokna nang sumpit. sakwise kuwi, padha mulih menyang omah. tekan omah, wong sugih kuwi kaget ndelok anak iwake kuwi wis dadi gedhe. banjur padha njupuk baskom diisi banyu, banjur iwak kuwi dilebokna nang baskom. iwak kuwi tansah muni kokok-kokok, nganthi padha gumun."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,5,"selain itu, mereka juga sangat heran karena ikan tersebut dari hari ke hari bertambah besar. akhirnya, ikan itu tidak muat lagi di dalam baskom tersebut. mereka kemudian membuat sebuah parit kecil, lalu ikan itu pun dimasukkan ke dalam parit itu. tetapi lama-kelamaan, ikan itu tidak muat lagi di dalam parit karena terus bertambah besar. setelah itu, mereka membuat sebuah perahu sebagai tempat ikan itu. namun, perahu itu pun akhirnya tidak dapat lagi menampung ikan karena ikan terus bertambah besar.","saliyane kuwi, wong-wong kuwi uga gumun merga iwak kuwi saben dina tambah gedhe. akhire, iwak kuwi ora muat maneh nang baskom kuwi. banjur padha nggawe parit cilik, banjur iwak kuwi dilebokna nang parit kuwi. nanging suwe-suwe, iwak kuwi ya ora muat maneh nang parit merga tansah tambah gedhe. sakwise kuwi, padha nggawe prau kanggo panggonane iwak kuwi. nanging, prau kuwi uga pungkasane ora isa nampung iwake merga iwak terus tambah gedhe."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,6,"akhirnya, timbullah tanda tanya dalam hati orang kaya itu, apakah gerangan yang bakal terjadi dengan kejadian ikan ini","pungkasane, muncul pitakon nang atine wong sugih kuwi, apa ta sakjane sing bakal kelakon karo kedadean iwak iki"
Mencari Tiga Buah Kelimat,Sulawesi Selatan,7,"lalu pergilah orang kaya itu kepada seseorang yang dianggap berilmu dan berpengalaman untuk menanyakan tentang keanehan ikannya itu. ketika orang itu berangkat dari rumah, ia membawa tiga keping emas untuk keperluan tersebut. setelah beberapa hari perjalanan, ia berjumpa dengan seseorang. kepada orang itu, dia mengutarakan maksud perjalanannya sambil menyerahkan sekeping emas yang dibawanya. setelah orang itu meramalkan mengenai keajaiban ikan tersebut, ia berkata kepada orang kaya itu, apa yang telah anda ketahui, cukup anda saja yang mengetahuinya.","banjur wong sugih kuwi lunga menyang wong sing dianggep nduwe kawruh lan pengalaman kanggo takon babagan kaanehan iwake kuwi. nalika mangkat saka omah, dheweke nggawa telung keping emas kanggo keperluan kuwi. sakwise sawetara dina lelungan, dheweke ketemu karo wong. marang wong kuwi, dheweke ngandharake maksud perjalanane karo nyerahke sekeping emas sing digawa. sakwise wong kuwi ngramal ngenani kaajaiban iwak kuwi, dheweke ngomong marang wong sugih kuwi, apa sing wis panjenengan ngerti, cukup panjenengan wae sing ngerti."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,8,"demikian ucapan orang tersebut. kemudian orang kaya itu melanjutkan perjalanannya dan berjumpa lagi dengan seseorang yang tidak dikenalnya. kepada orang itu pun ia menceritakan maksud perjalanannya sambil menyerahkan sekeping emas yang ada di tangannya. setelah mendengarkan cerita orang kaya itu, orang tersebut berkata, apa yang telah anda lihat, cukup anda saja yang mengetahuinya.","kaya ngono omongane wong kuwi. banjur wong sugih kuwi nerusake lelungane lan ketemu maneh karo wong sing ora dikenal. marang wong kuwi uga dheweke nyritakake maksud perjalanane lan nyerahke sekeping emas sing ana ing tangane. sakwise ngrungokake critane wong sugih kuwi, wong kuwi ngomong, apa sing wis panjenengan delok, cukup panjenengan wae sing ndelok."
Mencari Tiga Buah Kelimat,Sulawesi Selatan,9,"lalu orang kaya itu bertanya, apakah tak ada lagi yang lain","wong sugih kuwi banjur takon, apa ora ana liyane maneh"
Mencari Tiga Buah Kelimat,Sulawesi Selatan,10,"orang itu menjawab, tidak.","wong kuwi njawab, ora ana."
