judul,provinsi,id_teks,teks,referensi
Mentiko Betuah,Aceh,1,"pada suatu negeri, ada seorang raja yang amat kaya. raja itu sangat disenangi oleh rakyatnya. tetapi, sayang, raja tersebut tidak mempunyai anak walaupun sudah sepuluh tahun membina rumah tangga. pada suatu malam, ia berbincang-bincang dengan istrinya. percakapan mereka tidak lain adalah mengenai nasib mereka yang sudah lama belum mempunyai anak. lalu raja tersebut berkata kepada istrinya, adinda, bagaimana gerangan nasib kita ini walaupun kakanda adalah seorang raja yang amat kaya di negeri ini, tetapi kepada siapakah kekayaan itu akan kita wariskan dan bagaimana pikiran adinda mengenai hal itu","ing sawijining negari, ana sawijining raja sing sugih banget. raja kuwi banget disenengi karo rakyate. nanging, sayange, raja kuwi ora nduweni anak sanajan wis sepuluh taun mbangun rumah tangga. ing sawijining bengi, dheweke padha rembugan karo bojone. rembugane ora liya yaiku bab nasibe sing wis suwe durung nduweni anak. banjur raja kuwi ngomong marang bojone, adinda, piye kira-kira nasibe awake dhewe iki sanajan kakanda iku sawijining raja sing banget sugih ing negari iki, nanging marang sapa bandha kuwi bakal kita warisake lan piye pamikirane adinda bab kuwi"
Mentiko Betuah,Aceh,2,"pada saya ada satu cara, jawab istrinya.","ing aku ana siji cara, wangsulane bojone."
Mentiko Betuah,Aceh,3,"jalan apakah itu, adinda tanyanya mendesak istrinya itu.","dalane apa kuwi, adinda takone nyedak bojone kuwi."
Mentiko Betuah,Aceh,4,"kemudian istrinya itu mengatakan, kita pergi ke hulu sebuah sungai yang airnya sangat dingin. di sana kita ber-iimau dan bernazar kepada tuhan yang maha esa agar kepada kita diberkahi seorang anak.","banjur bojone kuwi ngomong, awake dhewe lunga menyang hulu sawijining kali sing banyune adhem banget. ing kono awake dhewe padha adus lan nadzar marang gusti allah kang maha kuwasa supaya awake dhewe diparingi anak."
Mentiko Betuah,Aceh,5,"setelah mendengar ucapan istrinya itu, maka keesokan harinya, dengan persiapan dan perlengkapan yang cukup, berangkatlah raja beserta istrinya ke tempat tersebut. tempat yang dituju itu memang sangat jauh, menempuh hutan belantara, naik gunung, turun gunung, dan akhirnya tibalah mereka di tempat itu. setelah tiba, lalu beberapa saat mereka beristirahat, dan sesudah itu mulailah mereka mandi serta ber-iimau seperti yang diniatkan semula. ketika mandi, mereka kedinginan sehingga badannya gemetar rasanya. setelah itu, mereka berdoa serta bernazar di tempat itu. dari hari ke hari, dari bulan ke bulan, akhirnya apa yang diminta kiranya telah terkabul. istri raja telah mengandung, dan tidak lama kemudian ia melahirkan seorang anak yang kulitnya putih bagaikan kapas.","sawise krungu omongan bojone kuwi, banjur esuke, karo nyiapke perlengkapan sing cukup, mangkatlah raja bebarengan karo bojone menyang panggonan kuwi. panggonan sing dituju kuwi pancen adoh banget, ngliwati alas alas, munggah gunung, mudhun gunung, lan pungkasane tekan panggonan kuwi. sawise tekan, banjur sawatara wektu padha ngaso, lan sawise kuwi wiwit padha adus lan adus kaya sing diniatke saka wiwitan. nalika adus, padha kedinginan nganti awake gemeter rasane. sawise kuwi, padha ndonga lan nadzar ing panggonan kuwi. saka dina menyang dina, saka sasi menyang sasi, pungkasane apa sing dijaluk kayata wis kabul. bojone raja wis ngandhut, lan ora suwe banjur nglairke sawijining anak sing kulite putih kaya kapas."
Mentiko Betuah,Aceh,6,"raja sangat gembira dan hatinya sangat senang. ia menyuruh memukul beduk untuk memberi tahu seluruh rakyat agar berkumpul di pendopo istananya. ketika seluruh rakyat telah berkumpul, lalu mereka bertanya kepada raja, apakah kiranya baginda memanggil kami kemari","raja banget bungah lan atine seneng banget. dheweke dhawuh nggebug bedhug kanggo ngabari kabeh rakyat supaya padha kumpul ing pendhapa kraton. nalika kabeh rakyat wis padha kumpul, banjur padha takon marang raja, apa kira-kira baginda ngundang awake dhewe menyang kene"
Mentiko Betuah,Aceh,7,"lalu raja menjawab, hai rakyatku, aku memanggil kalian kemari adalah hendak mengabarkan bahwa tuhan telah memberikan aku seorang putra.","banjur raja njawab, he rakyatku, aku ngundang kowe menyang kene arep ngabari yen gusti wis maringi aku sawijining putra."
Mentiko Betuah,Aceh,8,"mendengar ucapan raja, maka seluruh rakyat dengan serentak mengucapkan, alhamdulillah, tanda mereka turut bergembira pula. selanjutnya, raja menyampaikan bahwa ia hendak mengadakan kenduri atau selamatan sebagai tanda syukur atas rahmat tuhan yang telah melimpahinya itu. seluruh rakyat bersiap dan bekerja melaksanakan hajat raja itu. segala keperluan mereka sediakan; ada yang mencari kayu, ada yang memasang tungku, dan ada yang menyembelih kerbau sehingga segala sesuatu yang dibutuhkan telah tersedia sebagaimana mestinya. mereka menyembelih tujuh ekor kerbau, dan upacara selamatan itu berlangsung tujuh hari tujuh malam lamanya.","krungu omongane raja, banjur kabeh rakyat bebarengan ngucap, alhamdulillah, tandha padha melu bungah uga. sabanjure, raja nyampekke yen dheweke arep ngadani kenduri utawa slametan minangka tandha syukur marang rahmate gusti sing wis maringi kuwi. kabeh rakyat padha nyiapke lan nyambut gawe nindakke hajate raja kuwi. kebutuhan kabeh disedhiyakke; ana sing golek kayu, ana sing masang pawonan, lan ana sing nyembelih kebo nganti kabeh sing dibutuhke wis kasedhiya kaya mesthine. padha nyembelih pitu ekor kebo, lan upacara slametan kuwi lumaku pitung dina pitung bengi suwene."
Mentiko Betuah,Aceh,9,"lama-kelamaan, anak raja pun bertambah besar. pada umur enam tahun, dia disekolahkan. dia termasuk anak yang sangat cerdas; apa saja pelajaran yang diajarkan gurunya dengan mudah dapat dipelajarinya sehingga ia tamat dari sekolah itu. kemudian sekolahnya dilanjutkan ke sebuah kota yang penuh dengan keramaian. sebelum ia berangkat, segala sesuatu keperluannya dipersiapkan. ia diberikan uang untuk biaya secukupnya. maklumlah, ia adalah seorang anak raja kaya. apa yang diingini semuanya telah tersedia. ia adalah satu-satunya anak tunggal raja. lagi pula, ia sangat dimanjakan.","suwe-suwe, anake raja kuwi saya gedhe. nalika umur nem taun, dheweke disekolahke. dheweke kalebu anak sing banget pinter; apa wae pelajaran sing diwulangke gurune gampang bisa diapal lan dipelajari nganti lulus saka sekolah kuwi. banjur sekolahe diterusake menyang sawijining kutha sing rame banget. sakwise arep mangkat, kabeh kebutuhane disiapke. dheweke diparingi dhuwit kanggo biaya sing cukup. maklum, dheweke anake raja sugih. apa wae sing dikarepake kabeh wis ana. dheweke iku siji-sijine anak tunggal raja. apamaneh, dheweke banget dimanja."
Mentiko Betuah,Aceh,10,"tatkala ia berada di kota besar, dalam menempuh perjalanannya itu, dia rupanya terpengaruh oleh gadis-gadis kota sehingga pelajarannya berakhir dengan kegagalan. ini sangat merisaukan. telah bertahun-tahun ia dibiayai oleh orang tuanya untuk bersekolah sebagai tumpuan harapan orang tuanya kepadanya. namun kiranya semua itu berlangsung sia-sia. uang telah banyak habis, tetapi sekolahnya ternyata gagal. pulanglah ia ke kampung. orang tuanya amat marah kepadanya. rasanya hendak mengenyahkan anaknya itu dari permukaan bumi. harapan dan cita-citanya telah tenggelam ke dalam kerisauan yang sangat menyedihkan hatinya itu.","nalika dheweke ana ing kutha gedhe, sakwise nempuh lelampahan kuwi, jebul dheweke kepengaruh karo cah wadon kutha nganti pelajarane kandhas. kuwi banget ngelarani ati. wis pirang-pirang taun dheweke dibiayai karo wong tuwane kanggo sekolah dadi pangarep-arep wong tuwane marang dheweke. nanging jebul kabeh kuwi mung sia-sia. dhuwit wis akeh entek, nanging sekolahe jebul gagal. mbaliklah dheweke menyang desa. wong tuwane banget nesu marang dheweke. rasane kaya arep nyingkirake anak kuwi saka ndhuwur bumi. pangarep-arep lan cita-citane wis keleleb ing kahanan sing banget nglarani atine kuwi."
Mentiko Betuah,Aceh,11,"demikianlah keluhan sang raja ketika mengetahui kelakuan anaknya itu. selama di kampung, anak itu tidak mempunyai pekerjaan. maka, pada suatu hari, dia menemui ibunya. kepada ibunya, ia berkata bahwa ia ingin berdagang. dimintanya agar diberikan modal. permintaan anaknya itu lalu disampaikan kepada ayahnya sambil berkata, daripada dia kita hardik setiap hari, lebih baik kita berikan dia modal untuk berdagang.","mangkono keluhane sang raja nalika ngerti tingkah lakune anake kuwi. sakwise ana ing desa, anak kuwi ora nduweni pagawean. mula, ing sawijining dina, dheweke nemoni ibune. marang ibune, dheweke ngomong yen dheweke kepengin dagang. dijalukake supaya diparingi modal. panjaluk anake kuwi banjur disampekke marang bapake karo ngomong, tinimbang saben dina kita misuhi dheweke, luwih becik kita paringi dheweke modal kanggo dagang."
Mentiko Betuah,Aceh,12,"mendengar saran dan anjuran istrinya, maka raja menyediakan modal untuk berdagang kepada anaknya itu. ketika uang modal itu diserahkan kepadanya, raja berpesan, kalau engkau ingin berdagang, maka betul-betullah berdagang dan bekerjalah dengan sungguh-sungguh. tetapi, ingatlah bahwa jika uang yang kuberikan ini bila kau pulang ternyata telah habis, akan kupancung batang lehermu itu.","krungu saran lan anjuran bojone, banjur raja nyiapake modal dagang marang anake kuwi. nalika dhuwit modal kuwi diserahke marang dheweke, raja dhawuh, yen kowe kepengin dagang, mula tenanan dagang lan nyambut gawe kudu sregep. nanging, elinga yen dhuwit sing tak paringake iki nek kowe mulih jebul wis entek, bakal tak penggal gulu kowe kuwi."
Mentiko Betuah,Aceh,13,"anak itu pun berangkatlah setelah menyalami kedua orang tuanya. ketika itu, ibunya menangis karena harus berpisah dengan anak satu-satunya itu. anak itu berangkat dari satu kampung ke kampung yang lain. ia berjumpa dengan anak-anak kampung yang sedang menembak burung dengan ketapelnya. ia melarang mereka menganiaya burung karena burung itu tidak berdosa, katanya. tetapi, anak-anak kampung itu menjawab, apa yang kau tahu kutempeleng kepalamu nanti kalau kamu memberikan uang kepada kami, maka kami menghentikan perbuatan kami ini.","anak kuwi banjur mangkat sakwise salaman karo wong tuwane. nalika kuwi, ibune nangis merga kudu pisahan karo anak siji-sijine kuwi. anak kuwi lunga saka siji desa menyang desa liyane. dheweke ketemu karo bocah-bocah desa sing lagi nembaki manuk nganggo plintengane. dheweke ngelarang bocah-bocah kuwi nganiaya manuk merga manuk kuwi ora duwe dosa, kandane. nanging, bocah-bocah desa kuwi njawab, apa sing kok ngerti tak plintheng sirahmu mengko yen kowe menehi dhuwit marang awake dhewe, mula awake dhewe bakal mandheg nindakke tumindhak kuwi."
