judul,provinsi,id_teks,teks,referensi
Mentiko Betuah (Version 1),Bangka Belitung,1,"pada zaman dahulu kala, berdirilah sebuah kerajaan di wilayah aceh, tepatnya di simeulue. kerajaan tersebut dipimpin oleh seorang raja yang sangat menyayangi putranya bernama rohib. rohib adalah anak yang sangat dimanja oleh kedua orang tuanya. segala keinginannya selalu dipenuhi. untuk memberikan pendidikan terbaik, sang raja mengirim rohib ke sekolah terbaik di kota.","ing jaman mbiyen, ana sawijining karajan ing wewengkon aceh, cetha-cethane ing simeulue. karajan kuwi dipimpin dening raja sing banget nyayangi putrane jenenge rohib. rohib kuwi anak sing dimanja banget karo wong tuwane. kabeh karepe mesti diwenehi. supaya entuk pendhidhikan sing paling apik, raja ngongkon rohib sekolah nang sekolah paling apik nang kutha."
Mentiko Betuah (Version 1),Bangka Belitung,2,"namun, sifat manja rohib membuatnya gagal menyelesaikan pendidikannya. ia pulang ke istana sebelum menamatkan sekolahnya. hal ini membuat sang raja marah besar. dengan amarah yang memuncak, sang raja berniat menghukum rohib. namun, berkat permintaan permaisuri, raja akhirnya memutuskan untuk mengusir rohib dari istana dengan bekal uang sebagai biaya hidup.","nanging, merga sifat manjane rohib, dheweke gagal ngrampungake sekolahe. dheweke bali menyang karajan sakdurunge tamat sekolah. iki ndadekake raja nesu banget. amarahe nganti ndhuwur, raja niat arep ngukum rohib. nanging, merga panyuwune permaisuri, raja pungkasane mutusake kanggo ngusir rohib saka istana karo bekal dhuwit kanggo urip."
Mentiko Betuah (Version 1),Bangka Belitung,3,"setelah diusir, rohib mengembara dari kampung ke kampung tanpa tujuan. ia sering tidur di bawah pohon, di gubuk kosong, atau di rumah penduduk yang bersedia menampungnya. seiring waktu, bekalnya habis karena rohib gemar membantu orang lain, seperti memberikan uang kepada pengemis atau siapa saja yang membutuhkan.","sawise diusir, rohib ngumbara saka desa siji menyang desa liyane tanpa arah. dheweke asring turu nang ngisor wit, nang gubug kosong, utawa nang omahe warga sing gelem nampung. suwene wektu, bekale entek merga rohib seneng nulungi wong liya, kaya menehi dhuwit marang pengemis utawa sapa wae sing butuh."
Mentiko Betuah (Version 1),Bangka Belitung,4,"suatu hari, rohib melihat sekelompok anak yang sedang menembak burung dengan ketapel. ia merasa iba dan mencoba menegur mereka:","sawijining dina, rohib ndelok klompok bocah sing lagi nembaki manuk nganggo katapel. dheweke kroso welas lan nyoba negur:"
Mentiko Betuah (Version 1),Bangka Belitung,5,"hai, saudaraku. janganlah kalian menembak burung itu. mereka juga berhak untuk hidup bebas, ucap rohib.","he, sedulurku. aja nembak manuk kuwi. manuk kuwi uga nduweni hak kanggo urip bebas, ujare rohib."
Mentiko Betuah (Version 1),Bangka Belitung,6,"namun, anak-anak itu membalas dengan kasar:","nanging, bocah-bocah kuwi njawab nganggo kasar:"
Mentiko Betuah (Version 1),Bangka Belitung,7,siapa kamu berani-beraninya menegur kami,sapa kowe wani-wanine negur awake dhewe
Mentiko Betuah (Version 1),Bangka Belitung,8,"rohib pun menawarkan uang agar mereka berhenti menembak burung. meskipun uangnya habis, rohib tetap dikenal sebagai pemuda yang berhati mulia dan santun kepada sesama.","rohib banjur nawakake dhuwit supaya bocah-bocah kuwi mandheg nembak manuk. senajan dhuwite entek, rohib tetep dikenal dadi nom-noman sing atine mulya lan sopan marang sapadha-padha."
Mentiko Betuah (Version 1),Bangka Belitung,9,"suatu hari, dalam kelelahan, rohib tertidur di bawah pohon rindang. seekor ular besar tiba-tiba muncul dan membangunkannya. rohib terkejut dan hendak melarikan diri, tetapi ular itu berkata dengan suara manusia:","siji dina, merga kesel, rohib turu nang ngisor wit rindhang. dumadakan ana ula gedhe metu lan nggugah dheweke. rohib kaget lan arep mlayu, nanging ula kuwi ngomong nganggo swara manungsa:"
Mentiko Betuah (Version 1),Bangka Belitung,10,"jangan takut, anak muda. aku adalah raja ular di hutan ini.","aja wedi, cah enom. aku iki raja ula ing alas iki."
