judul,provinsi,id_teks,teks,referensi
Nenek Pakande,Sulawesi Selatan,1,"konon, pada zaman dahulu kala, terdapat suatu desa yang makmur dan damai di daerah soppeng, sulawesi selatan. penduduk desa ini sebagian besar berprofesi sebagai petani. selain itu, ada juga yang bermata pencaharian sebagai pedagang dan pandai besi. biasanya, suasana desa semakin ramai bila musim panen tiba karena banyak warga melakukan transaksi di pasar.","konon, ing jaman mbiyen, ana sawijining desa sing makmur lan tentrem ing daerah soppeng, sulawesi selatan. penduduk desa iki sak sebagian gedhe nyambut gawe dadi petani. saliyane kuwi, ana uga sing golek panguripan dadi pedagang lan pandhe besi. biasane, suasana desa saya rame nek musim panen teka merga akeh warga padha tuku lan adol barang ing pasar."
Nenek Pakande,Sulawesi Selatan,2,"sayangnya, suasana desa yang aman dan sejahtera itu terusik dengan kedatangan seorang nenek tua bernama nenek pakande. ia memiliki perawakan badan setengah membungkuk, rambut berwarna putih, dan wajah yang sudah berkeriput. meskipun penampilannya seperti wanita tua kebanyakan, nenek pakande sebenarnya bukan manusia biasa. wanita tua ini merupakan siluman pemakan manusia yang menjelma sebagai manusia untuk mencari mangsanya.","nanging sayange, suasana desa sing aman lan sejahtera kuwi keganggu karo tekane sawijining simbah putri tuwa jenenge nenek pakande. dheweke nduweni awak setengah mbungkuk, rambute putih, lan raie wis keriput. senajan penampilane kaya wanita tuwa umume, nenek pakande kuwi saktenane dudu manungsa biasa. simbah putri tuwa kuwi sejatine siluman sing mangan manungsa lan njelma dadi manungsa kanggo nggoleki mangsane."
Nenek Pakande,Sulawesi Selatan,3,"menurut legenda, nenek pakande adalah pemakan daging manusia. ia menculik bayi atau anak-anak kecil untuk dijadikan santapannya. oleh sebab itu, beberapa kali terdengar kabar tentang anak-anak kecil dan bayi di desa-desa lain yang hilang secara misterius. nenek pakande berkeliling ke desa-desa di daerah soppeng itu pada malam hari untuk mencari mangsa baru. ia diam-diam mengamati interaksi penduduk desa dari balik semak-semak yang mengelilingi desa.","miturut legenda, nenek pakande kuwi tukang mangan daging manungsa. dheweke nyulik bayi utawa bocah cilik kanggo dijupuk dadi panganane. mula saka kuwi, sawetara wektu kerep krungu kabar bab bocah-bocah cilik lan bayi ing desa liya sing ilang kanthi misterius. nenek pakande ngubengi desa-desa ing daerah soppeng kuwi nalika bengi kanggo nggoleki mangsa anyar. dheweke ndhelik lan ngawasi interaksi warga saka balik semak-semak sing ngubengi desa."
Nenek Pakande,Sulawesi Selatan,4,"pada suatu malam, ada dua anak kecil bersaudara yang tengah asyik bermain di halaman rumah. ibu mereka telah berkali-kali meminta anak-anak itu untuk segera masuk ke dalam rumah dan mandi.","ing sawijining wengi, ana loro bocah cilik sedulur sing lagi asyik dolanan ing plataran omah. ibune wis bola-bali nyuwun supaya bocah-bocah kuwi cepet mlebu omah lan adus."
Nenek Pakande,Sulawesi Selatan,5,"ayolah, anak-anak, turuti permintaan ibu. ibu masih sibuk mempersiapkan makan malam untuk kalian dan ayah, ujar sang ibu.","ayolah, anak-anak, turuti panyuwune ibu. ibu isih sibuk nyiapake nedha bengi kanggo kowe lan bapakmu, ujare ibune."
Nenek Pakande,Sulawesi Selatan,6,"namun, kedua anak itu tetap mengabaikannya. sang ibu pun masuk ke rumah dengan kesal karena harus segera memasak. melihat situasi yang sepi, nenek pakande dengan cepat menculik kedua anak itu dan membawanya ke tempat persembunyiannya. ketika sang ibu keluar dari rumah untuk mengecek anak-anaknya, ia berubah pucat pasi karena kedua anaknya sudah tidak ada.","nanging, loro bocah kuwi tetep ora nggagas. ibune banjur mlebu omah karo nesu merga kudu cepet-cepet masak. nalika suasana sepi, nenek pakande langsung nyulik loro bocah kuwi lan digawa menyang panggonan persembunyane. wektu ibune metu saka omah kanggo meriksa anak-anake, dheweke kaget lan dadi pucet merga loro anake wis ora ana."
Nenek Pakande,Sulawesi Selatan,7,"sang ibu mencari anak-anaknya di sekitar rumah, bahkan hingga pelosok desa, namun usahanya sia-sia. ia lalu meminta pertolongan penduduk desa. di bawah sinar bulan, warga desa berkumpul mendengar teriakan sang ibu yang meminta tolong. sang ibu menjelaskan bahwa kedua anaknya tiba-tiba menghilang, padahal sebelumnya masih asyik bermain di pekarangan rumah.","ibune nggoleki anak-anake ing sakubenge omah, nganthi tekan pelosok desa, nanging usahane ora ana asil. dheweke banjur nyuwun tulung marang warga desa. ing sangisoring cahya rembulan, para warga padha nglumpuk krungu jeritane ibu kuwi sing nyuwun tulung. ibune nerangake yen anake loro dumadakan ilang, padahal sadurunge isih asyik dolanan ing pekarangan omah."
Nenek Pakande,Sulawesi Selatan,8,"salah satu warga berinisiatif menemui kepala desa. rombongan warga pun mendatangi rumah kepala desa, membuat sang kepala desa terkejut.","salah siji warga nduweni gagasan kanggo ngadhepi kepala desa. rombongan warga banjur marani omahe kepala desa, nggawe kepala desa kuwi kaget."
Nenek Pakande,Sulawesi Selatan,9,ada apa kalian beramai-ramai ke sini di malam larut seperti ini tanya kepala desa.,ana apa kowe padha teka rame-rame ing wengi-wengi kaya ngene iki pitakone kepala desa.
Nenek Pakande,Sulawesi Selatan,10,"maafkan kami telah mengganggu waktu istirahat bapak. tapi, ada warga kita yang kehilangan anak, ujar salah satu warga.","nuwun sewu, pak, wis ngganggu wektu istirahate. nanging, ana warga sing anake ilang, ujare salah siji warga."
