judul,provinsi,id_teks,teks,referensi
Ni Tuwung Kuning,Maluku,1,"alkisah, ada seorang penjudi adu ayam bernama i pudak. dia sangat mahir berjudi, dan meskipun kadang-kadang kalah, ia sering menang di berbagai pertandingan. awalnya, i pudak hanya memiliki dua ekor ayam aduan, tetapi karena sering menang, jumlah ayamnya terus bertambah hingga mencapai ratusan.","alkisah, ana sawijining penjudi adu ayam jenenge i pudak. dheweke pinter banget judi, lan sanajan kadhangkala kalah, nanging luwih kerep menang ing saben pertandingan. awale, i pudak mung nduweni loro ayam aduan, nanging merga asring menang, jumlahe saya akeh nganti nganti atusan ekor."
Ni Tuwung Kuning,Maluku,2,"istrinya kebingungan merawat ayam-ayam tersebut, terutama karena ia sedang hamil besar. setiap hari, istrinya harus bergadang untuk memberi makan ayam-ayam itu, membersihkan kotorannya, dan merawat mereka dengan baik. ayam-ayamnya bahkan dimandikan hingga tiga kali sehari. pagi diberi makan jagung, siang diberi godem, dan sore diberi gabah. tubuh ayam-ayam itu pun selalu dipijat-pijat dan dikeluarkan agar terkena sinar matahari pagi. saking sibuknya merawat ayam-ayam tersebut, i pudak bahkan tidak sempat mandi seharian.","bojone bingung carane ngerawat ayam-ayam kuwi, luwih-luwih merga wektu kuwi lagi ngandhut gedhe. saben dina, bojone kudu melek bengi kanggo maringi pangan ayam, resik-resik kandange, lan ngopeni kabeh ayam kuwi. ayam-ayame malah nganti dimandekake ping telu saben dina. esuk diparingi jagung, awan diparingi godem, lan sore diparingi gabah. awak ayam-ayam kuwi dipijet-pijet lan ditokna supaya kena sinar srengenge esuk. merga kesibukane ngopeni ayam, i pudak malah ora sempat adus sak dina."
Ni Tuwung Kuning,Maluku,3,"suatu hari, i pudak memberi pesan kepada istrinya, wayan, besok aku akan pergi jauh. kamu sedang hamil besar, dan aku belum tahu kapan akan kembali. mungkin sebelum aku pulang, kamu sudah melahirkan. jika anaknya laki-laki, jaga baik-baik. tapi kalau anaknya perempuan, bunuh saja. cincang dan bagikan kepada ayam-ayam aduan kita sedikit demi sedikit. aku tidak suka punya anak perempuan. kita hanya lelah membesarkannya, bergadang siang malam, dan setelah dewasa, dia hanya akan mengurus tetangga.","sawijining dina, i pudak ngandhani bojone, wayan, sesuk aku arep lunga adoh. kowe saiki ngandhut gedhe, lan aku durung ngerti kapan bakal bali. mbokmenawa wektu aku bali, anakmu wis lahir. yen anake lanang, jaga apik-apik. nanging yen wadon, mateni wae. cincang lan wenehake menyang ayam-ayam aduan kita sethithik-sethithik. aku ora seneng nduweni anak wadon. mung capek ngerumat, melek bengi, lan sakwise gedhe mung ngurus tangga."
Ni Tuwung Kuning,Maluku,4,"istrinya hanya terdiam mendengar pesan itu. keesokan harinya, i pudak berangkat ke denbukit.","bojone mung meneng krungu omongan kuwi. esuke, i pudak mangkat menyang denbukit."
Ni Tuwung Kuning,Maluku,5,"tiga hari setelah kepergian suaminya, istrinya melahirkan seorang anak perempuan. ia bingung harus bagaimana. dalam hati ia berkata, bagaimana sekarang suamiku menyuruh mencincang anak ini dan membagikannya pada ayam-ayam. kalau aku turuti keinginan suamiku, berarti aku telah gila. apa yang harus kulakukan","telung dina sawise i pudak lunga, bojone nglairke anak wadon. dheweke bingung arep ngapa. ing njero atine ngendika, kepiye iki bojoku nyuruh nyincang anak iki lan diparingke ayam. yen tak turuti karepe, aku dadi wong edan. aku kudu kepriye"
Ni Tuwung Kuning,Maluku,6,"setelah berpikir lama, ia akhirnya menemukan akal. ia berkata, ah, aku cincang saja ari-arinya dan bagikan pada ayam sedikit demi sedikit. maka, hanya ari-arinya yang dicincang dan dibagikan pada ayam-ayam. anak perempuannya diberi nama ni tuwung kuning.","sawise mikir suwi, dheweke entuk akal. ah, tak cincang wae ari-arine lan tak wenehake ayam-ayam sethithik-sethithik. mulane mung ari-arine wae sing dicincang lan diparingke ayam. anak wadone dijenengke ni tuwung kuning."
Ni Tuwung Kuning,Maluku,7,"setelah itu, ia membawa bayi tersebut ke rumah ibunya. sesampainya di sana, neneknya terkejut, kapan kamu melahirkan anak","sawise kuwi, bayi kuwi digawa menyang omahe ibune. tekan kono, simbahe kaget, kapan kowe nglairke anak"
Ni Tuwung Kuning,Maluku,8,"baru saja, bu, jawabnya.","barusan, bu, wangsule."
Ni Tuwung Kuning,Maluku,9,"lalu, kenapa anakmu yang baru lahir sudah kamu bawa ke sini tanya ibunya lagi.","nggih, terus kenapa anakmu sing anyar lahir kok langsung kok gawane menyang kene takone maneh."
Ni Tuwung Kuning,Maluku,10,"istrinya pun menjelaskan pesan suaminya. bapaknya berpesan, kalau anaknya perempuan, harus dicincang dan diberikan pada ayam. aku takut tinggal di rumah bersama anak ini, nanti bapaknya datang dan aku dipukul. dia sangat kasar dan pemarah. jadi, aku titip anak ini di sini, bu. tolong rawat dia.","bojone banjur nerangake pesene bojone. bapake pesen, nek anake wadon kudu dicincang lan diparingkake ayam. aku wedi manggon ing omah bareng anak iki, nek bapake bali banjur aku diantem. dheweke kasar lan gampang nesu. aku nitip anak iki ning kene, bu. tulung dirumat."
