judul,provinsi,id_teks,teks,referensi
Nyai Anteh Penunggu Bulan,Jawa Tengah,1,"di istana kerajaan pakuan, hiduplah dua gadis cantik jelita yang selalu tampak akur, yaitu putri endahwarni, calon pewaris takhta kerajaan, dan anteh, dayang pribadi sang putri. anteh adalah anak dari nyai dadap, dayang kesayangan permaisuri, yang meninggal saat melahirkan anteh. karena itu, anteh dibesarkan di istana bersama putri endahwarni yang seumuran dengannya.","nang istana karajan pakuan, urip loro cah ayu sing tansah katon rukun, yaiku putri endahwarni, calon pewaris takhta kerajaan, lan anteh, dayang pribadine sang putri. anteh yaiku anake nyai dadap, dayang kesayangan permaisuri, sing seda wektu ngelairkake anteh. merga kuwi, anteh digedhekake nang istana bareng putri endahwarni sing sak umur karo dheweke."
Nyai Anteh Penunggu Bulan,Jawa Tengah,2,"seiring berjalannya waktu, keduanya tumbuh dewasa dan semakin akrab. putri endahwarni bahkan menganggap anteh seperti adik kandungnya. namun, di dalam hati putri endahwarni, tersimpan rasa cemburu karena kecantikan anteh yang melebihi dirinya.","suwene wektu mlaku, loro-lorone saya gedhe lan saya akrab. putri endahwarni malah nganggep anteh kaya adhi kandunge dhewe. nanging, nang njero atine putri endahwarni, ana rasa cemburu merga kaendahane anteh ngeluwihi dheweke."
Nyai Anteh Penunggu Bulan,Jawa Tengah,3,"suatu hari, ratu memanggil putri endahwarni dan mengatakan bahwa ia harus segera menikah agar dapat mewarisi takhta kerajaan pakuan. ratu telah merencanakan perjodohan putri endahwarni dengan anantakusuma, putra adipati kadipaten wetan. ratu juga meminta anteh untuk membantu memenuhi segala kebutuhan sang putri.","sawijining dina, ratu ngundang putri endahwarni lan ngomong yen dheweke kudu enggal nikah supaya isa nerusake takhta kerajaan pakuan. ratu wis ngerancang perjodhoan putri endahwarni karo anantakusuma, putrane adipati kadipaten wetan. ratu uga njaluk anteh supaya mbantu nyukupi kabutuhan sang putri."
Nyai Anteh Penunggu Bulan,Jawa Tengah,4,putri endahwarni merasa gelisah karena harus menikah dengan seseorang yang tidak dikenalnya. ia khawatir apakah anantakusuma akan mencintainya.,putri endahwarni kerasa gelisah merga kudu nikah karo wong sing durung dikenal. dheweke kuwatir apa anantakusuma isa tresna karo dheweke.
Nyai Anteh Penunggu Bulan,Jawa Tengah,5,"suatu pagi, anteh sedang memetik bunga melati di taman istana untuk menghias sanggul putri endahwarni. sambil memetik bunga, ia bersenandung dengan suara merdu. kebetulan, anantakusuma yang sedang melintas di luar tembok istana mendengar suara indah itu.","esuke, anteh lagi metik kembang melati nang taman istana kanggo ngias sanggul putri endahwarni. sambil metik kembang, dheweke nyanyi alon karo swara merdu. kebeneran, anantakusuma sing mlaku nang njaban tembok istana krungu swara ayu kuwi."
Nyai Anteh Penunggu Bulan,Jawa Tengah,6,"dengan kesaktiannya, anantakusuma melompati tembok istana dan bersembunyi di balik pepohonan. ia terpesona melihat kecantikan anteh yang sedang memetik bunga. hatinya langsung jatuh cinta pada gadis itu.","kanthi kesaktiannya, anantakusuma mlumpat ngliwati tembok istana lan ndhelik nang mburi wit-witan. dheweke kaget karo kaendahane anteh sing lagi metik kembang. atine langsung tresna marang cah ayu kuwi."
Nyai Anteh Penunggu Bulan,Jawa Tengah,7,apakah engkau putri endahwarni tanya anantakusuma.,apa kowe putri endahwarni takon anantakusuma.
Nyai Anteh Penunggu Bulan,Jawa Tengah,8,"bukan, tuan. saya hanya anteh, dayang putri endahwarni, jawab anteh sambil berlari ke dalam istana.","dudu, tuan. aku mung anteh, dayange putri endahwarni, wangsul anteh sambil mlayu mlebu istana."
Nyai Anteh Penunggu Bulan,Jawa Tengah,9,"anantakusuma kecewa mengetahui bahwa gadis yang dicintainya bukanlah putri endahwarni, melainkan seorang dayang.","anantakusuma kuciwa ngerti yen cah sing disenengi dudu putri endahwarni, nanging mung dayang."
Nyai Anteh Penunggu Bulan,Jawa Tengah,10,"beberapa hari kemudian, anantakusuma datang bersama ayahnya untuk melamar putri endahwarni secara resmi. meskipun anantakusuma adalah pemuda gagah dan tampan, ia tampak tidak bersemangat karena hati dan cintanya tertambat pada anteh.","sawetara dina sawise, anantakusuma teka bareng bapake kanggo ngelamar putri endahwarni sacara resmi. sanajan anantakusuma iku nom gagah lan ayu, dheweke katon ora semangat merga atine lan tresnane wis kagayut karo anteh."
Nyai Anteh Penunggu Bulan,Jawa Tengah,11,"saat perjamuan berlangsung, anteh masuk membawa nampan berisi hidangan. pandangan penuh cinta dari anantakusuma kepada anteh tidak luput dari perhatian putri endahwarni. terbakarlah rasa cemburu sang putri.","nalika perjamuan lumaku, anteh mlebu nggawa nampan isi dhaharan. pandhangan katresnan saka anantakusuma marang anteh ora luput saka perhatian putri endahwarni. kobongan rasa cemburu sang putri."
Nyai Anteh Penunggu Bulan,Jawa Tengah,12,"setelah perjamuan, putri endahwarni memanggil anteh ke kamarnya dan meluapkan amarahnya. ia menuduh anteh telah membuat anantakusuma berpaling darinya. putri endahwarni pun mengusir anteh dari istana.","sawise perjamuan, putri endahwarni ngundang anteh menyang kamare lan mbuwang nesune. dheweke nuduh anteh wis nggawe anantakusuma pindah katresnan. putri endahwarni banjur ngusir anteh saka istana."
Nyai Anteh Penunggu Bulan,Jawa Tengah,13,"dengan hati sedih, anteh meninggalkan istana dan pergi ke kampung halaman mendiang ibunya, nyai dadap. di sana, ia tinggal bersama pamannya, waru, yang menyayanginya seperti anak sendiri.","kanthi atine susah, anteh ninggalake istana lan lunga menyang kampung halamane simboke, nyai dadap. nang kana, dheweke urip bareng pakdhene, waru, sing tresna karo dheweke kaya anake dhewe."
Nyai Anteh Penunggu Bulan,Jawa Tengah,14,"untuk membantu perekonomian keluarga pamannya, anteh mulai menerima pesanan menjahit. keterampilannya menjahit membuatnya terkenal hingga ke desa-desa lain, dan hidup anteh serta keluarganya menjadi cukup mapan.","kanggo bantu ekonomi keluargane pakdhe, anteh mulai nampa pesenan jahit. kaprigelane njahit ndadekake dheweke misuwur nganti tekan desa-desa liya, lan uripe anteh lan keluargane dadi cukup mapan."
Nyai Anteh Penunggu Bulan,Jawa Tengah,15,"bertahun-tahun berlalu. anteh telah menikah dan memiliki dua anak. suatu hari, sebuah kereta kencana berhenti di depan rumahnya. ternyata, itu adalah putri endahwarni yang datang untuk meminta maaf. sang putri mengajak anteh dan keluarganya kembali tinggal di istana.","pirang-pirang taun kliwat. anteh wis omah-omah lan nduwe anak loro. sak dina, ana kereta kencana mandheg nang ngarep omahe. jebule, kuwi putri endahwarni sing teka kanggo nyuwun pangapura. sang putri ngajak anteh lan keluargane bali manggon nang istana."
Nyai Anteh Penunggu Bulan,Jawa Tengah,16,"anteh setuju dan membawa keluarganya ke istana. putri endahwarni bahkan membangun sebuah rumah untuk mereka di pinggir taman istana. namun, kembalinya anteh ke istana membuat pangeran anantakusuma yang kini menjadi suami putri endahwarni, kembali merasakan cinta yang pernah terkubur dalam hatinya.","anteh setuju lan nggawa keluargane menyang istana. putri endahwarni malah mbangunake omah kanggo keluargane anteh nang pinggir taman istana. nanging, balike anteh menyang istana ndadekake pangeran anantakusuma, sing saiki dadi bojone putri endahwarni, ngrasakake maneh katresnan lawase sing isih kebak nang atine."
Nyai Anteh Penunggu Bulan,Jawa Tengah,17,"suatu malam, pangeran anantakusuma nekat pergi ke taman istana untuk bertemu dengan anteh. ketika melihat kedatangan pangeran, anteh merasa ketakutan dan berlari ke dalam rumahnya. pangeran anantakusuma mengejarnya.","sawijining bengi, pangeran anantakusuma nekat lunga menyang taman istana kanggo ketemu anteh. nalika weruh tekane pangeran, anteh kerasa wedi lan mlayu mlebu omah. pangeran anantakusuma ngoyak dheweke."
Nyai Anteh Penunggu Bulan,Jawa Tengah,18,"anteh berdoa kepada tuhan untuk menyelamatkannya dari pangeran. tiba-tiba, tubuh anteh terasa ringan, dan ia terangkat ke langit. cahaya bulan menyelimutinya, menariknya ke atas hingga ia hilang di balik awan bersama kucing kesayangannya, candramawat.","anteh ndedonga marang gusti supaya dislametkake saka pangeran. dumadakan, awake anteh krasa entheng, lan dheweke munggah menyang langit. cahya rembulan nyelubungi dheweke, narik munggah nganthi dheweke ilang nang mburine mega bareng kucing kesayangane, candramawat."
Nyai Anteh Penunggu Bulan,Jawa Tengah,19,pangeran anantakusuma yang sakti tidak mampu berbuat apa-apa untuk menghentikan kepergian anteh.,pangeran anantakusuma sing sakti ora isa nindakke apa-apa kanggo nyegah kapindahe anteh.
Nyai Anteh Penunggu Bulan,Jawa Tengah,20,"sejak saat itu, nyai anteh tinggal di bulan bersama candramawat. rindunya pada keluarganya membuatnya ingin kembali ke bumi. namun, setiap kali ia mencoba menenun kain untuk dijadikan tangga turun, candramawat selalu merusak tenunannya.","wiwine kuwi, nyai anteh manggon nang rembulan bareng candramawat. kangene marang keluargane ndadekake dheweke kepengin bali menyang bumi. nanging, saben dheweke nyoba nenen kain kanggo digawe tangga mudhun, candramawat mesthi ngrusak tenunane."
