judul,provinsi,id_teks,teks,referensi
Orang Kayo Hitam,Aceh,1,"alkisah, pada zaman dahulu di negeri jambi, terdapat sebuah pohon kelapa gading yang hanya memiliki empat buah kelapa. keempat buah kelapa ini dianggap sakral dan tidak pernah jatuh dari pohonnya meskipun pohon tersebut sudah tua. suatu hari, pohon kelapa gading itu tumbang, dan secara ajaib keempat buah kelapa berubah menjadi manusia.","alkisah, ning jaman mbiyen ning nagara jambi, ana wit klapa gading sing mung nduwe papat woh klapa. papat woh klapa kuwi dianggep sakral lan ora tau tiba saka wit-witane senajan wit kuwi wis tuwa. ing salah sawijining dina, wit klapa gading kuwi tumbang, lan kanthi ajaib papat woh klapa mau malih dadi manungsa."
Orang Kayo Hitam,Aceh,2,"satu kelapa berubah menjadi seorang perempuan, sementara tiga lainnya menjadi laki-laki. mereka tumbuh dengan kekuatan dan kesaktian masing-masing, hingga berhasil menguasai berbagai wilayah. anak tertua menjadi penguasa di kerajaan mataram, anak kedua, datuk temenggung, menjadi raja di negeri jambi, anak ketiga, tiang bungkuk, menguasai ranah minang, dan yang terakhir, puteri mayang mengurai, menikah dengan raja dari negeri lain.","siji klapa malih dadi wong wadon, dene telu liyane malih dadi wong lanang. wong papat kuwi gedhe karo kuwasa lan kesakten dhewe-dhewe, nganthi bisa nguwasani panggonan-panggonan. anak paling tuwa dadi penguasa ning karajan mataram, anak nomer loro, datuk temenggung, dadi ratu ing nagari jambi, anak katelu, tiang bungkuk, nguwasani ranah minang, lan sing pungkasan, putri mayang mengurai, nikah karo ratu saka nagara liyan."
Orang Kayo Hitam,Aceh,3,"datuk temenggung dikenal sebagai pemimpin yang cerdas dan mampu mengelola kerajaannya dengan sangat baik. kekayaan dan kemakmuran negeri jambi menjadi bukti keberhasilannya. ia menikah dengan seorang putri cantik dan memiliki lima anak: orang kayo pinagi, orang kayo hitam, orang kayo gemuk, orang kayo padataran, dan putri pinang masak.","datuk temenggung dikenal dadi pimpinan sing pinter lan bisa ngatur karajane kanthi apik banget. bandha lan kamakmuran nagari jambi dadi bukti kasuksesane. dheweke rabi karo sawijining putri ayu lan nduweni lima anak: wong kayo pinagi, wong kayo ireng, wong kayo lemmu, wong kayo padataran, lan putri pinang mateng."
Orang Kayo Hitam,Aceh,4,"dari kelima anaknya, orang kayo pinagi dan orang kayo hitam mewarisi kesaktian seperti ayah mereka, sementara tiga anak lainnya adalah manusia biasa seperti sang ibu.","saka lima anake, wong kayo pinagi lan wong kayo ireng nurun kesakten kaya bapake, dene telu liyane ya manungsa biasa kaya ibune."
Orang Kayo Hitam,Aceh,5,"suatu hari, datuk temenggung memutuskan untuk menghabiskan sisa hidupnya dengan bertapa di sebuah gua. sebelum pergi, ia menyerahkan tampuk kepemimpinan kepada orang kayo pinagi. namun, orang kayo pinagi menolak dan menyarankan adiknya, orang kayo hitam, untuk menjadi raja.","ing salah sawijining dina, datuk temenggung mutusake arep ngentekake sisa uripe kanthi bertapa ning guwa. sakdurunge lunga, dheweke nyerahake tampuk kepemimpinan marang wong kayo pinagi. nanging, wong kayo pinagi nolak lan nyaranake adhine, wong kayo ireng, kanggo dadi ratu."
Orang Kayo Hitam,Aceh,6,orang kayo hitam memimpin negeri jambi dengan adil dan bijaksana. ia menciptakan peraturan-peraturan baru yang menyejahterakan rakyatnya dan menghapuskan tradisi upeti kepada kerajaan mataram yang selama ini dilakukan oleh ayahnya.,wong kayo ireng mimpin nagari jambi kanthi adil lan wicaksana. dheweke nggawe aturan-aturan anyar sing ndadekake rakyate makmur lan mbusak tradhisi upeti marang karajan mataram sing wis suwi dilakoni bapake.
Orang Kayo Hitam,Aceh,7,"penghapusan upeti membuat raja mataram, yang juga merupakan paman orang kayo hitam, murka. raja mataram merencanakan penyerangan ke negeri jambi untuk menghancurkan kerajaan dan membunuh orang kayo hitam.","mbusak upeti ndadekake ratu mataram, sing uga pamane wong kayo ireng, nesu banget. ratu mataram ngerancang penyerangan marang nagari jambi kanggo ngerusak karajan lan mateni wong kayo ireng."
Orang Kayo Hitam,Aceh,8,"salah satu penasihat raja memberikan saran, untuk membunuh orang kayo hitam, tuan harus membuat keris sakti yang ditempa dari sembilan jenis besi selama sembilan jumat. selain itu, latih pasukan dengan sembilan hulubalang terbaik.","salah siji penasihat ratu menehi saran, âkanggo mateni wong kayo ireng, panjenengan kudu nggawe keris sakti sing ditempa saka sangang jinis wesi sajrone sangang jemuwah. saliyane kuwi, latih pasukan nganggo sangang hulubalang paling apik.â"
Orang Kayo Hitam,Aceh,9,"raja mataram pun mengikuti saran tersebut. namun, rencana ini terdengar oleh orang kayo hitam. ia tidak tinggal diam dan memutuskan untuk menyamar sebagai anak kecil kudisan demi menggagalkan rencana sang paman.","ratu mataram banjur manut saran kuwi. nanging, rencana kuwi krungu dening wong kayo ireng. dheweke ora tinggal meneng lan mutusake nyamar dadi bocah cilik kudisan kanggo nggagalkake rencana pamane."
Orang Kayo Hitam,Aceh,10,"dengan menyamar sebagai anak kecil yang bau dan kudisan, orang kayo hitam berhasil mendekati gelanggang latihan pasukan kerajaan mataram. karena baunya yang menyengat, tak ada yang berani mendekatinya, kecuali sembilan hulubalang yang merasa terganggu.","kanthi nyamar dadi bocah cilik sing ambune ora enak lan kudisan, wong kayo ireng bisa nyedhaki lapangan latihan pasukan karajan mataram. merga ambune sing nyengat, ora ana sing wani nyedhaki, kajaba sangang hulubalang sing ngerasakake keganggu."
