judul,provinsi,id_teks,teks,referensi
Pan Balang Tamak,Maluku,1,"zaman dahulu, di sebuah desa di bali, hiduplah seorang pria bernama pan balang tamak. nama pan berarti bapak atau ayah, balang berarti belalang yang melambangkan kecerdikan dan kelincahan, sedangkan tamak berarti rakus.","jaman mbiyen, ing sawijining desa ing bali, urip sawijining wong lanang jenenge pan balang tamak. tembung pan tegese bapak utawa rama, balang tegese belalang sing maknani kecerdikan lan kelit, dene tamak tegese rakus."
Pan Balang Tamak,Maluku,2,"suatu hari, diumumkan akan diadakan gotong royong di bale banjar saat ayam turun dari peristirahatan. jika tidak hadir, akan dikenakan denda. keesokan harinya, saat pagi, semua orang sudah mulai bergotong royong. namun, pan balang tamak menunggu hingga ayamnya turun. hingga siang, ayamnya belum turun karena ayam tersebut adalah ayam betina yang sedang mengerami telurnya.","sawijining dina, diumumkake yen bakal ana kerja bakti nang bale banjar nalika pithik wis mudhun saka panggonan turu. sing ora teka bakal kena denda. esuke, kabeh warga wis padha teka lan miwiti kerja bakti. nanging pan balang tamak mung ngenteni nganthi pithike mudhun. nanging nganti awan, pithike ora mudhun-mudhun merga pithike iku betina sing lagi ngerami endhog."
Pan Balang Tamak,Maluku,3,"ketika kepala desa datang dan menegur, mengapa kamu tidak hadir untuk gotong royong sekarang kamu akan kena denda, pan balang tamak menjawab, menurut pengumuman, gotong royong dimulai saat ayam turun dari peristirahatan. ayam saya baru turun siang ini. begitulah cara pan balang tamak menghindari gotong royong.","nalika kepala desa teka lan ngrewangi, ngapa kok kowe ora teka kerja bakti saiki kowe kudu mbayar denda"
Pan Balang Tamak,Maluku,4,"beberapa hari kemudian, diumumkan semua warga harus menghadiri rapat di balai desa. pan balang tamak kembali menunjukkan kecerdikannya. ia menyuruh istrinya membuat jajan (kue) dari uli ketan berbentuk seperti kotoran anjing.","pan balang tamak njawab, miturut pengumuman, kerja bakti dimulai nalika pithik mudhun saka panggonane turu. pithik ku ya mung mudhun awan iki."
Pan Balang Tamak,Maluku,5,"pagi-pagi sebelum rapat dimulai, pan balang tamak datang lebih awal ke balai desa dan menaruh kue berbentuk kotoran tersebut di tiang-tiang balai desa, lalu menyiramnya dengan air agar menyerupai kotoran anjing sungguhan.",mangkono carane pan balang tamak ngelakoni kelit kanggo ngindhari kerja bakti.
Pan Balang Tamak,Maluku,6,"saat warga berdatangan dan melihat kotoran tersebut, pan balang tamak berkata, siapa yang berani memakan kotoran ini akan saya beri uang rp100.000.","sawijining dina maneh, diumumkake yen kabeh warga kudu teka rapat nang balai desa. pan balang tamak balik nuduhake kecerdikane. dheweke nyuruh bojone gawe jajan saka uli ketan sing dibentuk kaya tai asu."
Pan Balang Tamak,Maluku,7,"warga menantangnya balik, mengapa kamu menyuruh kami apakah kamu sendiri berani memakannya jika kamu berani, kami akan memberikan rp100.000 per orang.","esuk sakdurunge rapat diwiwiti, pan balang tamak teka luwih dhisik lan ngetokake jajan-jajan kuwi ing sakupeng tiang balai desa, terus disiram banyu supaya mirip banget karo kotoran asu tenan."
Pan Balang Tamak,Maluku,8,"pan balang tamak pura-pura takut dan ragu, namun akhirnya ia memakan semua kotoran tersebut. warga tidak tahu bahwa itu hanyalah kue, sehingga mereka memberinya uang sesuai tantangan.","wektu warga padha teka lan ndelok kotoran-kotoran kuwi, pan balang tamak ngomong,"
Pan Balang Tamak,Maluku,9,"karena kecerdikan dan kelicikan pan balang tamak yang kerap merugikan orang lain, raja pun memerintahkan seorang utusan untuk membunuhnya menggunakan racun yang sangat ampuh. namun, pan balang tamak sudah mendengar rencana tersebut dan memberi pesan kepada istrinya:","sapa sing wani mangan tai iki, tak wenehi rp100.000"
Pan Balang Tamak,Maluku,10,"istriku, jika aku mati nanti, dudukkan jenazahku dalam posisi bersila di bale, sandarkan tubuhku pada tiang, dan gantungkan rambutku di atas bale. letakkan seekor tamulilingan (lalat besar) di dekatku selama sehari. selain itu, harta kita letakkan di bale delod (bagian selatan rumah) dalam sebuah peti, tutupi dengan kain kasa putih. jenazahku letakkan di bale daja (bagian utara rumah) dan tutup dengan peti.","warga ngerewangi, yen kowe nyuruh awake dhewe, kowe dhewe wani ora yen kowe wani mangan, saben wong bakal maringi rp100.000."
