judul,provinsi,id_teks,teks,referensi
Pangeran Amat Mude,Yogyakarta,1,"pada zaman dahulu kala, berdirilah sebuah kerajaan bernama negeri alas, di wilayah nanggroe aceh darussalam. kerajaan tersebut dipimpin oleh seorang raja yang bijaksana. namun, sang raja dan permaisurinya belum dikaruniai anak, meskipun mereka sangat berharap memiliki penerus takhta. setiap hari, mereka berdoa agar keinginan tersebut terkabul.","ing jaman mbiyen, ana sawijining karajan jenenge nagara alas, ing wewengkon nanggroe aceh darussalam. karajan kuwi dipimpin dening raja sing wicaksana. nanging, sang raja lan permaisuri durung diwenehi anak, senajan dheweke ngarep banget nduwe pewaris takhta. saben dina, dheweke ndedonga supaya penginane kasembadan."
Pangeran Amat Mude,Yogyakarta,2,"suatu hari, permaisuri jatuh sakit. tubuhnya lemas, dan ia merasa tidak enak badan. raja memanggil tabib istana untuk memeriksa kondisi permaisuri. setelah memeriksa, tabib menyampaikan kabar baik:","siji dina, permaisuri tiba-tiba lara. awake lemes, lan krasa ora enak badan. raja ngundang tabib kraton kanggo meriksa kahanan permaisuri. sawise meriksa, tabib ngandhani kabar apik:"
Pangeran Amat Mude,Yogyakarta,3,"âselamat baginda, permaisuri sedang mengandung anak anda.â","âselamet baginda, permaisuri saiki lagi ngandhut anak panjenengan.â"
Pangeran Amat Mude,Yogyakarta,4,"mendengar kabar itu, sang raja merasa sangat bahagia. ia segera menemui istrinya dan berkata,","krungu kabar kuwi, sang raja rumangsa bungah banget. dheweke langsung nemoni bojone lan kandha,"
Pangeran Amat Mude,Yogyakarta,5,"âistriku, kau sedang mengandung aku sangat bersyukur akhirnya kita akan memiliki putra mahkota yang akan meneruskan kerajaan ini.â","âbojoku, kowe saiki lagi ngandhut aku syukur banget awake dhewe bakal nduwe putra mahkota sing bakal nerusake karajan iki.â"
Pangeran Amat Mude,Yogyakarta,6,seluruh rakyat negeri bersuka cita menyambut kabar bahagia tersebut. sang raja dan permaisuri mengadakan syukuran untuk merayakan anugerah yang telah mereka terima.,kabeh rakyat negara bungah nampa kabar kabagyan kuwi. sang raja lan permaisuri ngadani syukuran kanggo ngrameke peparingan sing wis ditampa.
Pangeran Amat Mude,Yogyakarta,7,"setelah sembilan bulan, permaisuri melahirkan seorang bayi laki-laki yang sehat, tampan, berkulit bersih, dan berambut tebal. bayi itu diberi nama pangeran amat mude.","sawise sangang wulan, permaisuri nglairake bayi lanang sing sehat, ayu rupane, kulite resik, lan rambute kandel. bayi kuwi dijenengi pangeran amat mude."
Pangeran Amat Mude,Yogyakarta,8,"sayangnya, kebahagiaan mereka tidak berlangsung lama. ketika pangeran amat mude berusia 10 tahun, sang raja jatuh sakit parah dan akhirnya wafat. kepergian raja meninggalkan duka mendalam bagi seluruh rakyat dan keluarga istana.","sayange, kabagyan kuwi ora suwe. nalika pangeran amat mude umur 10 taun, sang raja lara parah lan pungkasane seda. pepeste raja ninggalake susah gedhe tumrap rakyat lan kulawarga karajan."
Pangeran Amat Mude,Yogyakarta,9,"karena pangeran amat mude masih terlalu muda untuk memimpin kerajaan, permaisuri meminta adik sang raja untuk menjadi raja sementara hingga sang pangeran dewasa. awalnya, paman pangeran amat mude menerima tugas ini dengan senang hati. namun, seiring berjalannya waktu, keserakahan mulai menguasai hatinya.","merga pangeran amat mude isih cilik banget kanggo mimpin karajan, permaisuri njaluk adhine sang raja supaya dadi raja samentara nganthi pangeran wis gedhe. awale, pamane pangeran amat mude nampa tugasan kuwi kanthi bungah. nanging, suwe-suwe, keserakahan njalari atine peteng."
Pangeran Amat Mude,Yogyakarta,10,"sang paman tidak ingin menyerahkan takhta kepada pangeran amat mude. ia mulai menyingkirkan permaisuri dan pangeran, memindahkan kamar mereka ke bagian belakang istana, dan merencanakan rencana jahat untuk menyingkirkan mereka selamanya.","sang paman ora gelem nyerahkake takhta marang pangeran amat mude. dheweke miwiti nyingkirake permaisuri lan pangeran, mindhah kamare menyang mburi karajan, lan ngerancang rencana jahat kanggo nyingkirake wong loro kuwi saklawase."
Pangeran Amat Mude,Yogyakarta,11,"suatu hari, sang paman memerintahkan para prajuritnya:","swajining dina, sang paman marentah para prajurite:"
Pangeran Amat Mude,Yogyakarta,12,"âbawa pangeran amat mude dan ibunya ke hutan dengan alasan berburu, lalu tinggalkan mereka di sanaâ","âgawanen pangeran amat mude lan ibune menyang alas nganggo alesan mancing, terus tinggalna ana konoâ"
Pangeran Amat Mude,Yogyakarta,13,"awalnya para prajurit menolak karena pangeran amat mude adalah putra mahkota. namun, ancaman sang paman membuat mereka terpaksa menuruti perintah. akhirnya, permaisuri dan pangeran dibawa ke hutan dan ditinggalkan di sana.","awale para prajurit nolak merga pangeran amat mude iku putra mahkota. nanging, ancamane sang paman njalari prajurit-prajurit kuwi kepeksa manut. akhire, permaisuri lan pangeran digawan menyang alas lan ditinggal ana kono."
Pangeran Amat Mude,Yogyakarta,14,"di tengah hutan, permaisuri dan pangeran amat mude harus bertahan hidup dengan memakan buah-buahan. sang pangeran tumbuh menjadi anak yang mandiri dan cekatan. suatu hari, ia menemukan sungai dengan air yang jernih dan banyak ikan. dengan ranting tajam, ia berhasil menangkap ikan dan membawanya pulang untuk dimasak oleh ibunya.","ing tengah alas, permaisuri lan pangeran amat mude kudu tetep urip nganggo mangan woh-wohan. sang pangeran tuwuh dadi bocah sing mandiri lan cekatan. sawjining dina, dheweke nemokake kali sing banyune bening lan akeh iwake. nganggo dahan sing landhep, dheweke bisa njupuk iwak lan digawan mulih kanggo dimasak karo ibune."
