judul,provinsi,id_teks,teks,referensi
Pangeran Pande Gelang dan Putri Cadasari,Banten,1,"alkisah di daerah banten, ada seorang putri raja bernama putri arum. wajahnya cantik nan rupawan, kulit dan hatinya lembut selembut sutra. tidak mengherankan jika banyak pangeran yang ingin menjadikannya sebagai permaisuri. dari sekian banyak pangeran tersebut, ada dua orang pangeran yang ingin menjalin kasih dengan sang putri. kedua pangeran tersebut adalah pangeran sae bagus lana dan pangeran cunihin. mereka teman seperguruan, namun memiliki sifat yang berbeda. sesuai dengan nama mereka, kata sae bagus lana dalam bahasa sunda berarti laki-laki yang baik hati, sedangkan cunihin berarti laki-laki yang suka menggoda wanita.","alkisah ana ing dhaerah banten, ana sawijining putri raja jenenge putri arum. rupane ayu lan rupawan, kulit lan atine alus salembut sutra. ora nggumunake yen akeh pangeran sing kepengin njadikake dheweke dadi permaisuri. saka akeh pangeran kuwi, ana loro pangeran sing kepengin nyambung tresna karo sang putri. kaloro pangeran kuwi yaiku pangeran sae bagus lana lan pangeran cunihin. wong loro kuwi kanca seperguruan, nanging nduwe sipat sing beda. miturut jenenge, tembung sae bagus lana ing basa sunda tegese lanang sing apik atine, dene cunihin tegese lanang sing seneng nggodha wong wadon."
Pangeran Pande Gelang dan Putri Cadasari,Banten,2,"mengetahui perawakan kedua pangeran tersebut, maka putri arum memilih pangeran sae bagus lana sebagai kekasihnya. rupanya, pangeran cunihin tidak rela menerima kenyataan tersebut. secara diam-diam ia iri hati dan dendam terhadap pangeran sae bagus lana, sehingga timbullah niatnya untuk mencuri ilmu dan kesaktian pangeran sae bagus lana agar dapat merebut putri arum. alhasil, pangeran cunihin berhasil melaksanakan niatnya. dengan kesaktian tersebut, ia kemudian mengubah wajah pangeran sae bagus lana menjadi seorang tua dan berkulit hitam legam.","ngerti watak kaloro pangeran kuwi, putri arum banjur milih pangeran sae bagus lana dadi kekasihe. kacaritakake, pangeran cunihin ora legawa nampa kahanan kuwi. saka mburi, dheweke dadi meri lan dendam marang pangeran sae bagus lana, nganti muncul niyat kanggo nyolong elmu lan kasaktiyane pangeran sae bagus lana supaya bisa ngrebut putri arum. pungkasane, pangeran cunihin bisa nglakokake niyate. kanthi kasaktiyan kuwi, dheweke banjur ngganti rai pangeran sae bagus lana dadi wong tuwa ireng legam."
Pangeran Pande Gelang dan Putri Cadasari,Banten,3,"sementara itu, pangeran sae bagus lana yang sudah tidak berdaya datang menghadap kepada gurunya untuk meminta petunjuk. ia pun disarankan oleh gurunya untuk membuat sebuah gelang besar yang bisa dilewati manusia. gelang itulah yang dapat mengalahkan pangeran cunihin. jika pangeran cunihin melewati gelang tersebut, maka seluruh kesaktiannya akan lenyap dan kembali kepada pangeran sae bagus.","sakbanjure, pangeran sae bagus lana sing wis ora kuwasa banjur sowan marang gurune njaluk pituduh. dheweke banjur dianjurake karo gurune supaya gawe gelang gedhe sing bisa diliwati manungsa. gelang kuwi sing bisa ngalahake pangeran cunihin. yen pangeran cunihin liwat gelang kuwi, mula sakabehe kasaktiyane bakal ilang lan bali menyang pangeran sae bagus."
Pangeran Pande Gelang dan Putri Cadasari,Banten,4,"setelah mendengar nasihat sang guru, pangeran sae bagus lana pergi ke sebuah kampung untuk menjadi seorang pembuat gelang atau pande gelang tanpa sepengetahuan putri arum. sejak itulah, ia pun dipanggil dengan nama pande gelang. penduduk setempat akrab memanggilnya ki pande.","sawise krungu nasehat saka gurune, pangeran sae bagus lana lunga menyang sawijining desa kanggo dadi tukang gawe gelang utawa pande gelang tanpa sepengetahuan putri arum. wiwit kuwi, dheweke banjur dijuluki pande gelang. wong-wong desa nyebut dheweke ki pande."
Pangeran Pande Gelang dan Putri Cadasari,Banten,5,"suatu hari, ketika melintas di bukit manggis, pande gelang melihat seorang gadis cantik duduk termenung seorang diri. rupanya gadis itu tidak asing lagi baginya. ia adalah putri arum yang sedang bersedih karena tidak ingin menikah dengan pangeran cunihin yang terkenal kejam dan bengis itu. meskipun ia tahu kalau gadis itu kekasihnya, pangeran sae bagus lana tidak ingin membongkar penyamarannya agar sang kekasih tidak bertambah sedih.","ing salah sawijining dina, nalika liwat ing bukit manggis, pande gelang weruh sawijining gadis ayu lagi semedi dhewekan. kacaritakake, gadis kuwi ora liya yaiku putri arum sing lagi sedhih amarga ora gelem dinikahi dening pangeran cunihin sing kondhang kejem lan bengis kuwi. sanajan dheweke ngerti yen gadis kuwi kekasihe, pangeran sae bagus lana ora gelem mbukak samarane supaya kekasihe ora tambah sedhih."
Pangeran Pande Gelang dan Putri Cadasari,Banten,6,"sampurasun, sapa pande gelang. ra rampes, jawab sang putri dengan terkejut. maaf jika hamba telah mengejutkan tuan putri, kata pande gelang seraya memberi hormat.","sampurasun, sapa pande gelang."
Pangeran Pande Gelang dan Putri Cadasari,Banten,7,"sang putri tidak segera menjawab. ia hanya terpaku mengamati lelaki yang belum dikenalnya itu. meskipun wajah lelaki yang berkulit legam itu tampak kusam, sang putri yakin bahwa orang itu berwatak baik. ia mengumpamakan lelaki itu bagaikan buah manggis: walaupun hitam dan pahit kulitnya, tetapi putih dan manis buahnya. dengan keyakinan itu, sang putri tidak segan untuk menjawab sapaan lelaki setengah baya itu.","ra rampes, wangsulane sang putri kanthi kaget."
Pangeran Pande Gelang dan Putri Cadasari,Banten,8,"maaf aki, siapa dan berasal dari mana tanya sang putri. nama hamba pande gelang. orang-orang memanggil hamba ki pande, jawab lelaki itu. maaf tuan putri. sekiranya hamba boleh tahu, mengapa tuan putri tampak gundah gulana tanyanya.","nyuwun pangapunten menawi kawula sampun damel kaget gusti putri, pangandikane pande gelang karo ngajeni."
Pangeran Pande Gelang dan Putri Cadasari,Banten,9,"sang putri kembali terdiam sambil meneteskan air mata. ia ingin menceritakan kegundaan hatinya, namun sungguh berat untuk mengungkapkannya. sang putri merasa bahwa tidak ada gunanya menceritakan masalah kepada orang lain karena tak seorang pun yang dapat membantunya.","sang putri ora langsung wangsul. dheweke mung ngelih ndelok lanang sing durung dikenal kuwi. sanajan rai lanang ireng legam kuwi katon kusam, sang putri yakin yen wong kuwi duwe watak apik. dheweke nyamekake lanang kuwi kaya woh manggis: sanajan ireng lan pait kulite, nanging putih lan legi isi buahe. kanthi kapercayan kuwi, sang putri ora sungkan mbales sapaan lanang separo tuwa kuwi."
Pangeran Pande Gelang dan Putri Cadasari,Banten,10,"oh, maaf jika pertanyaan hamba tadi telah menyinggung perasaan tuan putri, ucap ki pande seraya hendak berlalu.","nyuwun pangapunten, aki, sinten jeneng panjenengan lan saking pundi pitakone sang putri."
Pangeran Pande Gelang dan Putri Cadasari,Banten,11,"ketika pande gelang akan meninggalkan tempat itu, sang putri mencegah langkahnya. tunggu, jangan pergi dulu ki, cegah putri arum. baiklah ki. saya akan bercerita, tetapi sekadar untuk menghilangkan rasa penasaran ki pande. selama ini saya tidak pernah menceritakan masalah ini kepada orang lain karena hanya akan sia-sia belaka, kata sang putri.","asma kawula pande gelang. wong-wong nyebat kawula ki pande, wangsulane lanang kuwi."
Pangeran Pande Gelang dan Putri Cadasari,Banten,12,"mengapa tuan putri berkata demikian tanya pande gelang. masalah yang saya hadapi saat ini sangat berat, ki, ungkap sang putri.","nyuwun pangapunten gusti putri. menawi kersa, saged kawula mangertosi, kados pundi kadosipun gusti putri katingal bingung lan sedhih pitakone."
