judul,provinsi,id_teks,teks,referensi
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,1,"menurut kisah yang diceritakan turun-temurun, peristiwa ini terjadi di simalungun, sumatera utara, sekitar abad ke-17.","miturut crita sing diceritakake turun-temurun, kedadean iki kelakon ing simalungun, sumatera utara, kira-kira abad kaping-17."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,2,"suatu hari, seorang laki-laki bernama partiga tiga sipunjung berangkat dari kampungnya, sibisa, dekat parapat, menuju simalungun. ia ditemani oleh adik tirinya, seorang gadis bernama anggaranim. sementara itu, istri partiga tiga sipunjung tetap tinggal di kampung bersama anak-anak dan cucu-cucunya. salah satu cucunya yang bernama siali urung adalah seorang pria setengah baya dengan tubuh tegap dan kuat.","siji dina, ana wong lanang jenenge partiga tiga sipunjung lunga saka desane, sibisa, cedhak parapat, menyang simalungun. dheweke ditemeni karo adhi tiri wadon, jenenge anggaranim. samentara kuwi, bojone partiga tiga sipunjung tetep manggon ing desa bareng karo anak-anak lan putu-putune. salah siji putune jenenge siali urung, wong lanang setengah tuwa sing awake kekar lan kuwat."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,3,"anggaranim adalah gadis yang sangat cantik dan gemar bercermin di mata air yang jernih. setelah beberapa hari berjalan kaki, mereka tiba di kampung silampuyang dan memutuskan untuk menetap di sana. tak lama setelah itu, partiga tiga sipunjung menikahi seorang perempuan dari marga saragih, yang merupakan keluarga berkuasa di kampung tersebut.","anggaranim kuwi bocah wadon ayu banget lan seneng ngaca ing sumber banyu bening. sawise pirang-pirang dina mlaku sikil, dheweke tekan ing desa silampuyang lan mutusake kanggo manggon ing kana. ora suwe sawise kuwi, partiga tiga sipunjung nikah karo wong wadon saka marga saragih, sing dadi kulawarga kuwasa ing desa kuwi."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,4,"pada saat itu, wilayah yang disebut siantar diperintah oleh raja sitanggang, yang juga bermarga saragih. seperti partiga tiga sipunjung, raja sitanggang gemar mengadu ayam dan berjudi. mereka sering berhadapan dalam gelanggang sabung ayam, namun keberuntungan lebih sering berpihak kepada partiga tiga sipunjung. kekalahannya yang terus-menerus membuat raja sitanggang merasa geram, hingga akhirnya ia menantang partiga tiga sipunjung untuk pertandingan terakhir dengan taruhan besar.","wektu kuwi, wilayah sing dijenengi siantar dipimpin dening raja sitanggang, sing uga saka marga saragih. kaya partiga tiga sipunjung, raja sitanggang seneng adu pitik lan judi. wong loro iki kerep padha ketemu ing arena adu pitik, nanging partiga tiga sipunjung luwih sering menang. kekalahane sing terus-terusan nggawe raja sitanggang nesu, nganti pungkasane dheweke nantang partiga tiga sipunjung adu pitik pungkasan karo taruhan gedhe."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,5,"dalam tantangan itu, raja sitanggang mempertaruhkan seluruh wilayah kekuasaannya beserta semua yang ada di dalamnya, termasuk rakyat dan segala benda bernyawa. sebagai balasannya, partiga tiga sipunjung mempertaruhkan seluruh hartanya, termasuk adiknya yang cantik, anggaranim.","ing tantangan kuwi, raja sitanggang masrahake kabeh wilayah kekuasaane bareng kabeh isine, kalebu rakyat lan kabeh makhluk urip. dadi balenane, partiga tiga sipunjung masrahake kabeh bandhane, kalebu adhine sing ayu, anggaranim."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,6,"pertandingan sabung ayam pun dimulai. penonton memenuhi gelanggang, bersorak mendukung jagoan masing-masing. setelah pertarungan yang panjang dan sengit, ayam jago partiga tiga sipunjung akhirnya berhasil menewaskan ayam raja sitanggang. dengan ksatria, raja sitanggang menerima kekalahannya. sesuai perjanjian, seluruh wilayah, harta benda, dan rakyatnya diserahkan secara resmi kepada partiga tiga sipunjung, disaksikan oleh masyarakat setempat. setelah itu, raja sitanggang meninggalkan siantar dan berangkat ke tanah jawa, tempat salah satu kerabatnya memerintah.","pertandingan adu pitik diwiwiti. penonton padha nglumpuk ing arena, padha sorak-sorak ndhukung jagoane. sawise perang sing dawa lan ketat, jago pitike partiga tiga sipunjung menang ngalahake jago pitike raja sitanggang. kanthi ksatria, raja sitanggang nampa kekalahane. miturut perjanjian, kabeh wilayah, bandha lan rakyat diserahake kanthi resmi marang partiga tiga sipunjung, disekseni masyarakat. sawise kuwi, raja sitanggang ninggal siantar lan lunga menyang tanah jawa, panggonan salah siji sedulure dadi raja."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,7,"setelah kemenangannya, partiga tiga sipunjung kembali ke kampung halamannya di sibisa. ia menawarkan kekuasaan atas wilayah yang dimenangkannya kepada cucunya, siali urung, yang menerimanya dengan senang hati. sementara itu, anggaranim tetap tinggal di siantar. meskipun banyak pria yang datang melamarnya, partiga tiga sipunjung selalu menolak mereka.","sawise menang, partiga tiga sipunjung bali menyang desane ing sibisa. dheweke nawakake kekuasaan wilayah sing dimenangke marang putune, siali urung, sing nampa kanthi seneng. samentara kuwi, anggaranim tetep manggon ing siantar. senajan akeh pria sing nglamar, partiga tiga sipunjung tansah nolak."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,8,"setiap hari, anggaranim bercermin di mata air tapian suhi boh bosar, yang terletak di pematang siantar. namun, suatu hari, ketika ia bermain di tepi mata air, sebuah dahan kayu jatuh dan ujungnya yang runcing melukai hidungnya, menyebabkan wajahnya cacat. sejak saat itu, kecantikannya memudar. para pemuda yang dulu mengaguminya tak lagi menaruh perhatian padanya.","saben dina, anggaranim ngaca ing sumber banyu tapian suhi boh bosar, sing ana ing pematang siantar. nanging, siji dina, nalika dolanan ing pinggir sumber banyu, ana dahan kayu tiba lan pucuke sing landhep nggores irunge, nganti raie dadi cacat. wiwit kuwi, ayune memudar. para nom-noman sing biyen nggumuni dheweke ora gelem ndelok maneh."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,9,"anggaranim merasa sedih dan menyadari bahwa perubahan wajahnya mungkin merupakan hukuman dari yang maha kuasa. dengan hati pilu dan air mata yang berlinang, ia memohon agar kecantikannya dikembalikan, namun doanya tak terkabul. karena putus asa, ia enggan pulang dan terus merenungi nasibnya di tepi mata air.","anggaranim sedhih lan rumangsa menawa owah-owahan rai kuwi bisa dadi ukuman saka gusti. kanthi ati susah lan mata mbrebes mili, dheweke ndedonga supaya ayune bali, nanging ora terkabul. amarga wis putus asa, dheweke ora gelem mulih lan terus mikir nasibe ing pinggir sumber banyu."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,10,"suatu hari, anggaranim meminta sehelai hiou sendei, sejenis kain sarung khas simalungun dengan corak garis-garis warna-warni yang indah. setelah mengenakannya sebagai pakaian dan selimut, ia tampak begitu mempesona di bawah sinar rembulan.","siji dina, anggaranim njaluk kain hiou sendei, yaiku sarung khas simalungun kanthi pola garis-garis warna-warni sing ayu. sawise nganggo kain kuwi dadi sandhangan lan selimut, dheweke katon banget ayune ana ing sangisore cahya rembulan."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,11,"keesokan paginya, warga kampung yang melewati mata air itu dikejutkan oleh perubahan aneh yang terjadi pada anggaranim. kakinya perlahan berubah menjadi ekor ular besar. dari perut hingga kepala, ia tetap berwujud manusia, tetapi dari paha ke bawah, ia telah menjelma menjadi bagian belakang ular yang dalam bahasa simalungun disebut ulok sendei.","esuke, warga desa sing liwat ing sumber banyu kuwi padha kaget ndelok owah-owahan aneh sing dialami anggaranim. sikile alon-alon malih dadi buntut ula gedhe. saka weteng munggah isih manungsa, nanging saka pupu mudhun wis malih dadi awak mburi ula, sing ing basa simalungun dijenengi ulok sendei."
Partiga Tiga Sipunjung Dan Anggaranim,Sumatera Utara,12,"perubahan ini berlangsung secara bertahap. ketika tubuhnya hampir sepenuhnya bersisik, anggaranim meminta izin berpamitan kepada keluarganya. partiga tiga sipunjung dan sanak saudaranya datang membawa alat musik dan menari tortor sebagai penghormatan terakhir. dengan tenang, anggaranim mendengarkan lagu sendu yang didendangkan gadis-gadis desa, sambil menggerakkan tubuhnya mengikuti irama.","perubahan iki kelakon alon-alon. nalika awake meh kabeh dadi sisik, anggaranim njaluk pamit marang kulawargane. partiga tiga sipunjung lan sanak keluarga teka nggawa alat musik lan nari tortor minangka pangajab pungkasan. kanthi tenang, anggaranim ngrungokake lagu sedhih sing dinyanyiake bocah-bocah wadon desa, nalika dheweke nggerakake awake ngetutke irama."
