judul,provinsi,id_teks,teks,referensi
Prabu Panggung Keraton,Jawa Timur,1,"dahulu kala, di lereng gunung wayang, jawa barat, berdiri sebuah kerajaan kecil bernama kerajaan dayeuh manggung masanggrahan yang dipimpin oleh prabu panggung keraton. meski kecil, kerajaan ini makmur dan rakyatnya hidup sejahtera di bawah pemerintahan sang raja yang bijaksana.","mbiyen kala, nang lereng gunung wayang, jawa barat, ngadeg sawijining karajan cilik jenenge karajan dayeuh manggung masanggrahan sing dipimpin dening prabu panggung keraton. sanajan cilik, karajan iki makmur lan rakyate urip tentrem ing sangisoring pamarentahan raja sing wicaksana."
Prabu Panggung Keraton,Jawa Timur,2,"prabu panggung keraton memiliki seorang adik perempuan bernama putri rarang purbaratna, seorang putri yang sangat cantik hingga rakyat menganggapnya sebagai titisan bidadari. meski telah cukup umur, putri rarang belum juga memiliki jodoh, membuat sang raja sedih.","prabu panggung keraton nduwe adhi wadon jenenge putri rarang purbaratna, sawijining putri sing ayu banget nganti rakyat nganggep dheweke titisan bidadari. sanajan wis cukup umur, putri rarang durung nduweni jodho, nggawe sang raja sedhih."
Prabu Panggung Keraton,Jawa Timur,3,"suatu hari, prabu panggung keraton memanggil adiknya untuk berbicara.","ing sawijining dina, prabu panggung keraton ngundang adhine kanggo rembugan."
Prabu Panggung Keraton,Jawa Timur,4,"rayi, sudah saatnya engkau memiliki pendamping hidup. adakah pemuda yang menjadi pilihan hatimu tanya sang raja.","rayi, wis wayahe kowe nduweni pendamping urip. ana nom-noman sing dadi pilihan atimu takon sang raja."
Prabu Panggung Keraton,Jawa Timur,5,"maaf, kakang. hingga saat ini, rayi belum memiliki tambatan hati. namun, rayi memiliki syarat untuk calon pendamping hidup. barang siapa yang dapat memecahkan teka-teki rayi, maka ia akan menjadi suami rayi, jawab putri rarang.","ngapunten, kakang. nganti saiki, rayi durung nduweni tambatan ati. nanging, rayi nduwe syarat kanggo calon pendamping urip. sapa wae sing isa mecahke teka-teki rayi, mula dheweke bakal dadi bojo rayi, wangsul putri rarang."
Prabu Panggung Keraton,Jawa Timur,6,"sang prabu meminta putri rarang menyebutkan teka-tekinya, yang berbunyi:","sang prabu njaluk putri rarang nyebutake teka-tekine, sing swarane kaya ngene:"
Prabu Panggung Keraton,Jawa Timur,7,"teras kangkung hati bitung, bekas itik dalam lubuk, bekas angsa pada bantar, bekas semut di atas batu, daun padi kering menjarum, sisir kecil tanduk kucing, sisir besar tanduk kuda, kemben layung kasunten berhiaskan bianglala, tulis langit gurat mega, panjangnya seputar jagat, intan sebesar buah labu.","teras kangkung ati bitung, bekas itik njero lubuk, bekas angsa menyang bantar, bekas semut ing ndhuwur watu, godhong padi garing njarum, sisir cilik tanduk kucing, sisir gedhe tanduk kuda, kemben layung kasunten motif bianglala, tulis langit gurat mega, dawane seputar jagat, intan segedhe woh labu."
Prabu Panggung Keraton,Jawa Timur,8,prabu panggung keraton kemudian menyebarkan pengumuman sayembara ke seluruh penjuru negeri dan bahkan ke kerajaan-kerajaan tetangga.,prabu panggung keraton banjur nyebarake pengumuman sayembara nang sak ndonya lan malah nganthi karajan-karajan tangga teparo.
Prabu Panggung Keraton,Jawa Timur,9,"berita kecantikan putri rarang menyebar luas, menarik perhatian para pemuda hingga raja-raja dari kerajaan lain untuk mengikuti sayembara. namun, tidak satu pun yang berhasil memecahkan teka-teki tersebut.","warta kaendahane putri rarang nyebar amba, narik kawigaten para nom-noman nganti para raja saka kraton liyane melu sayembara. nanging, ora ana siji wae sing isa mecahkake teka-teki kuwi."
Prabu Panggung Keraton,Jawa Timur,10,"salah satu peserta yang gagal adalah prabu gajah menggala dari kerajaan kuta genggelang. karena tidak terima dengan kekalahannya, prabu gajah menggala bersumpah akan menyerang kerajaan dayeuh manggung jika putri rarang berhasil menemukan jodohnya.","salah siji peserta sing gagal yaiku prabu gajah menggala saka kerajaan kuta genggelang. merga ora gelem nampa kekalahane, prabu gajah menggala sumpah bakal nyerang kerajaan dayeuh manggung yen putri rarang isa nemu jodho."
