judul,provinsi,id_teks,teks,referensi
Puteri Hijau,Sumatera Utara,1,"pada sekitar abad ke-14 dan ke-15 masehi, berdirilah sebuah kerajaan di daerah medan deli dengan istana yang diberi nama istana maimun. kerajaan melayu ini dipimpin oleh sultan muhayat syah, yang memiliki tiga orang anak:","ing sakupenge abad kaping-14 lan kaping-15 masehi, jejeg sawijining karajan ing dhaerah medan deli karo kraton sing dijenengi kraton maimun. karajan melayu iki dipimpin dening sultan muhayat syah, sing nduwe telu anak:"
Puteri Hijau,Sumatera Utara,2,"anak pertama bernama mambang jazid,","anak kapisan jenenge mambang jazid,"
Puteri Hijau,Sumatera Utara,3,"anak kedua bernama mambang khayali,","anak kapindho jenenge mambang khayali,"
Puteri Hijau,Sumatera Utara,4,anak ketiga bernama putri hijau.,anak katelu jenenge putri hijau.
Puteri Hijau,Sumatera Utara,5,"ketiga anak sultan memiliki kekuatan luar biasa. mambang jazid mampu mengubah dirinya menjadi seekor naga, mambang khayali dapat menjelma menjadi meriam, dan putri hijau dapat mengeluarkan cahaya hijau yang indah saat bulan purnama tiba. selain itu, putri hijau juga dikenal karena kecantikannya yang luar biasa serta sifatnya yang ramah dan bijaksana, sehingga ia sangat disukai oleh rakyatnya.","telu anak sultan kuwi nduwe kekuwatan sing luar biasa. mambang jazid isa malih wujud dadi naga, mambang khayali isa njelma dadi meriam, lan putri hijau isa ngluwihi cahya ijo sing endah wektu bulan purnama teka. saliyane kuwi, putri hijau uga misuwur merga ayune sing luar biasa lan sipate sing ramah lan wicaksana, nganti dheweke banget disenengi karo rakyate."
Puteri Hijau,Sumatera Utara,6,"suatu malam saat bulan purnama, seperti biasa, putri hijau berjalan-jalan di taman istana. dari tubuhnya, terpancar cahaya hijau yang begitu indah hingga terlihat oleh sultan aceh, yang kebetulan berada di kerajaannya yang berbatasan dengan kerajaan deli.","wengi kuwi, wektu bulan purnama, kaya biasane, putri hijau mlaku-mlaku ing taman kraton. saka awake, njedhul cahya ijo sing endah banget nganti katon dening sultan aceh, sing kebeneran ana ing karajane sing watesan karo karajan deli."
Puteri Hijau,Sumatera Utara,7,"terpesona oleh keindahan cahaya tersebut, sultan aceh segera mengutus beberapa pengawalnya untuk mencari tahu sumbernya. tidak butuh waktu lama bagi mereka untuk mengetahui bahwa cahaya hijau itu berasal dari tubuh seorang putri cantik dari kerajaan deli.","kagum karo kaendahan cahya kuwi, sultan aceh langsung ngutus sawetara pengawale kanggo nggoleki asal-usule. ora suwi, para pengawale nemokake yen cahya ijo kuwi asale saka awake sawijining putri ayu saka karajan deli."
Puteri Hijau,Sumatera Utara,8,"setelah mendengar laporan dari para pengawalnya, sultan aceh berkeinginan untuk mempersunting putri hijau. ia kemudian mengirim utusan dengan membawa berbagai perhiasan serta hadiah untuk melamar sang putri. namun, putri hijau menolak pinangan tersebut mentah-mentah.","sawise krungu laporan saka para pengawale, sultan aceh kepengin nglamar putri hijau. dheweke banjur ngirim utusan karo nggawa macem-macem perhiasan lan hadiah kanggo nglamar sang putri. nanging, putri hijau nolak lamaran kuwi mentah-mentah."
Puteri Hijau,Sumatera Utara,9,"mendengar penolakan itu, sultan aceh murka dan menganggap kerajaan deli telah menghina serta menabur benih peperangan terhadap kerajaannya. dengan penuh amarah, ia mengerahkan ratusan prajuritnya untuk menyerang kerajaan deli.","krungu penolakan kuwi, sultan aceh nesu lan nganggep karajan deli wis ngina lan nandur winih perang marang karajane. kanthi nesu, dheweke ngutus atusan prajurite kanggo nyerang karajan deli."
Puteri Hijau,Sumatera Utara,10,"pasukan sultan aceh berulang kali mencoba menyerang, tetapi mereka selalu gagal menembus pertahanan kerajaan deli yang terkenal kuat. benteng pertahanan kerajaan ini mampu menahan serangan bertubi-tubi dari musuh.","prajurit sultan aceh bola-bali nyoba nyerang, nanging mesthi gagal nembus pertahanan karajan deli sing misuwur kuwat. benteng pertahanan karajan iki isa nahan serangan bertubi-tubi saka mungsuh."
Puteri Hijau,Sumatera Utara,11,"melihat pasukannya terus gagal, sultan aceh kemudian menyusun siasat licik. ia memerintahkan pasukannya untuk menembakkan meriam dengan peluru berupa koin emas ke dalam benteng kerajaan deli.","weruh pasukane terus gagal, sultan aceh banjur nyusun taktik licik. dheweke marentah pasukane kanggo nembakake meriam karo peluru wujud dhuwit emas menyang njero benteng karajan deli."
Puteri Hijau,Sumatera Utara,12,"taktik ini berhasil. para prajurit deli, yang tergoda oleh kilauan emas, menjadi sibuk mengumpulkan koin-koin tersebut. dalam keadaan lengah itu, pasukan sultan aceh menyerang dengan cepat dan berhasil menaklukkan kerajaan deli.","taktik kuwi kasil. prajurit deli, sing kepincut karo kilape emas, dadi sibuk nglumpukake dhuwit kuwi. ing kahanan sing lengah kuwi, pasukan sultan aceh langsung nyerang lan kasil nguwasani karajan deli."
Puteri Hijau,Sumatera Utara,13,"namun, mambang khayali tidak terima dengan kekalahan ini. ia mengubah dirinya menjadi meriam raksasa dan terus menembakkan peluru ke arah musuh tanpa henti. sayangnya, karena terlalu lama menembakkan peluru, meriam jelmaan mambang khayali menjadi sangat panas hingga akhirnya meledak dan terbelah dua.","nanging, mambang khayali ora gelem nampa kekalahan kuwi. dheweke malih wujud dadi meriam raksasa lan terus nembak peluru menyang mungsuh tanpa mandheg. sayange, merga kelamaan nembak, meriam jelmaane mambang khayali dadi panas banget nganti pungkasane njeblug lan pecah dadi loro."
Puteri Hijau,Sumatera Utara,14,"ujung meriam tersebut terlempar jauh hingga ke perbatasan aceh, sedangkan bagian pangkalnya masih dapat ditemukan hingga kini di istana maimun, medan.","ujung meriam kuwi mental adoh nganti tekan wates karajan aceh, dene pangkale isih isa ditemokake nganti saiki ing kraton maimun, medan."
Puteri Hijau,Sumatera Utara,15,"setelah kekalahan kerajaan deli, putri hijau ditangkap dan dibawa oleh pasukan sultan aceh. namun, mambang jazid memberikan syarat kepada sultan aceh: putri hijau tidak boleh disentuh sampai tiba di kerajaan aceh. ia juga meminta agar sang putri dimasukkan ke dalam peti kaca yang telah disiapkannya.","sawise kekalahane karajan deli, putri hijau dicekel lan digawa karo pasukan sultan aceh. nanging, mambang jazid menehi syarat marang sultan aceh: putri hijau ora oleh disenggol nganti tekan karajan aceh. dheweke uga njaluk supaya sang putri dilebokake ing peti kaca sing wis disiapke."
Puteri Hijau,Sumatera Utara,16,"sultan aceh menerima syarat tersebut karena menganggapnya hal yang mudah. ia lalu membawa putri hijau dan pasukannya berlayar menyusuri sungai deli, yang pada masa itu masih dapat dilalui kapal.","sultan aceh nampa syarat kuwi merga nganggep gampang. dheweke banjur nggawa putri hijau lan pasukane numpak kapal nyusur kali deli, sing wektu kuwi isih isa dilayari kapal."
Puteri Hijau,Sumatera Utara,17,"saat tiba di daerah jambu air, putri hijau menjalankan amanat yang diberikan oleh abangnya, mambang jazid. ia keluar dari peti kaca, lalu:","wektu tekan ing dhaerah jambu air, putri hijau nindakke amanah saka kakange, mambang jazid. dheweke metu saka peti kaca, banjur:"
Puteri Hijau,Sumatera Utara,18,"menaburkan beras dan telur ke sungai,","nabur beras lan endhog menyang kali,"
Puteri Hijau,Sumatera Utara,19,"membakar menyan,","nobong menyan,"
Puteri Hijau,Sumatera Utara,20,"menyebut nama abangnya, mambang jazid, sebanyak tiga kali.","nyaur jeneng kakange, mambang jazid, nganti kaping telu."
Puteri Hijau,Sumatera Utara,21,"mambang jazid, mambang jazid, mambang jazid, datanglah abangku selamatkanlah adikmu ini dari genggaman sultan aceh serunya.","mambang jazid, mambang jazid, mambang jazid, tekana kandaku tulungana adikmu iki saka genggemane sultan aceh sorake."
Puteri Hijau,Sumatera Utara,22,"tiba-tiba, air sungai deli yang semula tenang berubah bergemuruh. langit mendadak gelap, angin berhembus kencang, dan petir menyambar-nyambar. melihat keadaan semakin mencekam, putri hijau segera masuk kembali ke dalam peti kaca.","dumadakan, banyu kali deli sing sakdurunge meneng dadi gumuruh. langit langsung peteng, angin nggegirisi, lan kilat sabrangan. weruh kahanan sing saya medeni, putri hijau cepet-cepet mlebu maneh menyang peti kaca."
Puteri Hijau,Sumatera Utara,23,"tak lama setelah itu, seekor naga raksasa muncul dari sungai deliâia adalah mambang jazid dalam wujud naga. dengan penuh amarah, ia mengamuk dan menghancurkan kapal sultan aceh beserta seluruh pasukannya.","ora suwi sawise kuwi, ana naga raksasa metu saka kali deli, iku mambang jazid ing wujud naga. kanthi nesu, dheweke ngamuk lan ngancurake kapal sultan aceh bareng kabeh pasukane."
Puteri Hijau,Sumatera Utara,24,"peti kaca yang berisi putri hijau terlempar ke sungai dan terapung-apung. naga jelmaan mambang jazid segera menghampiri peti itu, membuka mulutnya lebar-lebar, lalu menelan peti kaca berisi putri hijau dan membawanya pergi ke laut.","peti kaca sing isine putri hijau mental menyang kali lan ngambang. naga jelmaane mambang jazid langsung nyedhaki peti kuwi, mbukak lambene amba-amba, banjur ngelek peti kaca sing isine putri hijau lan nggawa adoh menyang laut."
Puteri Hijau,Sumatera Utara,25,"hingga kini, tidak ada yang tahu apakah putri hijau masih hidup sebagai manusia atau telah berubah menjadi makhluk lain.","nganti saiki, ora ana sing ngerti apa putri hijau isih urip dadi manungsa utawa wis malih dadi makhluk liya."
Puteri Hijau,Sumatera Utara,26,"legenda ini masih dikenal luas di kalangan masyarakat deli serta melayu di malaysia. hingga kini, beberapa peninggalan sejarah terkait kisah ini masih dapat ditemukan, seperti:","legenda iki isih misuwur banget ing tengah-tengahe masyarakat deli lan melayu ing malaysia. nganti saiki, sawetara tilas sajarah sing ana gandhengane karo crita iki isih isa ditemokake, kayata:"
Puteri Hijau,Sumatera Utara,27,sisa reruntuhan benteng yang diduga berasal dari zaman putri hijau masih ada di daerah deli tua.,sisane reruntuhan benteng sing diduga saka jamane putri hijau isih ana ing dhaerah deli tua.
Puteri Hijau,Sumatera Utara,28,"bagian pangkal meriam jelmaan mambang khayali masih dapat dilihat di halaman istana maimun, medan.","bagean pangkal meriam jelmaane mambang khayali isih isa didelok ing latar kraton maimun, medan."
