judul,provinsi,id_teks,teks,referensi
Putra Lokan,Riau,1,"pada zaman dahulu, di hulu sungai bintan, berdiri sebuah kerajaan yang dipimpin oleh seorang raja yang adil. sang raja hidup bahagia bersama permaisuri tercinta, tetapi kebahagiaan mereka terasa kurang lengkap karena belum dikaruniai seorang anak.","ing jaman mbiyen, ing hulu kali bintan, ana sawijining karajan sing dipimpin dening raja sing adil. sang raja urip bahagia bebarengan karo permaisuri sing dikasihi, nanging rasa bahagia kuwi kerasa kurang lengkap amarga durung dianugrahake anak."
Putra Lokan,Riau,2,"suatu hari, permaisuri terlihat bersedih.","sak dina, permaisuri katon sedhih."
Putra Lokan,Riau,3,"istriku, mengapa kau bersedih katakanlah, jangan pendam sendirian, tanya raja penuh perhatian.","bojoku, ngapa kowe sedhih critakna, aja dipendem dhewe, takon raja kanthi perhatian."
Putra Lokan,Riau,4,"suamiku, kita sudah lama menikah, tetapi hingga kini aku belum juga diberi keturunan. aku sangat merindukan kehadiran seorang anak, jawab sang permaisuri lesu.","bojoku, kita wis suwe omah-omah, nanging nganthi saiki aku durung oleh keturunan. aku kangen banget pengen nduwe anak, jawab permaisuri kanthi lesu."
Putra Lokan,Riau,5,"mendengar hal itu, sang raja mencoba menenangkan istrinya. kita berdoa dan menyerahkan semuanya kepada tuhan yang maha kuasa. jika saatnya tiba, kita pasti akan diberi kepercayaan untuk memiliki anak.","krungu kuwi, sang raja nyoba nenangkake bojone. kita ndedonga lan nyerahkake kabeh marang gusti allah sing maha kuwasa. nek wayahe wis teka, mesthi kita bakal diparingi anak."
Putra Lokan,Riau,6,"suatu pagi, saat berjalan di tepi sungai bintan, tiba-tiba permaisuri jatuh pingsan. raja segera membawa istrinya kembali ke istana dan memanggil tabib. awalnya, raja khawatir akan kondisi istrinya, tetapi tabib memberi kabar yang mengejutkan: sang permaisuri sedang mengandung seorang bayi.","sawijining esuk, nalika mlaku-mlaku ana pinggir kali bintan, permaisuri dumadakan pingsan. raja langsung nggawa bojone bali menyang istana lan nelpon tabib. awale raja kuwatir karo kahanan bojone, nanging tabib maringi kabar sing ngagetake: permaisuri lagi ngandhut bayi."
Putra Lokan,Riau,7,"mendengar kabar itu, raja merasa lega dan sangat bahagia. doa mereka akhirnya dikabulkan. tidak hanya raja dan permaisuri, seluruh rakyat turut bersukacita menyambut calon penerus tahta.","krungu kabar kuwi, raja lega lan banget bahagia. donga-donga mau pungkasane dikabulkake. ora mung raja lan permaisuri, kabeh rakyat uga padha bungah nampa calon pewaris tahta."
Putra Lokan,Riau,8,"sembilan bulan berlalu, tibalah waktu permaisuri melahirkan. namun, betapa terkejutnya raja dan permaisuri ketika yang lahir bukanlah seorang bayi manusia, melainkan lokan (kerang). raja merasa malu dan bingung.","sanga wulan lumaku, tekan wayahe permaisuri ngelairake. nanging, kaget banget raja lan permaisuri nalika sing lair dudu bayi manungsa, nanging lokan (kerang). raja keroso isin lan bingung."
Putra Lokan,Riau,9,bendahara kerajaan yang memiliki niat jahat memanfaatkan situasi ini. ia menghasut raja untuk membuang permaisuri dan anaknya ke hutan agar tidak menjadi aib bagi kerajaan. raja yang sedang bingung akhirnya menyetujui usulan tersebut.,bendhara karajan sing nduwe niyat ala nyalahkake kahanan iki. dheweke nyurung raja supaya mbuwang permaisuri lan anake menyang alas supaya ora dadi aib kanggo karajan. raja sing bingung banjur sarujuk karo usulan kuwi.
Putra Lokan,Riau,10,"di hutan, permaisuri yang ketakutan dan sedih bertemu dengan seorang nenek bernama nenek kebayan. sang nenek merasa iba dan mengajak permaisuri serta anaknya tinggal di gubuk kecil miliknya.","ing alas, permaisuri sing wedi lan sedhih ketemu karo nenek jenenge nenek kebayan. sang nenek kroso iba lan ngajak permaisuri lan anake manggon ing gubuk cilike."
