judul,provinsi,id_teks,teks,referensi
Putri Kandita,Jawa Barat,1,"alkisah, di daerah pakwan, kini kota bogor, jawa barat, terdapat seorang raja bernama sri baduga maharaja atau prabu siliwangi yang bertahta di kerajaan pakuan pajajaran. ia adalah raja yang arif dan bijaksana. sang prabu juga mempunyai seorang permaisuri yang cantik jelita dan beberapa selir yang cantik-cantik. dari hasil perkawinannya dengan sang permaisuri, lahir seorang putri yang bernama putri kandita. putri kandita memiliki paras yang cantik melebihi kecantikan ibunya. ia merupakan putri kesayangan prabu siliwangi.","alkisah, ing daerah pakwan, saiki dadi kutha bogor, jawa barat, ana raja jenenge sri baduga maharaja utawa prabu siliwangi sing jumeneng neng karajaan pakuan pajajaran. dheweke kuwi raja sing wicaksana lan bijaksana. sang prabu uga nduweni permaisuri ayu banget lan sawetara selir sing uga ayu-ayu. saka pernikahane karo sang permaisuri, lair putri jenenge putri kandita. putri kandita nduweni rupa sing ayu ngungkuli ayune ibune. dheweke dadi putri kesayangane prabu siliwangi."
Putri Kandita,Jawa Barat,2,"ketika ia mulai dewasa, sifat arif dan bijaksana, seperti yang dimiliki oleh sang ayah, mulai muncul pada dirinya. tidak mengherankan jika prabu siliwangi bermaksud mencalonkan putri kandita sebagai penggantinya kelak. namun, rencana tersebut ternyata tidak disukai oleh para selir dan putra-putrinya yang lain. oleh karena itu, mereka pun bersekongkol untuk mengusir putri kandita dan ibunya dari istana.","nalika dheweke mulai diwasa, sifat arif lan wicaksana, kaya sing diduweni bapake, mulai metu ing awake. mula ora aneh yen prabu siliwangi nduweni niyat ngajokake putri kandita dadi penggantie. nanging, rencana kuwi ora disenengi dening para selir lan anak-anake sing liyane. mula saka kuwi, wong-wong kuwi kongkalikong arep ngusir putri kandita lan ibune saka istana."
Putri Kandita,Jawa Barat,3,"suatu malam, para selir prabu siliwangi dan putra-putri mereka mengadakan pertemuan rahasia di dalam istana.","wengi-wengi, para selire prabu siliwangi lan anak-anake ngadhakake rapat rahasia neng njero istana."
Putri Kandita,Jawa Barat,4,"bagaimana cara menyingkirkan putri kandita dan permaisuri dari istana ini tanpa sepengetahuan prabu tanya salah seorang selir. kita harus berhati-hati karena jika prabu mengetahui rencana ini, maka kita semua akan binasa, ujar selir yang lain.","âpiye carane nyingkirke putri kandita lan permaisuri saka istana iki tanpa dingerteni prabuâ pitakon salah sijine selir. âkita kudu ngati-ati, merga nek prabu ngerti rencana iki, ya bakal cilaka kabeh,â ujare selir sing liyane."
Putri Kandita,Jawa Barat,5,sejenak suasana pertemuan itu menjadi hening. semuanya sedang berpikir keras untuk mencari cara yang paling tepat agar rencana mereka dapat terlaksana tanpa sepengetahuan prabu siliwangi.,"sakcepete, suasana rapat kuwi dadi meneng. kabeh mikir keras golek cara sing paling pas supaya rencana kuwi bisa kelakon tanpa dingerteni prabu siliwangi."
Putri Kandita,Jawa Barat,6,"sekarang aku tahu caranya, sahut seorang selir yang lain memecah suasana keheningan. apakah caramu itu tanya semua peserta rapat serentak. aku mempunyai kenalan seorang dukun yang terkenal dengan kesaktian ilmu hitamnya. dukun itu pasti mau membantu kita jika kita memberinya upah yang besar, jawab selir itu. semua peserta rapat setuju dengan cara tersebut.","âsaiki aku ngerti carane,â tembung selir siji malih, mecah suasana sepi kuwi. âapa caramu kuwiâ pitakon kabeh peserta rapat bareng-bareng. âaku nduweni kenalan dukun sing kondhang ilmu irenge. dukun kuwi mesthi gelem nulungi nek dikeki upah gedhe,â wangsule selir kuwi. kabeh peserta rapat sarujuk karo cara kuwi."
Putri Kandita,Jawa Barat,7,"pada esok hari, para selir mengutus seorang dayang-dayang istana untuk menemui dukun itu di gubuknya di sebuah desa yang letaknya cukup jauh dari istana. setelah menjelaskan maksud kedatangannya, utusan itu kemudian menyerahkan sejumlah keping uang logam emas kepada sang dukun. tanpa berpikir panjang, sang dukun pun langsung menyanggupi permintaan para selir tersebut.","esuke, para selir ngutus dayang istana arep ketemu karo dukun kuwi neng gubuke neng desa adoh saka istana. sawise nerangke maksude, utusan kuwi nyerahke koin emas marang dukune. tanpa mikir dawa, dukun kuwi langsung gelem nampa panjaluk para selir kuwi."
Putri Kandita,Jawa Barat,8,"setelah utusan selir itu kembali ke istana, sang dukun segera melaksanakan tugasnya. dengan ilmu hitam yang dimiliki, dukun itu menyihir putri kandita dan ibunya dengan penyakit kusta, sehingga sekujur tubuh mereka yang semula mulus dan bersih, timbul luka borok dan mengeluarkan bau tidak sedap.","sawise utusan kuwi bali menyang istana, dukune langsung nindakake tugase. kanthi ilmu ireng, dukun kuwi nyepet putri kandita lan ibune nganggo penyakit kusta, nganti sak awake sing biyen alus lan resik, dadi loro, borokan, lan ambune ora enak."
Putri Kandita,Jawa Barat,9,"prabu siliwangi heran melihat penyakit borok itu tiba-tiba menyerang putri dan permaisurinya secara bersamaan. ia pun segera mengundang para tabib untuk mengobati penyakit tersebut. para tabib dari berbagai negeri sudah didatangkan, namun tak seorang pun yang mampu menyembuhkan penyakit putri kandita dan sang permaisuri. bahkan, penyakit sang permaisuri semakin hari semakin parah dan menyebarkan bau busuk yang sangat menyengat. tubuhnya pun semakin lemah karena tidak mau makan dan minum.","prabu siliwangi gumun ndelok penyakit borok kuwi jebul teka-teka nyerang putrine lan permaisurine bareng-bareng. dheweke langsung ngundang para tabib kanggo ngobati. tabib saka negara liya wis ditekakake, nanging ora ana siji wae sing bisa marekke. malah, permaisurie saben dina tambah parah lan ambune saya ngelunungi. awake saya ringkih amarga ora gelem mangan lan ngombe."
Putri Kandita,Jawa Barat,10,"selang beberapa hari kemudian, sang permaisuri menghembuskan nafas terakhirnya. kepergian sang permaisuri benar-benar meninggalkan luka yang sangat dalam bagi seluruh isi istana, khususnya prabu siliwangi. sejak itu, ia selalu duduk termenung seorang diri. satu-satunya harapan yang dapat mengobati kesedihannya adalah putri kandita. namun, harapan itu hanya tinggal harapan karena penyakit sang putri tak kunjung sembuh. keadaan itu pun tidak disiasiakan oleh para selir dan putra-putrinya. mereka bersepakat untuk menghasut prabu siliwangi agar segera mengusir putri kandita dari istana.","sawise sawetara dina, permaisuri nglemprah ambegan pungkasan. wusane permaisuri ninggalake lara abot kanggo istana, luwih-luwih prabu siliwangi. sakwise kuwi, dheweke tansah lingsem piyambakan. siji-sijine pangarep-arep kanggo ngobati sedhihe yaiku putri kandita. nanging, pangarep-arep kuwi malah muspra amarga penyakite sang putri ora mari-mari. kahanan kuwi dimanfaatke dening para selir lan anak-anake. wong-wong kuwi kompak ngojok-ojoki prabu siliwangi supaya ngusir putri kandita saka istana."
