judul,provinsi,id_teks,teks,referensi
Putri Keong Mas,Jawa Tengah,1,"pada zaman dahulu, hiduplah seorang janda bersama anak laki-lakinya yang bernama ceceng. mereka tinggal di sebuah gubuk tua yang didirikan di atas tanah sewaan milik seorang tuan tanah.","nalika jaman mbiyen, ana sawijining randha urip bareng karo anak lanange sing jenenge ceceng. dheweke manggon ana ing gubug tua sing didhegake ing ndhuwure tanah sewa duweke sawijining tuan tanah."
Putri Keong Mas,Jawa Tengah,2,"suatu hari, ibu si ceceng jatuh sakit. semakin hari, penyakitnya semakin parah hingga akhirnya ia mengembuskan napas terakhirnya. kini, ceceng harus tinggal sendirian.","sawajining dina, ibune si ceceng lara. saya dina saya parah larane nganti pungkasane ngembusake napas pungkasane. saiki, ceceng kudu urip dhewe."
Putri Keong Mas,Jawa Tengah,3,"keesokan harinya, tuan tanah datang untuk menagih uang sewa tanah. ceceng memohon kepada tuan tanah untuk menangguhkan pembayarannya. namun, tuan tanah sangat marah. sebagai gantinya, ia menyuruh ceceng mengerjakan sawahnya untuk melunasi utangnya. permintaan itu disanggupi oleh ceceng.","esuke, tuan tanah teka kanggo nagih dhuwit sewa tanah. ceceng nyuwun marang tuan tanah supaya pambayarane ditundha. nanging, tuan tanah nesu banget. minangka gantine, dheweke nyuruh ceceng nggarap sawahe kanggo nglunasi utange. panjaluk kuwi disanggupi karo ceceng."
Putri Keong Mas,Jawa Tengah,4,"pada suatu hari, ketika ceceng sedang mencangkul di sawah, ia menemukan seekor keong emas. karena terkesan dengan keong yang indah itu, ia memutuskan untuk membawanya pulang. sesampainya di rumah, keong itu ia letakkan di dalam sebuah tempayan dan menutupnya rapat-rapat.","ing sawijining dina, nalika ceceng lagi nyangkul ing sawah, dheweke nemokake sawijining keong emas. amarga kagum karo keong sing endah kuwi, dheweke mutusake kanggo nggawa mulih. tekan ing omah, keong kuwi dilebokake ing tempayan lan ditutup rapet-rapet."
Putri Keong Mas,Jawa Tengah,5,"setelah itu, ceceng kembali ke sawah untuk menyelesaikan pekerjaannya. hingga sore hari, ia tetap berusaha mencangkul dengan sungguh-sungguh.","sawise kuwi, ceceng bali menyang sawah kanggo ngrampungake gaweane. nganti sore, dheweke tetep nyangkul kanthi temen."
Putri Keong Mas,Jawa Tengah,6,"saat pulang, alangkah terkejutnya ceceng ketika melihat rumahnya tampak bersih dan rapi. tak hanya itu, makanan dan minuman juga telah tersaji di meja. ia bertanya-tanya dalam hati, siapa gerangan yang telah memasak dan merapikan rumahnya tanpa berpikir panjang, ceceng pun menghabiskan makanan dan minuman yang tersedia.","wektu bali, alangkah kagete ceceng nalika weruh omahe katon resik lan rapi. ora mung kuwi, panganan lan ombenan uga wis disedhiyakke ing meja. dheweke mikir-mikir ing njero ati, sapa kira-kira sing wis masak lan ndandani omahe tanpa mikir dawa, ceceng banjur ngadusake panganan lan ombenan kuwi."
Putri Keong Mas,Jawa Tengah,7,"keesokan harinya, seperti biasa, ia pergi ke sawah dan kembali sore harinya. hal yang sama kembali terjadi: rumahnya bersih, makanan dan minuman terhidang. begitu seterusnya, hingga ceceng akhirnya penasaran dan memutuskan untuk menyelidiki kejadian itu.","esuke, kaya biasane, dheweke lunga menyang sawah lan bali sore dina. prekara sing padha kelakon maneh: omahe resik, panganan lan ombenan wis ana. nganti pungkasane, ceceng penasaran lan mutusake kanggo nyidik kahanan kuwi."
Putri Keong Mas,Jawa Tengah,8,"suatu hari, ceceng sengaja berpura-pura pergi ke sawah, tetapi ia kembali diam-diam dan mengintip dari celah dinding rumahnya. betapa terkejutnya ia ketika melihat seorang gadis cantik keluar dari tempayan tempat ia menyimpan keong emas.","sawijining dina, ceceng sengaja pura-pura lunga menyang sawah, nanging bali kanthi alon-alon lan ngintip saka celah tembok omahe. betapa kagete dheweke nalika ndelok sawijining prawan ayu metu saka tempayan panggonan nyimpen keong emas."
Putri Keong Mas,Jawa Tengah,9,ceceng segera menghampiri gadis tersebut. gadis itu sangat terkejut dan tak mampu menyembunyikan rahasianya lagi. ia pun menceritakan riwayat hidupnya kepada ceceng.,ceceng langsung nyedhaki prawan kuwi. prawan kuwi kaget banget lan ora bisa ndhelikake rahasiane maneh. dheweke banjur nyritakake riwayat uripe marang ceceng.
Putri Keong Mas,Jawa Tengah,10,"rupanya, gadis itu adalah seorang bidadari yang dikutuk menjadi seekor keong emas. dengan penuh rasa iba, ceceng menerima keberadaan sang gadis dan mereka pun memutuskan untuk menikah. setelah menikah, mereka hidup bahagia hingga dikaruniai seorang putri cantik bernama sri nawangsih.","rupane, prawan kuwi ya sawijining bidadari sing dikutuk dadi keong emas. kanthi rasa welas asih, ceceng nampa anane prawan kuwi lan padha mutusake kanggo nikah. sawise nikah, uripe padha bahagia nganthi dikaruniai putri ayu jenenge sri nawangsih."
