judul,provinsi,id_teks,teks,referensi
Putri Mambang Linau,Riau,1,"alkisah pada zaman dahulu, di tanah bengkalis, riau, hiduplah seorang pemuda bernama bujang enok. ia hidup sebatang kara dan dalam kemiskinan, namun dikenal ramah dan murah hati. setiap hari, ia pergi ke hutan untuk mencari kayu bakar yang dijual di pasar. hasilnya hanya cukup untuk membeli sedikit beras dan lauk sederhana, tetapi bujang enok selalu bersyukur atas rezeki yang diberikan tuhan.","alkisah ing jaman mbiyen, ing tanah bengkalis, riau, ana sawijining pemuda jenenge bujang enok. dheweke urip sebatang kara lan mlarat, nanging dikenal ramah lan murah ati. saben dina, dheweke lunga menyang alas kanggo nggoleki kayu bakar sing didol ing pasar. asile mung cukup kanggo tuku sega sithik lan lauk prasaja, nanging bujang enok tansah nyukuri rejeki sing diwenehi gusti."
Putri Mambang Linau,Riau,2,"suatu pagi, seperti biasa, bujang enok pergi ke hutan. saat sedang asyik mencari kayu, tiba-tiba seekor ular berbisa menghadangnya. ular itu mendesis dan menjulurkan lidahnya, membuat enok berhati-hati. tak ingin melukai ular tersebut, ia mencoba menghalaunya, tetapi ular itu justru menyerangnya.","ing wektu esuk, kaya biasane, bujang enok lunga menyang alas. nalika lagi seneng nggoleki kayu, dumadakan ana ula berbisa nyegat dheweke. ula kuwi ndesis lan njulurkake ilate, nggawe enok luwih ngati-ati. ora gelem nyilakake ula kuwi, dheweke nyoba ngusir, nanging ula kuwi malah nyerang."
Putri Mambang Linau,Riau,3,"dengan sangat terpaksa, bujang enok menggunakan tongkat rotan pusaka milik mendiang ayahnya untuk melawan. sekali pukul, ular itu mati. merasa bersalah, ia mengubur ular itu di suatu tempat sebelum melanjutkan pekerjaannya.","kanthi kahanan sing terpaksa, bujang enok nganggo gagang rotan pusaka simbahe kanggo mungsuh. siji pukulan, ula kuwi mati. krasa salah, dheweke ngubur ula kuwi ing panggonan tartamtu sadurunge nerusake pakaryane."
Putri Mambang Linau,Riau,4,"sepulangnya dari hutan, bujang enok sangat lapar. ia terkejut melihat meja dapurnya penuh dengan makanan lezat. tanpa berpikir panjang, ia langsung melahapnya hingga habis. namun, pertanyaan muncul di benaknya, siapa yang menyiapkan makanan ini","sakmulihe saka alas, bujang enok krasa luwe banget. dheweke kaget weruh meja pawon kebak panganan enak. tanpa mikir dawa, dheweke langsung mangan nganthi entek. nanging, ana pitakonan ing pikirane, sapa sing nyiapake panganan iki"
Putri Mambang Linau,Riau,5,"keesokan harinya, ia memutuskan untuk mencari tahu. ia bersembunyi di semak-semak dekat rumahnya, berharap bisa memergoki orang misterius tersebut. menjelang siang, ia melihat tujuh gadis cantik datang membawa makanan. para gadis itu masuk ke rumahnya dan meninggalkan makanan di dapur sebelum pergi ke arah sungai.","sesuke, dheweke mutusake kanggo nyelidiki. dheweke ndhelik ing semak-semak cedhak omahe, ngarep-arep isa ndelok wong misterius kuwi. mendhaki awan, dheweke weruh pitu bocah ayu teka nggawa panganan. bocah-bocah kuwi mlebu omahe lan ninggalake panganan ing pawon sadurunge lunga menyang kali."
Putri Mambang Linau,Riau,6,"penasaran, bujang enok mengikuti mereka dengan diam-diam. dari balik semak, ia melihat para gadis sedang mandi di sungai. mereka meletakkan selendang berwarna-warni di ranting pohon. enok mengambil selendang berwarna jingga milik salah satu gadis yang menurutnya paling cantik.","amarga penasaran, bujang enok melu ndhelik mburi semak. saka kono, dheweke weruh bocah-bocah kuwi lagi adus ing kali. wong-wong padha nyelehake selendang warna-warni ing cabang wit. enok njupuk selendang jingga saka salah siji bocah sing miturut dheweke paling ayu."
Putri Mambang Linau,Riau,7,"setelah selesai mandi, gadis berselendang jingga itu panik karena selendangnya hilang. keenam gadis lainnya terbang kembali ke kahyangan, meninggalkannya sendirian. gadis itu duduk di tepi sungai, menangis karena tak bisa kembali.","sawise rampung adus, bocah sing nganggo selendang jingga kuwatir amarga selendange ilang. nem bocah liyane mabur bali menyang kahyangan, ninggalake dheweke piyambakan. bocah kuwi lungguh ing pinggir kali, nangis amarga ora isa bali."
Putri Mambang Linau,Riau,8,"bujang enok mendekati gadis tersebut dan berkata, kenapa kau menangis, wahai gadis cantik","bujang enok nyedhaki bocah kuwi lan ngomong, ngapa kowe nangis, wah bocah ayu"
Putri Mambang Linau,Riau,9,"saya kehilangan selendang saya, tuan. tanpa selendang itu, saya tak bisa kembali ke kahyangan, jawab gadis itu.","aku kelangan selendang, tuan. tanpa selendang iki, aku ora isa bali menyang kahyangan, wangsulan bocah kuwi."
Putri Mambang Linau,Riau,10,"enok menjawab, saya akan mengembalikan selendangmu, tapi dengan satu syarat: kau harus menikah denganku.","enok mangsuli, aku bakal mbalekake selendangmu, nanging ana siji syarat: kowe kudu omah-omah karo aku."
Putri Mambang Linau,Riau,11,"setelah berpikir sejenak, gadis itu setuju dengan syarat bahwa jika suatu hari ia harus menari dengan selendangnya, mereka harus berpisah. gadis itu memperkenalkan dirinya sebagai mambang linau, seorang putri dari kahyangan.","sawise mikir sakdhek, bocah kuwi setuju karo syarat yen yen kapan-kapan kowe kudu nari nganggo selendangmu, mula kudu pisah. bocah kuwi ngenalake awake minangka mambang linau, putri saka kahyangan."
