judul,provinsi,id_teks,teks,referensi
Putri Pandan Berduri,Kalimantan Barat,1,"pada zaman dahulu, hiduplah sekelompok suku laut di pulau bintan, kepulauan riau, yang dipimpin oleh seorang pemimpin bijak bernama batin lagoi. ia dikenal sebagai pemimpin yang santun dan adil dalam memimpin rakyatnya.","ing jaman mbiyen, urip sak kelompok suku laut ing pulo bintan, kapuloan riau, sing dipimpin dening sawijining pemimpin wicaksana jenenge batin lagoi. dheweke dikenal dadi pemimpin sing santun lan adil ing nuntun rakyate."
Putri Pandan Berduri,Kalimantan Barat,2,"suatu hari, saat berjalan menyusuri pantai, batin lagoi tanpa sengaja mendengar suara tangisan bayi. anak siapa yang menangis di tempat seperti ini pikirnya heran sambil mencari asal suara. namun, tak seorang pun terlihat di sekitarnya. ketika ia hendak melanjutkan perjalanan, suara tangisan itu terdengar lagi, kali ini lebih jelas, berasal dari semak-semak pandan.","siji dina, wektu mlaku nyusur pantai, batin lagoi ora sengaja krungu swara tangisan bayi. anake sapa sing nangis ing panggonan kaya ngene pikire karo gumun lan nggoleki asal swarane. nanging, ora ana siji wae wong sing katon ing sakupenge. nalika arep nerusake lelampahan, swara tangisan kuwi krungu maneh, wektu iki luwih cetha, asale saka semak-semak pandan."
Putri Pandan Berduri,Kalimantan Barat,3,"astaga siapa gerangan yang meninggalkan bayi di sini serunya kaget, hingga ia terjatuh ke tanah. di atas tumpukan dedaunan, ia menemukan seorang bayi perempuan yang terbaring lemah. meski awalnya ragu, hati kecilnya tergerak. karena ia dan istrinya tidak memiliki anak, batin lagoi memutuskan untuk mengangkat bayi itu sebagai anaknya dan membawanya pulang.","astaga sapa sing ninggalake bayi ing kene sorake karo kaget, nganti dheweke tiba ing lemah. ing ndhuwure tumpukan godhong-godhong, dheweke nemu bayi wadon sing lagi ngambang lemes. senajan awale ragu, nanging ati cilike katarik. amarga dheweke lan bojone ora nduwe anak, batin lagoi mutusake ngangkat bayi kuwi dadi anake lan digawa bali mulih."
Putri Pandan Berduri,Kalimantan Barat,4,"bayi itu diberi nama putri pandan berduri. dengan penuh kasih sayang, batin lagoi merawatnya seperti anak kandung. baginya, putri pandan berduri adalah anugerah dari tuhan. waktu berlalu, putri pandan berduri tumbuh menjadi seorang gadis cantik jelita yang anggun dan santun. tutur katanya yang lembut membuat masyarakat suku laut mengaguminya. banyak pemuda terpikat oleh kecantikannya, tetapi tak seorang pun berani meminangnya, karena batin lagoi menginginkan putrinya menikah dengan keturunan bangsawan.","bayi kuwi diwenehi jeneng putri pandan berduri. kanthi katresnan sing tulus, batin lagoi ngrumat dheweke kaya anak kandung dhewe. tumrape, putri pandan berduri iku peparingan saka gusti allah. wektu lumaku, putri pandan berduri saya gedhe dadi cah wadon ayu rupawan sing luwes lan santun. omongane alus nggawe masarakat suku laut padha ngajeni dheweke. akeh nom-noman sing kasengsem karo kaayuane, nanging ora ana sing wani nglamar, merga batin lagoi pengin anake nikah karo keturunan bangsawan."
Putri Pandan Berduri,Kalimantan Barat,5,"sementara itu, di pulau galang, hiduplah dua kakak beradik bangsawan bernama julela dan jenang perkasa. keduanya tumbuh rukun sejak kecil, hingga suatu hari ayah mereka menunjuk julela sebagai pemimpin berikutnya di pulau galang. namun, kekuasaan membuat julela menjadi angkuh. ia bahkan mengancam adiknya, hai jenang kelak, saat aku menjadi pemimpin, kau harus tunduk pada setiap perintahku. jika tidak, aku akan mengusirmu dari kampung ini","samentara kuwi, ing pulo galang, urip loro kakang adhi bangsawan jenenge julela lan jenang perkasa. wong loro kuwi tuwuh rukun wiwit cilik, nganti siji dina bapake milih julela dadi pemimpin sabanjure ing pulo galang. nanging, kuwasa nggawe julela dadi sombong. dheweke nganti ngancam adhine, he jenang mengko, nalika aku dadi pemimpin, kowe kudu manut karo kabeh prentahku. yen ora, bakal tak usir saka kampung iki"
Putri Pandan Berduri,Kalimantan Barat,6,"merasa kecewa dengan sikap kakaknya, jenang perkasa memutuskan pergi meninggalkan pulau galang. berhari-hari ia berlayar tanpa arah tujuan hingga tiba di pulau bintan. di sana, ia mulai bekerja sebagai pedagang. sikapnya yang sopan dan tutur katanya yang halus membuatnya disukai masyarakat pulau bintan. bahkan, cerita tentang kebaikannya tersebar hingga ke seluruh penjuru pulau.","krasa kecewa karo sikape kakange, jenang perkasa mutusake lunga ninggalake pulo galang. pirang-pirang dina dheweke ngumbara nganggo prau tanpa tujuan nganti tekan pulo bintan. ing kono, dheweke miwiti kerja dadi pedagang. sikape sing sopan lan omongane sing alus nggawe dheweke disenengi masarakat pulo bintan. malah, crita bab kabecikane nyebar nganti tekan sak panggonane pulo."
Putri Pandan Berduri,Kalimantan Barat,7,"kabar tentang jenang perkasa akhirnya sampai ke telinga batin lagoi, yang merasa penasaran dan ingin mengenal pemuda tersebut. untuk itu, batin lagoi menyelenggarakan jamuan makan malam dan mengundang seluruh tokoh terkemuka di pulau bintan, termasuk jenang perkasa. dalam acara itu, batin lagoi terkesan dengan cara jenang berbicara, bersikap, dan bersantap. timbullah keinginan untuk menjadikan jenang sebagai menantunya.","kabar bab jenang perkasa pungkasane tekan kupinge batin lagoi, sing dadi penasaran lan pengin kenal karo pemuda kuwi. amarga kuwi, batin lagoi nganakake jamuan mangan bengi lan ngundang kabeh tokoh penting ing pulo bintan, kalebu jenang perkasa. ing acara kuwi, batin lagoi katarik karo cara jenang ngomong, tumindak, lan mangan. tuwuh niyat kanggo ndadekake jenang dadi mantune."
Putri Pandan Berduri,Kalimantan Barat,8,"sudah lama aku mendengar tentang kehalusan budi pekertimu, anak muda, kata batin lagoi membuka percakapan. jenang tersenyum sopan mendengar pujian itu. alangkah senangnya hatiku jika kau bersedia menikah dengan putriku, lanjut batin lagoi.","wis suwe aku krungu bab aluse budi pekertimu, cah nom, ujare batin lagoi miwiti omongan. jenang mesem sopan krungu pujian kuwi. kepengin atiku yen kowe gelem nikah karo anak wadonku, lanjute batin lagoi."
Putri Pandan Berduri,Kalimantan Barat,9,"jenang terkejut mendengar tawaran tersebut, tak menyangka ayah seorang gadis cantik memintanya menjadi menantu. beberapa hari kemudian, pernikahan putri pandan berduri dan jenang perkasa pun dilangsungkan. pesta besar digelar, dihadiri seluruh warga pulau bintan.","jenang kaget krungu tawaran kuwi, ora nyangka yen bapake cah ayu ngajak dheweke dadi mantu. sawise sawetara dina, pernikahane putri pandan berduri lan jenang perkasa dilaksanakke. pesta gedhe dianakake, dihadiri kabeh warga pulo bintan."
Putri Pandan Berduri,Kalimantan Barat,10,"tak lama setelah pernikahan, batin lagoi yang merasa sudah tua mengangkat jenang perkasa sebagai pemimpin pulau bintan. sebagai putra seorang pemimpin, jenang mewarisi bakat kepemimpinan ayahnya. ia menjadi pemimpin yang disegani sekaligus dicintai rakyatnya.","ora suwi sawise nikah, batin lagoi sing krasa wis sepuh ngangkat jenang perkasa dadi pemimpin pulo bintan. minangka anak saka sawijining pemimpin, jenang nurun bakate kepemimpinan saka bapake. dheweke dadi pemimpin sing disegani lan disenengi rakyate."
