judul,provinsi,id_teks,teks,referensi
Putri Pinang Masak,Jambi,1,"pada zaman dahulu kala, terdapat sebuah kerajaan di pantai timur pulau sumatera yang terkenal kaya raya berkat tambang minyak tanahnya. kerajaan itu dipimpin oleh seorang raja yang bijaksana dan ramah. namun, karena terlalu sibuk mengurus kerajaan, sang raja belum juga memiliki seorang permaisuri.","ing jaman mbiyen kala, ana sawijining karajan ing pesisir wetan pulo sumatera sing misuwur sugih raya amarga tambang lenga tanahe. karajan kuwi dipimpin dening sawijining raja sing wicaksana lan ramah. nanging, amarga kakehan kesibukan ngurusi karajan, sang raja durung nduweni permaisuri."
Putri Pinang Masak,Jambi,2,"seiring bertambahnya usia, sang raja mulai memikirkan untuk mencari istri. keluarga kerajaan pun resah, khawatir jika tahta kerajaan tidak memiliki penerus.","sak suwene wektu mlaku, sang raja wiwit mikir arep golek bojo. kulawarga karajan dadi resah, wedi yen tahta karajan ora nduweni panerus."
Putri Pinang Masak,Jambi,3,"anakku, kapan kau akan memberiku seorang menantu tak bosankah kau hidup sendiri tanya ibunda sang raja.","anakku, kapan kowe bakal maringi aku mantu apa kowe ora bosen urip dewekan pitakone ibune sang raja."
Putri Pinang Masak,Jambi,4,"saya sedang mencari calon istri yang tepat, bundo. saya tak ingin salah pilih, jawab sang raja.","kula isih nggoleki calon garwa sing trep, bundo. kula ora kepengin salah pilih, wangsulane sang raja."
Putri Pinang Masak,Jambi,5,"suatu hari, sang raja mendengar kabar tentang seorang gadis cantik bernama putri pinang masak dari minangkabau. putri ini terkenal karena kecantikannya yang luar biasa, dengan kulit putih kemerah-merahan yang memikat siapa pun yang melihatnya. namun, putri pinang masak memiliki sifat tamak dan gemar kemewahan. ia sangat menyukai emas, perhiasan, dan pakaian indah, bahkan sering mendapatkan harta dengan cara yang tidak baik.","sasuwene dina, sang raja krungu kabar bab sawijining perawan ayu aran putri pinang masak saka minangkabau. putri iki misuwur amarga kaendahane sing ngedap-edapi, nganggo kulit putih keabang-abangan sing narik kawigaten sapa wae sing ndelok. nanging, putri pinang masak nduweni watak serakah lan seneng kamewahan. dheweke banget seneng emas, perhiasan, lan sandhangan endah, malah kerep entuk bandha kanthi cara sing ora becik."
Putri Pinang Masak,Jambi,6,"meski mengetahui sifat buruk sang putri, sang raja tetap terpesona dan memutuskan untuk melamarnya.","sanadyan wis ngerti watak ala sang putri, sang raja tetep kepincut lan mutusake arep ngelamar."
Putri Pinang Masak,Jambi,7,"sang raja berangkat ke minangkabau untuk melamar putri pinang masak. awalnya, putri menerima lamaran itu karena tergiur dengan kemewahan istana. namun, setelah mengetahui usia sang raja yang sudah tua, ia berubah pikiran. untuk menolak lamaran itu secara halus, putri memberikan syarat yang sulit.","sang raja mangkat menyang minangkabau kanggo ngelamar putri pinang masak. awale, putri nampa lamaran kuwi amarga kepincut karo kamewahan istana. nanging, sawise ngerti yen umur sang raja wis tuwa, dheweke owah pikiran. kanggo nolak lamaran kuwi kanthi alus, putri menehi syarat sing angel."
Putri Pinang Masak,Jambi,8,"baginda, saya akan menerima lamaranmu, tetapi ada satu syarat, ujar putri.","baginda, aku bakal nampa lamaranmu, nanging ana siji syarat, ujare putri."
Putri Pinang Masak,Jambi,9,"katakanlah, syarat apa yang kau inginkan tanya sang raja.","critakna, syarat apa sing kok pengini pitakone sang raja."
Putri Pinang Masak,Jambi,10,"hamba ingin istana yang megah dan indah, tetapi istana itu harus selesai dalam waktu semalam, kata putri dengan penuh keyakinan.","hamba pengin istana sing megah lan endah, nanging istana kuwi kudu rampung sajrone sak bengi, kandha putri kanthi penuh kapercayan."
Putri Pinang Masak,Jambi,11,"tanpa ragu, sang raja menyanggupi permintaan itu. ia segera memerintahkan rakyat dan ahli tukang untuk mulai membangun istana pada senja hari. ribuan orang bekerja keras untuk memenuhi permintaan sang raja. hingga tengah malam, istana itu sudah hampir selesai.","tanpa ragu, sang raja nyanggupi panjaluk kuwi. dheweke langsung dhawuh marang rakyat lan tukang ahli supaya langsung miwiti mbangun istana ing wayah surup. ãwonan wong nyambut gawe keras kanggo nyukupi panjaluk sang raja. nganthi tengah wengi, istana kuwi wis meh rampung."
Putri Pinang Masak,Jambi,12,"kabar bahwa istana hampir selesai membuat putri pinang masak cemas. ia tak ingin menikah dengan raja tua itu. dalam kepanikan, ia menemukan akal untuk menggagalkan pembangunan.","kabar yen istana meh rampung ndadekake putri pinang masak dadi was-was. dheweke ora kepengin omah-omah karo raja tuwa kuwi. ing kahanan panik, dheweke nemokake akal kanggo nggagalkake pambangunan."
Putri Pinang Masak,Jambi,13,"putri pergi ke kandang ayam dan menyalakan lampu terang di dekat ayam-ayamnya agar mereka mengira hari sudah pagi. ayam-ayam pun berkokok lebih dini dari biasanya. mendengar kokokan ayam, sang raja mengira waktu pagi telah tiba. dengan berat hati, ia memerintahkan pembangunan dihentikan.",putri lunga menyang kandhang pitik lan nyalake lampu padhang cedhak pitik-pitike supaya padha ngira yen wis esuk. pitik-pitik banjur padhang kluruk luwih awan saka biasane.
Putri Pinang Masak,Jambi,14,"rakyatku, hentikan pekerjaan ini. kita telah kalah, ujar sang raja.","krungu klurukan pitik, sang raja ngira yen wis esuk teka. kanthi ati abot, dheweke dhawuh marang rakyat supaya mandheg nyambut gawe."
Putri Pinang Masak,Jambi,15,"tapi baginda, ini belum pagi. matahari pun belum terbit, protes para pekerja.","rakyatku, mandhegna gawean iki. kita wis kalah, ujare sang raja."
Putri Pinang Masak,Jambi,16,"namun, sang raja tetap menghormati janjinya kepada putri pinang masak dan menghentikan pembangunan.","nanging baginda, iki durung esuk. srengenge wae durung munggah, protes para tukang."
Putri Pinang Masak,Jambi,17,"keesokan harinya, putri pinang masak mendatangi sang raja.","nanging, sang raja tetep ngajeni janjine marang putri pinang masak lan nyudani pambangunan."
Putri Pinang Masak,Jambi,18,"baginda, kau telah gagal memenuhi syaratku, ucap putri.","esuke, putri pinang masak nyedhaki sang raja."
Putri Pinang Masak,Jambi,19,"lalu, apakah kau ingin istana ini dihancurkan tanya raja.","baginda, kowe wis gagal nyukupi syaratku, ujare putri."
Putri Pinang Masak,Jambi,20,"tidak, baginda. jangan dihancurkan. lebih baik istana ini tetap berdiri, jawab putri.","lha, apa kowe pengin istana iki dirusak pitakone sang raja."
Putri Pinang Masak,Jambi,21,"sang raja yang bijaksana akhirnya memutuskan untuk menyerahkan istana itu kepada putri pinang masak, lengkap dengan harta berupa emas dan perak sebagai bukti cintanya.","ora, baginda. aja dirusak. luwih becik istana iki tetep ngadeg, wangsulane putri."
Putri Pinang Masak,Jambi,22,"anggaplah ini hadiah dariku. jangan hancurkan istana ini, karena ini adalah hasil kerja keras rakyatku, ujar raja.","sang raja sing wicaksana pungkasane mutusake kanggo nyerahake istana kuwi marang putri pinang masak, bareng karo bandha emas lan perak minangka bukti katresnane."
Putri Pinang Masak,Jambi,23,"setelah itu, sang raja kembali ke istananya di pantai timur dengan hati yang berat.","anggepa iki minangka peparing saka aku. aja dirusak istana iki, amarga iki asil saka kerja keras rakyatku, ujare sang raja."
Putri Pinang Masak,Jambi,24,"meskipun telah menerima harta dan istana, putri pinang masak tidak merasa puas. ia mulai berpikir untuk menguasai seluruh kekayaan raja. dengan menjual harta pemberian sang raja, ia menyewa prajurit bayaran untuk menyerang istana di pantai timur.","sawise kuwi, sang raja bali menyang istanane ing pesisir wetan kanthi ati abot."
Putri Pinang Masak,Jambi,25,"penyerangan terjadi secara mendadak, dan para pengawal raja tidak mampu menahan serangan itu. akhirnya, raja kalah, dan wilayah pantai timur jatuh ke tangan putri pinang masak. ia mengubah nama wilayah itu menjadi negeri putri pinang masak.","sanadyan wis nampa bandha lan istana, putri pinang masak ora rumangsa wareg. dheweke wiwit mikir arep nguwasani kabeh kasugihane sang raja. kanthi adol bandha peparing sang raja, dheweke nyewa prajurit bayaran kanggo nyerang istana ing pesisir wetan."
Putri Pinang Masak,Jambi,26,"putri pinang masak yang tamak terus memerintah dengan serakah. negeri itu dikenal sebagai negeri pinang, yang dalam bahasa jawa disebut jambe. lama-kelamaan, nama itu berubah menjadi jambi.","panyerangan kedadean kanthi dadakan, lan para pengawal sang raja ora kuwawa nahan serangan kuwi. akhire, sang raja kalah, lan wewengkon pesisir wetan tiba ing tangane putri pinang masak. dheweke ngganti jeneng wewengkon kuwi dadi nagari putri pinang masak."
Putri Pinang Masak,Jambi,27,"namun, meskipun telah memiliki segala kekayaan, putri pinang masak tidak bahagia. para prajurit bayaran terus menuntut lebih banyak imbalan atas jasa mereka. putri pinang masak akhirnya hidup dalam ketakutan dan dihantui oleh para prajuritnya sendiri.","putri pinang masak sing serakah terus mrentah kanthi rakus. nagari kuwi misuwur minangka nagari pinang, sing ing basa jawa disebut jambe. suwe-suwe, jeneng kuwi owah dadi jambi."
Putri Pinang Masak,Jambi,28,,"nanging, sanadyan wis nduweni kabeh kasugihan, putri pinang masak ora bahagia. para prajurit bayaran terus nuntut ganjaran luwih akeh amarga jasane. putri pinang masak pungkasane urip ing rasa wedi lan diganggu dening para prajurite dhewe."
