judul,provinsi,id_teks,teks,referensi
Putri Tadampalik,Sulawesi Selatan,1,"pada zaman dahulu, di sulawesi selatan, ada sebuah kerajaan bernama kerajaan luwu. kerajaan itu dipimpin oleh seorang raja bernama la busatana datu maongge, biasa dipanggil datu luwu. ia sangat arif bijaksana dan gagah perkasa. karenanya, rakyat di negeri itu hidup makmur. datu luwu memiliki seorang putri yang sangat cantik dan ramah. namanya putri tadampalik. kecantikan dan budi pekertinya yang baik membuat ia dikenal hingga ke pelosok negeri. kabar ini pun terdengar sampai ke telinga raja bone. raja bone memiliki seorang putra yang gagah dan tampan. meskipun seorang putra mahkota, tutur katanya baik dan sopan. raja bone bermaksud meminang putri tadampalik untuk putranya. ia mengutus rombongan perwiranya menuju kerajaan luwu.","ing jaman mbiyen, ing sulawesi selatan, ana sawijining kerajaan jenenge kerajaan luwu. kerajaan kuwi dipimpin dening sawijining raja jenenge la busatana datu maongge, biasane diarani datu luwu. dheweke kuwi arif bijaksana lan gagah perkasa. mula saka kuwi, rakyat ing nagara kuwi urip makmur. datu luwu nduwe sawijining putri sing ayu banget lan ramah. jenenge putri tadampalik. kaendahan lan budi pekertine sing apik ndadekake jenenge dikenal tekan pelosok nagara. kabar iki banjur krungu tekan kupinge raja bone. raja bone nduwe sawijining putra sing gagah lan apik rupane. senajan dheweke kuwi putra mahkota, tutur katanya apik lan sopan. raja bone nduwe maksud arep nglamar putri tadampalik kanggo putrane. dheweke ngutus rombongan perwira menyang kerajaan luwu."
Putri Tadampalik,Sulawesi Selatan,2,"mendengar kabar akan datang utusan dari bone untuk meminang putrinya, datu luwu sangat bingung. setiap hari ia gelisah memikirkan pinangan itu. menurut adat luwu, seorang putri dari luwu tidak boleh menikah dengan lelaki di luar sukunya. akan tetapi, jika ia menolak pinangan itu, pasti akan terjadi peperangan dahsyat. baiklah, aku akan menerima pinangan itu. biarlah aku saja yang dikutuk oleh dewa, asalkan rakyatku tidak menderita, ucapnya dalam hati.","krungu kabar bakal teka utusan saka bone kanggo nglamar putrine, datu luwu dadi bingung banget. saben dina dheweke resah mikirke lamaran kuwi. miturut adat luwu, sawijining putri saka luwu ora oleh nikah karo lanang saka njaba sukune. nanging, yen dheweke nolak lamaran kuwi, mesthi bakal ana peperangan dahsyat. yowis, aku bakal nampa lamaran kuwi. ben aku wae sing dikutuk dening dewa, sing penting rakyatku ora nandhang sangsara, ngucap batine."
Putri Tadampalik,Sulawesi Selatan,3,"beberapa hari kemudian, datang utusan dari kerajaan bone untuk meminang putri tadampalik. mereka datang dengan sangat sopan dan ramah. tidak ada rombongan prajurit yang datang ataupun armada perang di pelabuhan, seperti yang diperkirakan sebelumnya. datu luwu menyambutnya dengan ramah. setelah mereka mengutarakan maksudnya, datu luwu tidak langsung menjawab pinangan itu. utusan raja bone memahami hal itu, dan mereka akhirnya kembali ke bone.","sawijining dina sawise kuwi, teka utusan saka kerajaan bone kanggo nglamar putri tadampalik. dheweke teka kanthi sopan lan ramah banget. ora ana rombongan prajurit utawa armada perang sing teka ing pelabuhan, kaya sing diperkirakake sadurunge. datu luwu nyambut rawuhe kanthi ramah. sawise utusan kuwi nyampekke maksude, datu luwu ora langsung njawab lamaran kuwi. utusan saka raja bone ngerti bab kuwi, lan pungkasane padha bali menyang bone."
Putri Tadampalik,Sulawesi Selatan,4,"sungguh aneh, keesokan hari, putri tadampalik jatuh sakit. sekujur tubuhnya mengeluarkan cairan kental menjijikkan yang berbau anyir. para tabib istana tidak sanggup menyembuhkan putri tadampalik. semakin hari, penyakit putri tadampalik semakin parah. jika tidak segera diasingkan, rakyat luwu pasti akan tertular. datu luwu pusing dibuatnya. ia berpikir keras. setelah beberapa saat berpikir, akhirnya ia mendapatkan cara agar rakyatnya tidak tertular penyakit putrinya. putri tadampalik harus diasingkan keluar dari negeri luwu. hanya itu cara yang tepat, walau berat dan hancur rasanya hati datu luwu melepas putrinya.","aneh tenan, esuke dina sabanjure, putri tadampalik tiba-tiba lara. sakwujuding awake ngeluarake cairan kenthel sing njijikake lan mambu anyir. para tabib istana ora isa nyembuhke putri tadampalik. saben dina, penyakite putri tadampalik saya parah. yen ora langsung diasingke, rakyat luwu mesthi bakal ketularan. datu luwu dadi pusing mikirke. dheweke mikir keras. sawise sawetara wektu mikir, pungkasane dheweke nemu cara supaya rakyate ora ketularan penyakit saka putrine. putri tadampalik kudu diasingke metu saka nagara luwu. mung kuwi siji-sijine cara sing pas, senajan abot lan remuk rasane atine datu luwu kudu ninggalake putrine."
Putri Tadampalik,Sulawesi Selatan,5,"pergilah putri tadampalik ke pengasingan didampingi oleh pengikut setianya. sebelum pergi, datu luwu memberikan sebilah keris pusaka kepada putri tadampalik. berbulan-bulan sudah putri tadampalik dan pengikutnya berlayar. tibalah mereka di sebuah pulau yang subur dan berhawa sejuk. lalu mereka menepi. di sana, seorang pengikut putri tadampalik menemukan buah wajo. akhirnya daerah tersebut diberi nama wajo. di sana, mereka membuat gubuk-gubuk kecil sebagai tempat tinggal. mereka juga mulai bercocok tanam.","lungaa putri tadampalik menyang pangasingan diancani dening para pengikut setiane. sadurung lunga, datu luwu maringi sebilah keris pusaka marang putri tadampalik. wis pirang-pirang wulan putri tadampalik lan para pengikute numpak kapal. tekane ana ing sawijining pulo sing subur lan hawane adem. banjur padha nyandhek. ing kana, ana sawijining pengikut putri tadampalik nemu woh wajo. pungkasane wilayah kuwi dijenengi wajo. ing kono, padha gawe gubug-gubug cilik kanggo papan panggonan. padha miwiti urip tetanen."
Putri Tadampalik,Sulawesi Selatan,6,"pada suatu hari, ketika sedang duduk-duduk di pinggir danau, putri tadampalik melihat seekor kerbau berwarna putih. ia mengira kerbau itu akan memakan tanaman sayuran yang berada tidak jauh dari tempat itu, sehingga diusirlah kerbau itu. namun, semakin diusir, kerbau itu semakin mendekat dan akhirnya menerjang putri tadampalik hingga pingsan. ketika siuman, bukan kepalang kagetnya putri tadampalik melihat kerbau itu menjilati seluruh permukaan tubuhnya yang sudah mulai membusuk. setelah berulang kali dijilati oleh si kerbau bule, penyakit di tubuh putri tadampalik berangsur-angsur sembuh dan mengering sehingga tidak meninggalkan bekas sama sekali. karena jasanya ini, maka kerbau bule kemudian dikeramatkan dan tidak boleh disembelih.","ing sawijining dina, nalika lagi lungguh-lungguh ing pinggir tlaga, putri tadampalik ndelok ana kebo werna putih. dheweke ngira kebo kuwi bakal mangan tanduran sayur-sayuran sing ana ora adoh saka kono, mula diusir kebo kuwi. nanging, saya diusir, kebo kuwi malah saya nyedhak lan pungkasane nyuruduk putri tadampalik nganti pingsan. nalika tangi, putri tadampalik kaget banget merga ndelok kebo kuwi lagi njilati sakabehing permukaan awake sing wis wiwit bosok. sawise bola-bali dijilati karo kebo bule kuwi, penyakit ing awake putri tadampalik alon-alon mari lan garing nganti ora ninggalake bekas babar pisan. amarga jasane kuwi, kebo bule kuwi banjur dikeramatke lan ora oleh disembelih."
Putri Tadampalik,Sulawesi Selatan,7,"pada suatu malam, putri tadampalik bermimpi didatangi seorang pemuda tampan. pemuda itu berkata bahwa dirinya adalah jodoh putri tadampalik. putri tadampalik terjaga tidurnya. ia mengira bahwa mimpi itu adalah pertanda yang baik untuknya. sementara itu, di negeri bone, putra mahkota kerajaan bone sedang asyik berburu. ia ditemani oleh para pengawal dan panglima kerajaan bone yang bernama anre guru pakanranyeng. karena terlalu asyik berburu, putra mahkota terpisah dari rombongannya. hari sudah semakin larut, akhirnya ia harus bermalam di dalam hutan.","ing sawijining wengi, putri tadampalik ngimpi didatangi dening sawijining nom-noman sing bagus rupane. nom-noman kuwi ngomong yen dheweke kuwi jodhone putri tadampalik. putri tadampalik tangi saka turu. dheweke ngira yen impen kuwi tandha apik kanggo dheweke. ing wektu kuwi, ing nagara bone, putra mahkota kerajaan bone lagi seneng mburu. dheweke diancani karo para pengawal lan panglima kerajaan bone jenenge anre guru pakanranyeng. merga kesenengan mburu, putra mahkota kuwi kepisah saka rombongane. sore wis saya peteng, pungkasane dheweke kudu nginep ing alas."
Putri Tadampalik,Sulawesi Selatan,8,"putra mahkota itu mencoba memejamkan matanya, tetapi suara-suara hewan malam sulit membuatnya tertidur. di kejauhan, putra mahkota melihat seberkas cahaya dari sebuah perkampungan. bergegas ia menuju ke sumber cahaya itu. sesampainya di perkampungan tersebut, hari sudah sangat larut. ia memberanikan diri memasuki sebuah gubuk yang terlihat kosong. namun, betapa terkejutnya ketika ia melihat seorang gadis cantik sedang memasak air. gadis cantik itu adalah putri tadampalik.","putra mahkota kuwi nyoba merem, nanging swara kewan-kewan wengi nggawe dheweke angel turu. ing kadohan, putra mahkota ndelok padhang saka sawijining kampung. cepet-cepet dheweke marani sumber cahya kuwi. tekane ana ing kampung kuwi, wektu wis bengi banget. dheweke wani mlebu gubug sing katon kosong. nanging, kagete dudu main nalika ndelok ana sawijining cah ayu sing lagi masak banyu. cah ayu kuwi ya putri tadampalik."
Putri Tadampalik,Sulawesi Selatan,9,"aduhai, betapa cantiknya gadis ini, siapa gerangan dia sebenarnya pikir sang putra mahkota. merasa ada yang mengawasi, putri tadampalik menoleh ke belakang. betapa terkejutnya putri tadampalik melihat seorang pemuda yang sama seperti di mimpinya waktu itu. akhirnya, mereka berkenalan. melihat tutur kata pangeran yang lembut dan sopan, membuat putri tadampalik kagum dan tertarik. begitu pun dengan kecantikan dan kelembutan putri tadampalik yang membuat putra mahkota jatuh hati.","aduh, ayune cah iki, sapa sejatine dheweke pikir putra mahkota. krasa diawasi, putri tadampalik noles mburi. kagete putri tadampalik nalika ndelok ana sawijining nom-noman sing podho karo ing impene wingi kuwi. akhire, padha kenalan. krungu tutur kata pangeran sing alus lan sopan, ndadekake putri tadampalik kagum lan kasengsem. begitupun karo kaendahan lan kelembutane putri tadampalik sing ndadekake putra mahkota jatuh cinta."
Putri Tadampalik,Sulawesi Selatan,10,"pagi harinya, panglima perang kerajaan bone, anre guru pakanranyeng, beserta para pengawal putra mahkota yang merasa kehilangan tuannya, sangat lega bisa menemukan putra mahkota di desa itu. putra mahkota pun harus kembali menuju kerajaan. sejak berpisah dengan putri tadampalik, hati pangeran jadi gundah. ia sangat merindukan putri tadampalik. ingin rasanya dirinya tinggal di desa wajo dan hidup bersama dengan putri tadampalik. panglima anre guru pakanranyeng yang memperhatikan gelagat putra mahkota tidak seperti biasanya kemudian menceritakan kejadian di desa wajo kepada raja bone. raja bone setuju untuk menikahkan pangeran dengan putri tadampalik.","esuke, panglima perang kerajaan bone, anre guru pakanranyeng, bebarengan karo para pengawal putra mahkota sing padha kuwatir kelangan junjungane, lega banget isa nemokake putra mahkota ing desa kuwi. putra mahkota banjur kudu bali menyang kerajaan. wiwit pisahan karo putri tadampalik, atine pangeran dadi galau. dheweke kangen banget karo putri tadampalik. pengen rasane manggon ana ing desa wajo lan urip bareng karo putri tadampalik. panglima anre guru pakanranyeng sing ngerti gelagat putra mahkota ora kaya biasane banjur nyritakake kedadean ing desa wajo marang raja bone. raja bone sarujuk kanggo nikahke pangeran karo putri tadampalik."
