judul,provinsi,id_teks,teks,referensi
Putri Tangguk,Jambi,1,"pada zaman dahulu kala, di negeri bunga tanjung, kecamatan danau kerinci, provinsi jambi, hiduplah seorang petani wanita yang dikenal dengan nama putri tangguk. nama itu berasal dari sawah kecil miliknya yang hanya seluas tangguk, sebuah keranjang rotan yang biasa digunakan untuk menangkap ikan atau udang.","ing jaman mbiyen, ing nagari bunga tanjung, kecamatan danau kerinci, provinsi jambi, urip sawijining petani wadon sing dikenal kanthi jeneng putri tangguk. jeneng kuwi asale saka sawah cilik duweke sing mung ambane kaya tangguk, sawijining keranjang rotan sing biasane kanggo nyekel iwak utawa udang."
Putri Tangguk,Jambi,2,"meski sawahnya sangat kecil, sawah tersebut ajaib karena selalu menghasilkan padi dalam jumlah melimpah. setiap kali dipanen, tanaman padi akan kembali tumbuh, menguning, dan siap untuk dipanen lagi. berkat keajaiban itu, putri tangguk dan suaminya memiliki tujuh lumbung besar yang hampir penuh dengan padi.","sanadyan sawahe cilik banget, sawah kuwi gaib amarga tansah ngasilake pari sing akeh banget. saben panen, tanduran pari bakal tuwuh maneh, nguning, lan siyap dipanen maneh. marga saka kaajaiban kuwi, putri tangguk lan bojone nduweni pitu lumbung gedhe sing meh kebak pari."
Putri Tangguk,Jambi,3,"namun, kesibukan mereka menuai padi setiap hari membuat putri tangguk dan suaminya tidak sempat bersilaturahmi dengan tetangga atau mengurus ketujuh anak mereka.","nanging, kesibukane saben dina panen pari ndadekake putri tangguk lan bojone ora nduwe wektu kanggo dolan menyang tangga teparo utawa ngopeni pitung anake."
Putri Tangguk,Jambi,4,"pada suatu malam, setelah anak-anak mereka tertidur lelap, putri tangguk berbicara kepada suaminya.","ing sawijining bengi, sawise anak-anake turu pulas, putri tangguk ngomong marang bojone."
Putri Tangguk,Jambi,5,"bang, aku lelah harus menuai padi setiap hari. aku ingin punya waktu untuk mengurus anak-anak dan bersilaturahmi dengan tetangga, ungkapnya.","bang, aku kesel kudu panen pari saben dina. aku kepengin nduwe wektu kanggo ngopeni anak-anak lan dolan menyang tangga, ujarne."
Putri Tangguk,Jambi,6,"jadi, apa rencanamu, dik tanya sang suami.","nggih, terus piye rencanamu, dik pitakone bojone."
Putri Tangguk,Jambi,7,"besok, kita isi penuh ketujuh lumbung padi sebagai persediaan kebutuhan selama beberapa bulan ke depan, jawab putri tangguk.","sesuk, kita isi kebak pitu lumbung pari kanggo cadangan kebutuhan sawetara sasi ngarep, wangsulane putri tangguk."
Putri Tangguk,Jambi,8,"baiklah, kita ajak anak-anak ke sawah untuk membantu, balas sang suami setuju.","apik, ayo ajak anak-anak menyang sawah kanggo bantu, balas bojone sarujuk."
Putri Tangguk,Jambi,9,"keesokan harinya, setelah sarapan, mereka menuju sawah bersama ketujuh anak mereka. namun, hujan yang turun semalaman membuat jalanan licin. saat mengangkut padi pulang, putri tangguk terpeleset dan jatuh.","sesuke, sawise sarapan, wong loro kuwi bareng pitung anake lunga menyang sawah. nanging, udan sing udan sak bengi ndadekake dalan dadi licin. nalika nggawa pari bali menyang omah, putri tangguk kesandhung lan tiba."
Putri Tangguk,Jambi,10,"kesal dengan kejadian itu, ia berkata, nanti padi yang kita tuai akan kusebarkan di jalan ini sebagai pengganti pasir agar tidak licin lagi.","kronsane kuwi, dheweke nesu lan kandha, mengko pari sing tak panen bakal tak sebar ing dalan iki dadi pangganti pasir supaya ora licin maneh."
Putri Tangguk,Jambi,11,"benar saja, ia kembali ke sawah, menuai padi, dan menyebarkannya di sepanjang jalan. akibatnya, mereka hanya membawa sedikit padi ke rumah.","tenan, dheweke bali menyang sawah, panen pari, lan nyebar pari kuwi ing sepanjang dalan. akibate, wong-wong kuwi mung nggawa sithik pari bali menyang omah."
Putri Tangguk,Jambi,12,"setelah lumbung-lumbung padi penuh, putri tangguk berhenti menuai padi dan mulai menenun kain. ia sibuk menenun pakaian untuk dirinya, suaminya, dan anak-anaknya. namun, kesibukannya itu membuatnya lupa mengurus anak-anaknya dan bersilaturahmi dengan tetangga.","sawise lumbung-lumbung pari kebak, putri tangguk mandheg panen lan mulai ngtenun kain. dheweke sibuk ngtenun sandhangan kanggo dheweke dhewe, bojone, lan anak-anake. nanging, kesibukane kuwi ndadekake dheweke lali ngopeni anak-anake lan dolan menyang tangga."
Putri Tangguk,Jambi,13,"suatu hari, karena terlalu sibuk, ia bahkan lupa menanak nasi. ketika malam tiba, anak-anaknya kelaparan. si bungsu menangis, tetapi putri tangguk hanya membujuknya untuk tidur. ketika anak sulung meminta makan, ia justru dimarahi.","ing sawijining dina, amarga kakehan kesibukan, dheweke malah lali masak sega. nalika wengi teka, anak-anake pada luwe. anak ragil nangis, nanging putri tangguk mung nggendhong lan mbujuki supaya turu. nalika anak mbarep njaluk mangan, malah dimarahi."
Putri Tangguk,Jambi,14,"kamu sudah besar ambil nasi sendiri di panci atau masak beras di kaleng, bentaknya.","kowe wis gedhe jupuk sega dhewe ing panci utawa masak beras ing kaleng, bentake."
Putri Tangguk,Jambi,15,"namun, sang sulung tidak menemukan nasi di panci atau beras di kaleng. dengan berat hati, anak-anak pun tertidur dalam keadaan lapar.","nanging, anak mbarep ora nemu sega ing panci utawa beras ing kaleng. kanthi ati abot, anak-anak mau pada turu ing kahanan luwe."
Putri Tangguk,Jambi,16,"keesokan paginya, putri tangguk menyuruh suaminya mengambil padi di lumbung. betapa terkejutnya mereka saat mendapati semua lumbung kosong.","esuke, putri tangguk nyuruh bojone njupuk pari ing lumbung. betapa kagete wong loro kuwi nalika ndelok lumbung-lumbung kuwi kosong kabeh."
Putri Tangguk,Jambi,17,"lho, ke mana semua padi kita tanya sang suami panik.","lho, menyang endi kabeh pari kita pitakone bojone panik."
Putri Tangguk,Jambi,18,"mereka kemudian pergi ke sawah, berharap masih ada padi di sana. namun, sawah mereka telah berubah menjadi lahan penuh rumput tebal.","wong loro kuwi banjur lunga menyang sawah, muga-muga isih ana pari ing kono. nanging, sawahe wis malih dadi lahan kebak suket thukul."
Putri Tangguk,Jambi,19,"bang, apa yang harus kita lakukan sawah ini tidak lagi ditumbuhi padi, ucap putri tangguk sedih.","bang, piye iki sawah iki ora tuwuh pari maneh, ujarne putri tangguk sedhih."
Putri Tangguk,Jambi,20,"sang suami hanya bisa menghela napas, tak mampu berkata apa-apa.","bojone mung bisa ambegan dawa, ora bisa ngomong apa-apa."
Putri Tangguk,Jambi,21,"malam harinya, putri tangguk bermimpi bertemu dengan seorang kakek tua berjenggot panjang yang mengenakan pakaian serba putih.","wengi kuwi, putri tangguk ngimpi ketemu karo sawijining simbah kakung tuwa sing berjenggot dawa nganggo klambi serba putih."
Putri Tangguk,Jambi,22,"aku tahu kau memiliki sawah ajaib yang luasnya hanya sebesar tangguk, tapi kau sombong dan meremehkan padi. kau bahkan menyerakkannya di jalan seperti pasir. di antara padi-padi itu, ada padi hitam, raja kami. karena kau telah menghina kami, kami tidak akan tumbuh lagi di sawahmu, ujar sang kakek.","aku ngerti kowe nduwe sawah gaib sing ambane mung sak tangguk, nanging kowe sombong lan ngeremehake pari. kowe malah nyebar pari ing dalan kaya pasir. ing antarane pari-pari kuwi, ana pari ireng, raja kita. amarga kowe wis ngina kita, kita ora bakal tuwuh maneh ing sawahmu, ujare simbah kakung."
Putri Tangguk,Jambi,23,"mulai sekarang, kau hanya akan mendapatkan rezeki seperti ayam. apa yang kau dapatkan hari ini hanya cukup untuk hari ini. jika kau tidak bekerja, kau tidak akan makan, lanjut sang kakek sebelum menghilang.","miwiti saiki, kowe mung bakal entuk rejeki kaya pitik. apa sing kowe entuk dina iki mung cukup kanggo dina iki. yen kowe ora nyambut gawe, kowe ora bakal mangan, ujare simbah kuwi sakdurunge ngilang."
Putri Tangguk,Jambi,24,"putri tangguk terbangun dengan perasaan menyesal. ia sadar kesombongannya telah menghancurkan rezeki keluarganya. namun, semua telah terlambat.","putri tangguk tangi saka turu kanthi rasa penyesalan. dheweke sadar yen kesombongane wis ngrusak rejeki kanggo kulawargane. nanging, kabeh wis kasep."
