judul,provinsi,id_teks,teks,referensi
Putri Tujuh,Riau,1,"pada zaman dahulu, berdirilah sebuah kerajaan bernama seri bunga tanjung di daerah yang kini dikenal sebagai dumai. kerajaan ini diperintah oleh seorang ratu bijaksana bernama cik sima. sang ratu memiliki tujuh orang putri yang cantik jelita, yang dikenal sebagai putri tujuh. di antara mereka, putri bungsu, mayang sari, adalah yang paling mempesona. kulitnya sehalus sutra, wajahnya bercahaya seperti bulan purnama, dan rambutnya panjang serta indah sehingga ia dijuluki mayang mengurai.","nalika jaman mbiyen, ana sawijining karajan jenenge seri bunga tanjung ing dhaerah sing saiki dikenal dadi dumai. karajan iki dipimpin dening ratu wicaksana jenenge cik sima. sang ratu nduwe pitung putri ayu banget, sing dikenal kanthi jeneng putri tujuh. ing antarane, putri ragil, mayang sari, sing paling mempesona. kulite alus kaya sutra, rai-ne padhang kaya rembulan purnama, lan rambute dawa lan endah nganti dijuluki mayang mengurai."
Putri Tujuh,Riau,2,"suatu hari, ketujuh putri sedang mandi di lubuk sarang umai, tempat mereka biasa bermain air. tanpa mereka sadari, seorang pangeran dari kerajaan empang kuala beserta para pengawalnya mengintai dari balik semak-semak. sang pangeran, pangeran empang kuala, langsung terpesona melihat kecantikan putri mayang sari. ia terus bergumam, âcantik di umaiâ¦ dâumaiâ¦ dâumaiâ¦â","sawijining dina, pitung putri kuwi padha adus ing lubuk sarang umai, panggonan dolanan banyu sing biyasa. tanpa disadari, ana pangeran saka karajan empang kuala bareng para pengawale ngintip saka balik semak. sang pangeran, pangeran empang kuala, langsung kepincut ndeleng kaendahan putri mayang sari. dheweke terus nggresula, âcantik di umaiâ¦ dâumaiâ¦ dâumaiâ¦â"
Putri Tujuh,Riau,3,"setelah kembali ke kerajaannya, pangeran empang kuala mengirim utusan untuk melamar putri mayang sari. sebagai tanda lamaran, ia mengirimkan tepak sirih, lambang adat kebesaran raja. namun, ratu cik sima, mengikuti adat kerajaan, mengisi combol (wadah kecil) terbesar dalam tepak sirih tersebut dengan pinang dan gambir, yang melambangkan bahwa putri tertualah yang harus menikah terlebih dahulu.","sawise bali menyang karajane, pangeran empang kuala ngirim utusan kanggo nglamar putri mayang sari. minangka tanda lamaran, dheweke ngirim tepak sirih, lambang adat kamulyan raja. nanging, ratu cik sima, manut adat karajan, ngisi combol (wadah cilik) paling gedhe ing tepak sirih kuwi nganggo pinang lan gambir, lambang yen putri sing paling tuwa sing kudu nikah dhisik."
Putri Tujuh,Riau,4,"pinangan pangeran empang kuala dianggap ditolak karena ia menginginkan putri mayang sari, bukan putri tertua. hal ini membuat sang pangeran sangat murka. tak peduli dengan adat seri bunga tanjung, ia memerintahkan pasukannya menyerang kerajaan tersebut.","lamaran pangeran empang kuala dianggep ditolak merga dheweke kepengin putri mayang sari, dudu putri tuwa. iki ndadekake sang pangeran nesu banget. dheweke ora perduli karo adat seri bunga tanjung, lan dhawuhake pasukane nyerang karajan kuwi."
Putri Tujuh,Riau,5,"perang besar pun terjadi antara kerajaan seri bunga tanjung dan kerajaan empang kuala. di tengah pertempuran, ratu cik sima melarikan ketujuh putrinya ke dalam hutan. ia menyembunyikan mereka di sebuah lubang yang tertutup tanah dan pohon, serta membekali mereka makanan yang cukup untuk tiga bulan.","perang gedhe banjur kedadeyan antara karajan seri bunga tanjung lan karajan empang kuala. ing tengah pertempuran, ratu cik sima nyelametake pitung putrine mlebu alas. dheweke ndhelikake anak-anake ing lemah kang ditutupi tanah lan wit, sarta diwenehi bekal panganan cukup kanggo telung wulan."
Putri Tujuh,Riau,6,"namun, perang berlangsung hingga empat bulan. pasukan seri bunga tanjung mulai terdesak. dalam keputusasaannya, ratu cik sima meminta bantuan dari seorang jin yang sedang bertapa di bukit hulu sungai umai. dengan bantuan jin, ribuan buah bakau jatuh dari pohon-pohon di hutan dan melukai pasukan pangeran empang kuala. pasukan sang pangeran akhirnya lumpuh.","nanging, perang terus nganti patang wulan. pasukan seri bunga tanjung saya terdesak. ing rasa putus asa, ratu cik sima njaluk tulung saka jin sing lagi bertapa ing bukit hulu sungai umai. kanthi bantuan jin, ewu-ewu woh bakau tiba saka wit-witan ing alas lan nglarani pasukan pangeran empang kuala. pasukan sang pangeran banjur lumpuh."
Putri Tujuh,Riau,7,"melihat kekalahannya, pangeran empang kuala menerima utusan ratu cik sima yang memintanya menghentikan perang. sang utusan berkata, âpeperangan ini telah merusak bumi sakti rantau bertuah. barang siapa datang dengan niat buruk ke negeri seri bunga tanjung akan mendapat malapetaka. sebaliknya, yang datang dengan niat baik akan hidup sejahtera.â","menyadari kekalahane, pangeran empang kuala nampa utusan ratu cik sima sing nyuwun perang mandeg. sang utusan kandha, âpeperangan iki wis ngrusak bumi sakti rantau bertuah. sapa wae sing teka kanthi niat ala menyang nagara seri bunga tanjung bakal ketiban musibah. kosok baline, sing teka kanthi niat becik bakal urip tentrem.â"
Putri Tujuh,Riau,8,pangeran empang kuala pun menyadari kesalahannya dan segera memerintahkan pasukannya untuk kembali ke kerajaannya.,pangeran empang kuala banjur sadar salahe lan langsung dhawuhake pasukane bali menyang karajane.
Putri Tujuh,Riau,9,"setelah perang berakhir, ratu cik sima bergegas ke tempat persembunyian ketujuh putrinya. namun, alangkah terkejutnya ia saat mendapati mereka telah meninggal karena bekal makanan yang ia tinggalkan tidak cukup untuk melewati bulan keempat. ketujuh putri itu wafat dalam keadaan kelaparan dan kehausan.","sawise perang rampung, ratu cik sima cepet-cepet menyang panggonan persembunyian pitung putrine. nanging, kaget banget dheweke nalika nemokake anak-anake wis seda merga bekal panganan ora cukup nganti mlebu wulan kapapat. pitung putri kuwi mati merga keluwen lan keselak banyu."
Putri Tujuh,Riau,10,"diliputi kesedihan mendalam, ratu cik sima jatuh sakit dan tak lama kemudian meninggal dunia. pengorbanan putri tujuh ini terus dikenang masyarakat hingga kini, bahkan diabadikan dalam sebuah lirik tradisional:","kanthi duka kang jero, ratu cik sima lara lan ora suwe banjur seda. pangorbanan putri tujuh iki terus dikenang dening masyarakat nganti saiki, malah dijenengake ing tembang tradisional:"
