judul,provinsi,id_teks,teks,referensi
Putroe Sunoe,Aceh,1,"seorang raja dan permaisuri di sebuah negeri mempunyai anak yang bernama putroe sunoe. ketika putrinya sudah dewasa, ia dipinang oleh seseorang. sebagai pinangan, mereka membawa lima mayam emas, lebih kurang 15 gram, sebagai tanda dan bawaan pertama. pinangan ini diterima dengan baik oleh putroe sunoe.","seuwong raja lan permaisuri nang siji nagara nduwe anak jenenge putroe sunoe. wektu putrine wis diwasa, dheweke dipinang karo wong siji. minangka pinangan, wong-wong kuwi nggawa lima mayam emas, kira-kira 15 gram, minangka tandha lan gawaan pisanan. pinangan kuwi ditampa kanthi becik dening putroe sunoe."
Putroe Sunoe,Aceh,2,"tiga hari kemudian, datang utusan lain lagi untuk meminangnya, dan pinangan ini pun diterima dengan baik oleh putroe sunoe. sebagai tanda, mereka membawa lima mayam emas pula. dua hari kemudian, datang lagi utusan yang lain dengan membawa tanda serupa, yaitu lima mayam emas. jadi, dari empat utusan itu, putroe sunoe telah menerima 20 mayam emas.","telung dina sawise kuwi, teka utusan liyane maneh kanggo nglamar, lan pinangan kuwi uga ditampa kanthi becik dening putroe sunoe. minangka tanda, wong-wong kuwi nggawa lima mayam emas uga. rong dina sakwise kuwi, teka maneh utusan liyane nggawa tanda sing padha, ya iku lima mayam emas. dadi, saka papat utusan kuwi, putroe sunoe wis nampa 20 mayam emas."
Putroe Sunoe,Aceh,3,"sebulan kemudian, datanglah telangkai (utusan) pertama hendak menambah mas kawinnya. telangkai itu bertanya kepada raja tentang jawaban lamaran mereka sebelumnya. raja menjawab bahwa anaknya sedang tidak berada di tempat karena telah pergi ke seberang untuk menuntut ilmu pengetahuan sambil bertamasya. oleh karena itu, raja meminta mereka untuk menunggu sampai anaknya kembali dari perjalanan. setelah itu, telangkai pertama pun pulang ke rumahnya.","sewulan sawise kuwi, tekane telangkai (utusan) pisanan pengin nambah mas kawine. telangkai kuwi takon marang raja bab jawaban lamarane sadurunge. raja njawab yen anake saiki ora ana nang omah merga wis lunga nyabrang kanggo nuntut ilmu pengetahuan bareng tamasya. mulane, raja njaluk wong-wong kuwi supaya ngenteni nganti anake bali saka lelungan. sawise kuwi, telangkai pisanan banjur mulih menyang omahe."
Putroe Sunoe,Aceh,4,"lima hari setelah telangkai pertama pulang, datanglah telangkai kedua. mereka juga menanyakan kepada raja tentang jawaban lamaran mereka. raja memberikan jawaban yang sama seperti kepada telangkai pertama. pada hari berikutnya, datanglah telangkai ketiga. mereka berkata, kapankah kita melangsungkan perkawinan anak kita kami telah siap dengan perbekalannya, dan kedatangan kami ke sini hanya untuk menentukan kepastiannya.","lima dina sawise telangkai pisanan mulih, teka telangkai kapindho. wong-wong kuwi uga takon marang ratu bab jawaban lamarane. raja maringi jawaban sing padha kaya marang telangkai pisanan. esuke maneh, teka telangkai katelu. wong-wong kuwi ngomong, kapan awake dhewe nindakake perkawinan anak kita awake dhewe wis siap karo perbekalane, lan tekane awake dhewe nang kene mung kanggo nemtokake pastine."
Putroe Sunoe,Aceh,5,"raja menjawab, apa yang kalian hajati telah kami maklumi. namun, mohon keluangan waktu karena anak kami telah pergi ke negeri lain. menurut kabar yang kami terima, beberapa hari lagi ia akan kembali. selanjutnya, raja menambahkan bahwa jika anaknya sudah kembali, ia akan mengirimkan dayang-dayangnya untuk menjemput telangkai tersebut.","raja njawab, apa sing kowe karep wis tak pahami. nanging, nyuwun luang wektu merga anakku wis lunga menyang nagara liyane. miturut kabar sing tak tampa, sawetara dina maneh dheweke bakal bali. sabanjure, ratu nambah yen yen anake wis bali, dheweke bakal ngirim dayang-dayange kanggo njupuk telangkai kuwi."
Putroe Sunoe,Aceh,6,"rupanya, mas kawin yang telah diterima raja semuanya sudah lenyap karena dipakai untuk membayar hutang-hutangnya. dalam keadaan susah, tiba-tiba datang lagi telangkai keempat, mendesak agar ada kepastian dari raja. mereka mengatakan bahwa segalanya telah siap, dan mereka hanya menunggu kepastian pernikahan tersebut. jika tidak ada kepastian, mereka akan mendapat ganjaran dari rajanya.","jebule, mas kawin sing wis ditampa raja kabeh wis entek merga kanggo mbayar utange. ing kahanan kang angel, dumadakan teka maneh telangkai kapapat, ndhesek supaya ana kapastian saka ratu. wong-wong kuwi ngomong yen kabeh wis siap, lan wong-wong kuwi mung ngenteni kapastian perkawinan kuwi. yen ora ana kapastian, wong-wong kuwi bakal entuk ganjaran saka rajane."
Putroe Sunoe,Aceh,7,"raja menjawab, sebenarnya bagi kami agak sukar memberikan jawaban kepada kalian karena anak kami sekarang tidak berada di sini. dia sudah pergi ke negeri lain dan tidak lama lagi akan kembali.","raja njawab, sabenere kanggo awake dhewe rada angel maringi jawaban marang kowe merga anakku saiki ora ana nang kene. dheweke wis lunga menyang nagara liyane lan ora suwe maneh bakal bali."
Putroe Sunoe,Aceh,8,"rupanya, semua pembicaraan raja kepada keempat telangkai itu didengar oleh putroe sunoe, yang disembunyikan oleh orang tuanya di dalam kamar. putroe sunoe sangat gelisah karena ayahnya telah menghabiskan 20 mayam mas kawin yang diterima dari keempat telangkai itu.","jebule, kabeh omongane ratu marang papat telangkai kuwi dirungokake dening putroe sunoe, sing didhelikake karo wong tuwane nang kamar. putroe sunoe kuwatir banget merga bapake wis ngentekake 20 mayam mas kawin sing ditampa saka papat telangkai kuwi."
Putroe Sunoe,Aceh,9,"beberapa hari kemudian, telangkai keempat datang lagi mendesak dan meminta kepastian raja. kali ini mereka meminta raja untuk menulis surat kepada raja yang mengutus mereka. dalam surat tersebut, raja harus menjelaskan alasan penundaan pernikahan itu. raja pun menulis surat sesuai permintaan, dan telangkai itu kemudian pulang ke negerinya.","sawetara dina sawise kuwi, telangkai kapapat teka maneh ndhesek lan njaluk kapastian marang ratu. wektu kuwi, wong-wong kuwi njaluk ratu kanggo nulis surat marang ratu sing ngutus wong-wong kuwi. nang surat kuwi, ratu kudu nerangke alesane panundaan perkawinan kuwi. raja banjur nulis surat manut panjaluke, lan telangkai kuwi banjur mulih menyang nagarane."
Putroe Sunoe,Aceh,10,"menjelang sore hari, telangkai pertama datang lagi untuk menagih janji. dua hari berikutnya, keempat telangkai datang berturut-turut untuk maksud yang sama. pada mulanya, keempat telangkai itu diam saja dan tidak berani memulai pembicaraan. akhirnya, salah satu telangkai berkata, sekarang telah tiba masanya, sebagaimana petuah orang tua-tua, yaitu memperebutkan piring sebagai tempat menyuap nasi.","sakdurunge sore, telangkai pisanan teka maneh kanggo nagih janji. rong dina sawise kuwi, papat telangkai kuwi teka sak berturut-turut kanggo maksud sing padha. wektu awale, papat telangkai kuwi meneng wae lan ora wani miwiti omongan. akhire, salah siji telangkai ngomong, saiki wis tekan waktune, kaya pituture wong tuwa-tuwa, ya iku rebutan piring minangka panggonan nyuap sega."
