judul,provinsi,id_teks,teks,referensi
Radin Jambat,Lampung,1,"alkisah, pada zaman dahulu kala di daratan sumatera, terdapat sebuah daerah yang dikelilingi banyak gunung. oleh karena itu, udara di daerah itu selalu terasa sejuk, dan bila malam menjelang, seolah tengah diselimuti embun. konon, di tempat itu sinar matahari bisa terlihat begitu indah. bahkan, jika cahaya tersebut menerpa air yang mengalir di sungai, akan terlihat seolah berkilauan.","alkisah, ing jaman mbiyen ing daratan sumatera, ana sawijining daerah sing dikubengi gunung-gunung. mula saka kuwi, udara ing daerah kuwi tansah seger, lan yen bengi rawuh, kaya diselimuti embun. miturut crita, ing panggonan kuwi sinar srengenge katon banget endah. malah, yen cahya kuwi nabrak banyu sing mili ing kali, bakal katon kaya padhang kemerlip."
Radin Jambat,Lampung,2,"daerah itu dikenal dengan nama batang akhi suri dan termasuk dalam wilayah kekuasaan kerajaan negeri pasar turi. kerajaan ini dipimpin oleh raja tanjung, seorang raja adil dan bijaksana. konon, negeri tersebut didirikan oleh seorang keturunan dewa maha sakti yang memiliki ibu seorang peri. proses pendirian negeri tersebut hanya membutuhkan waktu dua hari saja. pada hari pertama, angin bertiup kencang membentuk pusaran, meratakan tanah hingga membentuk lapangan luas. pada hari kedua, muncul cahaya terang yang menyilaukan, dan ketika cahaya itu menghilang, berdirilah sebuah bangunan megah terbuat dari emas murni.","daerah kuwi dikenal kanthi jeneng batang akhi suri lan kalebu ing wilayah kekuwasane karajan negeri pasar turi. karajan iki dipimpin dening raja tanjung, sawijining raja adil lan wicaksana. miturut crita, nagara kuwi diadegake dening sawijining keturunan dewa maha sakti sing nduwe ibu sawijining peri. proses pangadege nagara kuwi mung butuh wektu rong dina wae. ing dina pisanan, angin ngebros kenceng mbentuk pusaran, ngeratakake lemah nganthi mbentuk lapangan amba. ing dina kapindho, metu cahya padhang sing nyilaukake, lan wektu cahya kuwi ilang, ngadeg sawijining bangunan agung digawe saka emas murni."
Radin Jambat,Lampung,3,"istana tersebut tak hanya dilapisi emas, tetapi juga dihiasi kayu eru dan perunggu, dengan ukiran tembaga. di dalamnya, kursi-kursi tertata rapi dan meja-mejanya beralaskan sutra. tak heran, negeri pasar turi pun dikenal oleh banyak orang.","istana kuwi ora mung dilapisi emas, nanging uga dihiasi kayu eru lan perunggu, kanthi ukiran tembaga. ing njero, kursi-kursi ditata rapi lan meja-mejane dialasi sutra. mula, negeri pasar turi dikenal dening akeh wong."
Radin Jambat,Lampung,4,"raja tanjung memiliki tujuh istri yang ramah dan sopan, dengan kecantikan yang tak kalah dari dewi-dewi kahyangan. istri pertama, bulan purnama permata bermata biru, memiliki mata biru dan kulit putih yang anggun. istri kedua, mutiara lautan, memiliki tutur kata halus dan santun. istri ketiga, ratu kedamaian, terkenal akan kelembutannya. istri keempat dan kelima dikenal sebagai kembar berpipi merah yang ceria. istri keenam, ratu alam, pandai menghias taman istana. istri ketujuh, delima istana, ahli memasak dengan aroma masakannya yang selalu menggugah selera.","raja tanjung nduweni pitung garwa sing ramah lan sopan, kanthi kaendahan sing ora kalah karo dewi-dewi kahyangan. garwa pisanan, bulan purnama permata bermata biru, nduweni mata biru lan kulit putih sing anggun. garwa kapindho, mutiara lautan, nduweni tuturan alus lan santun. garwa katelu, ratu kedamaian, misuwur amarga kelembutane. garwa kapapat lan kalima dikenal minangka kembar berpipi merah sing ceria. garwa keenem, ratu alam, pinter ngias taman istana. garwa kapitu, delima istana, ahli masak kanthi ambune olahan sing tansah menggugah napsu."
Radin Jambat,Lampung,5,"namun, meskipun hidup berkecukupan, raja tanjung merasa bersedih karena belum dikaruniai keturunan. ia tidak memiliki anak yang bisa menjadi penerus kerajaannya. kesedihan ini juga dirasakan oleh rakyat negeri pasar turi.","nanging, sanadyan urip berkecukupan, raja tanjung rumangsa sedhih amarga durung dikaruniai keturunan. dheweke ora nduweni anak sing isa dadi panerus kerajaane. kasedhihan iki uga dirasakake dening rakyat negeri pasar turi."
Radin Jambat,Lampung,6,"raja tanjung pun berusaha mencari solusi dengan mengundang tabib dan ahli dari berbagai negeri, namun hasilnya nihil. akhirnya, raja tanjung memutuskan untuk bertapa di bukit pesagi. selama beberapa minggu, ia berdoa dengan penuh ketulusan kepada yang maha kuasa. meskipun menghadapi berbagai rintangan, ketulusan hati raja tanjung akhirnya berbuah hasil.","raja tanjung banjur nyoba golek solusi kanthi ngundang tabib lan ahli saka maneka nagara, nanging asile ora ana. akhire, raja tanjung mutusake kanggo tapa ing bukit pesagi. sajrone sawetara minggu, dheweke ndedonga kanthi tulus marang kang maha kuwasa. sanadyan ngadhepi maneka rintangan, ketulusan atine raja tanjung akhire ngasilake woh."
Radin Jambat,Lampung,7,"seekor naga bertiara tiga muncul, melilit tubuh raja tanjung, lalu berubah menjadi cahaya merah benderang. setelah cahaya itu padam, muncul buah merah seperti tomat matang di hadapannya. dari dalam gua terdengar suara lembut, berikanlah buah merah itu kepada permaisuri. setelah melahap buah itu, permaisuri akan memberimu seorang bayi tampan yang akan membawa berkah dan rahmat bagi negerimu.","sasuwene tapa, metu naga bertiara telu, ngubet awake raja tanjung, banjur malih dadi cahya abang sumunar. sawise cahya kuwi sirna, metu woh abang kaya tomat mateng ing ngarepe. saka njero guwa krungu swara alus, wenehana woh abang kuwi marang permaisuri. sawise mangan woh kuwi, permaisuri bakal maringi kowe sawijining bayi bagus sing bakal nggawa berkah lan rahmat kanggo nagaramu."
Radin Jambat,Lampung,8,"sekembalinya dari pertapaan, raja tanjung langsung memberikan buah merah itu kepada permaisuri. benar saja, tak lama kemudian permaisuri hamil dan melahirkan seorang putra tampan. saat lahir, bayi itu membawa dua harta di genggamannyaâtelur emas di tangan kanan dan batu cincin permata di tangan kiri.","sawise bali saka pertapaan, raja tanjung langsung maringi woh abang kuwi marang permaisuri. bener wae, ora suwe permaisuri ngandhut lan nglairake sawijining putra ganteng. nalika lair, bayi kuwi nggawa loro bandha ing genggemanâendhog emas ing tangan tengen lan watu cincin permata ing tangan kiwa."
Radin Jambat,Lampung,9,"kelahiran sang putra mahkota disertai dengan berbagai gejala alam yang luar biasa; matahari bersinar terang, burung-burung berdendang riang, dan bulan purnama bercahaya penuh. kunang-kunang berterbangan membentuk lingkaran yang indah di sekitar istana. nama sang putra mahkota adalah anak emas radin jambat.","laire sang putra mahkota disertai karo maneka pratandha alam sing luar biasa; srengenge sumunar padhang, manuk-manuk padha nyanyi bungah, lan rembulan purnama madhangi kebak. kunang-kunang mabur ngubengi istana mbentuk bunderan sing ayu. jeneng sang putra mahkota yaiku anak emas radin jambat."
Radin Jambat,Lampung,10,masyarakat negeri pasar turi sangat bahagia dan menggelar pesta besar sebagai bentuk syukur. air dari tujuh mata air digunakan dalam upacara penyucian untuk mendoakan keselamatan dan masa depan sang pangeran.,masyarakat negeri pasar turi bungah banget lan nganakake pesta agung minangka wujud syukur. banyu saka pitu sumber banyu digunakake ing upacara penyucian kanggo ndongakake slamet lan masa depane sang pangeran.
Radin Jambat,Lampung,11,"seiring waktu, radin jambat tumbuh menjadi pemuda pemberani dan cerdas. ia pun menyatakan kepada orang tuanya keinginan untuk mengembara mencari pendamping hidup yang terbaik. raja tanjung dan permaisuri mengizinkannya dengan syarat ia harus dikawal oleh dua punakawan. perahu khusus pun disiapkan, lengkap dengan bekal perjalanan, emas, dan perak.","sawise wektu suwe, radin jambat tuwuh dadi pemuda wani lan cerdas. dheweke banjur nyatakake marang wong tuwane niyat kanggo ngembara nggoleki pendamping urip sing paling becik. raja tanjung lan permaisuri maringi ijin kanthi syarat dheweke kudu dikancani dening loro punakawan. prahu khusus disiapkake, lengkap karo bekal perjalanan, emas, lan perak."
Radin Jambat,Lampung,12,"perjalanan radin jambat mencari jodoh tidaklah mudah. ia sering bertemu gadis-gadis cantik, namun tak satu pun yang mampu menyentuh hatinya. hingga suatu hari, di tengah perjalanannya, seekor ular raksasa menghalangi perahunya. dengan keberanian, radin jambat berdoa dan menghunus pedangnya. ular itu berubah menjadi jin yang tembus pandang dan meminta ampun.","lelakone radin jambat nggoleki jodho ora gampang. dheweke kerep ketemu cah ayu, nanging ora ana siji wae sing isa nyentuh atine. nganti sawijining dina, ing tengah lelakone, ana ula raksasa ngandheg prahune. kanthi wani, radin jambat ndedonga lan ngoyak pedange. ula kuwi banjur malih dadi jin tembus pandang lan njaluk pangapura."
