judul,provinsi,id_teks,teks,referensi
Raja Empedu,Sumatera Utara,1,"pada zaman dahulu kala, kecamatan rawas ulu, yang merupakan wilayah kabupaten musi rawas, sumatera selatan, terbagi menjadi tiga wilayah pemerintahan, yaitu hulu sungai, nusa lesung batu, dan kampung suku kubu. ketiga wilayah tersebut masing-masing diperintah oleh seorang raja. negeri hulu sungai diperintah oleh raja empedu yang masih muda dan terkenal dengan keberanian serta kesaktiannya. rakyatnya hidup aman dan makmur karena pertanian di daerah itu berkembang pesat. sementara itu, negeri lesung batu diperintah oleh pangeran mas, yang terkenal kaya raya dan memiliki banyak ternak kerbau. adapun negeri kampung suku kubu diperintah oleh raja kubu, yang memiliki kesaktian tinggi. negeri kampung suku kubu dikenal paling tertinggal dibanding dua negeri lainnya, meskipun wilayahnya cukup subur.","ing jaman mbiyen, kecamatan rawas ulu, sing dadi wilayahe kabupaten musi rawas, sumatera selatan, kabagi dadi telu wilayah pamarentahan, yaiku hulu sungai, nusa lesung batu, lan kampung suku kubu. kabeh wilayah kuwi diprentah dening raja dhewe-dhewe. nagara hulu sungai diprentah dening raja empedu sing isih enom lan misuwur merga wani lan duwe kasekten. rakyate urip tentrem lan makmur merga tetanen ing kono maju pesat. sakliyane kuwi, negara lesung batu diprentah dening pangeran mas, sing misuwur sugih lan nduweni akeh ternak kebo. dene negara kampung suku kubu diprentah dening raja kubu sing uga duwe kasekten dhuwur. negara kampung suku kubu dikenal paling ketinggalan dibanding karo loro nagara liyane, sanajan lemahe subur."
Raja Empedu,Sumatera Utara,2,"suatu ketika, pangeran mas mengalami kesulitan dalam memelihara ternaknya, yang semakin berkembang biak. oleh karena itu, ia berniat untuk menyerahkan sebagian ternaknya kepada siapa pun yang berminat memeliharanya, dengan syarat kerbau-kerbau yang diserahkan tetap menjadi miliknya, dan hasil pengembangbiakannya akan dibagi bersama secara adil. raja kubu, yang mendengar kabar tersebut, sangat berminat untuk menerima tawaran pangeran mas. ia segera mengirim utusannya ke negeri lesung batu untuk menghadap pangeran mas.","ing sawijining dina, pangeran mas ngalami kasulitan ngopeni kebone sing saya akeh lan berkembang biak. mula, dheweke nduwe niat arep maringi sawatara kebone marang sapa wae sing gelem ngopeni, karo syarat kebo-kuwi tetep dadi duweke, lan hasile bakal dibagi adil. raja kubu krungu kabar kuwi lan langsung minat nampa tawarane pangeran mas. dheweke banjur ngirim utusan menyang negara lesung batu kanggo ngadhep pangeran mas."
Raja Empedu,Sumatera Utara,3,"ampun tuan, hamba adalah utusan raja kubu dari negeri kampung suku kubu. kedatangan hamba kemari untuk menyampaikan keinginan raja hamba yang berminat menerima tawaran tuan dan bersedia menaati persyaratannya, lapor utusan raja kubu.","âampun ratu, kula utusane raja kubu saka negara kampung suku kubu. kula teka arep ngaturake yen raja kula gelem nampa tawaran paduka lan siap manut syarate,â ujare utusane raja kubu."
Raja Empedu,Sumatera Utara,4,"baiklah, kalau begitu, pulanglah dan sampaikan kepada rajamu bahwa aku menyetujui keinginannya. besok aku akan mengirimkan puluhan ekor kerbau. sampaikan juga kepada rajamu bahwa jika kerbau-kerbau tersebut telah berkembang biak, aku akan datang untuk mengambil pembagian hasilnya, jelas pangeran mas.","âya wis, yen ngono, balia lan kandhakna marang rajamu yen aku sarujuk. sesuk aku bakal ngirim kebo puluhan ekor. kandhakna uga yen kebo-kuwi wis berkembang biak, aku bakal teka njupuk bagianku,â wangsule pangeran mas."
Raja Empedu,Sumatera Utara,5,"baik, tuan. pesan tuan akan hamba sampaikan kepada raja hamba, kata utusan itu seraya mohon diri.","âinggih, paduka. kula bakal ngaturake dhawuhipun raja dhateng raja kula,â ujare utusane banjur pamit."
Raja Empedu,Sumatera Utara,6,"keesokan harinya, pangeran mas mengirimkan puluhan ekor kerbau jantan dan betina kepada raja kubu. raja kubu pun menerimanya dengan senang hati. ia memelihara dan merawat kerbau-kerbau tersebut dengan baik. kerbau-kerbau tersebut digembalakan dan dibiarkan berkubang di sawah-sawah yang terhampar luas di daerahnya. kerbau peliharaannya berkembang biak dengan cepat, dan hampir seluruh daerahnya telah menjadi kubangan kerbau. sejak itu, negeri tersebut dikenal dengan nama negeri kubang, dan raja kubu dipanggil raja kubang.","esuke, pangeran mas ngirimake puluhan kebo jantan lan betina marang raja kubu. raja kubu nampa kebo kuwi kanthi bungah lan ngopeni kebo-kebo mau kanthi apik. kebo-kebo kuwi digembala lan dibiarke adus ing sawah-sawah sing amba. kebo-kebo kuwi berkembang biak cepet banget nganti meh kabeh daerahe dadi kubangan kebo. wiwit wektu kuwi, nagara kuwi dikenal dadi negara kubang, lan raja kubu diarani raja kubang."
Raja Empedu,Sumatera Utara,7,"beberapa tahun kemudian, pangeran mas merasa bahwa tibalah saatnya untuk mengambil pembagian hasil ternaknya yang dipelihara oleh raja kubang. maka, dikirimlah utusannya untuk menghadap raja kubang. setibanya di sana, raja kubang mengingkari janjinya dan menolak untuk berbagi hasil dengan pangeran mas. bahkan ia menganggap bahwa semua kerbau yang dipeliharanya adalah miliknya.","sawijining dina sawise sawetara taun, pangeran mas rumangsa yen wis wayahe njaluk bageane saka ternak kebo kuwi. dheweke ngirim utusan kanggo ngadhep raja kubang. nanging, raja kubang ora gelem nepati janji lan nolak kanggo mbagi hasil. malah raja kubang nganggep kabeh kebo kuwi dadi duweke."
Raja Empedu,Sumatera Utara,8,"hai, utusan untuk apa kamu datang kemari tanya raja kubang.","âhe, utusan kowe teka kene arep apaâ pitakone raja kubang."
Raja Empedu,Sumatera Utara,9,"ampun tuan, hamba diutus raja pangeran mas kemari untuk menagih pembagian hasil dari ternak kerbau yang tuan pelihara, jawab utusan raja pangeran mas.","âampun ratu, kula utusane raja pangeran mas. kula teka arep njaluk bagean saka hasil ternak kebo sing dipelihara paduka,â wangsule utusan."
Raja Empedu,Sumatera Utara,10,"apa katamu, pembagian hasil tidak semua kerbau tersebut sudah menjadi milikku karena akulah yang merawat dan mengembangbiakkannya, kata raja kubang.","âbagean apa kebo-kebo kuwi wis dadi duwekku. aku sing ngopeni lan ngembangake,â ujare raja kubang."
