judul,provinsi,id_teks,teks,referensi
Rawang Tengkuluk,Bengkulu,1,"dahulu, di tepi danau singkarak yang tenang, ada sebuah padang yang luas. tidak banyak pohon tumbuh di sana, tetapi ada sebatang pohon yang besar. batangnya tumbuh dengan baik dan daunnya rimbun. tidak ada orang yang berani menebangnya. bukan karena tak mampu, melainkan karena pohon itu adalah pohon keramat. konon kabarnya, pohon itu berasal dari tengkuluk seorang gadis.","dulu, ing pinggir danau singkarak sing tentrem, ana sawijining padang sing amba. ora akeh wit sing tuwuh ing kana, nanging ana sawijining wit sing gedhe. batange tuwuh kanthi apik lan godhonge rimbun. ora ana wong sing wani ngethok. dudu amarga ora bisa, nanging amarga wit iku wit keramat. konon kabare, wit iku asale saka tengkuluk sawijining cah wadon."
Rawang Tengkuluk,Bengkulu,2,"di ujung kampung, arah tepi bukit, hiduplah seorang perempuan bernama mak siyah. dia tinggal berdua dengan siti, anak gadisnya yang sudah besar. suaminya sudah lama meninggal sejak siti berumur tiga tahun. sejak suaminya meninggal, hidup mereka jatuh miskin. mak siyah dan siti tinggal di gubuk tua berdinding papan dan beratap rumbia.","ing pucuk desa, arah pinggir gunung, urip sawijining wong wadon jenenge mak siyah. dheweke manggon loro karo siti, anak wadone sing wis gedhe. bojone wis suwe seda wiwit siti umur telu taun. wiwit bojone seda, uripe dadi mlarat. mak siyah lan siti manggon ing gubuk tuwa sing dindinge saka papan lan atape rumbia."
Rawang Tengkuluk,Bengkulu,3,"setiap hari, mak siyah mencari kayu bakar dan rebung untuk dijual ke pasar. mak siyah adalah seorang perempuan yang rajin. pagi hari, dia sudah berangkat ke hutan mencari kayu bakar dan rebung. siangnya, dia ke pasar untuk menjual kayu bakar dan rebungnya. setelah itu, dia memasak nasi dan sambal untuk dimakan bersama anaknya. kalau ada sisa uang, dibelikannya bedak dan baju untuk siti. dia sendiri jarang sekali membeli baju. hanya ketika mendapat zakat dari penduduk barulah bisa membeli baju.","saben dina, mak siyah nggoleki kayu bakar lan rebung kanggo didol ing pasar. mak siyah kuwi wong wadon sing rajin. esuk-esuk, dheweke wis lunga menyang alas nggoleki kayu bakar lan rebung. isuke, dheweke menyang pasar kanggo didol kayu bakar lan rebunge. sawise kuwi, dheweke masak sega lan sambel kanggo dhahar bareng anake. yen ana dhuwit luwih, dituku bedak lan klambi kanggo siti. dheweke dhewe arang banget tuku klambi. mung nalika entuk zakat saka warga, barulah bisa tuku klambi."
Rawang Tengkuluk,Bengkulu,4,"meskipun sudah besar, siti, anak yang pemalas, tidak mau menolong ibunya bekerja. jangankan pergi mencari kayu bakar ke hutan, membersihkan rumah saja dia enggan. sehari-hari, dia hanya sibuk bersolek dan bermain ke rumah tetangga. kalau perut terasa lapar dan ingin mengganti baju, barulah pulang ke rumah. jika di luar rumah, penampilannya seperti anak orang kaya. tidak ada yang akan menyangka kalau dia hanya anak seorang janda miskin.","sanajan wis gedhe, siti, anak sing males, ora gelem nulungi ibune kanggo nyambut gawe. apike lunga nggoleki kayu bakar menyang alas, resik-resik omah wae ora gelem. saben dina, dheweke mung sibuk dandanan lan dolan menyang omahe tangga. yen weteng krasa luwe lan pengin ganti klambi, barulah mulih. yen ing njaba omah, penampilane kaya anak wong sugih. ora ana sing bakal ngira yen dheweke mung anak janda mlarat."
Rawang Tengkuluk,Bengkulu,5,"seperti ibu yang lain, mak siyah ingin siti menolongnya bekerja. akan tetapi, dia tidak tahu lagi cara mengajari anaknya. setiap kali meminta tolong, gadis itu selalu menolak. ada-ada saja alasannya. suatu kali, ketika mengajak siti ke hutan, dia dihardik.","kaya ibu-ibu liyane, mak siyah pengin siti nulungi nyambut gawe. nanging, dheweke ora ngerti carane mulang anake. saben njaluk tulung, cah wadon iku tansah nolak. ana-ana wae alesane. sawijining wektu, nalika ngajak siti menyang alas, dheweke dihardik."
Rawang Tengkuluk,Bengkulu,6,"mencari kayu itu kewajiban ibu supaya kita bisa makan. siti tidak mau bekerja kasar seperti itu, begitu jawaban siti. kalau dinasihati, bentakan siti semakin keras.","ggoleki kayu kuwi kewajiban ibu supaya kita bisa mangan. siti ora gelem nyambut gawe kasar kaya ngono, mangkono jawabane siti. yen dinasihati, bentakan siti saya keras."
Rawang Tengkuluk,Bengkulu,7,"siti jadi miskin karena ayah sudah meninggal. ibu juga tidak pandai mencari uang. andaikan saja ibu pandai mencari uang, pasti hidup kita akan senang. kita hidup miskin karena salah ibu sendiri. sudahlah, bu, siti mau pergi ke mana uang dan baju baru siti","siti dadi mlarat amarga bapak wis seda. ibu uga ora pinter nggoleki dhuwit. yen wae ibu pinter nggoleki dhuwit, mesthi urip kita bakal seneng. kita urip mlarat amarga salah ibu dhewe. cukup, bu, siti pengin menyang endi dhuwit lan klambi anyar siti"
Rawang Tengkuluk,Bengkulu,8,"mendengar jawaban anaknya, mak siyah hanya bisa mengurut dada. dia selalu berdoa kepada tuhan supaya anaknya ditunjukkan jalan yang benar.","krungu jawaban anake, mak siyah mung isa ngurut dada. dheweke tansah ndedonga marang gusti supaya anake dituduhake dalan sing bener."
Rawang Tengkuluk,Bengkulu,9,"musim kemarau pun tiba, sawah-sawah mulai mengering. panen padi pun gagal karena hama tikus kian mengganas. penduduk mulai cemas akan kekurangan makanan, persediaan padi di lumbung kian menipis. untuk menghemat persediaan beras, mak siyah hanya makan nasi sekali sehari. tidak jarang, dia hanya makan ubi rebus. di tengah situasi sulit seperti itu, siti tetap tidak mau peduli. dia terus saja menuntut ibunya menyediakan nasi tiga kali sehari. akibatnya, persediaan beras mereka sudah hampir habis. tidak ada lagi beras yang akan ditanak. mak siyah tidak bisa lagi memenuhi keinginan siti. siti menjadi marah. ia menyuruh mak siyah pergi meminjam padi.","mangsa kemarau wis teka, sawah-sawah wiwit garing. panen pari uga gagal amarga hama tikus saya ngganas. warga mulai kuatir bakal kekurangan pangan, persediaan pari ing lumbung saya suda. kanggo ngirit persediaan beras, mak siyah mung mangan sega sepisan saben dina. kadhang, dheweke mung mangan ubi rebus. ing tengah kahanan angel kaya ngono, siti tetep ora gelem peduli. dheweke terus-terusan njaluk ibune nyedhiyakake sega telu kaping saben dina. akibate, persediaan berase wis meh entek. ora ana beras maneh sing bakal ditanak. mak siyah ora isa maneh nepaki kepriye siti. siti dadi nesu. dheweke nyuruh mak siyah menyang pinjam pari."
Rawang Tengkuluk,Bengkulu,10,"tidak ada jalan lain bagi mak siyah, ia pun pergi meminjam padi. mak siyah pergi meminjam padi kepada tek kanah, orang kaya di kampung itu. rumah tek kanah agak jauh dari tempat mereka, dan ia pun mengajak siti untuk menemaninya. awalnya, siti tidak mau; ia malu berjalan dengan ibunya yang tua itu. mak siyah memaksa, akhirnya siti menurut walau dengan wajah merungut. mereka pun berangkat menuju rumah tek kanah. di sepanjang jalan, keduanya tidak berjalan beriringan. siti enggan berjalan dengan ibunya. dia berjalan di depan, diiringi ibunya dari belakang. kalau ada yang bertanya ke mana tujuan mereka, siti menjawab akan ke pasar. kalau ada yang bertanya siapa orang tua di belakangnya, siti akan menjawab dia itu tukang angkat barang sekembali dari pasar nanti.","ora ana cara liya kanggo mak siyah, dheweke banjur lunga pinjam pari. mak siyah lunga pinjam pari marang tek kanah, wong sugih ing desa kuwi. omah tek kanah rada adoh saka panggonane, lan dheweke ngajak siti melu. awale, siti ora gelem; dheweke isin mlaku karo ibune sing wis tuwa. mak siyah maksa, pungkasane siti manut sanajan karo rai mandheg. dheweke banjur mangkat menyang omahe tek kanah. ing sepanjang dalan, loro-lorone ora mlaku bebarengan. siti ora gelem mlaku karo ibune. dheweke mlaku ing ngarep, diiringi ibune saka mburi. yen ana sing takon menyang endi tujuane, siti mangsuli arep menyang pasar. yen ana sing takon sapa wong tuwa ing mburi, siti mangsuli dheweke iku tukang angkat barang sak bali saka pasar mengko."
