judul,provinsi,id_teks,teks,referensi
Rio Raos,Jawa Barat,1,"pada zaman dahulu, hiduplah seorang lelaki bernama rio raos yang dikenal cerdik dan pintar dalam menyelesaikan berbagai masalah. selain itu, ia gemar berpetualang menjelajahi wilayah-wilayah yang belum dikenalnya. rio raos memiliki empat sahabat karib bernama sayid udin, panjang, mahadali, dan nagaseni. bersama keempat sahabatnya, rio raos sering melakukan perjalanan ke daerah-daerah baru.","ing jaman biyen, ana sawijining wong lanang jenenge rio raos sing dikenal cerdhik lan pinter anggone ngrampungake masalah. saliyane kuwi, dheweke seneng ngumbara njelajah wilayah-wilayah anyar sing durung tau ditliti. rio raos nduweni papat kancane sing raket banget, yaiku sayid udin, panjang, mahadali, lan nagaseni. bareng karo kanca-kancane kuwi, rio raos kerep nindakake lelampahan menyang daerah-daerah anyar."
Rio Raos,Jawa Barat,2,"suatu hari, rio raos dan sahabat-sahabatnya memulai perjalanan panjang dengan menaiki kapal. berbulan-bulan mereka mengarungi lautan hingga akhirnya mendarat di sebuah wilayah yang asing. sesampainya di sana, rio raos merasakan keanehan. penduduk wilayah tersebut tampak tegang dan bersiap untuk berperang. setelah berbincang dengan beberapa penduduk, rio raos mengetahui bahwa wilayah itu sedang dilanda perselisihan yang menyebabkan perpecahan di antara penduduk.","ing sawijining dina, rio raos lan kanca-kancane miwiti perjalanan dawa numpak prau. wulan-wulan suwene padha nglangi segara nganti pungkasane tekan ing sawijining wilayah sing ora dikenal. nalika tekan kono, rio raos ngrasa ana kenehan. wargane katon tegang lan siap perang. sawise rembugan karo sawetara warga, rio raos ngerti yen wilayah kuwi lagi dilanda pasulayan sing nyebabake pecah belah ing antarane warga."
Rio Raos,Jawa Barat,3,"rio raos kemudian meminta izin untuk menghadap raja wilayah tersebut. di hadapan sang raja, rio raos menyatakan kesediaannya untuk membantu menyelesaikan masalah yang terjadi. sang raja yang terkesan dengan kesungguhan rio raos langsung mengangkatnya menjadi hulubalang kerajaan.","rio raos banjur njaluk idin kanggo ngadhep raja wilayah kuwi. ing ngarepe sang raja, rio raos nyatakake kesediyane kanggo mbantu ngrampungake masalah sing ana. raja sing kagum karo kesungguhane rio raos langsung ngangkat dheweke dadi hulubalang karajan."
Rio Raos,Jawa Barat,4,"sebagai hulubalang, rio raos segera mencari tahu akar masalah yang menyebabkan perpecahan. ia menemukan bahwa penduduk wilayah itu terbagi menjadi tiga kelompok yang saling bermusuhan karena perbedaan bahasa. masing-masing kelompok merasa bahasa mereka lebih baik daripada bahasa kelompok lainnya, yang akhirnya menimbulkan konflik berkepanjangan.","minangka hulubalang, rio raos langsung nyumurupi dhasare masalah sing nyebabake pecah belah. dheweke nemokake yen warga ing kono kabagi dadi telung golongan sing padha musuhan merga beda basa. saben golongan ngrasa yen basane luwih apik tinimbang basa golongan liyane, lan kuwi nyebabake konflik sing suwe."
Rio Raos,Jawa Barat,5,"setelah merenung, rio raos menemukan cara untuk mendamaikan ketiga kelompok tersebut. ia mengundang semua kelompok untuk berkumpul di sebuah tempat. di hadapan mereka, rio raos memberikan sepotong kain berwarna kepada masing-masing kelompok: merah untuk kelompok pertama, hijau untuk kelompok kedua, dan kuning untuk kelompok ketiga.","sawise mikir dawa, rio raos nduweni gagasan kanggo dameni telung golongan kuwi. dheweke ngundang kabeh golongan kanggo nglumpuk ing sawijining panggonan. ing ngarepe wong-wong kuwi, rio raos maringi sak serat kain warna marang saben golongan: abang kanggo golongan kapisan, ijo kanggo golongan kapindho, lan kuning kanggo golongan katelu."
Rio Raos,Jawa Barat,6,"rio raos kemudian berkata, kain-kain ini berbeda warna, tetapi semuanya berasal dari serat kayu yang sama, dari satu pohon yang sama. begitu pula kalian semua. meskipun bahasa kalian berbeda, kalian berasal dari nenek moyang yang sama. tidak ada gunanya saling berselisih hanya karena perbedaan bahasa.","rio raos banjur ngendika, kain-kain iki beda werna, nanging asale saka serat kayu sing padha, saka wit sing padha. kowe kabeh ya padha. sanajan basane beda, asal-usulmu saka leluhur sing padha. ora ana gunane padha silihan mung merga beda basa."
Rio Raos,Jawa Barat,7,"kata-kata rio raos membuat penduduk terdiam dan merenung. mereka menyadari kebenaran ucapannya. akhirnya, ketiga kelompok itu sepakat mengakhiri perselisihan dan memilih satu bahasa persatuan, yaitu bahasa muara rengeh. dengan bahasa yang sama, mereka merasa lebih bersatu.","tembange rio raos ndadekake warga meneng lan merenung. wong-wong kuwi banjur nyadari kabenerane omongane. akhire, telung golongan kuwi sarujuk ngendhegake pasulayan lan milih siji basa persatuan, yaiku basa muara rengeh. kanthi nganggo basa sing padha, wong-wong krasa luwih guyub."
Rio Raos,Jawa Barat,8,"suatu hari, saat berkeliling desa, rio raos mendapati sebuah muara sungai berada tepat di tengah desa. ia teringat pesan leluhurnya bahwa desa yang berada di depan muara sungai seringkali mengalami perpecahan. rio raos kemudian memerintahkan penduduk untuk mengalihkan aliran sungai ke kiri dan kanan desa. meski awalnya ragu, penduduk akhirnya bersatu dan menyelesaikan pekerjaan itu dalam waktu tiga hari.","ing sawijining dina, nalika ngubengi desa, rio raos weruh ana muara kali sing pas dumunung ing tengah desa. dheweke kelingan pesen para leluhur yen desa sing ana ing ngarepe muara kali kerep ngalami pecah belah. rio raos banjur marentahke warga kanggo ngalihkake aliran kali kuwi menyang sisih kiwa lan tengen desa. senajan warga awale ragu-ragu, nanging pungkasane padha nyawiji lan ngrampungake gawean kuwi mung sajroning telung dina."
Rio Raos,Jawa Barat,9,"kebijaksanaan rio raos membuat penduduk mengangkatnya sebagai pemimpin mereka. di bawah kepemimpinan rio raos, rakyat hidup damai, aman, dan sejahtera. kabar tentang kepemimpinan rio raos tersebar hingga ke wilayah lain, membuat banyak orang datang untuk menetap di negeri yang dipimpinnya.","kabijaksanaane rio raos ndadekake warga ngangkat dheweke dadi pemimpine. ing sangisoring pamarentahane rio raos, rakyat urip rukun, aman, lan sejahtera. warta babagan kapemimpinane rio raos nyebar nganti tekan wilayah liya, ndadekake akeh wong teka kanggo manggon ing nagara sing dipimpine."
Rio Raos,Jawa Barat,10,"rio raos terus memimpin dengan adil hingga akhir hayatnya. ia dimakamkan di tempat pertama kali ia mendarat di wilayah tersebut. namanya dikenang sebagai pemimpin bijaksana yang berhasil membawa perdamaian dan kesejahteraan bagi rakyatnya. keberanian, kebijaksanaan, dan kebaikannya terus menjadi inspirasi bagi generasi selanjutnya.","rio raos terus mimpin kanthi adil nganti pungkasan umure. dheweke dikubur ing panggonan pisanan tekan ing wilayah kuwi. jenenge dieling-eling minangka pemimpin sing wicaksana sing bisa nggawa katentreman lan kasejahteraan marang rakyate. kaniaya, kawicaksanan, lan kabecikane terus dadi inspirasi kanggo generasi sakbanjure."
