judul,provinsi,id_teks,teks,referensi
Roda Hidup di Dunia,Aceh,1,"dalam sebuah kampung, hidup sebuah keluarga yang cukup kaya. dikatakan kaya karena, jika dibandingkan dengan semua orang di kampung, merekalah yang serba berkecukupan. kekayaan yang dimilikinya berupa beberapa buah mobil, sawah, kebun kelapa, dan cengkeh. tiap saat dan waktu, rumah pak amat dan ibu salamah selalu ramai karena banyak famili yang berkunjung ke rumah mereka.","ing sawijining kampung, urip sawijining kulawarga sing cukup sugih. diarani sugih merga, nek dibandhingake karo kabeh wong nang kampung, kuwi wong-wong sing serba kecukupan. bandha sing diduweni wujude sawetara mobil, sawah, kebon klapa, lan cengkeh. saben wektu lan wektu, omahe pak amat lan ibu salamah tansah rame merga akeh kulawarga sing padha ing omahe."
Roda Hidup di Dunia,Aceh,2,"sifat pak amat berbeda dengan orang kaya lainnya yang kikir dan sombong. pak amat sangat pemurah dan dermawan. kalau ada seseorang yang memerlukan pertolongan, selamanya permintaan itu dipenuhi oleh pak amat. demikian juga dengan ibu salamah, istrinya. orang kampung sangat menyayangi keluarga mereka. jika ada kutipan derma untuk mushola dan lain-lain, selalu diberikan oleh ibu salamah. bahkan, pemberiannya sering kali melebihi orang lain. dengan kata lain, orang kampung sangat manja dan menyukai keluarga pak amat.","sipate pak amat beda karo wong sugih liyane sing pelit lan sumbung. pak amat kuwi wong sing loman lan dermawan. nek ana wong sing butuh pitulungan, saklawase panjaluk kuwi mesthi dituruti karo pak amat. kaya ngono uga karo ibu salamah, bojone. wong kampung kuwi seneng banget karo kulawargane. nek ana kutipan derma kanggo mushola lan liya-liyane, mesthi diwenehake karo ibu salamah. malah, sing diwenehake kuwi asring luwih akeh tinimbang wong liya. kanthi tembung liyane, wong kampung kuwi seneng banget lan manja karo keluargane pak amat."
Roda Hidup di Dunia,Aceh,3,"tetapi sayang, keluarga pak amat tidak mempunyai seorang anak pun, walaupun sudah berpuluh tahun hidup bersama ibu salamah. pada awal pernikahan, mereka pernah berusaha dengan jalan berobat untuk mempunyai keturunan, tetapi tuhan belum juga mengizinkan. sekarang, pak amat sudah berusia 50 tahun lebih sehingga beliau merasa putus asa. kadang-kadang, dalam pikirannya terbayang, kalau nanti saya meninggal dunia, siapa yang akan mengurus semua harta saya ini","nanging sayange, keluarga pak amat ora nduweni anak siji wae, sanajan wis puluhan taun urip bareng karo ibu salamah. ning awal pernikahane, dheweke tau usaha karo cara ngobati supaya nduweni keturunan, nanging gusti allah durung maringi. saiki, pak amat wis umur 50 taun luwih nganti dheweke rumangsa putus asa. kadhangkala, ning pikiranne kebayang, yen mengko aku mati, sapa sing arep ngurusi kabeh bandha kuwi"
Roda Hidup di Dunia,Aceh,4,"kemudian terlintas pula di pikirannya bahwa kemungkinan orang kampung ini hanya sayang padanya selagi dia masih dalam keadaan berada. kalau saya jatuh miskin, bagaimana pula pandangan famili saya, orang kampung, dan terutama istri saya yang selama ini dekat dengan saya pikirnya. sebab, di waktu beliau masih dalam keadaan senang seperti sekarang, orang datang ke rumahnya, bahkan yang bukan famili pun menganggap dirinya ada hubungan dengan beliau. oleh sebab itu, inginlah beliau menguji semua familinya serta orang kampung, dan terutama istrinya, jika beliau nanti jatuh miskin.","banjur kepikiran uga ning pikiranne yen kemungkinan wong kampung kuwi mung sayang yen dheweke isih ana ning kahanan sugih. nek aku tiba miskin, piye pandangan famili ku, wong kampung, lan utamane bojo ku sing sak iki raket karo aku pikire. merga, nalikane dheweke isih ning kahanan sugih kaya saiki, wong padha teka neng omahe, malah sing dudu famili wae nganggep dheweke nduwe hubungan. mula saka kuwi, kepengin dheweke nyoba kabeh kulawargane lan wong kampung, lan utamane bojone, yen dheweke mengko tiba miskin."
Roda Hidup di Dunia,Aceh,5,"dengan diam-diam, semua hartanya dijualnya. uang hasil penjualan itu dibelikannya emas sebanyak-banyaknya, lalu emas itu disimpannya di tanah di belakang rumahnya. harta yang dijualnya itu bukan sekaligus, tetapi berangsur-angsur dalam jangka waktu enam bulan. lalu apa yang terjadi kemudian dalam rumah tangganya, terjadi keributan dengan istrinya. setelah pak amat diketahui mengalami kemiskinan dan kebangkrutan, berita itu tersebar ke seluruh orang-orang kampung.","kanthi alon-alon, kabeh bandhane didol. dhuwit asil dodolan kuwi ditukokake emas sak akeh-akehe, terus emas kuwi didhelikake ning lemah mburi omahe. bandha sing didol kuwi ora sak wancike, nanging sethithik-sethithik sajroning jangka wektu nem wulan. banjur apa sing kelakon sakbanjure ning omah tanggane, kelakon ribut karo bojone. sawise pak amat kawruh ngalami kemiskinan lan kebangkrutan, kabar kuwi nyebar ing sak kampung."
Roda Hidup di Dunia,Aceh,6,"sekarang, apa yang terjadi atas dirinya orang-orang kampung dan familinya yang selama ini dekat dengannya tidak lagi menghormatinya atau mendekatinya. apalagi istrinya, yang selama ini disayanginya, sekarang malah membencinya. hal demikian berlangsung sampai setahun lamanya sehingga tidak terurus lagi dirinya. rambutnya panjang, bahkan bajunya sudah compang-camping. malah jika pulang ke rumah pun, ia tidak diterima oleh istrinya. pernah pak amat tidak makan selama berhari-hari. ketika ia meminta makanan kepada familinya, tidak ada yang mau memberinya. malahan, ia menerima ocehan dan hinaan dari mereka.","saiki, apa sing kelakon karo dheweke wong-wong kampung lan kulawargane sing sakdurunge raket, saiki ora ngajeni utawa nyedhaki maneh. apamaneh bojone, sing sakdurunge disayang, saiki malah sengit. kahanan kaya ngono kelakon nganti setaun suwene nganti dheweke ora kaopeni maneh. rambute dawa, malah klambine wis gembel. malah yen mulih neng omah wae, bojone ora gelem nampa. tau pak amat ora mangan nganti dina-dina. nalikane njaluk mangan marang kulawargane, ora ana sing gelem maringi. malah, dheweke oleh omongan kasar lan olok-olok saka wong-wong kuwi."
Roda Hidup di Dunia,Aceh,7,"selain itu, pak amat pernah tidur di gubuk-gubuk dan tinggal di luar kampung, berhujan dan berpanas, karena jika ia pulang ke rumah, istrinya tidak mau membukakan pintu. semua ini dideritanya dengan penuh kesabaran karena di dalam hatinya terkandung niat untuk mencoba bagaimana pandangan orang kampung, familinya, serta istrinya setelah ia menjadi miskin, sebagaimana yang ia lakukan sekarang ini.","saliyane kuwi, pak amat tau turu neng gubug-gubug lan manggon ning njaban kampung, kehujanan lan kepanasen, merga yen dheweke mulih omah, bojone ora gelem mbukak lawang. kabeh kuwi ditampa karo sabar merga ning atine ana niat kanggo nyoba piye pandangane wong kampung, familine, lan bojone sawise dheweke dadi miskin, kaya sing dilakoni saiki."
Roda Hidup di Dunia,Aceh,8,"setelah hal itu disampaikan kepada istrinya, istrinya menjawab, apakah mau pergi dari sini silakan. itu jalan lurus, tidak ada orang menahan kau pergi. saya sendiri sudah jijik dengan keadaan kau itu. siapa lagi yang mau sama kau","sawise kuwi dakkandhakake marang bojone, bojone njawab, apa arep lunga saka kene monggo. kuwi dalan lurus, ora ana wong nahan kowe lunga. aku dhewe wis jijik karo kahananmu kuwi. sapa maneh sing gelem karo kowe"
Roda Hidup di Dunia,Aceh,9,"mendengar ucapan istrinya itu, pak amat menjawab, jangan kau berkata demikian, salamah. apakah saya ini tidak mungkin memperoleh pekerjaan di negeri lain, berusaha untuk hidup sebagaimana saya rasakan dan alami sebelum saya jatuh miskin seperti sekarang ini jika niat hati kita baik serta jalan kita lurus berdasarkan petunjuk agama, saya kira tuhan akan memberkahi kita, salamah. tetapi mungkin tuhan akan mengutuk hatimu yang busuk itu, tingkah laku famili-famili, dan orang kampung yang busuk itu. selagi aku dalam keadaan senang, mereka dekat padaku. habis manis, sepah dibuang. itu hanya tinggal ingatan dalam hati dan diriku yang hina ini.","krungu omongan bojone kuwi, pak amat njawab, aja ngomong kaya ngono, salamah. apa aku iki ora mungkin oleh gawean ing nagara liyane, usaha kanggo urip kaya sing tak rasakake lan tak alami sadurunge aku tiba miskin kaya saiki yen niat atine apik lan dalan uripku lurus adhedhasar petunjuk agama, tak kira gusti allah bakal mberkahi urip kita, salamah. nanging bisa uga gusti allah bakal ngukum atimu sing ala kuwi, tumindake para famili, lan wong kampung sing ala kuwi. nalika aku isih ning kahanan sugih, wong padha raket karo aku. habis manis, sepah dibuwang. kuwi mung tinggal kenangan ing atiku lan awakku sing hina iki."
Roda Hidup di Dunia,Aceh,10,pergi tak mau lagi aku mendengar ocehanmu itu kata salamah.,lunga aku ora gelem krungu ocehanmu kuwi maneh kandha salamah.
