judul,provinsi,id_teks,teks,referensi
Roro Mendut,Jawa Tengah,1,"pada masa pemerintahan adipati pragulo ii di kadipaten pati, yang merupakan bagian dari wilayah taklukan kesultanan mataram, hiduplah seorang gadis bernama roro mendut. ia dikenal sebagai perempuan yang sangat cantik dan memiliki pendirian teguh. tinggal di sebuah desa nelayan bernama teluk cikal, roro mendut selalu menolak pinangan dari pria mana pun karena hatinya telah tertambat pada seorang pemuda tampan bernama pronocitro, putra nyai simobarong, seorang saudagar kaya raya.","nalika jaman pamarentahan adipati pragulo ii ing kadipaten pati, sing kalebu wilayah kekuasaan karajan mataram, urip sawijining prawan ayu jenenge roro mendut. dheweke dikenal minangka wanita sing ayu banget lan duwe pendirian teguh. roro mendut manggon ana ing desa nelayan sing jenenge teluk cikal, lan dheweke tansah nolak lamaran saka wong lanang merga atene wis kasangkut marang nom-noman ngganteng jenenge pronocitro, putrane nyai simobarong, sawijining saudagar sugih."
Roro Mendut,Jawa Tengah,2,"namun, kecantikan roro mendut menarik perhatian adipati pragulo ii, yang berkeinginan menjadikannya sebagai selir. meski telah berulang kali menolak pinangan sang adipati, roro mendut akhirnya diculik atas perintah pragulo ii dan dibawa ke istana untuk dipingit.","keayuan roro mendut narik kawigaten adipati pragulo ii, sing kepengin ndadekke roro mendut dadi selir. sanadyan wis bola-bali ditolak, roro mendut pungkasane diculik atas prentah sang adipati lan digawa menyang istana kanggo dipingit."
Roro Mendut,Jawa Tengah,3,"di sisi lain, hubungan antara adipati pragulo dan sultan agung memanas akibat adipati pragulo menolak membayar upeti kepada kesultanan mataram. hal ini membuat sultan agung menganggapnya sebagai pemberontak. peperangan pun terjadi antara mataram dan kadipaten pati.","sasuwene kuwi, hubungan antara adipati pragulo karo sultan agung saya memanas amarga sang adipati nolak mbayar upeti marang karajan mataram. sultan agung banjur nganggep pragulo ii minangka pemberontak, lan kedaden perang antarane mataram lan kadipaten pati."
Roro Mendut,Jawa Tengah,4,"dalam peperangan tersebut, sultan agung mengirimkan seorang abdi pemegang payung kerajaan, yang dibekali dengan tombak pusaka kelinting, untuk menghadapi pragulo ii. adipati pragulo dikenal memiliki baju zirah yang tahan terhadap senjata apa pun. namun, dengan tombak pusaka itu, sang abdi berhasil menikam pragulo ii di saat lengah, hingga ia tewas.","ing perang kuwi, sultan agung ngutus sawijining abdi pembawa payung kerajaan, sing digawani tombak pusaka kelinting, kanggo ngadhepi adipati pragulo ii. sanajan baju zirah pragulo ii kebal senjata, nanging tombak pusaka kuwi bisa nembus lan mateni pragulo ii ing wektu dheweke lengah."
Roro Mendut,Jawa Tengah,5,"setelah kemenangan diraih, pasukan mataram yang dipimpin oleh tumenggung wiraguna merampas seluruh kekayaan adipati pragulo, termasuk memboyong roro mendut ke mataram. tumenggung wiraguna, yang terpikat oleh kecantikan roro mendut, berniat menjadikannya sebagai selir.","sakwise menang, pasukan mataram sing dipimpin tumenggung wiraguna ngrampas kabeh bandha adipati pragulo, kalebu mboyong roro mendut menyang mataram. tumenggung wiraguna, sing kagoda dening ayune roro mendut, kepengin ndadekake dheweke dadi selir."
Roro Mendut,Jawa Tengah,6,"namun, roro mendut dengan tegas menolak tumenggung wiraguna dan berani mengungkapkan bahwa hatinya telah dimiliki oleh pronocitro. penolakan ini membuat tumenggung murka. ia memaksa roro mendut untuk membayar pajak besar yang sebelumnya tidak dibayarkan oleh adipati pragulo.","nanging roro mendut kanthi tegas nolak, lan wani ngomong yen atene wis kagungan pronocitro. penolakan kuwi ndadekake tumenggung wiraguna nesu, lan dheweke maksa roro mendut mbayar pajak gedhe sing sakdurunge durung dibayar adipati pragulo."
Roro Mendut,Jawa Tengah,7,"roro mendut yang cerdas dan tangguh berinisiatif menjual rokok untuk melunasi pajak tersebut. rokok yang dijualnya laku keras, bahkan banyak yang rela membeli rokok bekas hisapannya karena pesona roro mendut.","roro mendut, sing cerdas lan wani, nduwe akal kanggo dodolan rokok supaya bisa mbayar pajak kuwi. rokoke laris manis, nganti ana wong-wong sing gelem tuku rokok bekas hisapane merga pesonane."
Roro Mendut,Jawa Tengah,8,"saat berjualan rokok, roro mendut kembali bertemu dengan kekasihnya, pronocitro. mereka pun menyusun rencana untuk melarikan diri dari mataram. namun, pelarian mereka terungkap. roro mendut ditangkap dan dibawa kembali ke mataram, sementara pronocitro ditangkap dan dibunuh secara diam-diam oleh pasukan tumenggung wiraguna.","nalika dodolan rokok, roro mendut ketemu maneh karo pronocitro, lan ngrancang kanggo mlayu saka mataram. nanging pelariane kepek. roro mendut dicekel lan dibalekake menyang mataram, dene pronocitro dicekel lan dibunuh sacara didhelik dening pasukan tumenggung wiraguna."
Roro Mendut,Jawa Tengah,9,"ketika roro mendut mengetahui kematian pronocitro, ia diliputi kesedihan mendalam. dalam keputusasaannya, ia mengambil keris milik tumenggung wiraguna dan bunuh diri di dekat kuburan pronocitro, yang tak jauh dari kerajaan mataram di yogyakarta.","wektu roro mendut krungu yen pronocitro wis mati, dheweke dilanda rasa susah sing jero banget. ing rasa putus asa, dheweke nyekel kerise tumenggung wiraguna lan bunuh diri cedhak kuburane pronocitro, ora adoh saka karajan mataram ing yogyakarta."
Roro Mendut,Jawa Tengah,10,"tumenggung wiraguna yang menyesali perbuatannya kemudian memakamkan roro mendut dalam satu liang dengan pronocitro sebagai bentuk penebusan kesalahan. kisah cinta tragis mereka dikenang sebagai simbol keberanian, kesetiaan, dan perjuangan melawan ketidakadilan.","tumenggung wiraguna, sing nyesel amarga tumindake, banjur makamke roro mendut bareng siji liang karo pronocitro minangka tandha penebusan salah. kisah tresna tragis kuwi dikenang nganti saiki minangka lambang kewanian, kasetyan, lan perjuangan ngelawan sifat ora adil."
