judul,provinsi,id_teks,teks,referensi
Sabai nan Aluih,Sumatera Barat,1,"sabai nan aluih adalah putri sulung dari pasangan rajo babanding dan sadun saribai. ia memiliki adik laki-laki yang tampan bernama mangkutak alam. di samping memiliki paras yang cantik, sabai juga dikenal berbudi pekerti baik, santun dalam berbicara, dan hormat kepada kedua orang tua. berbeda dengan adik laki-lakinya yang pemalas, sabai dikenal rajin membantu kedua orang tuanya.","sabai nan aluih kuwi putri sulung saka pasangan rajo babanding lan sadun saribai. dheweke nduwe adik lanang sing gagah jenenge mangkutak alam. saliyane nduweni rai sing ayu, sabai uga dikenal duwe budi pekerti apik, santun ing omongan, lan ngajeni marang wong tuwa loro. beda karo adik lanange sing malas, sabai dikenal sregep mbantu wong tuwane."
Sabai nan Aluih,Sumatera Barat,2,"kecantikan sabai nan aluih telah tersiar hingga ke kampung lain. rajo babanding memiliki teman baik yang tinggal di kampung situjuh bernama rajo nan panjang. ia adalah seorang saudagar kaya raya yang disegani masyarakat kampung tersebut. meskipun kaya raya, rajo nan panjang memiliki perangai buruk, yaitu suka memeras warga dengan meminjamkan uang dan meminta pengembalian dengan bunga yang sangat tinggi. warga kampung situjuh tidak berani melawan rajo nan panjang karena ia memiliki tiga pengawal hebat bernama rajo nan kongkong, lompong bertuah, dan palimo banda dalam.","keayuane sabai nan aluih wis nyebar tekan kampung liyan. rajo babanding nduwe kanca apik sing manggon nang kampung situjuh jenenge rajo nan panjang. dheweke kuwi sawijining saudagar sugih banget sing disegani masyarakat kampung kuwi. senajan sugih banget, rajo nan panjang nduwe sipat ala, yaiku seneng memeras warga nganggo ngeminjami dhuwit lan njaluk mbalekake nganggo bunga sing dhuwur banget. warga kampung situjuh ora wani nglawan rajo nan panjang merga dheweke nduwe telu pengawal hebat jenenge rajo nan kongkong, lompong bertuah, lan palimo banda dalam."
Sabai nan Aluih,Sumatera Barat,3,"kecantikan sabai nan aluih terdengar oleh rajo nan panjang. ia berminat meminang putri sulung sahabatnya itu. rajo nan panjang mengirimkan utusannya untuk meminang sabai nan aluih, yakin bahwa rajo babanding pasti menerima lamarannya. para utusan itu berangkat ke padang tarok, dan setibanya di sana, mereka menyampaikan pinangan rajo nan panjang kepada rajo babanding. namun, rajo babanding menolak pinangan sahabatnya dengan alasan ia malu memiliki menantu yang seumur dengannya, meskipun ia orang kaya.","keayuane sabai nan aluih krungu dening rajo nan panjang. dheweke kepengin nglamar putri sulung kancane kuwi. rajo nan panjang ngirim utusane kanggo ngelamar sabai nan aluih, yakin nek rajo babanding mesthi nampa lamarane. para utusan kuwi mangkat menyang padang tarok, lan sak tekane ing kono, dheweke ngandhakake lamaran rajo nan panjang marang rajo babanding. nanging, rajo babanding nolak lamaran kancane kanthi alesane dheweke isin nduwe mantu sing sak umur karo dheweke, sanajan kuwi wong sugih."
Sabai nan Aluih,Sumatera Barat,4,"setelah mendapat jawaban penolakan dari rajo babanding, para utusan segera kembali ke kampung situjuh untuk menyampaikan berita tersebut kepada rajo nan panjang. tentu saja, rajo nan panjang merasa sangat terhina. ia pun memutuskan datang langsung menemui rajo babanding untuk meminang sabai. berangkatlah rajo nan panjang bersama ketiga pengawalnya.","sawise nampa jawaban penolakan saka rajo babanding, para utusan langsung bali menyang kampung situjuh kanggo nyampeake kabar kuwi marang rajo nan panjang. mesthi wae, rajo nan panjang rumangsa direndhakake banget. dheweke banjur mutusake teka langsung nemoni rajo babanding kanggo ngelamar sabai. mangkata rajo nan panjang bareng telu pengawale."
Sabai nan Aluih,Sumatera Barat,5,"setelah mendengar langsung keinginan sahabatnya untuk meminang sabai, rajo babanding menawarkan untuk berunding di luar rumah, di sebuah tempat bernama padang panahunan, pada hari minggu. padang panahunan adalah tempat sepi yang sejak dulu digunakan untuk berkelahi. rajo babanding merasa sahabatnya telah melanggar sopan santun karena meminang anak gadisnya secara langsung. menurut adat di negeri itu, pinangan tidak boleh disampaikan langsung kepada ayah si gadis, melainkan kepada mamak atau adik kandung ibu si gadis.","sawise krungu langsung karepe kancane kanggo nglamar sabai, rajo babanding nawarke supaya rembugan nang njaba omah, ing panggonan sing jenenge padang panahunan, dina minggu. padang panahunan kuwi panggonan sepi sing saka mbiyen digunaake kanggo gelut. rajo babanding ngrasa kancane wis nglanggar tatakrama merga nglamar anak wadone langsung. miturut adat nang negeri kuwi, lamaran ora kena disampeake langsung marang bapake si cah wadon, nanging marang mamake utawa adik kandung ibune si cah wadon."
Sabai nan Aluih,Sumatera Barat,6,"rajo nan panjang pun memahami bahwa pinangannya ditolak secara halus dan sadar dirinya ditantang untuk berkelahi. ia menerima tantangan itu dan pergi meninggalkan rumah rajo babanding dengan marah. sabai nan aluih merasa cemas mendengar percakapan ayahandanya dengan rajo nan panjang. ia sadar ayahnya telah menantang rajo nan panjang berkelahi dan sangat mengkhawatirkan keselamatan ayahnya. namun, rajo babanding menenangkan sabai bahwa ia akan baik-baik saja.","rajo nan panjang banjur ngerti nek lamarane ditolak kanthi alus lan sadar dheweke ditantang gelut. dheweke nampa tantangan kuwi lan lunga ninggal omahe rajo babanding kanthi nesu. sabai nan aluih ngrasa kuwatir krungu obrolan bapake karo rajo nan panjang. dheweke ngerti bapake wis nantang rajo nan panjang gelut lan banget kuwatir karo keselamatan bapake. nanging, rajo babanding nenangake sabai nek dheweke bakal ora papa."
Sabai nan Aluih,Sumatera Barat,7,"tibalah hari yang telah ditentukan. rajo babanding berangkat ke padang panahunan ditemani seorang pembantunya bernama palimo parang tagok. di sana, rajo nan panjang bersama pengawalnya, palimo banda dalam, sudah menunggu. rajo nan panjang sengaja datang lebih awal untuk mengatur siasat licik. ia memerintahkan dua pengawal lainnya, rajo nan kongkong dan lompong bertuah, bersembunyi di balik semak-semak. salah seorang di antaranya membawa senapan untuk digunakan jika diperlukan.","tibane dina sing wis ditemtokake. rajo babanding mangkat menyang padang panahunan ditemani pembantue sing jenenge palimo parang tagok. ing kono, rajo nan panjang bareng pengawale, palimo banda dalam, wis ngenteni. rajo nan panjang sengaja teka luwih dhisik kanggo ngatur siasat licik. dheweke menehi printah marang loro pengawale liyane, rajo nan kongkong lan lompong bertuah, supaya ndhelik nang balik semak-semak. salah sijine ana sing nggawa bedhil kanggo digunakake nek perlu."
Sabai nan Aluih,Sumatera Barat,8,pertarungan hebat pun terjadi. rajo babanding dan rajo nan panjang bertarung habis-habisan dengan dibantu oleh para pengawal masing-masing. perkelahian berlangsung lama hingga para pengawal tumbang lebih dulu. rajo babanding dan rajo nan panjang terus berkelahi sampai akhirnya rajo babanding terkena peluru dari salah satu pengawal rajo nan panjang yang muncul tiba-tiba dari semak-semak. rajo nan panjang berlaku curang. rajo babanding pun tergeletak tak bergerak.,pertarungan hebat banjur kedadian. rajo babanding lan rajo nan panjang gelut pol-polan dibantu karo para pengawal masing-masing. perkelahian berlangsung suwe nganti para pengawal tumbang luwih dhisik. rajo babanding lan rajo nan panjang terus gelut nganti pungkasane rajo babanding kena peluru saka salah siji pengawal rajo nan panjang sing ujug-ujug metu saka semak-semak. rajo nan panjang tumindak curang. rajo babanding banjur ambruk ora obah.
Sabai nan Aluih,Sumatera Barat,9,"seorang gembala yang kebetulan melihat kejadian itu segera pergi ke rumah rajo babanding untuk memberitahukan peristiwa tersebut kepada keluarganya. mendengar kabar dari si gembala, sabai langsung lemas. ia mengajak adiknya, mangkutak alam, untuk melihat kondisi ayahnya, tetapi adiknya menolak dengan alasan tidak ingin mencari mati. sabai pun berlari ke padang panahunan dengan membawa senapan.","sawijining gembala sing kebeneran nyekseni kejadian kuwi langsung lunga menyang omahe rajo babanding kanggo nyampeake peristiwa kuwi marang keluargane. krungu kabar saka si gembala, sabai langsung lemes. dheweke ngajak adikne, mangkutak alam, kanggo ndelok kahanan bapake, nanging adikne nolak merga ora pengin golek pati. sabai banjur mlayu menyang padang panahunan karo nggawa bedhil."
Sabai nan Aluih,Sumatera Barat,10,"di tengah jalan, sabai bertemu dengan rajo nan panjang dan pengawalnya. sabai bertanya tentang kecurangan rajo nan panjang, tetapi ia hanya tertawa mengejek kematian rajo babanding. mendidih darah sabai melihat pembunuh ayahnya tertawa. sabai tidak bisa menahan amarahnya. saat itu juga, sabai langsung menarik pelatuk senapan yang ia bawa. terdengar suara dentuman keras. peluru mengenai dada rajo nan panjang, dan ia jatuh dari kudanya. rajo nan panjang tewas seketika.","ing tengah dalan, sabai ketemu karo rajo nan panjang lan pengawale. sabai takon bab kecurangan rajo nan panjang, nanging dheweke mung ngguyu nyindir patie rajo babanding. mendidih getihe sabai ndelok pembunuh bapake ngguyu. sabai ora bisa nahan nesu. wektu kuwi uga, sabai langsung narik pelatuk bedhil sing digawa. krungu swara dentuman banter. peluru ngenani dhadhane rajo nan panjang, lan dheweke tiba saka jarane. rajo nan panjang mati sak jerone wektu."
