judul,provinsi,id_teks,teks,referensi
Sampuraga Si Anak Durhaka,Sumatera Utara,1,"pada zaman dahulu, hiduplah seorang janda tua bersama anak laki-lakinya di sebuah kampung yang sepi. anak itu bernama sampuraga.","ing jaman mbiyen, urip ana sawijining randha tuwa bareng anak lanange ing sawijining kampung sing sepi. anak kuwi jenenge sampuraga."
Sampuraga Si Anak Durhaka,Sumatera Utara,2,"hidup mereka bisa dibilang miskin, tetapi mereka tetap saling menyayangi dan merasa bahagia. untuk memenuhi kebutuhan sehari-hari, mereka bekerja mencari kayu bakar untuk dijual dan menjadi buruh di ladang orang lain. keduanya dikenal sebagai orang yang jujur dan rajin, sehingga banyak penduduk kampung yang menyukai mereka.","uripe bisa diarani mlarat, nanging dheweke loro tetep padha tresna-tinresnan lan rumangsa bahagia. kanggo nyukupi kabutuhan saben dina, dheweke kerja nggoleki kayu bakar kanggo didol lan dadi buruh ing kebone wong liya. karo loro kuwi dikenal dadi wong jujur lan sregep, mula akeh warga kampung sing seneng karo dheweke."
Sampuraga Si Anak Durhaka,Sumatera Utara,3,"suatu hari, setelah bekerja sejak pagi, sampuraga dan majikannya beristirahat di bawah pohon rindang sambil menikmati makan siang.","sasuwene dina, sawise kerja saka esuk, sampuraga lan majikane ngaso ing ngisore wit kang rimbun karo nikmati mangan awan."
Sampuraga Si Anak Durhaka,Sumatera Utara,4,"sampuraga, usiamu masih muda. kalau boleh aku sarankan, sebaiknya kamu pergi ke negeri yang penduduknya hidup makmur dan tanahnya subur, kata sang majikan.","sampuraga, umurmu isih enom. yen oleh aku paring saran, becike kowe lunga menyang nagara sing penduduke urip makmur lan lemahe subur, kandha sang majikan."
Sampuraga Si Anak Durhaka,Sumatera Utara,5,negeri mana yang tuan maksud tanya sampuraga penasaran.,nagara endi sing panjenengan maksud takone sampuraga penasaran.
Sampuraga Si Anak Durhaka,Sumatera Utara,6,"namanya negeri mandailing. rata-rata penduduk di sana memiliki ladang dan usaha sendiri. karena tanahnya mengandung emas, mereka dapat dengan mudah memperoleh uang dari mendulang emas di sungai, jelas sang majikan.","jenenge nagara mandailing. umume penduduk kana nduweni kebon lan usaha dhewe. amarga lemahe ngandhut emas, dheweke bisa gampang ngasilake dhuwit saka ndulang emas ing kali, cethane sang majikan."
Sampuraga Si Anak Durhaka,Sumatera Utara,7,"sebenarnya, saya sudah lama ingin merantau untuk mencari pekerjaan yang lebih baik dan bisa membahagiakan ibu saya, ucap sampuraga dengan penuh harap.","sakjane, aku wis suwe kepengin merantau kanggo golek kerjaan sing luwih apik lan bisa nggugah kabungahane ibuku, ujare sampuraga karo kebak pangarep-arep."
Sampuraga Si Anak Durhaka,Sumatera Utara,8,"sungguh mulia cita-citamu, sampuraga. kamu memang anak yang berbakti, ujar majikannya sambil tersenyum.","tenan mulya cita-citamu, sampuraga. kowe pancen anak sing ngabekti, kandha majikane karo mesem."
Sampuraga Si Anak Durhaka,Sumatera Utara,9,"mendengar saran itu, sampuraga segera pulang dan mengutarakan keinginannya kepada sang ibu.","krungu saran kuwi, sampuraga enggal bali lan ngaturake kersane marang sang ibu."
Sampuraga Si Anak Durhaka,Sumatera Utara,10,"bu, aku ingin merantau untuk mendapatkan pekerjaan yang lebih baik. aku ingin mengubah nasib kita agar tidak terus-menerus menderita, katanya.","bu, aku kepengin merantau kanggo oleh kerjaan sing luwih apik. aku kepengin ngowahi nasib awake dhewe supaya ora terus-terusan nandhang sangsara, kandhane."
