judul,provinsi,id_teks,teks,referensi
Sang Piatu Menjadi Raja,Riau,1,"pada zaman dahulu, di sebuah desa kecil di tepi sungai, hiduplah seorang nenek tua bersama cucunya, sang piatu. mereka tinggal di sebuah gubuk bambu yang sederhana dan menjalani kehidupan yang sangat bersahaja. setiap hari, mereka mencari makanan dan kayu bakar di dalam hutan untuk mencukupi kebutuhan hidup.","mbiyen kala, ing sawijining desa cilik ing pinggir kali, urip mbah putri tuwa bareng karo putune, sang piatu. wong loro kuwi manggon ana ing gubug bambu prasaja lan uripe prasaja banget. saben dina, wong loro kuwi golek pangan lan kayu bakar menyang alas kanggo nyukupi kabutuhan urip."
Sang Piatu Menjadi Raja,Riau,2,"sang piatu memiliki keinginan besar untuk belajar mengaji di kampung seberang, tempat seorang ulama terkemuka, sang raja, mengajar. namun, neneknya merasa khawatir karena sang piatu hanya memiliki pakaian yang lusuh.","sang piatu nduweni kekarepan gedhe kanggo sinau ngaji ing kampung sabrangan, panggonane sawijining ulama kawentar, sang raja, mulang. nanging, mbahe kuwatir amarga sang piatu mung nduweni klambi sing wus tuwa."
Sang Piatu Menjadi Raja,Riau,3,"bagaimana kalau mereka mengejekmu, nak pakaiamu terlalu usang, ujar neneknya dengan cemas.","pie yen mengko kowe dikeceke, le klambimu kuwi wus tuwa banget, kandha mbahe kanthi kuwatir."
Sang Piatu Menjadi Raja,Riau,4,"namun, tekad sang piatu begitu kuat. ia meyakinkan neneknya bahwa niatnya hanya untuk menimba ilmu, bukan untuk dipandang. akhirnya, neneknya mengizinkan, dengan syarat sang piatu tetap menjaga sopan santun.","nanging, tekade sang piatu kuwat banget. dheweke ngeyakinake mbahe yen niate mung arep golek ilmu, dudu kanggo dipandang. akhire, mbahe ngijini, kanthi syarat sang piatu kudu tetep njaga tata krama."
Sang Piatu Menjadi Raja,Riau,5,"ketika sampai di surau, sang piatu disambut dengan pandangan sinis. sang raja pun tidak mengizinkannya masuk karena pakaian lusuhnya. kamu boleh mengikuti pelajaran, tetapi hanya dari luar jendela. jangan sampai mengganggu murid-murid lain, kata sang raja.","nalika tekan ing surau, sang piatu disambut karo pandangan sinis. sang raja ora ngijini dheweke mlebu merga klambine sing wus tuwa. kowe entuk melu pelajaran, nanging mung saka njaba jendhela. aja nganti ngganggu murid-murid liyane, kandha sang raja."
Sang Piatu Menjadi Raja,Riau,6,"meskipun harus duduk di luar surau, sang piatu tetap bersemangat. setiap hari, ia mengintip pelajaran dari jendela dan belajar dengan sungguh-sungguh. ketika pulang, ia selalu berkata kepada neneknya, aku diterima dengan baik, nek. aku bahagia bisa belajar.","sanadyan kudu lungguh ing njaba surau, sang piatu tetep semangat. saben dina, dheweke ngintip pelajaran saka jendhela lan sinau tenanan. nalika bali, dheweke tansah kandha marang mbahe, aku ditampa apik, mbah. aku bungah isa sinau."
Sang Piatu Menjadi Raja,Riau,7,"suatu hari, sang raja meminta para muridnya membawa makanan untuk acara syukuran. sang piatu bersama neneknya pergi ke hutan mencari buah-buahan. di sana, mereka menemukan sebuah nangka kecil yang matang. dengan penuh semangat, mereka membawanya pulang.","ing sawijining dina, sang raja nyuwun para muride nggawa panganan kanggo acara syukuran. sang piatu bareng mbahe menyang alas golek woh-wohan. ing kono, wong loro kuwi nemokake sawijining nangka cilik sing wis mateng. kanthi semangat, wong loro kuwi nggawa mulih woh kuwi."
Sang Piatu Menjadi Raja,Riau,8,"ketika acara syukuran berlangsung, sang piatu memberikan nangka tersebut kepada sang raja. namun, saat dihitung, ternyata hanya ada sembilan biji di dalam nangka, meskipun sang piatu yakin sebelumnya ada sepuluh biji.","nalika acara syukuran lumangsung, sang piatu masrahake nangka mau marang sang raja. nanging, nalika diwilang, jebul mung ana sanga biji ing njero nangka kuwi, sanajan sang piatu yakin sadurunge ana sepuluh biji."
Sang Piatu Menjadi Raja,Riau,9,"tak mengapa, kata sang raja sambil tersenyum. kesungguhan hatimu jauh lebih berharga daripada jumlah biji nangka ini. sebagai penghargaan, sang raja memberikan pelajaran khusus kepada sang piatu.","ra popo, kandha sang raja karo mesem. kesungguhan atimu luwih larang regane tinimbang jumlah biji nangka iki. minangka pangaji, sang raja maringi pelajaran khusus marang sang piatu."
Sang Piatu Menjadi Raja,Riau,10,"sepulang dari surau, sang piatu terus mengulang-ulang pelajaran dari sang raja. tanpa sengaja, salah satu kalimat yang ia ucapkan membuat sebuah batu di jalan berubah menjadi emas. sang piatu terkejut sekaligus gembira. ia membawa emas tersebut ke pasar dan berhasil menjualnya dengan harga yang tinggi. kini, ia dan neneknya tidak lagi hidup miskin.","sawise saka surau, sang piatu terus ngulang-ngulang pelajaran saka sang raja. tanpa sengaja, salah siji ukara sing diucapkake nggawe watu ing dalan malih dadi emas. sang piatu kaget nanging uga bungah. dheweke nggawa emas kuwi menyang pasar lan bisa didol kanthi rega dhuwur. saiki, dheweke lan mbahe ora urip mlarat maneh."
Sang Piatu Menjadi Raja,Riau,11,"beberapa hari kemudian, sang piatu kembali ke desa untuk menjemput neneknya. dengan penuh kasih sayang, ia mengajak neneknya tinggal bersama di kota, menikmati kehidupan yang lebih baik. meski telah menjadi kaya, sang piatu tetap rendah hati dan tak pernah melupakan masa sulit yang telah dilaluinya bersama nenek tercinta.","sawijining dina sawise kuwi, sang piatu bali menyang desa kanggo jemput mbahe. kanthi katresnan sing jero, dheweke ngajak mbahe manggon bareng ing kutha, nikmati urip sing luwih apik. sanadyan wis dadi sugih, sang piatu tetep andhap asor lan ora tau lali marang wektu susah sing tau dilakoni bareng mbahe sing dikasihi."
