judul,provinsi,id_teks,teks,referensi
Sangkuriang,Jawa Barat,1,"pada zaman dahulu, raja sungging perbangkara pergi berburu. di tengah hutan, sang raja membuang air seni. kemudian, seekor babi hutan betina bernama wayungyang yang sedang bertapa untuk menjadi manusia meminum air seni tersebut. akhirnya, wayungyang hamil dan melahirkan seorang bayi cantik yang diberi nama dayang sumbi. setelah dewasa, banyak raja yang ingin meminangnya, sehingga terjadi peperangan antar raja untuk memperebutkan dayang sumbi. suasana semakin memanas.","ing jaman mbiyen, raja sungging perbangkara lunga moro. ing tengah alas, sang raja ngising. banjur, ana babi alas wadon jenenge wayungyang sing lagi tapa supaya dadi manungsa ngombe omben-omben iku. akhire, wayungyang meteng lan ngelairake bayi ayu sing dijenengi dayang sumbi. sawise diwasa, akeh raja sing kepengin nglamar, mula ana perang antarane para raja kanggo rebutan dayang sumbi. suasana saya panas."
Sangkuriang,Jawa Barat,2,"atas permintaan sendiri, dayang sumbi pergi mengasingkan diri di sebuah bukit, ditemani seekor anjing jantan bernama si tumang. di dalam bukit, dayang sumbi selalu hidup bahagia. kegiatan sehari-harinya adalah menenun. ketika sedang asyik menenun, teropong torak miliknya jatuh.","amarga karepe dhewe, dayang sumbi lunga ngasingke awake dhewe ing sawijining bukit, ditemani asu lanang jenenge si tumang. ing bukit kuwi, dayang sumbi tansah urip seneng. kegiatan saben dinane yaiku nenenun. nalika lagi asyik nenenun, torak milike tiba."
Sangkuriang,Jawa Barat,3,"aduh, torak milikku jatuh. aku malas mengambilnya, kata dayang sumbi. tanpa dipikir panjang, ia mengucapkan, barang siapa yang mengambilkan torak itu, apabila laki-laki, akan dijadikan suamiku.","aduh, torakku tiba. aku males njupuke, ujare dayang sumbi. tanpa dipikir dawa, dheweke ngucap, sapa wae sing njupukake torak kuwi, yen lanang, bakal tak dadi bojoku."
Sangkuriang,Jawa Barat,4,"si tumang mengambilkan torak dan memberikannya kepada dayang sumbi. ini torak milikmu, kata si tumang. dayang sumbi sangat terkejut karena laki-laki yang harus ia nikahi ternyata adalah seekor anjing titisan dewa. akibat ucapannya, dayang sumbi harus menikah dengan si tumang.","si tumang njupukake torak lan maringake marang dayang sumbi. iki torakmu, ujare si tumang. dayang sumbi kaget banget amarga wong lanang sing kudu dinikahi ternyata asu titisan dewa. amarga ucapane, dayang sumbi kudu nikah karo si tumang."
Sangkuriang,Jawa Barat,5,"dayang sumbi akhirnya melahirkan bayi laki-laki yang diberi nama sangkuriang. anak tersebut sangat gemar berburu, ditemani oleh si tumang. ketika sangkuriang berburu di dalam hutan, ia menyuruh si tumang untuk mengejar babi betina wayungyang. tumang, ayo kejar babi betina itu sampai dapat perintah sangkuriang. namun, si tumang tidak mau menuruti apa yang diperintahkan sangkuriang. dengan rasa kesal, sangkuriang membunuh si tumang dengan panahnya di hutan.","dayang sumbi akhire nglairake bayi lanang sing dijenengi sangkuriang. anak kuwi seneng banget moro, ditemani si tumang. nalika sangkuriang moro ing alas, dheweke nyuruh si tumang kanggo ngoyak babi betina wayungyang. tumang, ayo oyak babi betina kuwi nganti ketangkep prentahe sangkuriang. nanging, si tumang ora gelem nuruti prentahe sangkuriang. amarga nesu, sangkuriang mateni si tumang nganggo panahe ing alas."
Sangkuriang,Jawa Barat,6,"sangkuriang merasa bersalah telah membunuh si tumang. untuk menutupi semua itu, sangkuriang memberikan oleh-oleh kepada ibunya berupa hati si tumang, lalu dimasak dan dimakannya. enak sekali kau berburu, hati apa ini tanya dayang sumbi sambil menikmati masakannya.","sangkuriang ngrasakake salah wis mateni si tumang. kanggo nutupi kabeh kuwi, sangkuriang maringi olehole ibune wujud ati si tumang, terus dimasak lan dipangan. enak tenan kowe moro, ati apa iki takon dayang sumbi karo nikmati masakane."
Sangkuriang,Jawa Barat,7,"sangkuriang tidak bisa menjawab dan terdiam. loh, ibu tanya kok malah diam, ini hati binatang apa tanya dayang sumbi sekali lagi. lalu mana si tumang, ibu tidak melihatnya hari ini lanjut dayang sumbi.","sangkuriang ora bisa njawab lan meneng wae. lho, ibu takon kok malah meneng, iki ati kewan apa takon dayang sumbi maneh. terus ngendi si tumang, ibu ora ndelok dheweke dina iki lanjut dayang sumbi."
Sangkuriang,Jawa Barat,8,"anu. bu, yang ibu makan adalah hati milik si tumang. aku tidak sengaja membunuhnya. maafkan aku, ibu, kata sangkuriang, bersimpuh di kaki ibunya.","anu. bu, sing ibu pangan kuwi ati milik si tumang. aku ora sengaja mateni dheweke. ngapura aku, bu, ujare sangkuriang, ndodok ing sikile ibune."
Sangkuriang,Jawa Barat,9,"dayang sumbi marah besar, kemudian ia memukul kepala sangkuriang dengan sendok yang terbuat dari tempurung kelapa hingga terluka. puncak kemarahan dayang sumbi adalah mengusir sangkuriang dari pondoknya. sangkuriang pun pergi meninggalkan ibunya untuk mengembara. ia sangat kecewa karena ibunya lebih memilih anjingnya, si tumang, daripada dirinya.","dayang sumbi nesu gedhe, banjur dheweke mukul sirahe sangkuriang nganggo sendok saka batok klapa nganti tatu. puncak nesune dayang sumbi yaiku ngusir sangkuriang saka pondhoke. sangkuriang banjur lunga ninggal ibune kanggo ngembara. dheweke kecewa banget amarga ibune luwih milih asune, si tumang, tinimbang awake dhewe."
Sangkuriang,Jawa Barat,10,"setelah kejadian itu, dayang sumbi sangat menyesali dirinya. ia selalu berpikir mengapa sangkuriang tega membunuh ayahnya sendiri. seandainya sangkuriang tahu bahwa si tumang adalah ayahnya sendiri dan merupakan titisan dewa. dayang sumbi selalu berdoa dan tekun bertapa. pada suatu ketika, para dewa memberinya sebuah hadiah. ia akan selamanya muda dan memiliki kecantikan yang abadi.","sawise kuwi, dayang sumbi menyesal banget. dheweke tansah mikir ngapa sangkuriang tega mateni bapake dhewe. andaikan sangkuriang ngerti yen si tumang iku bapake dhewe lan titisan dewa. dayang sumbi tansah ndonga lan tekun tapa. ing sawijining wektu, para dewa maringi hadiah. dheweke bakal tetep enom lan nduweni ayu kang langgeng."
Sangkuriang,Jawa Barat,11,"setelah bertahun-tahun mengembara, sangkuriang berniat untuk kembali ke desanya. ia tumbuh menjadi seorang laki-laki yang tampan dan gagah perkasa. siapa pun orang yang melihatnya akan terpesona dengan ketampanannya.","sawise pirang-pirang taun ngembara, sangkuriang pengin bali menyang desane. dheweke dadi wong lanang sing bagus lan gagah perkasa. sapa wae sing ndelok bakal kepincut karo ketampanane."
Sangkuriang,Jawa Barat,12,"sesampainya di bukit tempat ia dan ibunya tinggal, suasana sudah berubah. tidak ditemukan lagi pondok, namun sudah menjadi sebuah kerajaan yang indah. apa yang terjadi dengan bukit ini mana pondok tempat tinggal ibuku gumam sangkuriang dalam hatinya.","tekan ing bukit panggonane lan ibune manggon, suasana wis owah. ora ditemokake maneh pondhok, nanging wis dadi karajan sing endah. apa sing kelakon karo bukit iki ngendi pondhok panggonan ibuku gumun sangkuriang ing atine."
Sangkuriang,Jawa Barat,13,"di kerajaan itu, hanya dijumpai seorang gadis jelita yang tak lain adalah dayang sumbi. terpesona oleh kecantikannya, sangkuriang melamar dayang sumbi. begitu pula sebaliknya, dayang sumbi sangat tertarik dengan ketampanan sangkuriang. mereka saling memuji kelebihan masing-masing.","ing karajan kuwi, mung dijumpai prawan ayu sing ora liya yaiku dayang sumbi. kepincut karo ayune, sangkuriang nglamar dayang sumbi. begitupun dayang sumbi, kepincut banget karo ketampanane sangkuriang. wong loro kuwi padha memuji kaapikan siji lan sijine."
Sangkuriang,Jawa Barat,14,"kau adalah wanita yang sanggup memikat hatiku, kata sangkuriang penuh dengan kasih sayang. wajah dayang sumbi memerah dan tersipu malu. mereka selalu bertemu di taman kerajaan yang penuh dengan pepohonan teduh serta bunga yang berwarna-warni.","kowe iku wanita sing bisa ngrebut atiku, ujare sangkuriang kanthi katresnan. rupa dayang sumbi abang lan isin. wong loro kuwi tansah ketemu ing taman karajan sing kebak wit-witan teduh lan kembang warna-warni."
Sangkuriang,Jawa Barat,15,"pada suatu hari, sangkuriang berpamitan untuk berburu di hutan. ia minta tolong kepada dayang sumbi untuk mengenakan ikat kepala. tolong pakaikan ikat kepala ini, kata sangkuriang sambil memberikan kepalanya. baiklah, kata dayang sumbi sambil memakaikan ikat kepala itu.","ing sawijining dina, sangkuriang pamitan kanggo moro ing alas. dheweke njaluk tulung marang dayang sumbi kanggo masangake iket endhas. tulung pasangake iket endhas iki, ujare sangkuriang karo nyodorke endhase. ya wis, ujare dayang sumbi karo masangake iket endhas kuwi."
Sangkuriang,Jawa Barat,16,"alangkah terkejutnya dayang sumbi ketika melihat bekas luka di kepala calon suaminya. luka di kepala itu persis seperti luka anaknya yang telah pergi mengembara. setelah lama diperhatikannya, ternyata wajah pemuda itu mirip dengan wajah anaknya. meskipun demikian, sangkuriang tetap memaksa untuk menikahinya.","alangkah kagete dayang sumbi nalika weruh bekas tatu ing endhas calon bojone. tatu ing endhas kuwi persis kaya tatu anake sing wis lunga ngembara. sawise suwe diperhatike, jebul rupane pemuda kuwi mirip banget karo rupane anake. senajan mangkono, sangkuriang tetep maksa arep nikah karo dheweke."
Sangkuriang,Jawa Barat,17,"rpamitan ngenakan onong pala riang kan ikat klah, kata dayang sumbi, merasa ketakutan. untuk itu, ia mencari cara untuk menggagalkan proses peminangan itu.","rpamitan ngenakan onong pala riang kan ikat klah, ujare dayang sumbi, ngrasakake wedi. mula saka kuwi, dheweke golek cara kanggo nggagalake rencana lamaran kuwi."
