judul,provinsi,id_teks,teks,referensi
Sangkuriang (Version 1),Jawa Tengah,1,"dahulu kala, di khayangan, ada sepasang dewa dan dewi yang dihukum menjadi hewan sebagai bagian dari masa hukuman mereka di bumi. sang dewa diubah menjadi seekor anjing jantan bernama si tumang, sementara sang dewi menjadi seekor babi hutan bernama celeng wayung hyang.","mbiyen kala, ing kahyangan, ana sepasang dewa lan dewi sing dihukum dadi kewan minangka bagian saka masa hukumane nang bumi. sang dewa diowahi dadi segawon lanang jenenge si tumang, dene sang dewi dadi celeng alas jenenge celeng wayung hyang."
Sangkuriang (Version 1),Jawa Tengah,2,"pada suatu hari, seorang raja bernama sungging perbangkara sedang berburu di hutan. ketika ia ingin buang air, ia melakukannya di sebuah batok kelapa. celeng wayung hyang, yang kebetulan sedang haus, meminum air dari batok kelapa tersebut. ajaibnya, ia pun hamil dan melahirkan seorang putri cantik. sang raja menemukan bayi itu dan membawanya ke istana. bayi tersebut diberi nama dayang sumbi atau rarasati.","ing sawijining dina, ana raja jenenge sungging perbangkara sing lagi mburu nang alas. nalika dheweke pengin ngising, dheweke nindakke kuwi nang batok klapa. celeng wayung hyang, sing kebeneran lagi ngelak, ngombe banyu saka batok klapa kuwi. ajaibe, dheweke banjur ngandheg lan ngelairake putri ayu. sang raja nemu bayi kuwi lan digawa menyang kraton. bayi kuwi dijenengi dayang sumbi utawa rarasati."
Sangkuriang (Version 1),Jawa Tengah,3,"dayang sumbi tumbuh menjadi gadis yang sangat cantik hingga banyak raja yang ingin mempersuntingnya. namun, ia menolak semua lamaran dan memilih mengasingkan diri ke hutan. di sana, ia ditemani oleh si tumang, anjing jantan yang setia.","dayang sumbi gedhe dadi cah wadon sing ayu banget nganti akeh raja sing pengin ngelamar dheweke. nanging, dheweke nolak kabeh lamaran lan milih ngasingkake awake nang alas. nang kono, dheweke dikancani karo si tumang, asu lanang sing setya."
Sangkuriang (Version 1),Jawa Tengah,4,"suatu hari, saat sedang menenun, alat tenunnya terjatuh. karena malas mengambilnya, ia bersumpah, siapa pun yang mengambilkan alat itu, jika laki-laki, akan dinikahinya; jika perempuan, akan dijadikannya saudara. tak disangka, si tumang yang mengambilnya. dayang sumbi pun menepati janjinya dan menikah dengan si tumang. dari pernikahan ini, lahirlah seorang anak laki-laki bernama sangkuriang.","ing sawijining dina, nalika lagi nenenun, alat tenunne tiba. merga males njupuk, dheweke sumpah, sapa wae sing njupukake alat kuwi, yen lanang, bakal dinikahi; yen wadon, bakal didadiake sedulur. ora dikira, si tumang sing njupukake. dayang sumbi banjur netepi janjine lan nikah karo si tumang. saka pernikahan iki, lair anak lanang jenenge sangkuriang."
Sangkuriang (Version 1),Jawa Tengah,5,"ketika sangkuriang beranjak remaja, dayang sumbi memintanya berburu rusa. sangkuriang pergi bersama si tumang, namun mereka tidak menemukan rusa. di tengah perjalanan, sangkuriang melihat seekor babi hutanâyang sebenarnya adalah celeng wayung hyangâdan menyuruh si tumang mengejarnya. namun, si tumang menolak. marah karena si tumang tidak menuruti perintahnya, sangkuriang memanah dan secara tidak sengaja membunuh si tumang.","nalika sangkuriang wis remaja, dayang sumbi njaluk dheweke mburu menjangan. sangkuriang lunga karo si tumang, nanging ora nemu menjangan. nang tengah dalan, sangkuriang weruh celeng alasâsing sakjane kuwi celeng wayung hyangâlan ngongkon si tumang nyekel. nanging, si tumang ora gelem. merga nesu merga si tumang ora manut, sangkuriang memanah lan tanpa disengaja mateni si tumang."
Sangkuriang (Version 1),Jawa Tengah,6,"sangkuriang, yang panik, mengambil hati si tumang dan memberikannya kepada ibunya, mengaku bahwa itu adalah hati rusa. setelah mengetahui bahwa yang ia makan adalah hati si tumang, dayang sumbi marah besar dan memukul kepala sangkuriang dengan sendok nasi hingga terluka. sangkuriang yang ketakutan akhirnya meninggalkan rumah.","sangkuriang, sing panik, njupuk ati si tumang lan diwenehkake marang ibune, ngakune yen kuwi ati menjangan. sawise ngerti yen sing dipangan kuwi ati si tumang, dayang sumbi nesu banget lan mukul sirahe sangkuriang nganggo centhong nganti tatu. sangkuriang sing wedi banjur lunga saka omah."
Sangkuriang (Version 1),Jawa Tengah,7,"bertahun-tahun kemudian, sangkuriang tumbuh menjadi pria dewasa yang sakti. dalam pengembaraannya, ia tanpa sadar kembali ke tempat tinggal dayang sumbi. ia jatuh cinta pada kecantikan dayang sumbi tanpa menyadari bahwa wanita itu adalah ibunya sendiri. sangkuriang pun melamar dayang sumbi.","sawise pirang-pirang taun, sangkuriang dadi priya dewasa sing sakti. nang pengembaraane, dheweke tanpa sadar bali nang panggonane dayang sumbi. dheweke jatuh cinta karo kaendahane dayang sumbi tanpa ngerti yen wong wadon kuwi ibune dhewe. sangkuriang banjur nglamar dayang sumbi."
Sangkuriang (Version 1),Jawa Tengah,8,"dayang sumbi, yang mengetahui bahwa sangkuriang adalah putranya, tentu menolak. namun, ia tidak langsung mengatakannya. sebagai syarat pernikahan, ia meminta sangkuriang membuat sebuah perahu dan telaga dengan membendung sungai citarum, yang harus diselesaikan dalam semalam.","dayang sumbi, sing ngerti yen sangkuriang kuwi anake, mesthi wae nolak. nanging, dheweke ora langsung ngomong. minangka syarat pernikahan, dheweke njaluk sangkuriang nggawe prau lan tlaga kanthi mbendung kali citarum, sing kudu rampung sak wengi."
Sangkuriang (Version 1),Jawa Tengah,9,"dengan kesaktiannya, sangkuriang hampir menyelesaikan permintaan itu. ketakutan sangkuriang akan berhasil, dayang sumbi berdoa kepada sang hyang tunggal untuk menggagalkan usahanya. dayang sumbi juga memukul-mukul alu ke lesung agar terdengar seperti suara orang menumbuk padi, yang menandakan fajar telah tiba. makhluk halus yang membantu sangkuriang pun lari ketakutan, mengira hari sudah pagi.","kanthi kesaktiane, sangkuriang meh rampung nindakake panjalukan kuwi. merga wedi sangkuriang bakal berhasil, dayang sumbi ndonga marang sang hyang tunggal kanggo nggagalkake usahane. dayang sumbi uga mukul-mukul alu nang lesung supaya kaya swara wong numbu pari, sing nuduhake yen fajar wis teka. lelembut sing mbantu sangkuriang banjur mlayu wedi, dikira wis esuk."
Sangkuriang (Version 1),Jawa Tengah,10,"karena gagal, sangkuriang marah besar. ia menendang perahu yang sedang dibuatnya hingga terbalik. perahu tersebut jatuh dalam posisi terbalik dan berubah menjadi gunung tangkuban perahu.","merga gagal, sangkuriang nesu banget. dheweke nendhang prau sing lagi digawene nganti mbalik. prau kuwi tiba nang posisi mbalik lan owah dadi gunung tangkuban perahu."
Sangkuriang (Version 1),Jawa Tengah,11,"sangkuriang masih mengejar dayang sumbi hingga ke gunung putri. namun, sang hyang tunggal menolong dayang sumbi dengan mengubahnya menjadi setangkai bunga jaksi. sangkuriang pun gagal menemukannya dan akhirnya menghilang ke alam gaib.","sangkuriang isih ngoyak dayang sumbi nganti tekan gunung putri. nanging, sang hyang tunggal nulungi dayang sumbi kanthi ngowahi dheweke dadi setangkai kembang jaksi. sangkuriang banjur ora nemokke ibune lan akhire ngilang menyang alam gaib."
Sangkuriang (Version 1),Jawa Tengah,12,"kisah ini mengajarkan kita tentang pentingnya menghormati orang tua dan menjaga amanah. keangkuhan, kebohongan, dan amarah hanya akan membawa kehancuran. dari legenda ini pula, masyarakat jawa barat mengenal asal-usul gunung tangkuban perahu yang menjadi ikon cerita rakyat mereka.","crita iki mulangake awake dhewe babagan pentinge ngajeni wong tuwa lan njaga amanah. kesombongan, goroh, lan nesu mung bakal nggawa karusakan. saka legenda iki uga, masyarakat jawa barat ngerti asal-usule gunung tangkuban perahu sing dadi ikon crita rakyate."
