judul,provinsi,id_teks,teks,referensi
Sawerigading,Sulawesi Selatan,1,"pada zaman dahulu kala, di daerah luwu, sulawesi selatan, hiduplah seorang raja bernama la togeq langiq, yang juga dikenal sebagai batara lattu. sang raja memiliki dua istri: we opu sengngeng, seorang manusia biasa, dan seorang istri dari bangsa jin. dari pernikahannya dengan we opu sengngeng, lahirlah sepasang anak kembar emas, yaitu seorang anak laki-laki bernama sawerigading dan seorang anak perempuan bernama we tenriabeng.","ing jaman mbiyen, ing daerah luwu, sulawesi selatan, urip sawijining raja jenenge la togeq langiq, sing uga dikenal minangka batara lattu. sang raja nduweni loro garwa: we opu sengngeng, sawijining manungsa biasa, lan sawijining garwa saka bangsa jin. saka pernikahane karo we opu sengngeng, lair sepasang anak kembar emas, yaiku sawijining anak lanang jenenge sawerigading lan sawijining anak wadon jenenge we tenriabeng."
Sawerigading,Sulawesi Selatan,2,"namun, ramalan ayah batara lattu, batara guru, menyatakan bahwa kedua anak kembar tersebut kelak akan jatuh cinta dan berkeinginan untuk menikah. padahal, adat di luwu melarang pernikahan antar saudara kandung. untuk menghindari hal itu, batara lattu merawat dan mendidik kedua anaknya secara terpisah. we tenriabeng disembunyikan di loteng istana sejak bayi, sementara sawerigading dibesarkan secara normal tanpa mengetahui keberadaan saudari kembarnya.","nanging, ramalan bapake batara lattu, yaiku batara guru, nyebutake yen loro anak kembar kuwi bakal tiba cinta lan kepengin nikah. padahal, adat ing luwu ngelarang pernikahan antar sedulur kandung. supaya bisa nyingkiri kuwi, batara lattu ngerumat lan ndidik loro anak kuwi kanthi kapisah. we tenriabeng didhelikake ing loteng istana wiwit bayi, dene sawerigading digedhekake kanthi normal tanpa ngerti yen nduweni adhi kembar."
Sawerigading,Sulawesi Selatan,3,"sawerigading tumbuh menjadi pemuda yang tampan dan gagah, sementara we tenriabeng menjadi gadis yang cantik jelita. meski demikian, mereka tidak pernah bertemu. pada suatu hari, sawerigading mendapat tugas dari ayahnya untuk berlayar ke negeri taranati (ternate), namun alasan sebenarnya adalah agar sawerigading tidak bertemu dengan we tenriabeng yang akan dilantik sebagai bissu, seorang pendeta tanpa gender dalam adat bugis.","sawerigading tuwuh dadi nom-noman sing ganteng lan gagah, dene we tenriabeng dadi prawan ayu rupawan. senadyan ngono, dheweke loro durung nate ketemu. ing sawijining dina, sawerigading oleh tugas saka bapake kanggo layar menyang negeri taranati (ternate), nanging sejatine alesan utamane yaiku supaya sawerigading ora ketemu karo we tenriabeng sing arep dilantik dadi bissu, sawijining pendeta tanpa gender ing adat bugis."
Sawerigading,Sulawesi Selatan,4,"dalam perjalanan ke taranati, seorang pengawal sawerigading memberi tahu bahwa ia memiliki saudari kembar yang selama ini disembunyikan di loteng istana. mendengar hal itu, sawerigading merasa terkejut dan penasaran.","nalika perjalanan menyang taranati, sawijining pengawal sawerigading nyritakake yen dheweke nduweni sedulur kembar sing wis suwe didhelikake ing loteng istana. krungu kuwi, sawerigading kaget lan dadi penasaran."
Sawerigading,Sulawesi Selatan,5,benarkah aku memiliki saudara kembar tanyanya.,tenan aku nduweni sedulur kembar pitakone.
Sawerigading,Sulawesi Selatan,6,"benar, pangeran. namanya we tenriabeng, dan ia disembunyikan oleh raja dan ratu di loteng istana, jawab sang pengawal.","tenan, pangeran. jenenge we tenriabeng, lan dheweke didhelikake dening raja lan ratu ing loteng istana, wangsulane sang pengawal."
Sawerigading,Sulawesi Selatan,7,"setelah kembali dari taranati, sawerigading tanpa menunggu lama mencari saudari kembarnya di loteng istana. benar saja, ia akhirnya bertemu dengan we tenriabeng dan, seperti yang diramalkan, ia jatuh cinta pada adik kembarnya. sawerigading bahkan memutuskan untuk menikahi we tenriabeng.","sawise bali saka taranati, sawerigading tanpa ngenteni suwe langsung nggoleki sedulur kembare ing loteng istana. bener wae, dheweke pungkasane ketemu karo we tenriabeng lan, kaya ramalane, dheweke tiba cinta marang adhine kembar. sawerigading malah mutusake arep nikah karo we tenriabeng."
Sawerigading,Sulawesi Selatan,8,"batara lattu, yang mengetahui hal ini, segera memanggil sawerigading dan menasihatinya.","batara lattu, sing ngerti kabar iki, langsung ngundang sawerigading lan menehi nasehat."
Sawerigading,Sulawesi Selatan,9,"putraku, aku tahu keinginanmu untuk memiliki pasangan hidup, tetapi berniat menikahi saudaramu sendiri adalah pelanggaran besar dalam adat kita. jika adat ini dilanggar, bencana akan menimpa luwu, ujar batara lattu.","anakku, aku ngerti karepmu kanggo nduweni pasangan urip, nanging duwe niat nikahi sedulurmu dhewe kuwi pelanggaran gedhe ing adat kita. yen adat iki dilanggar, bencana bakal teka ing luwu, ujare batara lattu."
Sawerigading,Sulawesi Selatan,10,"namun, sawerigading bersikeras dengan keinginannya, bahkan mengutarakannya langsung pada we tenriabeng. sang adik pun memberikan solusi untuk menghindari pelanggaran adat.","nanging, sawerigading tetep ngotot karo karepe, malah ngomong langsung karo we tenriabeng. sang adhi banjur menehi solusi supaya ora nglanggar adat."
