judul,provinsi,id_teks,teks,referensi
Si Buyung Besar,Sumatera Utara,1,"dahulu kala, hiduplah sepasang suami istri yang hidup rukun dan damai. mereka dikaruniai seorang anak laki-laki yang pertumbuhannya sangat cepat dibandingkan anak-anak seusianya. karena tubuhnya yang besar, mereka memberinya nama si buyung besar.","ing jaman mbiyen, urip bebrayan bojo kang rukun lan tentrem. dheweke oleh anugrah anak lanang siji kang tuwuh cepet banget dibandhingke bocah-bocah sebayane. amarga awake gedhe, wong tuwane maringi jeneng si buyung gedhe."
Si Buyung Besar,Sumatera Utara,2,"sehari-hari, buyung besar senang bermain di atas pohon dengan kapak kecil kesayangannya. sambil menetak pohon, ia selalu bernyanyi:","sedina-dina, buyung gedhe seneng dolanan nang ndhuwur wit karo kapak cilik kesayangane. sambil ngethok wit, dheweke tansah nembang:"
Si Buyung Besar,Sumatera Utara,3,tak ada paksa dicari-cari; ada paksa dibuang-buang.,ra ana paksa digolek-golek; ana paksa dibuwang-buwang.
Si Buyung Besar,Sumatera Utara,4,nyanyiannya yang diulang-ulang setiap hari membuat kedua orang tuanya penasaran akan maknanya.,temabange kang diulang-ulang saben dina nggawe loro wong tuwane kepengin ngerti maknane.
Si Buyung Besar,Sumatera Utara,5,"seiring waktu, buyung besar semakin besar. orang tuanya pun memutuskan untuk menyerahkannya kepada datuk penghulu, seorang tokoh bijaksana di desa, agar ia mendapatkan bimbingan yang lebih baik.","suwe-suwe, buyung gedhe saya gedhe. wong tuwane banjur mutusake kanggo nitipke marang datuk penghulu, sawijining tokoh bijaksana nang desa, supaya bisa entuk bimbingan kang luwih apik."
Si Buyung Besar,Sumatera Utara,6,"datuk penghulu juga penasaran dengan nyanyian buyung besar. namun, ketika ditanya, buyung besar sendiri tidak mengetahui arti dari kata-katanya.","datuk penghulu uga kepengin ngerti maknane tembange buyung gedhe. nanging, nalika ditakoni, buyung gedhe dhewe ora ngerti arti saka tembung-tembunge kuwi."
Si Buyung Besar,Sumatera Utara,7,"saat buyung besar beranjak dewasa, datuk penghulu memberinya kesempatan untuk berniaga. buyung besar setuju, tetapi dengan satu syaratâia harus dibuatkan kapal besar untuk berlayar.","nalika buyung gedhe wis gedhe, datuk penghulu maringi kesempatan kanggo dagang. buyung gedhe sarujuk, nanging nganggo siji syaratâdheweke kudu dibangunke kapal gedhe kanggo nglayar."
Si Buyung Besar,Sumatera Utara,8,"setelah kapal selesai, buyung besar memulai pelayarannya, membawa muatan buah kelapa untuk diperjualbelikan.","sawise kapal rampung, buyung gedhe miwiti pelayarane, nggawa muatan woh klapa kanggo didol."
Si Buyung Besar,Sumatera Utara,9,"suatu hari, kapal mereka tiba di sebuah pulau. buyung besar dan para awaknya menawarkan kelapa kepada penduduk setempat. namun, penduduk tidak memiliki uang untuk membelinya.","siji dina, kapale tekan sawijining pulo. buyung gedhe lan para awak kapal nawakake klapa marang warga sak panggonan. nanging, warga ora nduweni dhuwit kanggo tuku."
Si Buyung Besar,Sumatera Utara,10,"dengan murah hati, buyung besar berkata:","kanthi ati loman, buyung gedhe ngomong:"
Si Buyung Besar,Sumatera Utara,11,"siapa saja yang ingin mengerjakan buah kelapa ini, ambillah. minyak kelapanya boleh kalian gunakan, tetapi sabut dan tempurungnya masukkan kembali ke dalam kapal hamba.","sapa wae kang kepengin nggarap woh klapa iki, jupuk wae. minyak klapane isa kowe gunakake, nanging sabut lan batoke lebokna maneh nang kapal kawula."
Si Buyung Besar,Sumatera Utara,12,penduduk sangat senang dan berterima kasih atas kebaikan hati buyung besar.,warga seneng banget lan matur nuwun marang kabecikan ati buyung gedhe.
Si Buyung Besar,Sumatera Utara,13,"ketika kembali ke kampung halaman, datuk penghulu tidak marah, meskipun buyung besar tidak mendapatkan keuntungan. sebaliknya, ia menyuruhnya kembali berlayar, kali ini dengan muatan padi.","nalika bali menyang kampung, datuk penghulu ora nesu, sanajan buyung gedhe ora entuk bathi. kosok baline, dheweke nyuruh buyung gedhe bali nglayar, wektu iki nggawa muatan pari."
Si Buyung Besar,Sumatera Utara,14,"namun, lagi-lagi buyung besar membagikan padi itu secara cuma-cuma dengan syarat bahwa kulit padinya dikembalikan ke dalam kapalnya.","nanging, maneh maneh buyung gedhe ngabari pari kuwi kanthi gratis kanthi syarat yen kulit parine dibalekna nang kapale."
Si Buyung Besar,Sumatera Utara,15,"pada perjalanan berikutnya, buyung besar dan awak kapalnya tiba di sebuah pulau yang bersinar terang dari kejauhan. ketika mereka mendekat, mereka melihat bahwa pulau itu dipenuhi dengan tumpukan emas.","nang perjalanan sabanjure, buyung gedhe lan para awak kapal tekan sawijining pulo kang sumunar padhang saka adoh. nalika padha nyedhak, padha weruh yen pulo kuwi kebak timbunan emas."
Si Buyung Besar,Sumatera Utara,16,"tanpa ragu, mereka mulai mengangkut emas ke dalam kapal. namun, saat sedang bekerja, kapak kesayangan buyung besar terjatuh ke laut.","tanpa mikir dawa, padha ngangkut emas menyang kapal. nanging, nalika lagi nyambut gawe, kapak kesayangane buyung gedhe tiba nang segara."
Si Buyung Besar,Sumatera Utara,17,"tak ingin kehilangan kapaknya, buyung besar menyelam ke dasar laut. di sana, ia menemukan sebuah istana megah dan bertemu dengan seorang putri kerajaan laut yang menemukan kapaknya.","ora gelem kelangan kapake, buyung gedhe nyilem menyang dasar segara. nang kono, dheweke nemokake kraton megah lan ketemu karo sawijining putri kraton segara kang nemu kapake."
Si Buyung Besar,Sumatera Utara,18,putri itu bersedia mengembalikan kapak buyung besar dengan satu syaratâia harus menikahinya.,putri kuwi gelem mbalekake kapake buyung gedhe nganggo siji syaratâdheweke kudu nikah karo putri kuwi.
Si Buyung Besar,Sumatera Utara,19,"buyung besar pun setuju, dan pernikahan mereka dirayakan selama 40 hari 40 malam di istana bawah laut.","buyung gedhe banjur sarujuk, lan mantenane dirayakake nganti 40 dina 40 bengi nang kraton ngisor segara."
Si Buyung Besar,Sumatera Utara,20,"setelah beberapa waktu, buyung besar memutuskan untuk kembali ke dunia manusia bersama istrinya. ketika mereka muncul ke permukaan laut, para awak kapal terkejut melihat buyung besar membawa seorang wanita cantik dari dasar laut.","sawise sawetara wektu, buyung gedhe mutusake kanggo bali menyang donya manungsa bebarengan karo garwane. nalika padha muncul nang permukaan segara, para awak kapal kaget weruh buyung gedhe nggawa wanita ayu saka dasar segara."
Si Buyung Besar,Sumatera Utara,21,"mereka pun segera berlayar kembali ke kampung halaman, membawa harta emas berlimpah.","padha langsung bali nglayar menyang kampung, nggawa bandha emas kang akeh banget."
Si Buyung Besar,Sumatera Utara,22,"namun, setibanya di kampung, datuk penghulu justru tertarik bukan pada emas yang dibawa buyung besar, melainkan pada istrinya.","nanging, nalika tekan kampung, datuk penghulu malah kepincut dudu karo emas kang digawa buyung gedhe, nanging karo garwane."
Si Buyung Besar,Sumatera Utara,23,"ia berkata,","dheweke kandha,"
Si Buyung Besar,Sumatera Utara,24,"kapal emas dan peti emas kuserahkan padamu, tetapi istrimu hendaknya kau serahkan kepadaku.","kapal emas lan peti emas tak pasrahna marang kowe, nanging bojomu becike kok pasrahna marang aku."
Si Buyung Besar,Sumatera Utara,25,"meski berat hati, buyung besar tidak dapat menolak permintaan itu.","sanajan abot atine, buyung gedhe ora bisa nolak panjaluk kuwi."
Si Buyung Besar,Sumatera Utara,26,"namun, ketika datuk penghulu hendak menikahi sang putri laut, ia mengalami kesulitan dalam melafalkan akad dan akhirnya jatuh sakit.","nanging, nalika datuk penghulu arep nikah karo sang putri segara, dheweke ngalami kesulitan ngucap akad lan pungkasane lara."
Si Buyung Besar,Sumatera Utara,27,"melihat keadaan yang memburuk, warga pun meminta buyung besar untuk menyembuhkan datuk penghulu.","weruh kahanan kang saya parah, warga banjur njaluk buyung gedhe kanggo ngobati datuk penghulu."
Si Buyung Besar,Sumatera Utara,28,"dengan satu sentuhan, datuk penghulu kembali sadar. setelah kejadian itu, datuk penghulu menyadari kesalahannya dan dengan tulus merestui pernikahan buyung besar dengan sang putri.","kanthi sak sentuhan, datuk penghulu tangi maneh. sawise kedadeyan kuwi, datuk penghulu sadar kaluputane lan kanthi tulus maringi restu perkawinan buyung gedhe karo sang putri."
Si Buyung Besar,Sumatera Utara,29,"sebagai penghormatan atas kebijaksanaan dan kebaikan hatinya, buyung besar diangkat menjadi datuk, menggantikan datuk penghulu.","minangka pangajen marang kebijaksanaan lan kabecikan atine, buyung gedhe diangkat dadi datuk, nggantekake datuk penghulu."
Si Buyung Besar,Sumatera Utara,30,"di bawah kepemimpinannya, rakyat hidup makmur dan bahagia, dan buyung besar dikenang sebagai pemimpin yang bijaksana dan dermawan.","ing sangisoring pimpinane, rakyat urip makmur lan bahagia, lan buyung gedhe kelingan dadi pemimpin kang bijaksana lan dermawan."
