judul,provinsi,id_teks,teks,referensi
Si Jangoi,Riau,1,"pada zaman dahulu, di negeri riau, hiduplah seorang panglima sakti bernama panglima kawal. ia dikenal sebagai sosok yang cerdas, pemberani, dan tak tertandingi kesaktiannya. namanya terkenal, tidak hanya di negeri riau tetapi juga hingga ke wilayah-wilayah lain. karena keberadaannya, tidak ada bajak laut atau perompak yang berani menyerang negeri riau.","ing jaman mbiyen, ing nagari riau, ana sawijining panglima sakti jenenge panglima kawal. dheweke dikenal minangka wong sing pinter, wani, lan kesaktiane ora ana sing bisa ngalahke. jenenge misuwur, ora mung ing nagari riau nanging uga tekan wilayah liya. amarga anane dheweke, ora ana bajak laut utawa perompak sing wani nyerang nagari riau."
Si Jangoi,Riau,2,"namun, ketakutan itu tidak dirasakan oleh seorang perompak bernama si jangoi, pemimpin rombongan perampok yang terkenal dengan kesaktiannya. si jangoi bersama anak buahnya berlayar menuju negeri riau dengan tujuan menguasainya.","nanging, rasa wedi kuwi ora dirasakake dening sawijining perompak jenenge si jangoi, pimpinan rombongan rampok sing misuwur karo kesaktiane. si jangoi bebarengan anak buahe berlayar menyang nagari riau kanthi tujuan nguwasani nagari kuwi."
Si Jangoi,Riau,3,kapalkapal si jangoi bersandar di pelabuhan negeri riau. para hulubalang negeri itu menyambut kedatangannya dengan hormat.,kapal-kapale si jangoi nglabuh ing pelabuhan nagari riau. para hulubalang nagari mau nyambut tumekane kanthi ngajeni.
Si Jangoi,Riau,4,"siapakah tuan ini, dan apa maksud kedatangan tuan ke negeri kami tanya salah satu hulubalang.","âsapa kowe, lan apa maksud teka ing nagariku ikiâ takon salah siji hulubalang."
Si Jangoi,Riau,5,"aku adalah si jangoi, dan kedatanganku ke sini adalah untuk menguasai negeri riau. sampaikan kepada rakyatmu, jika mereka tunduk kepadaku, nyawa mereka akan selamat. namun, jika ada yang berani melawan, aku akan membuat mereka menggali kuburnya sendiri ujar si jangoi dengan sombong.","âaku si jangoi, lan aku teka kene kanggo nguwasani nagari riau. kandhakake marang rakyatmu, nek padha manut aku, nyawane bakal slamet. nanging nek ana sing wani mbangkang, aku bakal gawe wong-wong kuwi nggali kubure dheweâ ujare si jangoi kanthi sumbung."
Si Jangoi,Riau,6,"para hulubalang, meski muak dengan keangkuhannya, tetap bersabar. mereka memutuskan untuk menyampaikan kabar kedatangan si jangoi kepada panglima kawal.","para hulubalang, senajan nesu karo kesumbungane, tetep sabar. dheweke mutusake kanggo maringi kabar kedatangan si jangoi marang panglima kawal."
Si Jangoi,Riau,7,"panglima kawal, yang mengutamakan perdamaian, memutuskan untuk menemui si jangoi seorang diri, tanpa pengawal atau senjata. kedatangan panglima kawal mengejutkan si jangoi. ia kagum dengan keberanian sang panglima.","panglima kawal, sing luwih milih tentrem, mutusake ketemu si jangoi dhewekan, tanpa pengawal utawa senjata. tumekane panglima kawal ngagetkake si jangoi. dheweke kagum karo kewanian sang panglima."
Si Jangoi,Riau,8,"untuk menghormati kedatangannya, si jangoi menyuguhkan sirih dan bakik (makanan khas). namun, diam-diam si jangoi telah menyiapkan jebakan. sirih yang disuguhkan diganti dengan daun jelatang beracun, dan bakik diisi dengan paku-paku berlumur racun.","kanggo ngajeni tumekane, si jangoi nyuguhake sirih lan bakik (panganan khas). nanging, kanthi meneng-meneng si jangoi wis nyiapake jebakan. sirih sing disuguhake diganti nganggo godhong jelatang sing racun, lan bakik diisi paku-paku sing wis dilumuri racun."
Si Jangoi,Riau,9,"panglima kawal menyadari rencana jahat itu. ia menolak sirih dengan senyum, lalu dengan tenang memakan bakik yang telah diracuni.","panglima kawal nyadari rencana ala kuwi. dheweke nolak sirih kanthi mesem, banjur kanthi tenang mangan bakik sing wis diracun."
Si Jangoi,Riau,10,"rasanya enak sekali tuan jangoi, mari kita makan bersama, ujar panglima kawal sambil mengunyah bakik.","ârasane enak tenan tuan jangoi, ayo padha mangan bareng,â ujare panglima kawal nalika ngunyah bakik."
Si Jangoi,Riau,11,si jangoi terkejut dan gentar. ia tidak menyangka racun yang mematikan itu tidak berdampak pada sang panglima. ketakutannya semakin menjadi ketika melihat panglima kawal mematahkan paku-paku beracun dalam bakik dengan tangan kosong.,si jangoi kaget lan wedi. dheweke ora nyangka racun sing memateni kuwi ora ngaruh marang sang panglima. rasane saya wedi nalika weruh panglima kawal ngelemesake paku-paku racun ing bakik nganggo tangan kosong.
Si Jangoi,Riau,12,"si jangoi menyadari bahwa ia tidak mungkin menang melawan kesaktian panglima kawal. dengan penuh rasa takut, ia memohon ampun dan memutuskan untuk meninggalkan negeri riau. sebelum pergi, ia melemparkan bakik yang berisi paku beracun ke laut sambil bersumpah:","si jangoi ngerti yen dheweke ora mungkin menang ngelawan kesaktian panglima kawal. kanthi rasa wedi sing gedhe, dheweke nyuwun ngapura lan mutusake ninggalake nagari riau. sawise arep lunga, dheweke ngetokake bakik sing isi paku racun mau menyang segara karo sumpah:"
Si Jangoi,Riau,13,"jika bakik ini tidak timbul, aku tidak akan kembali ke negeri riau.","âyen bakik iki ora munggah, aku ora bakal bali menyang nagari riau.â"
Si Jangoi,Riau,14,"bakik tersebut tenggelam, dan si jangoi pun berlayar pergi bersama anak buahnya. negeri riau kembali damai seperti sediakala.","bakik kuwi klelep, lan si jangoi banjur mlayu bebarengan anak buahe. nagari riau bali tentrem kaya biyen."
